Genes,Transcript_Count,Norm_Symbol
AC080038.1,7.0,AC080038.1
STAT2,24.0,STAT2
AC068580.4,4.0,AC068580.4
LRCH4,11.0,LRCH4
SPIRE1,13.0,SPIRE1
KIDINS220,13.0,KIDINS220
ENGASE,10.0,ENGASE
TPGS1,2.0,TPGS1
GLI3,9.0,GLI3
PRRC2C,14.0,PRRC2C
USP17L4,1.0,USP17L4
MT-CO1,1.0,MT-CO1
SVIP,5.0,SVIP
HPCAL4,3.0,HPCAL4
LNP1,3.0,LNP1
SALL1,5.0,SALL1
CLEC10A,6.0,CLEC10A
NRL,6.0,NRL
AURKA,13.0,AURKA
DHPS,23.0,DHPS
HIF3A,19.0,HIF3A
IL21,3.0,IL21
RABGAP1L,22.0,RABGAP1L
ZNF85,12.26086956521739,ZNF85
LPAR3,3.0,LPAR3
PHACTR2,12.0,PHACTR2
ZNF57,5.0,ZNF57
IRF2,9.0,IRF2
ARHGEF18,6.0,ARHGEF18
ESYT2,7.0,ESYT2
KIFAP3,6.0,KIFAP3
METTL4,7.0,METTL4
RPL39L,3.0,RPL39L
SPINT1,11.0,SPINT1
KIAA1147,2.0,KIAA1147
TK1,6.0,TK1
TPCN2,8.0,TPCN2
PSD4,12.0,PSD4
AC270285.6,2.0,AC270285.6
BEND3,2.0,BEND3
GPR85,7.0,GPR85
CIDEA,4.0,CIDEA
CHN1,42.0,CHN1
SLC4A8,18.0,SLC4A8
HELZ,12.0,HELZ
SPOCK1,11.0,SPOCK1
MAP1LC3C,1.0,MAP1LC3C
FUT2,4.0,FUT2
FAM153B,15.0,FAM153B
VSIG2,2.0,VSIG2
MTMR2,15.0,MTMR2
MGAT2,1.0,MGAT2
COL14A1,9.0,COL14A1
CHP2,1.0,CHP2
REEP1,13.0,REEP1
NAV3,16.0,NAV3
FGF8,7.0,FGF8
GU182357.5,1.0,GU182357.5
PCDHA5,3.0,PCDHA5
PRR20E,1.0,PRR20E
TMEM147,9.0,TMEM147
KALRN,22.0,KALRN
MALT1,11.0,MALT1
AWAT1,2.0,AWAT1
ZNF738,5.0,ZNF738
TCHH,2.0,TCHH
OR2G6,3.0,OR2G6
KBTBD8,5.0,KBTBD8
KIAA1324L,12.0,KIAA1324L
COPS7A,22.0,COPS7A
TMEM184A,11.0,TMEM184A
RPS9,9.588235294117649,RPS9
POLR2J3,9.6,POLR2J3
SETD5,33.0,SETD5
PMCH,1.0,PMCH
ATE1,9.0,ATE1
MSH6,15.0,MSH6
GAD1,17.0,GAD1
TAS2R4,1.0,TAS2R4
SMYD3,18.0,SMYD3
HOXA5,2.0,HOXA5
SULT2A1,1.0,SULT2A1
AMH,3.0,AMH
LAMTOR2,6.0,LAMTOR2
RPS14,8.0,RPS14
LDAH,13.0,LDAH
SSU72P8,1.0,SSU72P8
RFWD3,12.0,RFWD3
ADAMTS5,2.0,ADAMTS5
ATP6V0A4,10.0,ATP6V0A4
PDHB,10.0,PDHB
PRKCA,5.0,PRKCA
PRKAG1,20.0,PRKAG1
ADARB1,15.0,ADARB1
DHDH,4.0,DHDH
FCGR2B,5.0,FCGR2B
LRP5,7.0,LRP5
FTCDNL1,5.0,FTCDNL1
OR7G1,1.0,OR7G1
ZNF783,5.0,ZNF783
PARP6,23.0,PARP6
KSR1,20.0,KSR1
FLOT2,12.0,FLOT2
PRPF38A,3.0,PRPF38A
NPB,2.0,NPB
UPK1B,5.0,UPK1B
UVSSA,9.0,UVSSA
SCNN1G,1.0,SCNN1G
USP12,3.0,USP12
ZNF484,4.0,ZNF484
ZNF430,6.0,ZNF430
MEA1,6.0,MEA1
ZFP90,19.0,ZFP90
HK3,6.0,HK3
BET1,8.0,BET1
SLC5A1,4.0,SLC5A1
TMEM217,12.0,TMEM217
SH3D19,14.0,SH3D19
HIST2H2AB,1.0,HIST2H2AB
CBLL2,1.0,CBLL2
AC104452.1,9.0,AC104452.1
ADAM21,1.0,ADAM21
IVNS1ABP,9.0,IVNS1ABP
EI24,14.0,EI24
WDR6,23.0,WDR6
SLC31A1,2.0,SLC31A1
FBXO42,4.0,FBXO42
HBB,6.0,HBB
LILRB2,12.076923076923075,LILRB2
CIAO3,21.0,CIAO3
EFCAB6,10.0,EFCAB6
PPAN,8.0,PPAN
TBCD,23.55,TBCD
CST6,1.0,CST6
LRRC3C,1.0,LRRC3C
CCDC51,6.0,CCDC51
OR2H1,7.0,OR2H1
FAM81A,15.0,FAM81A
KRTAP10-7,1.0,KRTAP10-7
GJA10,3.0,GJA10
VAMP7,6.0,VAMP7
SENP8,5.0,SENP8
CARD9,8.0,CARD9
OR8G1,2.0,OR8G1
CNFN,2.0,CNFN
OLR1,11.0,OLR1
COG3,7.0,COG3
ANXA11,10.0,ANXA11
FLT1,9.0,FLT1
C16orf96,1.0,C16orf96
IL36G,3.0,IL36G
NRG2,9.0,NRG2
TOMM6,2.0,TOMM6
TBCC,1.0,TBCC
BAG5,4.0,BAG5
SETBP1,4.0,SETBP1
ATP1A2,8.0,ATP1A2
GLYATL3,2.0,GLYATL3
DAZL,3.0,DAZL
ZNF684,7.0,ZNF684
PRSS2,5.4,PRSS2
FCRL1,8.0,FCRL1
PIK3CG,5.0,PIK3CG
ODF4,4.0,ODF4
SGSM3,13.0,SGSM3
HEXIM2,8.0,HEXIM2
NFYC,24.0,NFYC
BCL2,4.0,BCL2
GRB14,6.0,GRB14
RGS9BP,1.0,RGS9BP
ZNF713,6.0,ZNF713
TPPP,1.0,TPPP
TMEM64,7.0,TMEM64
AUH,5.0,AUH
CHMP2B,5.0,CHMP2B
ELF4,4.0,ELF4
GLRA2,4.0,GLRA2
SMIM30,4.0,SMIM30
RABAC1,10.0,RABAC1
CDRT15L2,2.0,CDRT15L2
ST3GAL6,28.0,ST3GAL6
AHSA1,13.0,AHSA1
FMO1,8.0,FMO1
ITGBL1,7.0,ITGBL1
CCDC92,9.0,CCDC92
GMCL1,4.0,GMCL1
ACOX1,13.0,ACOX1
TSPO,6.0,TSPO
ALKBH1,4.0,ALKBH1
FGF6,3.0,FGF6
CD44,39.0,CD44
CFAP53,1.0,CFAP53
CLEC18B,6.0,CLEC18B
P2RY2,3.0,P2RY2
RAF1,12.0,RAF1
CSF2RB,4.0,CSF2RB
COL19A1,5.0,COL19A1
SPATA20,28.0,SPATA20
GUCY2C,2.0,GUCY2C
KRR1,5.0,KRR1
CCDC39,11.0,CCDC39
SLCO1A2,17.0,SLCO1A2
FASTKD2,6.0,FASTKD2
ASL,10.0,ASL
TGIF1,23.0,TGIF1
FXYD4,4.0,FXYD4
MTNR1A,1.0,MTNR1A
EHBP1L1,11.0,EHBP1L1
SGSM1,6.0,SGSM1
SUSD5,2.0,SUSD5
CD74,12.0,CD74
MST1R,15.0,MST1R
SNX7,5.0,SNX7
TNFRSF17,3.0,TNFRSF17
CALCOCO1,22.0,CALCOCO1
MECR,18.0,MECR
PACS1,15.0,PACS1
TMEM51,6.0,TMEM51
SETX,5.0,SETX
ARHGAP28,15.0,ARHGAP28
ASXL1,27.0,ASXL1
FO681492.1,3.0,FO681492.1
RBM25,12.0,RBM25
SLC9A3,3.2,SLC9A3
ZBTB40,5.0,ZBTB40
C1orf232,2.0,C1orf232
ADM5,1.0,ADM5
LSM8,4.0,LSM8
NUTM2G,2.0,NUTM2G
KBTBD13,1.0,KBTBD13
ASB8,18.0,ASB8
TESMIN,9.0,TESMIN
TSC2,69.0,TSC2
STIM1,20.0,STIM1
RPS19,8.0,RPS19
TKTL1,8.0,TKTL1
ZNF131,20.0,ZNF131
FBXL2,21.0,FBXL2
TRIM73,7.0,TRIM73
SMPX,3.0,SMPX
ZP3,7.0,ZP3
HINT1,10.0,HINT1
AIPL1,11.0,AIPL1
DPP4,11.0,DPP4
SULT1A2,5.0,SULT1A2
SHPK,1.0,SHPK
UQCC1,23.0,UQCC1
FRMD4A,21.0,FRMD4A
AL133500.1,2.0,AL133500.1
SPACA6,14.0,SPACA6
CIPC,8.0,CIPC
TRIM59,8.0,TRIM59
CD68,4.0,CD68
GPBP1L1,14.0,GPBP1L1
PNPLA5,5.0,PNPLA5
FNDC1,3.0,FNDC1
KLRK1,5.0,KLRK1
SLC35G1,6.0,SLC35G1
DBNDD1,7.0,DBNDD1
VSTM2B,1.0,VSTM2B
OR10H3,2.0,OR10H3
DUOXA1,16.0,DUOXA1
ITSN2,13.0,ITSN2
ISM1,1.0,ISM1
RHOD,3.0,RHOD
ZNF101,8.0,ZNF101
AGTR1,9.0,AGTR1
WDR54,13.0,WDR54
FAM218A,2.0,FAM218A
EXOSC1,11.0,EXOSC1
PDE8B,9.0,PDE8B
TAS2R50,1.0,TAS2R50
THBS4,7.0,THBS4
C20orf27,4.0,C20orf27
PKD1L2,12.0,PKD1L2
RNF166,11.0,RNF166
TMEM128,2.0,TMEM128
PPP1R3C,1.0,PPP1R3C
SIK2,2.0,SIK2
DOHH,1.0,DOHH
ADAM2,7.0,ADAM2
BTF3L4,8.0,BTF3L4
IL4I1,8.0,IL4I1
FAM104B,7.0,FAM104B
GLIPR2,5.0,GLIPR2
LRRC14,9.0,LRRC14
PIP4K2B,4.0,PIP4K2B
SMIM12,6.0,SMIM12
ZNF563,4.0,ZNF563
TAF11L6,1.0,TAF11L6
NR0B1,2.0,NR0B1
SPATA9,6.0,SPATA9
CSNK1G3,10.0,CSNK1G3
PIGBOS1,3.0,PIGBOS1
PARP2,11.0,PARP2
TRMT10B,9.0,TRMT10B
BPI,6.0,BPI
MS4A4A,7.0,MS4A4A
ZNF831,3.0,ZNF831
STXBP3,7.0,STXBP3
DNPH1,4.0,DNPH1
ZNF850,3.0,ZNF850
KRTAP24-1,1.0,KRTAP24-1
TDO2,8.0,TDO2
SPCS3,4.0,SPCS3
ATP2B3,7.0,ATP2B3
DHRS7C,3.0,DHRS7C
SNRK,8.0,SNRK
TWNK,9.0,TWNK
ERAP1,9.0,ERAP1
UNC5A,3.0,UNC5A
MEPCE,4.0,MEPCE
ZNF816,8.0,ZNF816
FOXH1,2.0,FOXH1
SEC16B,8.0,SEC16B
CFHR5,1.0,CFHR5
PCNP,8.0,PCNP
LRP11,3.0,LRP11
CETN1,1.0,CETN1
UBASH3B,8.0,UBASH3B
RHOBTB2,8.0,RHOBTB2
SLC35D2,6.0,SLC35D2
CXCR3,2.0,CXCR3
NAT10,10.0,NAT10
SEMA3D,4.0,SEMA3D
MAIP1,4.0,MAIP1
CPLANE1,16.0,CPLANE1
AL109810.2,2.0,AL109810.2
CNEP1R1,11.0,CNEP1R1
ARHGDIA,17.0,ARHGDIA
IFT27,12.0,IFT27
KCNK5,1.0,KCNK5
OR5W2,1.0,OR5W2
AFP,7.0,AFP
UBD,1.0,UBD
PRPF31,9.0,PRPF31
SEZ6,10.0,SEZ6
POU2F2,20.0,POU2F2
ZBED3,3.0,ZBED3
MAN1C1,8.0,MAN1C1
PHOX2B,2.0,PHOX2B
EFR3A,8.0,EFR3A
CEP135,5.0,CEP135
SLC7A2,6.0,SLC7A2
SYTL5,2.0,SYTL5
CRX,7.0,CRX
CERS4,16.0,CERS4
NOG,1.0,NOG
DHRS7B,10.0,DHRS7B
HTR3A,7.0,HTR3A
DPP9,26.0,DPP9
MICAL2,36.0,MICAL2
TXNDC11,9.0,TXNDC11
CDHR5,9.5,CDHR5
DLGAP3,3.0,DLGAP3
RAB5C,9.0,RAB5C
OR4C16,1.0,OR4C16
TSPYL5,1.0,TSPYL5
PGF,8.0,PGF
CPVL,12.0,CPVL
ADH5,13.0,ADH5
KMT2E,17.0,KMT2E
DACT1,6.0,DACT1
PCTP,8.0,PCTP
PPIE,15.0,PPIE
CAVIN2,1.0,CAVIN2
CTDSP1,15.0,CTDSP1
RIC8A,17.0,RIC8A
GRAMD1C,15.0,GRAMD1C
TRDMT1,12.0,TRDMT1
SLC25A41,3.0,SLC25A41
LYSMD1,2.0,LYSMD1
GALNT2,5.0,GALNT2
AC008878.1,2.0,AC008878.1
TRERF1,5.0,TRERF1
NACAD,2.0,NACAD
VWDE,8.0,VWDE
OR5H15,2.0,OR5H15
ST14,4.0,ST14
CBX3,8.0,CBX3
CHST2,1.0,CHST2
SPINK5,9.0,SPINK5
RPUSD3,17.0,RPUSD3
PNPO,17.0,PNPO
DAP,6.0,DAP
HIP1R,10.0,HIP1R
ANKRD11,42.0,ANKRD11
TRIM11,6.0,TRIM11
TOB2,2.0,TOB2
OCLN,5.5,OCLN
HFM1,9.0,HFM1
ZNF549,4.0,ZNF549
TTR,6.0,TTR
FAAH,6.0,FAAH
MOGS,19.0,MOGS
SLC22A11,8.0,SLC22A11
ZBTB22,2.272727272727273,ZBTB22
ABCF2,4.0,ABCF2
MEF2D,7.0,MEF2D
TMEM159,9.0,TMEM159
APOBEC3D,3.0,APOBEC3D
FAM221A,8.0,FAM221A
POLR2E,14.0,POLR2E
NKX6-3,2.0,NKX6-3
AC008695.1,1.0,AC008695.1
ABHD12,9.0,ABHD12
INO80,11.0,INO80
ZDHHC7,8.0,ZDHHC7
ING3,6.0,ING3
TMSB15A,1.0,TMSB15A
SP110,15.0,SP110
GPN2,5.0,GPN2
RNF20,6.0,RNF20
ARMCX3,7.0,ARMCX3
IRX6,2.0,IRX6
KDELR3,3.0,KDELR3
FGF22,3.0,FGF22
AXL,5.0,AXL
NUDT2,4.0,NUDT2
PRMT6,3.0,PRMT6
SIGLEC5,1.0,SIGLEC5
HIST1H2AH,1.0,HIST1H2AH
DUSP11,5.0,DUSP11
CLK3,27.0,CLK3
COG8,7.0,COG8
SEPT4,29.0,SEPT4
TMEM107,9.0,TMEM107
EXOC3,10.0,EXOC3
DPY19L4,8.0,DPY19L4
TMEM253,6.0,TMEM253
EIF4A3,9.0,EIF4A3
OSBPL6,9.0,OSBPL6
MYCT1,3.0,MYCT1
GAGE12H,1.0,GAGE12H
NMS,1.0,NMS
TSACC,8.0,TSACC
BIVM-ERCC5,4.0,BIVM-ERCC5
KIAA0355,5.571428571428571,KIAA0355
AC100868.1,1.0,AC100868.1
AADACL3,2.0,AADACL3
DNER,2.0,DNER
LAD1,7.0,LAD1
KRTAP10-9,3.0,KRTAP10-9
RNF168,2.0,RNF168
STBD1,1.0,STBD1
MACF1,35.0,MACF1
TCF7,24.0,TCF7
CEBPA,1.0,CEBPA
CLSPN,6.0,CLSPN
CHD8,25.0,CHD8
TRIM43B,2.0,TRIM43B
PDE1C,11.0,PDE1C
RXRG,4.0,RXRG
CYP3A4,8.0,CYP3A4
MILR1,7.0,MILR1
CCDC169,13.0,CCDC169
SLC6A7,3.0,SLC6A7
AC069444.2,1.0,AC069444.2
SLC25A40,8.0,SLC25A40
RAP1GAP,13.0,RAP1GAP
GTPBP6,2.0,GTPBP6
SOX12,1.0,SOX12
GYS1,7.0,GYS1
LRRC75A,3.0,LRRC75A
BAZ1B,3.0,BAZ1B
LRSAM1,9.0,LRSAM1
TAS2R60,1.0,TAS2R60
CHPT1,10.0,CHPT1
MEF2C,56.0,MEF2C
KLHL7,13.0,KLHL7
EMB,5.0,EMB
PTPRE,11.0,PTPRE
IRF2BP2,3.0,IRF2BP2
PRAMEF26,1.0,PRAMEF26
OR5D14,1.0,OR5D14
IGKV1-33,2.0,IGKV1-33
RNF185,7.0,RNF185
MAP4,16.0,MAP4
RBBP6,14.0,RBBP6
F2,5.0,F2
RBM27,2.0,RBM27
NACA,21.0,NACA
ADCY9,7.0,ADCY9
CSAG2,4.0,CSAG2
IL1RAP,19.0,IL1RAP
C10orf120,2.0,C10orf120
UEVLD,13.0,UEVLD
AC127537.3,2.0,AC127537.3
SMS,4.0,SMS
BORCS8-MEF2B,7.0,BORCS8-MEF2B
AC131160.1,1.0,AC131160.1
QRICH2,5.0,QRICH2
C2CD4D,1.0,C2CD4D
RAB20,1.0,RAB20
MCMDC2,7.0,MCMDC2
INSL4,1.0,INSL4
CDK6,5.0,CDK6
INA,1.0,INA
C8orf33,9.0,C8orf33
TOP2A,5.0,TOP2A
NAPRT,13.6,NAPRT
TOM1L2,14.0,TOM1L2
B3GAT2,2.0,B3GAT2
SPATA2,2.0,SPATA2
AFAP1,10.0,AFAP1
CTU1,1.0,CTU1
MMACHC,3.0,MMACHC
IFT46,12.0,IFT46
PUS7L,8.0,PUS7L
SRGAP2,17.0,SRGAP2
ZNF610,9.0,ZNF610
MOXD1,4.0,MOXD1
GUF1,4.0,GUF1
CCDC183,8.0,CCDC183
PDK3,4.0,PDK3
KYAT3,4.0,KYAT3
ARHGAP18,3.0,ARHGAP18
INMT,4.0,INMT
C19orf57,8.0,C19orf57
ALLC,3.0,ALLC
PCDHB2,5.0,PCDHB2
ELK4,5.0,ELK4
CADM1,22.0,CADM1
CFL1,15.0,CFL1
SERPINB7,7.0,SERPINB7
HSPA1L,1.0,HSPA1L
NOTCH2,13.0,NOTCH2
GLUD1,4.0,GLUD1
MAP4K4,21.0,MAP4K4
MSS51,3.0,MSS51
CTHRC1,4.0,CTHRC1
OTOP1,1.0,OTOP1
DIAPH3,10.0,DIAPH3
CACNB4,74.0,CACNB4
NUDT21,7.0,NUDT21
PIGG,26.0,PIGG
MED21,7.0,MED21
TWIST2,2.0,TWIST2
MYO15A,24.0,MYO15A
NANOGNB,2.0,NANOGNB
VPS37B,4.0,VPS37B
SMIM2,2.0,SMIM2
MSMP,2.0,MSMP
KCNIP1,10.0,KCNIP1
GABRA4,5.0,GABRA4
TONSL,3.0,TONSL
BTNL2,5.314285714285714,BTNL2
TBC1D24,10.0,TBC1D24
RAD9A,11.0,RAD9A
PGRMC1,2.0,PGRMC1
DACH1,4.0,DACH1
HUWE1,15.0,HUWE1
WIPF2,10.0,WIPF2
KIAA1549L,4.0,KIAA1549L
TTC29,9.0,TTC29
PLSCR3,13.0,PLSCR3
RPL37A,13.0,RPL37A
EPCAM,6.0,EPCAM
FRMPD4,6.0,FRMPD4
GPR155,6.0,GPR155
CTSS,6.0,CTSS
SYNE2,28.0,SYNE2
AKT3,8.666666666666666,AKT3
GALNTL5,11.0,GALNTL5
AP000552.3,1.0,AP000552.3
TENM2,9.0,TENM2
RNGTT,4.0,RNGTT
MICALL2,15.0,MICALL2
TMEM189,5.0,TMEM189
RB1,9.0,RB1
GTF2B,7.0,GTF2B
AC093525.1,1.0,AC093525.1
MLLT11,1.0,MLLT11
TMEM97,5.0,TMEM97
HAS2,1.0,HAS2
PRPS1,9.0,PRPS1
ZNF470,6.0,ZNF470
POU6F2,10.0,POU6F2
C11orf74,11.0,C11orf74
CNGA2,1.0,CNGA2
PUM2,11.0,PUM2
CEP170,21.25,CEP170
GLYATL1B,1.0,GLYATL1B
FAM133B,11.0,FAM133B
CCNE2,8.0,CCNE2
GU182347.3,1.0,GU182347.3
AC134980.3,1.0,AC134980.3
MBD3L1,2.0,MBD3L1
BCS1L,21.0,BCS1L
DDX46,12.0,DDX46
RAB11FIP1,6.0,RAB11FIP1
RAD23A,11.0,RAD23A
RPS6KC1,9.0,RPS6KC1
FZD2,1.0,FZD2
TMEM95,3.0,TMEM95
ZNF510,4.0,ZNF510
CHRND,6.0,CHRND
SPACA4,1.0,SPACA4
ZNF248,10.0,ZNF248
TRIM69,12.0,TRIM69
TNFRSF9,4.0,TNFRSF9
AC010724.2,1.0,AC010724.2
CDCA4,2.0,CDCA4
PIK3C2A,5.0,PIK3C2A
LENG8,7.304347826086956,LENG8
JARID2,3.0,JARID2
KRTAP5-3,1.0,KRTAP5-3
MTG2,10.0,MTG2
SGMS2,9.0,SGMS2
KRT13,9.0,KRT13
PIP4K2C,8.0,PIP4K2C
DEFB107B,1.0,DEFB107B
SPACA5,2.0,SPACA5
MAN1A2,5.0,MAN1A2
SLC4A5,14.0,SLC4A5
EBLN2,1.0,EBLN2
RGL2,11.8,RGL2
ZNF148,10.0,ZNF148
PKNOX1,11.0,PKNOX1
SCRN3,14.0,SCRN3
MCTP2,9.0,MCTP2
EYS,11.0,EYS
C11orf49,23.0,C11orf49
ZNF662,5.0,ZNF662
CCZ1,7.0,CCZ1
IL10RA,11.0,IL10RA
OR51I1,1.0,OR51I1
GABPB1,11.0,GABPB1
CMTM4,5.0,CMTM4
DEFB136,1.0,DEFB136
PEX14,4.0,PEX14
IL21R,5.0,IL21R
PRR30,2.0,PRR30
ELOA3D,2.0,ELOA3D
UBXN7,6.0,UBXN7
SUOX,17.0,SUOX
GNL3L,3.0,GNL3L
AL133414.2,1.0,AL133414.2
JAKMIP2,6.0,JAKMIP2
GH2,5.0,GH2
HIVEP2,5.0,HIVEP2
SUSD4,10.0,SUSD4
ANO3,5.0,ANO3
AC092718.8,2.0,AC092718.8
AIFM1,9.0,AIFM1
SEC31B,13.0,SEC31B
RASSF10,1.0,RASSF10
CALR3,3.0,CALR3
PAIP1,10.0,PAIP1
FLNB,14.0,FLNB
RSAD1,8.0,RSAD1
CGREF1,9.0,CGREF1
NFIA,22.0,NFIA
GATA3,5.0,GATA3
HRG,3.0,HRG
ONECUT1,4.0,ONECUT1
ALPK3,2.0,ALPK3
LGALS3,7.0,LGALS3
NCR2,3.0,NCR2
MGAT1,25.0,MGAT1
SAR1A,8.0,SAR1A
GJB1,6.0,GJB1
ASAP3,12.0,ASAP3
OTP,2.0,OTP
MCTP1,18.0,MCTP1
INAFM2,2.0,INAFM2
SNF8,17.0,SNF8
MYL4,10.0,MYL4
CBX8,4.0,CBX8
HNRNPH2,1.0,HNRNPH2
SMOC2,6.0,SMOC2
UNC93B1,10.0,UNC93B1
CPXM1,1.0,CPXM1
LACTB,4.0,LACTB
MAX,20.0,MAX
CACNA1G,34.0,CACNA1G
FAM110C,3.0,FAM110C
YME1L1,9.0,YME1L1
BAHD1,4.0,BAHD1
PKN2,6.0,PKN2
ZNF469,2.0,ZNF469
NELL2,20.0,NELL2
MYO1D,16.0,MYO1D
ITGB3BP,14.0,ITGB3BP
HSD3B7,4.0,HSD3B7
RGS7,5.0,RGS7
FAAP100,7.0,FAAP100
ALAS2,9.0,ALAS2
TMEM256,3.0,TMEM256
CARD18,5.0,CARD18
RHOBTB1,6.0,RHOBTB1
AC072022.2,1.0,AC072022.2
SMARCD2,12.0,SMARCD2
RIDA,6.0,RIDA
PDE5A,12.0,PDE5A
PXYLP1,17.0,PXYLP1
JHY,4.0,JHY
GNAT1,5.0,GNAT1
YTHDF3,16.0,YTHDF3
BCHE,5.0,BCHE
PITHD1,3.0,PITHD1
APLNR,3.0,APLNR
GDF9,7.0,GDF9
PPP2R2B,21.0,PPP2R2B
TSPYL1,2.0,TSPYL1
NLRP9,2.0,NLRP9
AC037482.2,2.0,AC037482.2
AGAP5,4.0,AGAP5
DTYMK,7.0,DTYMK
NEK6,15.0,NEK6
LILRA6,7.388888888888888,LILRA6
KRTAP9-9,1.5,KRTAP9-9
RAB34,26.0,RAB34
ARRDC3,7.0,ARRDC3
SERINC5,6.0,SERINC5
IGF2,7.0,IGF2
NOL10,5.0,NOL10
OR52L1,1.0,OR52L1
KLRC2,6.0,KLRC2
PTCD1,5.0,PTCD1
TEX264,16.0,TEX264
SCD,1.0,SCD
IL11,4.0,IL11
RNASE8,1.0,RNASE8
UQCC3,2.0,UQCC3
LHX5,2.0,LHX5
C18orf63,1.0,C18orf63
CPEB1,18.0,CPEB1
FAM126B,11.0,FAM126B
FNDC9,2.0,FNDC9
MCM5,10.0,MCM5
NAXE,5.0,NAXE
NPY4R,2.0,NPY4R
INTS5,1.0,INTS5
HIP1,7.0,HIP1
PPP1R36,6.0,PPP1R36
ZNF213,9.0,ZNF213
GBP3,11.0,GBP3
PSME1,10.0,PSME1
LRRC31,4.0,LRRC31
MMP24,1.0,MMP24
SEMA5A,5.0,SEMA5A
CLDN12,15.0,CLDN12
HOXC6,4.0,HOXC6
CCDC13,7.0,CCDC13
BCL2L2-PABPN1,3.0,BCL2L2-PABPN1
CCDC43,5.0,CCDC43
GPRC5B,11.0,GPRC5B
MISP,2.0,MISP
NEDD8,8.0,NEDD8
HTRA1,3.0,HTRA1
CCDC33,12.0,CCDC33
CCNJL,12.0,CCNJL
ORC5,8.0,ORC5
BACE1,12.0,BACE1
PIM2,3.0,PIM2
EOMES,3.0,EOMES
NKX2-4,1.0,NKX2-4
ZNF43,9.538461538461537,ZNF43
PBX4,5.0,PBX4
WDR53,5.0,WDR53
SIGLEC15,5.0,SIGLEC15
SLC22A31,6.0,SLC22A31
ENTPD8,5.0,ENTPD8
MAN1A1,1.0,MAN1A1
ZNF566,11.0,ZNF566
OR11H1,2.0,OR11H1
GPC1,9.0,GPC1
AC138969.1,13.0,AC138969.1
FAM216B,2.0,FAM216B
PLA2G2A,8.0,PLA2G2A
FGD2,11.0,FGD2
HSPG2,15.0,HSPG2
NMBR,2.0,NMBR
TLDC2,3.0,TLDC2
KCNH3,5.0,KCNH3
ATP2A1,9.0,ATP2A1
RNASE10,2.0,RNASE10
LYSMD3,4.0,LYSMD3
TPRN,4.0,TPRN
LKAAEAR1,2.0,LKAAEAR1
TMEM119,4.0,TMEM119
FAM168A,5.0,FAM168A
OR4D5,1.0,OR4D5
