Genes,Amino_Acid_Length,Norm_Symbol
TRAV2,112.0,TRAV2
TRAV36DV7,113.0,TRAV36DV7
TRAV14DV4,116.0,TRAV14DV4
TRAV13-1,112.0,TRAV13-1
TRAV8-3,113.0,TRAV8-3
TRBV30,111.0,TRBV30
TRBV20-1,111.0,TRBV20-1
TRBV10-3,114.0,TRBV10-3
TRBV7-9,115.0,TRBV7-9
TRAV23DV6,121.0,TRAV23DV6
TRBV6-6,114.0,TRBV6-6
TRBV9,114.0,TRBV9
TRAV20,112.0,TRAV20
TRBV29-1,111.0,TRBV29-1
TRBV25-1,114.0,TRBV25-1
TRBV5-7,114.0,TRBV5-7
TRBV5-4,114.0,TRBV5-4
TRBV6-4,114.0,TRBV6-4
TRAV3,114.0,TRAV3
TRAV1-2,106.0,TRAV1-2
TRBV17,114.0,TRBV17
TRBV15,114.0,TRBV15
TRBV7-3,115.0,TRBV7-3
TRBV6-1,114.0,TRBV6-1
TRBV4-1,114.0,TRBV4-1
TRAV29DV5,119.0,TRAV29DV5
TRAV27,109.0,TRAV27
TRBV13,124.0,TRBV13
TRBV6-8,113.0,TRBV6-8
TRBV5-6,114.0,TRBV5-6
TRBV7-6,115.0,TRBV7-6
TRBV6-7,114.0,TRBV6-7
TRBV6-5,114.0,TRBV6-5
TRBV10-2,114.0,TRBV10-2
TRBV11-1,115.0,TRBV11-1
TRBV4-2,114.0,TRBV4-2
TRDV3,113.0,TRDV3
TRAV38-1,116.0,TRAV38-1
TRAV38-2DV8,116.0,TRAV38-2DV8
TRAV26-2,109.0,TRAV26-2
TRAV26-1,109.0,TRAV26-1
TRAV24,114.0,TRAV24
TRBV14,115.0,TRBV14
TRAV19,116.0,TRAV19
TRBV12-4,115.0,TRBV12-4
TRAV9-1,112.0,TRAV9-1
TRAV40,105.0,TRAV40
TRAV22,110.0,TRAV22
TRAV21,112.0,TRAV21
TRAV16,109.0,TRAV16
TRAV12-3,114.0,TRAV12-3
TRAV8-4,113.0,TRAV8-4
TRBV24-1,115.0,TRBV24-1
TRBV5-3,114.0,TRBV5-3
TRBV5-1,114.0,TRBV5-1
TRBV27,114.0,TRBV27
TRBV18,115.0,TRBV18
TRBV10-1,114.0,TRBV10-1
TRAV9-2,112.0,TRAV9-2
TRAV30,112.0,TRAV30
TRAV8-7,113.0,TRAV8-7
TRBV7-2,115.0,TRBV7-2
TRBV6-2,114.0,TRBV6-2
TRAV25,109.0,TRAV25
TRDV1,74.5,TRDV1
TRBV12-3,115.0,TRBV12-3
TRBV11-3,115.0,TRBV11-3
TRBV7-7,115.0,TRBV7-7
TRAV39,110.0,TRAV39
TRAV34,112.0,TRAV34
TRAV18,111.0,TRAV18
TRAV8-6,113.0,TRAV8-6
TRAV12-2,113.0,TRAV12-2
TRAV1-1,108.0,TRAV1-1
TRBV19,114.0,TRBV19
TRBV3-1,114.0,TRBV3-1
TRBV2,115.0,TRBV2
TRBV7-1,115.0,TRBV7-1
TRAV13-2,113.0,TRAV13-2
TRAV12-1,112.0,TRAV12-1
TRAV10,114.0,TRAV10
TRAV8-1,113.0,TRAV8-1
TRAV7,112.0,TRAV7
TRAV5,113.0,TRAV5
TRAV4,109.0,TRAV4
TRBV16,115.0,TRBV16
TRDV2,115.0,TRDV2
TRAV17,112.0,TRAV17
TRAV8-2,113.0,TRAV8-2
TRAV6,132.0,TRAV6
TRGV11,103.0,TRGV11
TRGV4,118.0,TRGV4
TRGV9,122.0,TRGV9
TRGV3,118.0,TRGV3
TRGV2,118.0,TRGV2
AC233282.1,115.0,AC233282.1
TRGV1,117.0,TRGV1
TRGV5,118.0,TRGV5
AC234635.3,114.0,AC234635.3
AC234635.1,114.0,AC234635.1
AC229888.1,114.0,AC229888.1
TRGV8,118.0,TRGV8
TRGV10,117.0,TRGV10
AC233282.2,114.0,AC233282.2
TRBV20OR9-2,130.0,TRBV20OR9-2
KIR2DS4,293.42222222222216,KIR2DS4
OR10J4,311.0,OR10J4
OR10J3,321.0,OR10J3
OR4C45,306.0,OR4C45
OR4Q2,310.5,OR4Q2
VN1R5,357.0,VN1R5
CYP2D6,431.3793103448277,CYP2D6
CYP2D7,422.89473684210526,CYP2D7
OR2T7,312.5,OR2T7
OR5H8,310.0,OR5H8
OR5AC1,308.0,OR5AC1
CD300H,177.0,CD300H
OR9H1P,308.0,OR9H1P
AC064853.2,92.0,AC064853.2
SCYGR10,105.0,SCYGR10
OR12D1,315.0,OR12D1
IFNL4,140.75,IFNL4
PTCHD3,710.8,PTCHD3
MUC6,1628.333333333333,MUC6
NAT8B,226.0,NAT8B
GKN3P,181.0,GKN3P
FCGR2C,303.6666666666667,FCGR2C
AKR7L,288.6666666666667,AKR7L
OR13C7,319.0,OR13C7
GSTT2,240.25,GSTT2
OR4K3,315.0,OR4K3
OR10A6,314.0,OR10A6
OR4A8,315.0,OR4A8
PNLIPRP2,468.66666666666674,PNLIPRP2
TRARG1,90.5,TRARG1
UBE2NL,153.0,UBE2NL
OR8K3,312.0,OR8K3
SERPINA2,304.0,SERPINA2
OR52E1,308.0,OR52E1
OR11H7,314.0,OR11H7
OR10AC1,326.0,OR10AC1
OR5G3,312.5,OR5G3
OR5AL1,328.0,OR5AL1
OR8J2,315.0,OR8J2
POTEA,665.0,POTEA
GBA3,311.6,GBA3
CASP12,243.25,CASP12
OR1P1,331.0,OR1P1
GPX1,155.66666666666666,GPX1
MROH5,552.6666666666666,MROH5
PKD1L2,1048.1666666666667,PKD1L2
TRBC1,177.0,TRBC1
TRAC,141.0,TRAC
TRDC,154.0,TRDC
TRBC2,179.0,TRBC2
TRGC1,173.0,TRGC1
TRGC2,189.0,TRGC2
IGHJ1,17.0,IGHJ1
IGLJ4,11.0,IGLJ4
IGKJ4,12.0,IGKJ4
IGHJ3,16.5,IGHJ3
IGHJ5,16.5,IGHJ5
IGHJ4,15.5,IGHJ4
IGHJ6,20.5,IGHJ6
IGKJ5,13.0,IGKJ5
IGLJ6,23.0,IGLJ6
IGHJ2,17.5,IGHJ2
IGKJ1,13.0,IGKJ1
IGKJ2,13.0,IGKJ2
IGKJ3,13.0,IGKJ3
IGLJ1,42.0,IGLJ1
IGLJ2,47.0,IGLJ2
IGLJ3,50.0,IGLJ3
IGLJ5,24.0,IGLJ5
IGLJ7,15.0,IGLJ7
IGHG2,349.0,IGHG2
IGHG4,350.0,IGHG4
IGHE,450.0,IGHE
IGHG1,341.3333333333333,IGHG1
IGHM,460.0,IGHM
IGHA1,368.0,IGHA1
IGHG3,400.0,IGHG3
IGHD,414.66666666666674,IGHD
IGHA2,357.0,IGHA2
IGLC7,106.0,IGLC7
IGLC2,106.0,IGLC2
IGLC1,106.0,IGLC1
IGKC,107.0,IGKC
IGLC3,106.0,IGLC3
IGHV3-73,119.0,IGHV3-73
IGHV4-34,123.0,IGHV4-34
IGHV3-23,117.0,IGHV3-23
IGHV5-10-1,117.0,IGHV5-10-1
IGKV2-40,104.5,IGKV2-40
IGHV3-74,117.0,IGHV3-74
IGHV2-70,119.0,IGHV2-70
IGHV1-69-2,117.0,IGHV1-69-2
IGHV4-31,118.0,IGHV4-31
IGHV3-11,117.0,IGHV3-11
IGKV1D-8,117.0,IGKV1D-8
AC234301.3,117.0,AC234301.3
IGHV3-30,117.0,IGHV3-30
IGHV6-1,121.0,IGHV6-1
IGHV4OR15-8,117.0,IGHV4OR15-8
IGKV2-30,120.0,IGKV2-30
AC135068.2,117.0,AC135068.2
IGKV6-21,114.0,IGKV6-21
IGKV1-17,117.0,IGKV1-17
IGHV3-53,116.0,IGHV3-53
IGHV1-46,117.0,IGHV1-46
IGHV4-59,116.0,IGHV4-59
IGHV3-33,117.0,IGHV3-33
IGHV3-48,117.0,IGHV3-48
IGHV4-28,117.0,IGHV4-28
IGHV1-18,117.0,IGHV1-18
IGHV3-16,117.0,IGHV3-16
IGHV7-4-1,117.0,IGHV7-4-1
IGHV4-4,117.0,IGHV4-4
IGHV7-81,117.0,IGHV7-81
IGHV1-69D,117.0,IGHV1-69D
IGHV2-70D,119.0,IGHV2-70D
IGHV2-26,119.0,IGHV2-26
IGHV4-39,125.0,IGHV4-39
IGHV3-38,116.0,IGHV3-38
IGKV3OR2-268,116.0,IGKV3OR2-268
IGHV3-21,117.0,IGHV3-21
IGLV4-3,122.0,IGLV4-3
IGLV1-44,117.0,IGLV1-44
IGLV7-43,117.0,IGLV7-43
AC009286.3,123.0,AC009286.3
IGLV1-40,118.0,IGLV1-40
IGLV5-37,123.0,IGLV5-37
IGLV1-36,117.0,IGLV1-36
IGHV3-64,118.0,IGHV3-64
IGKV3D-7,119.0,IGKV3D-7
IGKV2D-24,120.0,IGKV2D-24
IGKV1D-33,112.5,IGKV1D-33
IGKV1D-39,117.0,IGKV1D-39
IGHV3-7,117.0,IGHV3-7
IGHV1-3,117.0,IGHV1-3
IGLV8-61,122.0,IGLV8-61
IGHV4-61,118.0,IGHV4-61
IGHV1-24,117.0,IGHV1-24
IGHV3-66,116.0,IGHV3-66
IGHV5-51,117.0,IGHV5-51
IGHV3-72,110.0,IGHV3-72
IGHV1-58,117.0,IGHV1-58
IGHV3-49,119.0,IGHV3-49
IGHV3-15,119.0,IGHV3-15
IGHV2-5,119.0,IGHV2-5
AC145029.2,117.0,AC145029.2
IGHV1-45,117.0,IGHV1-45
IGHV3-64D,117.0,IGHV3-64D
IGHV1-69,117.0,IGHV1-69
IGHV3-13,116.0,IGHV3-13
IGHV1-2,117.0,IGHV1-2
IGKV1-37,117.0,IGKV1-37
IGKV1-12,117.0,IGKV1-12
IGHV3-43,118.0,IGHV3-43
IGHV3-35,117.0,IGHV3-35
IGKV3D-11,115.0,IGKV3D-11
IGKV1D-42,117.0,IGKV1D-42
IGKV1D-43,117.0,IGKV1D-43
IGHV1OR15-1,117.0,IGHV1OR15-1
IGLV2-33,118.0,IGLV2-33
IGLV3-32,114.0,IGLV3-32
IGKV1D-13,117.0,IGKV1D-13
IGKV2-24,120.0,IGKV2-24
IGKV3D-20,116.0,IGKV3D-20
IGKV1D-16,117.0,IGKV1D-16
IGKV1OR2-108,117.0,IGKV1OR2-108
IGKV3-20,116.0,IGKV3-20
IGKV3-11,115.0,IGKV3-11
IGKV1-8,115.0,IGKV1-8
IGKV1-5,117.0,IGKV1-5
IGHV1OR15-9,117.0,IGHV1OR15-9
IGLV3-27,113.0,IGLV3-27
IGLV3-25,112.0,IGLV3-25
IGKV1D-17,117.0,IGKV1D-17
IGKV2D-30,120.0,IGKV2D-30
IGKV1-6,117.0,IGKV1-6
IGHV3-20,117.0,IGHV3-20
IGKV3-7,116.0,IGKV3-7
IGKV1D-12,117.0,IGKV1D-12
IGKV2D-29,111.0,IGKV2D-29
IGKV1-27,117.0,IGKV1-27
IGKV1-9,117.0,IGKV1-9
IGHV3OR16-9,97.0,IGHV3OR16-9
AC244226.1,117.0,AC244226.1
IGKV2D-26,120.0,IGKV2D-26
IGKV1D-37,117.0,IGKV1D-37
IGKV4-1,121.0,IGKV4-1
IGKV6D-41,115.0,IGKV6D-41
IGKV3D-15,115.0,IGKV3D-15
IGKV2D-40,107.0,IGKV2D-40
IGKV1-16,117.0,IGKV1-16
IGKV3-15,115.0,IGKV3-15
IGHV1OR21-1,117.0,IGHV1OR21-1
IGLV3-19,112.0,IGLV3-19
IGLV3-22,115.0,IGLV3-22
IGKV5-2,115.0,IGKV5-2
IGKV1-39,117.0,IGKV1-39
AC135068.8,117.0,AC135068.8
IGLV2-23,113.0,IGLV2-23
IGLV10-54,117.0,IGLV10-54
IGKV6D-21,114.0,IGKV6D-21
IGKV2D-28,111.0,IGKV2D-28
IGLV3-12,115.0,IGLV3-12
IGLV2-14,120.0,IGLV2-14
IGHV3OR16-10,116.0,IGHV3OR16-10
AC242528.1,118.0,AC242528.1
AC247036.4,117.0,AC247036.4
AC247036.3,117.0,AC247036.3
IGLV3-1,115.0,IGLV3-1
IGLV5-52,124.0,IGLV5-52
IGKV2-28,120.0,IGKV2-28
IGHV3OR16-8,116.0,IGHV3OR16-8
AC234301.1,116.0,AC234301.1
IGLV3-21,117.0,IGLV3-21
IGLV3-9,115.0,IGLV3-9
IGLV3-16,115.0,IGLV3-16
IGKV1-33,112.5,IGKV1-33
IGLV3-10,115.0,IGLV3-10
IGLV5-45,123.0,IGLV5-45
IGLV6-57,117.0,IGLV6-57
IGHV3OR15-7,119.0,IGHV3OR15-7
IGHV2OR16-5,119.0,IGHV2OR16-5
AC234301.4,118.0,AC234301.4
IGLV2-8,118.0,IGLV2-8
IGLV2-18,118.0,IGLV2-18
IGLV1-47,117.0,IGLV1-47
IGLV5-48,105.0,IGLV5-48
IGLV1-50,118.0,IGLV1-50
IGLV1-51,117.0,IGLV1-51
IGLV4-69,119.0,IGLV4-69
IGLV11-55,123.0,IGLV11-55
IGLV4-60,120.0,IGLV4-60
IGHV3OR16-13,117.0,IGHV3OR16-13
IGHV3OR16-12,117.0,IGHV3OR16-12
IGLV2-11,119.0,IGLV2-11
IGLV7-46,117.0,IGLV7-46
IGLV9-49,123.0,IGLV9-49
TRAJ7,20.0,TRAJ7
TRAJ12,20.0,TRAJ12
TRAJ11,20.0,TRAJ11
TRAJ20,19.0,TRAJ20
TRAJ31,19.0,TRAJ31
TRAJ41,21.0,TRAJ41
TRAJ44,21.0,TRAJ44
TRAJ38,21.0,TRAJ38
TRAJ42,22.0,TRAJ42
TRAJ52,23.0,TRAJ52
TRAJ61,20.0,TRAJ61
TRBJ2-3,16.0,TRBJ2-3
TRBJ2-2,17.0,TRBJ2-2
TRBJ2-1,17.0,TRBJ2-1
TRBJ1-2,16.0,TRBJ1-2
TRBJ1-3,17.0,TRBJ1-3
TRAJ21,18.0,TRAJ21
TRAJ22,21.0,TRAJ22
TRAJ25,20.0,TRAJ25
TRAJ28,22.0,TRAJ28
TRAJ33,19.0,TRAJ33
TRAJ32,22.0,TRAJ32
TRAJ46,21.0,TRAJ46
TRAJ47,19.0,TRAJ47
TRAJ49,19.0,TRAJ49
TRAJ40,20.0,TRAJ40
TRAJ26,20.0,TRAJ26
TRAJ39,21.0,TRAJ39
TRBJ2-5,16.0,TRBJ2-5
TRAJ23,21.0,TRAJ23
TRAJ48,21.0,TRAJ48
TRAJ59,18.0,TRAJ59
TRAJ17,21.0,TRAJ17
TRAJ18,22.0,TRAJ18
TRAJ24,21.0,TRAJ24
TRDJ4,16.0,TRDJ4
TRBJ1-1,16.0,TRBJ1-1
TRBJ2-7,16.0,TRBJ2-7
TRBJ2-4,17.0,TRBJ2-4
TRBJ1-6,18.0,TRBJ1-6
TRAJ3,21.0,TRAJ3
TRAJ43,18.0,TRAJ43
TRBJ2-2P,15.0,TRBJ2-2P
TRAJ27,20.0,TRAJ27
TRAJ4,21.0,TRAJ4
TRAJ5,20.0,TRAJ5
TRAJ50,20.0,TRAJ50
TRAJ53,22.0,TRAJ53
TRAJ6,21.0,TRAJ6
TRAJ9,20.0,TRAJ9
TRAJ45,22.0,TRAJ45
TRBJ2-6,18.0,TRBJ2-6
TRAJ30,19.0,TRAJ30
TRAJ57,21.0,TRAJ57
TRDJ1,17.0,TRDJ1
TRAJ2,22.0,TRAJ2
TRAJ14,17.0,TRAJ14
TRAJ37,22.0,TRAJ37
TRAJ58,21.0,TRAJ58
TRDJ3,20.0,TRDJ3
TRDJ2,18.0,TRDJ2
TRAJ54,20.0,TRAJ54
TRAJ10,21.0,TRAJ10
TRAJ13,21.0,TRAJ13
TRAJ16,20.0,TRAJ16
TRAJ19,20.0,TRAJ19
TRBJ1-5,17.0,TRBJ1-5
TRBJ1-4,17.0,TRBJ1-4
TRAJ1,21.0,TRAJ1
TRAJ29,20.0,TRAJ29
TRAJ34,19.0,TRAJ34
TRAJ35,20.0,TRAJ35
TRAJ36,20.0,TRAJ36
TRAJ56,21.0,TRAJ56
TRGJ2,17.0,TRGJ2
TRGJP,20.0,TRGJP
TRGJP2,20.0,TRGJP2
TRGJP1,20.0,TRGJP1
TRGJ1,17.0,TRGJ1
ARHGAP11A,682.6363636363636,ARHGAP11A
AC011295.,131.0,AC011295.
NLRP7,795.55,NLRP7
AP006285.,198.0,AP006285.
SURF2,256.0,SURF2
GSTT2B,239.33333333333331,GSTT2B
CRHR1,275.46666666666664,CRHR1
TSEN34,300.2926829268293,TSEN34
GPX6,173.5,GPX6
GP6,430.08333333333326,GP6
AC012314.25,253.0,AC012314.25
AC012314.37,166.5,AC012314.37
AC012314.30,495.0,AC012314.30
AC011043.,120.0,AC011043.
VSTM1,170.90384615384616,VSTM1
MT-ND1,318.0,MT-ND1
MT-ND2,347.0,MT-ND2
MT-CO1,513.0,MT-CO1
MT-CO2,227.0,MT-CO2
MT-ATP8,68.0,MT-ATP8
MT-ATP6,226.0,MT-ATP6
MT-CO3,261.0,MT-CO3
MT-ND3,115.0,MT-ND3
MT-ND4L,98.0,MT-ND4L
MT-ND4,459.0,MT-ND4
RDH13,187.36,RDH13
MT-ND5,603.0,MT-ND5
MT-ND6,174.0,MT-ND6
MT-CYB,380.0,MT-CYB
AC023491.2,429.0,AC023491.2
AC012314.34,84.0,AC012314.34
RPL7A,202.66666666666663,RPL7A
TJP1,1242.6666666666667,TJP1
VARS2,727.0,VARS2
AC012314.18,84.0,AC012314.18
MBOAT7,340.77777777777777,MBOAT7
OSCAR,270.0,OSCAR
NLRP2,790.9402985074628,NLRP2
AL662852.,137.0,AL662852.
AC012314.33,495.0,AC012314.33
SURF6,361.0,SURF6
FAM71E1,197.2,FAM71E1
MYBPC2,1141.0,MYBPC2
RCN3,176.25,RCN3
KIR3DL3,408.1590909090909,KIR3DL3
ARFGEF3,2177.0,ARFGEF3
LACTB,348.66666666666674,LACTB
TRIAP1,76.0,TRIAP1
TRPV5,594.6666666666666,TRPV5
OR2T10,312.0,OR2T10
OR2M4,311.0,OR2M4
ZNF574,725.75,ZNF574
RABGGTB,241.5,RABGGTB
PPOX,217.1818181818182,PPOX
FKBP11,122.14285714285714,FKBP11
HDX,554.75,HDX
RND1,151.33333333333334,RND1
LENEP,61.0,LENEP
SYCP2,881.8,SYCP2
ZNF598,497.75,ZNF598
PRSS1,221.75,PRSS1
BTNL2,261.7857142857143,BTNL2
CACNB3,239.38461538461542,CACNB3
COX20,124.0,COX20
APOBEC4,367.0,APOBEC4
COLGALT2,444.25,COLGALT2
THBS4,915.5,THBS4
ZNF507,954.3333333333335,ZNF507
CCDC24,128.85714285714286,CCDC24
SH3BGR,122.0,SH3BGR
RPS18,101.46153846153848,RPS18
TSEN15,128.0,TSEN15
TMEM218,94.46153846153848,TMEM218
WRB,110.70588235294115,WRB
KIR2DL3,341.258064516129,KIR2DL3
DHRS1,257.6666666666667,DHRS1
SLC6A4,487.5,SLC6A4
VPS52,386.76923076923083,VPS52
CRYZ,265.6666666666667,CRYZ
DCAF5,603.1428571428571,DCAF5
SHC1,343.1,SHC1
C1orf21,111.5,C1orf21
DPY19L3,398.71428571428567,DPY19L3
KIR3DL1,417.6911764705882,KIR3DL1
FAM161A,438.8,FAM161A
EDEM3,739.0,EDEM3
RASEF,464.5,RASEF
ITLN1,313.0,ITLN1
TYW3,170.0,TYW3
FGR,485.6,FGR
FAM129A,514.0,FAM129A
PHF19,282.625,PHF19
KIR2DL4,330.08024691358025,KIR2DL4
ILF3,352.6,ILF3
ITLN2,325.0,ITLN2
RNF2,281.6666666666667,RNF2
LHX8,351.0,LHX8
KIR2DL1,351.29166666666674,KIR2DL1
TEAD2,344.75,TEAD2
GALNT16,550.0,GALNT16
TRMT1L,472.5,TRMT1L
AL591806.3,48.0,AL591806.3
C6orf10,499.65,C6orf10
TSTD1,96.4,TSTD1
USP10,236.63636363636363,USP10
F11R,276.0,F11R
HTR2B,481.0,HTR2B
SWT1,653.0,SWT1
AC012314.21,84.0,AC012314.21
TXLNB,408.5,TXLNB
FCAR,228.58,FCAR
EMC10,157.42857142857142,EMC10
MTX1,334.5,MTX1
AC034102.2,160.0,AC034102.2
PA2G4,232.25,PA2G4
AL713999.1,28.0,AL713999.1
H2AFZ,128.0,H2AFZ
SLC44A1,655.0,SLC44A1
VPS37C,251.5,VPS37C
RPS27L,72.83333333333333,RPS27L
IFNGR1,335.3636363636364,IFNGR1
TAP2,679.6666666666666,TAP2
TMEM17,198.0,TMEM17
ADM2,148.0,ADM2
RIN3,511.0,RIN3
PTH2,100.0,PTH2
OR2T35,323.0,OR2T35
GRIK5,762.75,GRIK5
PYGO2,387.5,PYGO2
SLC6A9,489.5,SLC6A9
PMVK,192.0,PMVK
AL451007.3,182.0,AL451007.3
RABAC1,137.0,RABAC1
AC092143.1,797.0,AC092143.1
POLR1C,279.3076923076923,POLR1C
CMYA5,4069.0,CMYA5
APOA1,262.6,APOA1
EBF1,520.25,EBF1
USP45,368.3636363636364,USP45
EP400,1686.2,EP400
PLEKHM2,998.6666666666665,PLEKHM2
PUS1,267.8888888888889,PUS1
ALDH6A1,436.33333333333326,ALDH6A1
HOMER1,233.75,HOMER1
ULK1,1050.0,ULK1
MTRNR2L11,24.0,MTRNR2L11
COQ6,252.125,COQ6
MAP2K6,195.0,MAP2K6
QSOX1,394.5,QSOX1
ANP32D,131.0,ANP32D
MTFR2,234.8,MTFR2
TOR1AIP1,372.25,TOR1AIP1
ZNF641,240.88888888888889,ZNF641
LRRIQ3,300.2857142857143,LRRIQ3
GPSM3,129.36363636363637,GPSM3
GFER,145.75,GFER
MAS1,325.0,MAS1
IFT81,479.5,IFT81
WDR34,315.6666666666667,WDR34
BRSK1,430.33333333333326,BRSK1
TRAF2,246.5,TRAF2
MMS22L,533.1666666666666,MMS22L
CCDC200,101.07692307692308,CCDC200
PNMA1,353.0,PNMA1
C5orf52,159.0,C5orf52
FASTKD3,350.4,FASTKD3
PTPRB,1655.75,PTPRB
NCR1,234.765625,NCR1
LYST,1788.0,LYST
NDUFAF4,175.0,NDUFAF4
CEACAM5,501.5,CEACAM5
NSD1,588.7142857142858,NSD1
FUT9,359.0,FUT9
CRP,113.0,CRP
C1orf43,184.0,C1orf43
SLC2A3,228.33333333333331,SLC2A3
CLCN2,421.8,CLCN2
IRF2BP2,579.0,IRF2BP2
PABPC1,219.8,PABPC1
GSTM3,220.66666666666663,GSTM3
SQSTM1,209.55555555555557,SQSTM1
EPS8L3,447.25,EPS8L3
UBC,249.16666666666663,UBC
OR6N2,317.0,OR6N2
SIPA1L2,1407.333333333333,SIPA1L2
OLFM3,358.66666666666674,OLFM3
TSNAX-DISC1,144.0,TSNAX-DISC1
ACOT1,408.0,ACOT1
ZSCAN18,268.27272727272725,ZSCAN18
ABCA10,501.375,ABCA10
GSTM4,168.8,GSTM4
GJA9-MYCBP,312.0,GJA9-MYCBP
CEP41,166.75,CEP41
MYCBP,79.5,MYCBP
TCL1A,80.875,TCL1A
GCDH,202.88888888888889,GCDH
KLHL20,609.0,KLHL20
TENT5B,425.0,TENT5B
TNFSF18,199.0,TNFSF18
NCOR2,1001.2666666666668,NCOR2
MAML1,1016.0,MAML1
SOWAHA,549.0,SOWAHA
FAM89A,184.0,FAM89A
EBPL,138.2,EBPL
ZNF417,197.57142857142856,ZNF417
TGFB1,255.0,TGFB1
DNASE2,289.0,DNASE2
KCNN4,220.42857142857144,KCNN4
OPN1LW,264.0,OPN1LW
OR5K2,316.0,OR5K2
DDX39B,232.87969924812032,DDX39B
LY6G6D,193.82352941176467,LY6G6D
METTL18,309.3333333333333,METTL18
SALL2,500.4285714285714,SALL2
PLA2G2F,211.0,PLA2G2F
CDHR2,998.0,CDHR2
GADD45A,105.8,GADD45A
C19orf33,95.5,C19orf33
H2BFS,126.0,H2BFS
STAMBP,315.375,STAMBP
GLE1,678.5,GLE1
CCNI2,377.0,CCNI2
KLHL8,459.6,KLHL8
FAIM2,223.42857142857144,FAIM2
PNP,166.0,PNP
XCL2,114.0,XCL2
XCL1,114.0,XCL1
FAM71D,181.88888888888889,FAM71D
NPR1,1061.0,NPR1
UTP14C,766.0,UTP14C
USP34,1209.6,USP34
MRPL24,154.2,MRPL24
ALG11,153.66666666666666,ALG11
GCFC2,275.77777777777777,GCFC2
KRTAP19-2,52.0,KRTAP19-2
DPT,201.0,DPT
OXGR1,201.25,OXGR1
INIP,77.66666666666667,INIP
KRTAP19-3,81.0,KRTAP19-3
KRTAP19-4,84.0,KRTAP19-4
KRTAP19-5,72.0,KRTAP19-5
MCL1,272.6666666666667,MCL1
KMT5A,266.0,KMT5A
RNF44,187.25,RNF44
EGFL7,231.4,EGFL7
PREX2,1606.0,PREX2
LMBRD2,695.0,LMBRD2
SLC6A3,620.0,SLC6A3
VWC2,325.0,VWC2
ADAMTSL4,1030.5,ADAMTSL4
RILPL2,211.0,RILPL2
RPH3A,247.35,RPH3A
ZPBP,212.0,ZPBP
COMMD10,167.6,COMMD10
DYNC1I1,460.9,DYNC1I1
CCDC181,459.8,CCDC181
CCT2,492.25,CCT2
KRTAP19-6,58.0,KRTAP19-6
SLC2A5,210.11111111111111,SLC2A5
KRTAP19-7,63.0,KRTAP19-7
SNRNP35,247.66666666666663,SNRNP35
KRTAP22-2,45.0,KRTAP22-2
KRTAP6-3,110.0,KRTAP6-3
KRTAP6-2,62.0,KRTAP6-2
KRTAP22-1,48.0,KRTAP22-1
FBRS,550.0,FBRS
SPATA48,438.0,SPATA48
RILPL1,394.5,RILPL1
ZNF430,152.8,ZNF430
MBNL2,303.6666666666667,MBNL2
NME7,327.75,NME7
MRPL19,172.83333333333337,MRPL19
EIF2S1,288.75,EIF2S1
ZC3HAV1L,300.0,ZC3HAV1L
THEGL,465.0,THEGL
RNASE10,230.0,RNASE10
C5orf60,258.2,C5orf60
STAMBPL1,400.75,STAMBPL1
PAICS,405.6,PAICS
GOLGB1,1571.5,GOLGB1
MPP5,318.6,MPP5
