Genes,Isoform_No,Norm_Symbol
TRAV40,1,TRAV40
TRAV22,1,TRAV22
TRAV21,1,TRAV21
TRAV16,1,TRAV16
TRAV12-3,1,TRAV12-3
TRAV8-4,1,TRAV8-4
TRBV24-1,2,TRBV24-1
TRBV5-3,2,TRBV5-3
TRBV5-1,2,TRBV5-1
TRBV27,2,TRBV27
TRBV18,2,TRBV18
TRBV10-1,2,TRBV10-1
TRAV9-2,1,TRAV9-2
TRAV30,1,TRAV30
TRAV8-7,1,TRAV8-7
TRBV7-2,2,TRBV7-2
TRBV6-2,2,TRBV6-2
TRAV25,1,TRAV25
TRDV1,2,TRDV1
TRBV12-3,2,TRBV12-3
TRBV11-3,2,TRBV11-3
TRBV7-7,2,TRBV7-7
TRAV39,1,TRAV39
TRAV34,1,TRAV34
TRAV18,1,TRAV18
TRAV8-6,1,TRAV8-6
TRAV12-2,1,TRAV12-2
TRAV1-1,1,TRAV1-1
TRBV19,2,TRBV19
TRBV3-1,2,TRBV3-1
TRBV2,2,TRBV2
TRBV7-1,2,TRBV7-1
TRAV13-2,1,TRAV13-2
TRAV12-1,1,TRAV12-1
TRAV10,1,TRAV10
TRAV8-1,1,TRAV8-1
TRAV7,1,TRAV7
TRAV5,1,TRAV5
TRAV4,1,TRAV4
TRBV16,2,TRBV16
TRDV2,1,TRDV2
TRAV17,1,TRAV17
TRAV8-2,1,TRAV8-2
TRAV6,1,TRAV6
TRGV11,1,TRGV11
TRGV4,1,TRGV4
TRGV9,1,TRGV9
TRGV3,1,TRGV3
TRGV2,1,TRGV2
AC233282.1,1,AC233282.1
TRGV1,1,TRGV1
TRGV5,1,TRGV5
AC234635.3,1,AC234635.3
AC234635.1,1,AC234635.1
AC229888.1,1,AC229888.1
TRGV8,1,TRGV8
TRGV10,1,TRGV10
AC233282.2,1,AC233282.2
TRBV20OR9-2,1,TRBV20OR9-2
KIR2DS4,45,KIR2DS4
OR10J4,1,OR10J4
OR10J3,2,OR10J3
OR4C45,1,OR4C45
OR4Q2,2,OR4Q2
VN1R5,1,VN1R5
CYP2D6,29,CYP2D6
CYP2D7,19,CYP2D7
OR2T7,4,OR2T7
OR5H8,1,OR5H8
OR5AC1,1,OR5AC1
CD300H,2,CD300H
OR9H1P,1,OR9H1P
AC064853.2,1,AC064853.2
SCYGR10,1,SCYGR10
OR12D1,1,OR12D1
IFNL4,4,IFNL4
PTCHD3,5,PTCHD3
MUC6,12,MUC6
NAT8B,1,NAT8B
GKN3P,1,GKN3P
FCGR2C,3,FCGR2C
AKR7L,3,AKR7L
OR13C7,1,OR13C7
GSTT2,4,GSTT2
OR4K3,1,OR4K3
OR10A6,7,OR10A6
OR4A8,1,OR4A8
PNLIPRP2,3,PNLIPRP2
TRARG1,2,TRARG1
UBE2NL,1,UBE2NL
OR8K3,4,OR8K3
SERPINA2,4,SERPINA2
OR52E1,1,OR52E1
OR11H7,1,OR11H7
OR10AC1,2,OR10AC1
OR5G3,2,OR5G3
OR5AL1,1,OR5AL1
OR8J2,2,OR8J2
POTEA,2,POTEA
GBA3,5,GBA3
CASP12,12,CASP12
OR1P1,1,OR1P1
GPX1,6,GPX1
MROH5,6,MROH5
PKD1L2,6,PKD1L2
TRBC1,2,TRBC1
TRAC,1,TRAC
TRDC,1,TRDC
TRBC2,2,TRBC2
TRGC1,1,TRGC1
TRGC2,1,TRGC2
IGHJ1,2,IGHJ1
IGLJ4,1,IGLJ4
IGKJ4,1,IGKJ4
IGHJ3,2,IGHJ3
IGHJ5,2,IGHJ5
IGHJ4,2,IGHJ4
IGHJ6,2,IGHJ6
IGKJ5,1,IGKJ5
IGLJ6,1,IGLJ6
IGHJ2,2,IGHJ2
IGKJ1,1,IGKJ1
IGKJ2,1,IGKJ2
IGKJ3,1,IGKJ3
IGLJ1,1,IGLJ1
IGLJ2,1,IGLJ2
IGLJ3,1,IGLJ3
IGLJ5,1,IGLJ5
IGLJ7,1,IGLJ7
IGHG2,3,IGHG2
IGHG4,3,IGHG4
IGHE,3,IGHE
IGHG1,6,IGHG1
IGHM,3,IGHM
IGHA1,3,IGHA1
IGHG3,3,IGHG3
IGHD,3,IGHD
IGHA2,3,IGHA2
IGLC7,1,IGLC7
IGLC2,1,IGLC2
IGLC1,1,IGLC1
IGKC,1,IGKC
IGLC3,1,IGLC3
IGHV3-73,2,IGHV3-73
IGHV4-34,2,IGHV4-34
IGHV3-23,2,IGHV3-23
IGHV5-10-1,1,IGHV5-10-1
IGKV2-40,4,IGKV2-40
IGHV3-74,2,IGHV3-74
IGHV2-70,2,IGHV2-70
IGHV1-69-2,2,IGHV1-69-2
IGHV4-31,1,IGHV4-31
IGHV3-11,2,IGHV3-11
IGKV1D-8,2,IGKV1D-8
AC234301.3,1,AC234301.3
IGHV3-30,2,IGHV3-30
IGHV6-1,2,IGHV6-1
IGHV4OR15-8,1,IGHV4OR15-8
IGKV2-30,2,IGKV2-30
AC135068.2,1,AC135068.2
IGKV6-21,2,IGKV6-21
IGKV1-17,2,IGKV1-17
IGHV3-53,2,IGHV3-53
IGHV1-46,2,IGHV1-46
IGHV4-59,2,IGHV4-59
IGHV3-33,2,IGHV3-33
IGHV3-48,2,IGHV3-48
IGHV4-28,2,IGHV4-28
IGHV1-18,2,IGHV1-18
IGHV3-16,2,IGHV3-16
IGHV7-4-1,1,IGHV7-4-1
IGHV4-4,2,IGHV4-4
IGHV7-81,1,IGHV7-81
IGHV1-69D,2,IGHV1-69D
IGHV2-70D,2,IGHV2-70D
IGHV2-26,2,IGHV2-26
IGHV4-39,2,IGHV4-39
IGHV3-38,2,IGHV3-38
IGKV3OR2-268,1,IGKV3OR2-268
IGHV3-21,2,IGHV3-21
IGLV4-3,1,IGLV4-3
IGLV1-44,2,IGLV1-44
IGLV7-43,2,IGLV7-43
AC009286.3,1,AC009286.3
IGLV1-40,2,IGLV1-40
IGLV5-37,2,IGLV5-37
IGLV1-36,2,IGLV1-36
IGHV3-64,2,IGHV3-64
IGKV3D-7,2,IGKV3D-7
IGKV2D-24,1,IGKV2D-24
IGKV1D-33,2,IGKV1D-33
IGKV1D-39,1,IGKV1D-39
IGHV3-7,2,IGHV3-7
IGHV1-3,2,IGHV1-3
IGLV8-61,1,IGLV8-61
IGHV4-61,2,IGHV4-61
IGHV1-24,2,IGHV1-24
IGHV3-66,2,IGHV3-66
IGHV5-51,2,IGHV5-51
IGHV3-72,4,IGHV3-72
IGHV1-58,2,IGHV1-58
IGHV3-49,2,IGHV3-49
IGHV3-15,2,IGHV3-15
IGHV2-5,2,IGHV2-5
AC145029.2,1,AC145029.2
IGHV1-45,2,IGHV1-45
IGHV3-64D,1,IGHV3-64D
IGHV1-69,2,IGHV1-69
IGHV3-13,2,IGHV3-13
IGHV1-2,2,IGHV1-2
IGKV1-37,2,IGKV1-37
IGKV1-12,2,IGKV1-12
IGHV3-43,2,IGHV3-43
IGHV3-35,2,IGHV3-35
IGKV3D-11,1,IGKV3D-11
IGKV1D-42,1,IGKV1D-42
IGKV1D-43,1,IGKV1D-43
IGHV1OR15-1,1,IGHV1OR15-1
IGLV2-33,2,IGLV2-33
IGLV3-32,2,IGLV3-32
IGKV1D-13,1,IGKV1D-13
IGKV2-24,2,IGKV2-24
IGKV3D-20,1,IGKV3D-20
IGKV1D-16,1,IGKV1D-16
IGKV1OR2-108,1,IGKV1OR2-108
IGKV3-20,2,IGKV3-20
IGKV3-11,2,IGKV3-11
IGKV1-8,2,IGKV1-8
IGKV1-5,2,IGKV1-5
IGHV1OR15-9,1,IGHV1OR15-9
IGLV3-27,1,IGLV3-27
IGLV3-25,1,IGLV3-25
IGKV1D-17,1,IGKV1D-17
IGKV2D-30,1,IGKV2D-30
IGKV1-6,2,IGKV1-6
IGHV3-20,2,IGHV3-20
IGKV3-7,2,IGKV3-7
IGKV1D-12,1,IGKV1D-12
IGKV2D-29,2,IGKV2D-29
IGKV1-27,2,IGKV1-27
IGKV1-9,2,IGKV1-9
IGHV3OR16-9,2,IGHV3OR16-9
AC244226.1,1,AC244226.1
IGKV2D-26,1,IGKV2D-26
IGKV1D-37,1,IGKV1D-37
IGKV4-1,1,IGKV4-1
IGKV6D-41,1,IGKV6D-41
IGKV3D-15,1,IGKV3D-15
IGKV2D-40,2,IGKV2D-40
IGKV1-16,2,IGKV1-16
IGKV3-15,2,IGKV3-15
IGHV1OR21-1,1,IGHV1OR21-1
IGLV3-19,1,IGLV3-19
IGLV3-22,1,IGLV3-22
IGKV5-2,2,IGKV5-2
IGKV1-39,2,IGKV1-39
AC135068.8,1,AC135068.8
IGLV2-23,1,IGLV2-23
IGLV10-54,2,IGLV10-54
IGKV6D-21,1,IGKV6D-21
IGKV2D-28,2,IGKV2D-28
IGLV3-12,1,IGLV3-12
IGLV2-14,1,IGLV2-14
IGHV3OR16-10,1,IGHV3OR16-10
AC242528.1,1,AC242528.1
AC247036.4,1,AC247036.4
AC247036.3,1,AC247036.3
IGLV3-1,1,IGLV3-1
IGLV5-52,1,IGLV5-52
IGKV2-28,2,IGKV2-28
IGHV3OR16-8,1,IGHV3OR16-8
AC234301.1,1,AC234301.1
IGLV3-21,1,IGLV3-21
IGLV3-9,1,IGLV3-9
IGLV3-16,1,IGLV3-16
IGKV1-33,4,IGKV1-33
IGLV3-10,1,IGLV3-10
IGLV5-45,2,IGLV5-45
IGLV6-57,1,IGLV6-57
IGHV3OR15-7,1,IGHV3OR15-7
IGHV2OR16-5,1,IGHV2OR16-5
AC234301.4,1,AC234301.4
IGLV2-8,1,IGLV2-8
IGLV2-18,1,IGLV2-18
IGLV1-47,1,IGLV1-47
IGLV5-48,1,IGLV5-48
IGLV1-50,1,IGLV1-50
IGLV1-51,1,IGLV1-51
IGLV4-69,1,IGLV4-69
IGLV11-55,1,IGLV11-55
IGLV4-60,1,IGLV4-60
IGHV3OR16-13,1,IGHV3OR16-13
IGHV3OR16-12,1,IGHV3OR16-12
IGLV2-11,1,IGLV2-11
IGLV7-46,1,IGLV7-46
IGLV9-49,1,IGLV9-49
TRAJ7,1,TRAJ7
TRAJ12,1,TRAJ12
TRAJ11,1,TRAJ11
TRAJ20,1,TRAJ20
TRAJ31,1,TRAJ31
TRAJ41,1,TRAJ41
TRAJ44,1,TRAJ44
TRAJ38,1,TRAJ38
TRAJ42,1,TRAJ42
TRAJ52,1,TRAJ52
TRAJ61,1,TRAJ61
TRBJ2-3,2,TRBJ2-3
TRBJ2-2,2,TRBJ2-2
TRBJ2-1,2,TRBJ2-1
TRBJ1-2,2,TRBJ1-2
TRBJ1-3,2,TRBJ1-3
TRAJ21,1,TRAJ21
TRAJ22,1,TRAJ22
TRAJ25,1,TRAJ25
TRAJ28,1,TRAJ28
TRAJ33,1,TRAJ33
TRAJ32,1,TRAJ32
TRAJ46,1,TRAJ46
TRAJ47,1,TRAJ47
TRAJ49,1,TRAJ49
TRAJ40,1,TRAJ40
TRAJ26,1,TRAJ26
TRAJ39,1,TRAJ39
TRBJ2-5,2,TRBJ2-5
TRAJ23,1,TRAJ23
TRAJ48,1,TRAJ48
TRAJ59,1,TRAJ59
TRAJ17,1,TRAJ17
TRAJ18,1,TRAJ18
TRAJ24,1,TRAJ24
TRDJ4,1,TRDJ4
TRBJ1-1,2,TRBJ1-1
TRBJ2-7,2,TRBJ2-7
TRBJ2-4,2,TRBJ2-4
TRBJ1-6,2,TRBJ1-6
TRAJ3,1,TRAJ3
TRAJ43,1,TRAJ43
TRBJ2-2P,2,TRBJ2-2P
TRAJ27,1,TRAJ27
TRAJ4,1,TRAJ4
TRAJ5,1,TRAJ5
TRAJ50,1,TRAJ50
TRAJ53,1,TRAJ53
TRAJ6,1,TRAJ6
TRAJ9,1,TRAJ9
TRAJ45,1,TRAJ45
TRBJ2-6,2,TRBJ2-6
TRAJ30,1,TRAJ30
TRAJ57,1,TRAJ57
TRDJ1,1,TRDJ1
TRAJ2,1,TRAJ2
TRAJ14,1,TRAJ14
TRAJ37,1,TRAJ37
TRAJ58,1,TRAJ58
TRDJ3,1,TRDJ3
TRDJ2,1,TRDJ2
TRAJ54,1,TRAJ54
TRAJ10,1,TRAJ10
TRAJ13,1,TRAJ13
TRAJ16,1,TRAJ16
TRAJ19,1,TRAJ19
TRBJ1-5,2,TRBJ1-5
TRBJ1-4,2,TRBJ1-4
TRAJ1,1,TRAJ1
TRAJ29,1,TRAJ29
TRAJ34,1,TRAJ34
TRAJ35,1,TRAJ35
TRAJ36,1,TRAJ36
TRAJ56,1,TRAJ56
TRGJ2,1,TRGJ2
TRGJP,1,TRGJP
TRGJP2,1,TRGJP2
TRGJP1,1,TRGJP1
TRGJ1,1,TRGJ1
ARHGAP11A,11,ARHGAP11A
AC011295.,1,AC011295.
NLRP7,40,NLRP7
AP006285.,1,AP006285.
SURF2,2,SURF2
GSTT2B,3,GSTT2B
CRHR1,30,CRHR1
TSEN34,41,TSEN34
GPX6,4,GPX6
GP6,24,GP6
AC012314.25,1,AC012314.25
AC012314.37,2,AC012314.37
AC012314.30,2,AC012314.30
AC011043.,1,AC011043.
VSTM1,52,VSTM1
MT-ND1,1,MT-ND1
MT-ND2,1,MT-ND2
MT-CO1,1,MT-CO1
MT-CO2,1,MT-CO2
MT-ATP8,1,MT-ATP8
MT-ATP6,1,MT-ATP6
MT-CO3,1,MT-CO3
MT-ND3,1,MT-ND3
MT-ND4L,1,MT-ND4L
MT-ND4,1,MT-ND4
RDH13,25,RDH13
MT-ND5,1,MT-ND5
MT-ND6,1,MT-ND6
MT-CYB,1,MT-CYB
AC023491.2,1,AC023491.2
AC012314.34,1,AC012314.34
RPL7A,6,RPL7A
TJP1,12,TJP1
VARS2,30,VARS2
AC012314.18,1,AC012314.18
MBOAT7,45,MBOAT7
OSCAR,62,OSCAR
NLRP2,67,NLRP2
AL662852.,1,AL662852.
AC012314.33,2,AC012314.33
SURF6,2,SURF6
FAM71E1,5,FAM71E1
MYBPC2,1,MYBPC2
RCN3,4,RCN3
KIR3DL3,44,KIR3DL3
ARFGEF3,1,ARFGEF3
LACTB,3,LACTB
TRIAP1,1,TRIAP1
TRPV5,6,TRPV5
OR2T10,2,OR2T10
OR2M4,2,OR2M4
ZNF574,4,ZNF574
RABGGTB,2,RABGGTB
PPOX,11,PPOX
FKBP11,7,FKBP11
HDX,4,HDX
RND1,3,RND1
LENEP,2,LENEP
SYCP2,5,SYCP2
ZNF598,4,ZNF598
PRSS1,8,PRSS1
BTNL2,42,BTNL2
CACNB3,13,CACNB3
COX20,2,COX20
APOBEC4,1,APOBEC4
COLGALT2,4,COLGALT2
THBS4,2,THBS4
ZNF507,3,ZNF507
CCDC24,7,CCDC24
SH3BGR,9,SH3BGR
RPS18,13,RPS18
TSEN15,17,TSEN15
TMEM218,13,TMEM218
WRB,17,WRB
KIR2DL3,31,KIR2DL3
DHRS1,6,DHRS1
SLC6A4,4,SLC6A4
VPS52,13,VPS52
CRYZ,6,CRYZ
DCAF5,7,DCAF5
SHC1,10,SHC1
C1orf21,2,C1orf21
DPY19L3,7,DPY19L3
KIR3DL1,68,KIR3DL1
FAM161A,5,FAM161A
EDEM3,3,EDEM3
RASEF,2,RASEF
ITLN1,1,ITLN1
TYW3,4,TYW3
FGR,5,FGR
FAM129A,2,FAM129A
PHF19,8,PHF19
KIR2DL4,162,KIR2DL4
ILF3,20,ILF3
ITLN2,1,ITLN2
RNF2,3,RNF2
LHX8,2,LHX8
KIR2DL1,48,KIR2DL1
TEAD2,8,TEAD2
GALNT16,4,GALNT16
TRMT1L,2,TRMT1L
AL591806.3,2,AL591806.3
C6orf10,40,C6orf10
TSTD1,5,TSTD1
USP10,11,USP10
F11R,3,F11R
HTR2B,1,HTR2B
SWT1,3,SWT1
AC012314.21,1,AC012314.21
TXLNB,2,TXLNB
FCAR,150,FCAR
EMC10,7,EMC10
MTX1,4,MTX1
AC034102.2,1,AC034102.2
PA2G4,4,PA2G4
AL713999.1,1,AL713999.1
H2AFZ,1,H2AFZ
SLC44A1,4,SLC44A1
VPS37C,2,VPS37C
RPS27L,6,RPS27L
IFNGR1,11,IFNGR1
TAP2,21,TAP2
TMEM17,1,TMEM17
ADM2,2,ADM2
RIN3,5,RIN3
PTH2,1,PTH2
OR2T35,2,OR2T35
GRIK5,4,GRIK5
PYGO2,2,PYGO2
SLC6A9,8,SLC6A9
PMVK,1,PMVK
AL451007.3,1,AL451007.3
RABAC1,5,RABAC1
AC092143.1,1,AC092143.1
POLR1C,13,POLR1C
CMYA5,1,CMYA5
APOA1,5,APOA1
EBF1,4,EBF1
USP45,11,USP45
EP400,5,EP400
PLEKHM2,3,PLEKHM2
PUS1,9,PUS1
ALDH6A1,3,ALDH6A1
HOMER1,4,HOMER1
ULK1,1,ULK1
MTRNR2L11,1,MTRNR2L11
COQ6,8,COQ6
MAP2K6,6,MAP2K6
QSOX1,4,QSOX1
ANP32D,1,ANP32D
MTFR2,5,MTFR2
TOR1AIP1,8,TOR1AIP1
ZNF641,9,ZNF641
LRRIQ3,7,LRRIQ3
GPSM3,33,GPSM3
GFER,4,GFER
MAS1,1,MAS1
IFT81,6,IFT81
WDR34,3,WDR34
BRSK1,6,BRSK1
TRAF2,4,TRAF2
MMS22L,6,MMS22L
CCDC200,13,CCDC200
PNMA1,1,PNMA1
C5orf52,1,C5orf52
FASTKD3,5,FASTKD3
PTPRB,8,PTPRB
NCR1,64,NCR1
LYST,3,LYST
NDUFAF4,1,NDUFAF4
CEACAM5,8,CEACAM5
NSD1,14,NSD1
FUT9,1,FUT9
CRP,5,CRP
C1orf43,9,C1orf43
SLC2A3,3,SLC2A3
CLCN2,15,CLCN2
IRF2BP2,2,IRF2BP2
PABPC1,20,PABPC1
GSTM3,3,GSTM3
SQSTM1,9,SQSTM1
EPS8L3,4,EPS8L3
UBC,12,UBC
OR6N2,2,OR6N2
SIPA1L2,3,SIPA1L2
OLFM3,3,OLFM3
TSNAX-DISC1,8,TSNAX-DISC1
ACOT1,2,ACOT1
ZSCAN18,11,ZSCAN18
ABCA10,8,ABCA10
GSTM4,5,GSTM4
GJA9-MYCBP,2,GJA9-MYCBP
CEP41,12,CEP41
MYCBP,2,MYCBP
TCL1A,8,TCL1A
GCDH,9,GCDH
KLHL20,1,KLHL20
TENT5B,1,TENT5B
TNFSF18,1,TNFSF18
NCOR2,15,NCOR2
MAML1,2,MAML1
SOWAHA,1,SOWAHA
FAM89A,1,FAM89A
EBPL,5,EBPL
ZNF417,7,ZNF417
TGFB1,2,TGFB1
DNASE2,2,DNASE2
KCNN4,7,KCNN4
OPN1LW,2,OPN1LW
OR5K2,1,OR5K2
DDX39B,133,DDX39B
LY6G6D,17,LY6G6D
METTL18,3,METTL18
SALL2,7,SALL2
PLA2G2F,1,PLA2G2F
CDHR2,4,CDHR2
GADD45A,5,GADD45A
C19orf33,2,C19orf33
H2BFS,2,H2BFS
STAMBP,8,STAMBP
GLE1,2,GLE1
CCNI2,2,CCNI2
KLHL8,5,KLHL8
FAIM2,7,FAIM2
PNP,4,PNP
XCL2,1,XCL2
XCL1,1,XCL1
FAM71D,9,FAM71D
NPR1,1,NPR1
UTP14C,1,UTP14C
USP34,5,USP34
MRPL24,5,MRPL24
ALG11,6,ALG11
GCFC2,9,GCFC2
KRTAP19-2,1,KRTAP19-2
DPT,1,DPT
OXGR1,4,OXGR1
INIP,3,INIP
KRTAP19-3,1,KRTAP19-3
KRTAP19-4,1,KRTAP19-4
KRTAP19-5,1,KRTAP19-5
MCL1,3,MCL1
KMT5A,4,KMT5A
RNF44,4,RNF44
EGFL7,5,EGFL7
PREX2,1,PREX2
LMBRD2,1,LMBRD2
SLC6A3,2,SLC6A3
VWC2,1,VWC2
ADAMTSL4,4,ADAMTSL4
RILPL2,1,RILPL2
RPH3A,20,RPH3A
ZPBP,4,ZPBP
COMMD10,5,COMMD10
DYNC1I1,10,DYNC1I1
CCDC181,5,CCDC181
CCT2,4,CCT2
KRTAP19-6,1,KRTAP19-6
SLC2A5,9,SLC2A5
KRTAP19-7,1,KRTAP19-7
SNRNP35,3,SNRNP35
KRTAP22-2,1,KRTAP22-2
KRTAP6-3,1,KRTAP6-3
KRTAP6-2,1,KRTAP6-2
KRTAP22-1,1,KRTAP22-1
FBRS,3,FBRS
SPATA48,1,SPATA48
RILPL1,2,RILPL1
ZNF430,10,ZNF430
MBNL2,6,MBNL2
NME7,4,NME7
MRPL19,6,MRPL19
EIF2S1,4,EIF2S1
ZC3HAV1L,1,ZC3HAV1L
THEGL,1,THEGL
RNASE10,2,RNASE10
C5orf60,5,C5orf60
STAMBPL1,4,STAMBPL1
PAICS,5,PAICS
GOLGB1,8,GOLGB1
MPP5,5,MPP5
INPP5B,6,INPP5B
HDGF,4,HDGF
PPP1R3B,4,PPP1R3B
FAM81A,10,FAM81A
CSF1,8,CSF1
MGAT4B,22,MGAT4B
RTL3,1,RTL3
KIAA1024,2,KIAA1024
KHDC3L,1,KHDC3L
MAST2,3,MAST2
TENT4A,3,TENT4A
AL355987.3,1,AL355987.3
IBSP,1,IBSP
DSPP,1,DSPP
SETDB1,10,SETDB1
HEXA,10,HEXA
AC011498.4,1,AC011498.4
FAM131A,9,FAM131A
GPN2,3,GPN2
RAB3IP,16,RAB3IP
CUL9,4,CUL9
GPBP1L1,2,GPBP1L1
GNPAT,4,GNPAT
CLEC4C,6,CLEC4C
PINK1,1,PINK1
CYP2C8,8,CYP2C8
PGBD5,2,PGBD5
TULP4,3,TULP4
GALNT2,1,GALNT2
LEKR1,7,LEKR1
TMEM265,1,TMEM265
KLF1,1,KLF1
SRCAP,4,SRCAP
OR4E1,2,OR4E1
GPD2,9,GPD2
TBX19,3,TBX19
PAPLN,8,PAPLN
KRTAP19-1,1,KRTAP19-1
KRTAP13-3,1,KRTAP13-3
KRTAP13-2,1,KRTAP13-2
KLHL42,3,KLHL42
ZNF66,6,ZNF66
TRIO,7,TRIO
FAS,10,FAS
AL159163.1,1,AL159163.1
MAGED4,2,MAGED4
LYRM2,5,LYRM2
NXPE4,2,NXPE4
PPAT,3,PPAT
COL17A1,9,COL17A1
CTDSPL,6,CTDSPL
ZNF728,2,ZNF728
ZNF543,1,ZNF543
HSPA12B,2,HSPA12B
SKOR1,4,SKOR1
DUXA,1,DUXA
LINGO4,1,LINGO4
ATP7B,9,ATP7B
DNAAF3,10,DNAAF3
CELSR2,1,CELSR2
ZNF576,6,ZNF576
KRTAP5-7,1,KRTAP5-7
CYP2A6,2,CYP2A6
MIA-RAB4B,1,MIA-RAB4B
SLC35A3,22,SLC35A3
APC2,7,APC2
WDR82,3,WDR82
NPIPB5,21,NPIPB5
CXorf56,3,CXorf56
C1orf226,3,C1orf226
EHMT1,26,EHMT1
AC084121.5,1,AC084121.5
KIR3DL2,86,KIR3DL2
MGAM,7,MGAM
LRIT3,2,LRIT3
XRCC1,6,XRCC1
HLA-E,7,HLA-E
BHLHB9,5,BHLHB9
SPACA1,1,SPACA1
AASDH,7,AASDH
RAB15,8,RAB15
RBM25,8,RBM25
SH2B3,3,SH2B3
FZD7,1,FZD7
PIGT,55,PIGT
ATXN7L3B,1,ATXN7L3B
MEA1,6,MEA1
RAB25,1,RAB25
RNF223,1,RNF223
VASH1,3,VASH1
IL31RA,8,IL31RA
USP53,4,USP53
DHRS7B,6,DHRS7B
PRRC2B,9,PRRC2B
MIA2,15,MIA2
CEP85,4,CEP85
HPS5,6,HPS5
CHTF8,11,CHTF8
IL5,2,IL5
ICMT,3,ICMT
TMEM187,3,TMEM187
PHC2,4,PHC2
CORO7,42,CORO7
STN1,2,STN1
AKAP5,2,AKAP5
RWDD1,5,RWDD1
OR9A2,2,OR9A2
RHOT1,15,RHOT1
ZNF862,2,ZNF862
CNKSR1,7,CNKSR1
RAB3GAP2,3,RAB3GAP2
TIAF1,1,TIAF1
TMEM246,3,TMEM246
NCBP2L,2,NCBP2L
GPX5,4,GPX5
CREBRF,4,CREBRF
ZNF687,6,ZNF687
CLEC9A,1,CLEC9A
TWF2,2,TWF2
SCYGR3,1,SCYGR3
PROKR1,1,PROKR1
DAZAP1,5,DAZAP1
LIN28A,2,LIN28A
LCA5,3,LCA5
SLC22A3,1,SLC22A3
MYOCD,4,MYOCD
CALHM2,2,CALHM2
SPAG11B,18,SPAG11B
NTF3,2,NTF3
PIP5K1A,9,PIP5K1A
HEATR3,1,HEATR3
NEDD8-MDP1,6,NEDD8-MDP1
