Genes,Domain Number,Norm_Symbol
OSGEP,1,OSGEP
OR2H2,1,OR2H2
AL035460.1,1,AL035460.1
HMOX2,1,HMOX2
UBD,1,UBD
TMEM239,1,TMEM239
ASMT,2,ASMT
LDHAL6A,2,LDHAL6A
CCNY,1,CCNY
UBE2L6,1,UBE2L6
C20orf141,1,C20orf141
ANKRD63,1,ANKRD63
IFNGR2,2,IFNGR2
SERPINA6,1,SERPINA6
GJD4,1,GJD4
L2HGDH,1,L2HGDH
FZD8,2,FZD8
TSG101,2,TSG101
PLCB2,6,PLCB2
SERPINA2,1,SERPINA2
RPP21,4,RPP21
FZD9,2,FZD9
TMEM50B,1,TMEM50B
DUOX1,5,DUOX1
PPP1R18,2,PPP1R18
SKOR1,2,SKOR1
KIR3DL2,1,KIR3DL2
HIP1,3,HIP1
HLA-DQB2,2,HLA-DQB2
UBR7,1,UBR7
ZSWIM3,1,ZSWIM3
TENT2,1,TENT2
GON7,1,GON7
AL110118.4,2,AL110118.4
TMEM251,1,TMEM251
BMP15,1,BMP15
DNMT3L,1,DNMT3L
THEMIS,1,THEMIS
TNFSF11,1,TNFSF11
ZSWIM1,1,ZSWIM1
FAM20C,1,FAM20C
HLA-B,3,HLA-B
SREK1,1,SREK1
FSHR,4,FSHR
GABBR1,3,GABBR1
AC008162.2,1,AC008162.2
CT47A12,1,CT47A12
TSEN34,1,TSEN34
PAN3,1,PAN3
ADAP1,2,ADAP1
RPS21,1,RPS21
DEFB125,1,DEFB125
RNF5,1,RNF5
SRMS,3,SRMS
AC187653.1,1,AC187653.1
RMND5A,2,RMND5A
CT47A11,1,CT47A11
DEFB126,1,DEFB126
CT47A10,1,CT47A10
RNF103,1,RNF103
LYZL1,1,LYZL1
VARS,3,VARS
OTUB1,1,OTUB1
EN1,2,EN1
TLX2,1,TLX2
ELF4,2,ELF4
KRTAP1-3,1,KRTAP1-3
KRTAP1-1,1,KRTAP1-1
COX19,1,COX19
MBD3L5,2,MBD3L5
KRTAP2-1,2,KRTAP2-1
AC037482.2,2,AC037482.2
SRD5A3,1,SRD5A3
MBD3L4,2,MBD3L4
CCR8,1,CCR8
RNF103-CHMP3,1,RNF103-CHMP3
PLEKHG4B,1,PLEKHG4B
KRTAP2-3,2,KRTAP2-3
CT47A9,1,CT47A9
NLRP14,5,NLRP14
ARMH3,1,ARMH3
MBD3L2,2,MBD3L2
LDLRAD3,1,LDLRAD3
TIPIN,1,TIPIN
DEFB127,1,DEFB127
SPATA25,1,SPATA25
DEFB128,1,DEFB128
KCNIP3,2,KCNIP3
TAMM41,1,TAMM41
ZSCAN16,2,ZSCAN16
FLRT1,2,FLRT1
SLC6A8,1,SLC6A8
OPRL1,1,OPRL1
CHMP3,1,CHMP3
SPACA7,1,SPACA7
SLC25A38,1,SLC25A38
SAPCD1,1,SAPCD1
TIMM22,1,TIMM22
HLA-E,3,HLA-E
LENG8,1,LENG8
UBL7,2,UBL7
ZNF165,2,ZNF165
AMTN,1,AMTN
SLC6A11,1,SLC6A11
TMED3,1,TMED3
KRTAP2-4,2,KRTAP2-4
LENG9,2,LENG9
MACROD1,1,MACROD1
BAZ1B,5,BAZ1B
TANC1,2,TANC1
MCM10,2,MCM10
ALDH3B2,1,ALDH3B2
RPEL1,1,RPEL1
TUBB4A,2,TUBB4A
HNRNPA0,1,HNRNPA0
MINAR1,1,MINAR1
RPS9,2,RPS9
COX8A,1,COX8A
NSG2,1,NSG2
DENND11,1,DENND11
INA,2,INA
B4GALT1,2,B4GALT1
CDKL1,1,CDKL1
NPBWR2,1,NPBWR2
HPS6,1,HPS6
CALR,1,CALR
AC037482.3,1,AC037482.3
MARCO,2,MARCO
C6orf118,1,C6orf118
MUC12,1,MUC12
BCL11A,1,BCL11A
CCDC173,1,CCDC173
KRTAP4-8,2,KRTAP4-8
KRTAP4-16,1,KRTAP4-16
KRTAP4-9,2,KRTAP4-9
TNNT3,1,TNNT3
MYOT,1,MYOT
KRTAP4-11,1,KRTAP4-11
KRTAP4-12,1,KRTAP4-12
AL603764.2,1,AL603764.2
PITPNA,1,PITPNA
KRTAP29-1,1,KRTAP29-1
C10orf120,1,C10orf120
ESCO1,2,ESCO1
PCSK7,3,PCSK7
PROC,4,PROC
RDH10,1,RDH10
NIPA1,1,NIPA1
SPINK4,1,SPINK4
CMYA5,1,CMYA5
DENND4C,3,DENND4C
HLA-DOA,2,HLA-DOA
KIAA1217,1,KIAA1217
SOX6,1,SOX6
CCNJL,2,CCNJL
KLF3,1,KLF3
RPL7,2,RPL7
PNLIPRP1,2,PNLIPRP1
IFFO2,1,IFFO2
RIOK1,1,RIOK1
SEMA3A,1,SEMA3A
RIDA,1,RIDA
IGHV3-72,1,IGHV3-72
CLDN17,1,CLDN17
CCL2,1,CCL2
VPS26B,1,VPS26B
CLDN8,1,CLDN8
BAG1,2,BAG1
SLC35E4,1,SLC35E4
KRTAP24-1,1,KRTAP24-1
DUSP18,1,DUSP18
KRTAP25-1,1,KRTAP25-1
CLIC1,2,CLIC1
SERPINA1,1,SERPINA1
C11orf58,1,C11orf58
CCND3,2,CCND3
SPECC1,1,SPECC1
ZNF680,3,ZNF680
TSKU,1,TSKU
CCL7,1,CCL7
HLA-DPA1,2,HLA-DPA1
ALKBH8,4,ALKBH8
LILRB3,2,LILRB3
AFF2,1,AFF2
COMMD4,1,COMMD4
CDC42EP5,2,CDC42EP5
PTBP3,3,PTBP3
ASNSD1,1,ASNSD1
FAM13B,1,FAM13B
POP1,2,POP1
PNCK,1,PNCK
CTSF,2,CTSF
TMEM181,1,TMEM181
LAMA2,7,LAMA2
DHRSX,1,DHRSX
SCIN,1,SCIN
AIRE,3,AIRE
ZNF302,2,ZNF302
SNRPD1,1,SNRPD1
ZBED1,2,ZBED1
NRG2,2,NRG2
ST20-MTHFS,1,ST20-MTHFS
KRTAP26-1,1,KRTAP26-1
UBE2H,1,UBE2H
HLA-C,3,HLA-C
PKD2L2,1,PKD2L2
DIO2,1,DIO2
UCMA,1,UCMA
MTHFS,1,MTHFS
DNASE1L3,1,DNASE1L3
SIDT2,1,SIDT2
ABR,5,ABR
HLA-DPB1,2,HLA-DPB1
FNDC11,1,FNDC11
UTRN,6,UTRN
DNAJC11,2,DNAJC11
LDB1,2,LDB1
CCL11,1,CCL11
NCAPD3,1,NCAPD3
WDSUB1,4,WDSUB1
PNOC,1,PNOC
TLX3,1,TLX3
CT47A8,1,CT47A8
ANO9,1,ANO9
CCL8,1,CCL8
AC209539.2,1,AC209539.2
GABRD,2,GABRD
CT47A7,1,CT47A7
KRTAP9-4,1,KRTAP9-4
KRTAP9-9,1,KRTAP9-9
MMS19,2,MMS19
CT47A6,1,CT47A6
TLR10,3,TLR10
CRYGN,1,CRYGN
KLHL23,3,KLHL23
ZBTB12,2,ZBTB12
LILRA6,2,LILRA6
RAB26,1,RAB26
NYAP1,2,NYAP1
LAIR2,1,LAIR2
USP37,3,USP37
DEFB129,1,DEFB129
PHOSPHO2,1,PHOSPHO2
FP565260.6,1,FP565260.6
TLR1,3,TLR1
PHLDA2,1,PHLDA2
THAP3,1,THAP3
OR5T2,1,OR5T2
OR5T3,1,OR5T3
KRTAP9-3,1,KRTAP9-3
KRTAP9-2,1,KRTAP9-2
DEFB132,1,DEFB132
CTSA,1,CTSA
CDK6,1,CDK6
TLR6,3,TLR6
KIR3DX1,1,KIR3DX1
NOC3L,2,NOC3L
MBD3L3,2,MBD3L3
ZC3HAV1L,1,ZC3HAV1L
TAGLN,2,TAGLN
OR52B2,1,OR52B2
PGF,1,PGF
OR56B4,1,OR56B4
JAM3,2,JAM3
OR52W1,1,OR52W1
RASGEF1C,2,RASGEF1C
DYNLT1,1,DYNLT1
TMEM230,1,TMEM230
AL110118.2,2,AL110118.2
PAPSS1,3,PAPSS1
DDB2,1,DDB2
RNF146,2,RNF146
GRAMD2A,1,GRAMD2A
KRTAP27-1,1,KRTAP27-1
BTBD7,2,BTBD7
KRTAP23-1,1,KRTAP23-1
KRTAP13-2,1,KRTAP13-2
PENK,1,PENK
C1QL2,2,C1QL2
CERS4,2,CERS4
KRTAP13-1,1,KRTAP13-1
CABLES2,1,CABLES2
SPDYE6,1,SPDYE6
RAD23A,3,RAD23A
KRTAP13-3,1,KRTAP13-3
AC004080.3,1,AC004080.3
KRTAP13-4,1,KRTAP13-4
CFB,3,CFB
TC2N,1,TC2N
RFK,1,RFK
CT47A5,1,CT47A5
KRTAP15-1,1,KRTAP15-1
KRTAP19-1,1,KRTAP19-1
KRTAP19-2,1,KRTAP19-2
GADD45GIP1,1,GADD45GIP1
KRTAP19-3,1,KRTAP19-3
KRTAP9-7,1,KRTAP9-7
HOXA10,1,HOXA10
KRTAP19-4,1,KRTAP19-4
SAMD9,1,SAMD9
UBR4,2,UBR4
SVIL,2,SVIL
KRTAP19-5,1,KRTAP19-5
VIL1,2,VIL1
GABRA3,2,GABRA3
ORC2,1,ORC2
PDGFA,2,PDGFA
DQX1,2,DQX1
HUWE1,6,HUWE1
NFRKB,1,NFRKB
OR5T1,1,OR5T1
SYTL3,2,SYTL3
OR8H1,1,OR8H1
CHL1,5,CHL1
NDUFB3,1,NDUFB3
CT47A4,1,CT47A4
CDH6,2,CDH6
CATSPERB,1,CATSPERB
RETN,1,RETN
MYO9B,4,MYO9B
SSBP1,1,SSBP1
CCL13,1,CCL13
KRTAP19-6,1,KRTAP19-6
FBH1,3,FBH1
KRTAP19-7,1,KRTAP19-7
HOXA9,2,HOXA9
KRTAP6-2,1,KRTAP6-2
PRKRIP1,1,PRKRIP1
KRTAP22-1,1,KRTAP22-1
EXOSC7,2,EXOSC7
KRTAP20-1,1,KRTAP20-1
FAM114A1,1,FAM114A1
WEE2,1,WEE2
AMBN,1,AMBN
PRSS21,1,PRSS21
SERPING1,1,SERPING1
PURA,1,PURA
PLTP,2,PLTP
AHRR,2,AHRR
MTMR14,1,MTMR14
C2,3,C2
ZMYND11,2,ZMYND11
KRTAP9-6,1,KRTAP9-6
RPSA,2,RPSA
NDUFB11,1,NDUFB11
NEURL2,2,NEURL2
FAM126B,1,FAM126B
FCAR,1,FCAR
CLOCK,3,CLOCK
FAM174A,1,FAM174A
FAM216B,1,FAM216B
TRPM3,3,TRPM3
PCNA,2,PCNA
PCMTD2,1,PCMTD2
SERPINB6,1,SERPINB6
C11orf42,1,C11orf42
ARL4A,1,ARL4A
RBMXL2,2,RBMXL2
SAMD9L,1,SAMD9L
MATR3,1,MATR3
KRTAP20-2,1,KRTAP20-2
CCL26,1,CCL26
TMEM165,1,TMEM165
ZDHHC3,1,ZDHHC3
ELMOD1,1,ELMOD1
HP1BP3,1,HP1BP3
MSH5,4,MSH5
TRIP13,1,TRIP13
KRTAP21-2,1,KRTAP21-2
ZC3HAV1,4,ZC3HAV1
TBC1D19,1,TBC1D19
VARS2,2,VARS2
MRGPRF,1,MRGPRF
CLEC3B,1,CLEC3B
PRPS2,2,PRPS2
USP19,4,USP19
MYT1,2,MYT1
XKR5,1,XKR5
PHOX2A,1,PHOX2A
TRAPPC5,1,TRAPPC5
MAN2C1,4,MAN2C1
WNK1,2,WNK1
NIPAL2,1,NIPAL2
DEFB1,1,DEFB1
ZNF557,3,ZNF557
RPS6,1,RPS6
TYRO3,3,TYRO3
PAG1,1,PAG1
PDCD6,3,PDCD6
SLN,1,SLN
PAX3,3,PAX3
EFL1,3,EFL1
DHX30,4,DHX30
KIF1B,6,KIF1B
CPNE9,2,CPNE9
LGI2,2,LGI2
FABP7,1,FABP7
GEN1,3,GEN1
POTEB3,2,POTEB3
ALPK2,2,ALPK2
DSC1,3,DSC1
TPP2,2,TPP2
FUCA1,2,FUCA1
AADACL2,1,AADACL2
CCL1,1,CCL1
TET2,1,TET2
DEFA6,2,DEFA6
RPL15,1,RPL15
PTDSS2,1,PTDSS2
C1QTNF2,2,C1QTNF2
SLC43A2,1,SLC43A2
CT47A3,1,CT47A3
ORAI2,1,ORAI2
PCDH18,2,PCDH18
AGTPBP1,2,AGTPBP1
CT47A2,1,CT47A2
INPPL1,3,INPPL1
CT47A1,1,CT47A1
ATP5F1D,1,ATP5F1D
GTF2H4,2,GTF2H4
SDHA,2,SDHA
RBBP8NL,1,RBBP8NL
GLUD2,2,GLUD2
PYGB,1,PYGB
DCBLD1,3,DCBLD1
GABRQ,2,GABRQ
TMEM156,1,TMEM156
ARID4A,3,ARID4A
DAP,1,DAP
MSX2,1,MSX2
WDR91,1,WDR91
RBM10,4,RBM10
PUF60,1,PUF60
NLRP2,5,NLRP2
ZC3HC1,2,ZC3HC1
CHRNA7,2,CHRNA7
EIF2B2,1,EIF2B2
ABHD6,1,ABHD6
OR13A1,1,OR13A1
NR1D2,2,NR1D2
DSC2,3,DSC2
TFF3,1,TFF3
RAB42,1,RAB42
ARAP1,5,ARAP1
LILRA2,2,LILRA2
SLC35D2,1,SLC35D2
AGER,4,AGER
IL17A,1,IL17A
MCMDC2,2,MCMDC2
COMMD9,1,COMMD9
SMPDL3A,1,SMPDL3A
GOPC,1,GOPC
ISOC1,1,ISOC1
SGSM1,3,SGSM1
TAF12,1,TAF12
TAPBP,1,TAPBP
SMARCB1,1,SMARCB1
AL132671.2,2,AL132671.2
H1F0,1,H1F0
SOS1,5,SOS1
PPRC1,1,PPRC1
CCL24,1,CCL24
TRAPPC6B,1,TRAPPC6B
AC171558.5,1,AC171558.5
GNAS,2,GNAS
FCER2,1,FCER2
ALDH1B1,1,ALDH1B1
TLR7,3,TLR7
AC171558.6,1,AC171558.6
NKIRAS1,1,NKIRAS1
IGFBPL1,3,IGFBPL1
TLR8,2,TLR8
GTPBP6,3,GTPBP6
MAN2A2,3,MAN2A2
TBC1D28,1,TBC1D28
EEF1AKMT1,1,EEF1AKMT1
DGLUCY,2,DGLUCY
KIAA1958,1,KIAA1958
FOXO3B,1,FOXO3B
HLA-DOB,2,HLA-DOB
DHX16,4,DHX16
TUBE1,2,TUBE1
HSD17B3,1,HSD17B3
IL17D,1,IL17D
DERL3,1,DERL3
FBXO16,1,FBXO16
ABHD16A,1,ABHD16A
IMPAD1,1,IMPAD1
CNR2,1,CNR2
CCT8L2,1,CCT8L2
PNRC2,1,PNRC2
NIPA2,1,NIPA2
NUDT10,1,NUDT10
CDY2B,2,CDY2B
PRUNE2,3,PRUNE2
HSDL2,2,HSDL2
ABCC2,2,ABCC2
ABCA12,2,ABCA12
ABHD12,2,ABHD12
STARD10,1,STARD10
ZNF138,2,ZNF138
SIN3A,3,SIN3A
SYN2,3,SYN2
PLCXD1,1,PLCXD1
ALOX5,2,ALOX5
CLVS2,2,CLVS2
ZNF395,1,ZNF395
ROS1,2,ROS1
FER1L5,4,FER1L5
CCN6,2,CCN6
PRSS55,1,PRSS55
OR8K1,1,OR8K1
C6orf136,1,C6orf136
DAND5,1,DAND5
ZNF107,2,ZNF107
TNFSF9,1,TNFSF9
PRSS51,1,PRSS51
NUDT11,1,NUDT11
PIAS2,2,PIAS2
TIMP4,1,TIMP4
FAHD2A,1,FAHD2A
TFF2,1,TFF2
DEFA4,2,DEFA4
SLC7A11,1,SLC7A11
GCNT1,1,GCNT1
NLRP7,5,NLRP7
C20orf96,1,C20orf96
ENAM,1,ENAM
MICA,2,MICA
COMMD7,1,COMMD7
PNN,2,PNN
ELOA3D,2,ELOA3D
NEIL1,2,NEIL1
ZNF181,3,ZNF181
FO393400.1,1,FO393400.1
FABP5,1,FABP5
ELOA2,2,ELOA2
C20orf203,1,C20orf203
FAM229B,1,FAM229B
ELOA3B,2,ELOA3B
MUC17,1,MUC17
ELOA3,2,ELOA3
JCHAIN,1,JCHAIN
TFF1,1,TFF1
DNAJC28,2,DNAJC28
TRAK1,2,TRAK1
DSG1,2,DSG1
TRIM56,2,TRIM56
OR8J1,1,OR8J1
MUC4,2,MUC4
MAT2B,1,MAT2B
KATNAL2,3,KATNAL2
OR8U8,1,OR8U8
ZCCHC3,1,ZCCHC3
OR8U9,1,OR8U9
CYFIP1,2,CYFIP1
SESTD1,1,SESTD1
DEFA1,2,DEFA1
SLC5A12,1,SLC5A12
TNFAIP2,1,TNFAIP2
MTX3,2,MTX3
SLU7,1,SLU7
TRAF4,2,TRAF4
CD70,1,CD70
FIBIN,1,FIBIN
PIGT,1,PIGT
OR4F21,1,OR4F21
INSR,4,INSR
LSM2,1,LSM2
MMP28,3,MMP28
ANKRD55,2,ANKRD55
PIGG,1,PIGG
DSG4,2,DSG4
PPP1R9A,3,PPP1R9A
CYP2W1,1,CYP2W1
SEPSECS,1,SEPSECS
GALNT14,2,GALNT14
NRSN2,1,NRSN2
C2orf66,1,C2orf66
EZR,4,EZR
RHBDD2,1,RHBDD2
TMEM97,1,TMEM97
STEAP3,2,STEAP3
BBOX1,2,BBOX1
PMP2,1,PMP2
ALOX12,2,ALOX12
SOX12,1,SOX12
RNLS,2,RNLS
FAM24B,1,FAM24B
PDPN,1,PDPN
CAND2,1,CAND2
DEFA1B,2,DEFA1B
CU639417.1,1,CU639417.1
FABP12,1,FABP12
PCYT1B,1,PCYT1B
BAZ1A,6,BAZ1A
FABP9,1,FABP9
CUZD1,2,CUZD1
FAM168B,1,FAM168B
SYK,2,SYK
WHAMM,2,WHAMM
TMEM211,1,TMEM211
SLC35F2,1,SLC35F2
FABP4,1,FABP4
PNLIPRP2,2,PNLIPRP2
TMSB4X,1,TMSB4X
TNS1,3,TNS1
C8orf74,1,C8orf74
IFT20,1,IFT20
PLXNA4,6,PLXNA4
PSKH2,1,PSKH2
RPL32,1,RPL32
CCDC87,1,CCDC87
RP1L1,1,RP1L1
ATP6V0D2,1,ATP6V0D2
TSHR,2,TSHR
MTRNR2L6,1,MTRNR2L6
XPO4,1,XPO4
DSP,3,DSP
DEFA3,2,DEFA3
LIPJ,1,LIPJ
MYO19,1,MYO19
SHKBP1,1,SHKBP1
AC037459.1,3,AC037459.1
SSB,3,SSB
SMC6,1,SMC6
TNFSF14,1,TNFSF14
ODF3,1,ODF3
HS3ST6,1,HS3ST6
ZNF273,2,ZNF273
SGMS2,1,SGMS2
KRTAP8-1,1,KRTAP8-1
PRR3,1,PRR3
KRTAP7-1,1,KRTAP7-1
DEFA5,2,DEFA5
ZNF596,2,ZNF596
KRTAP11-1,1,KRTAP11-1
SCGB1C1,1,SCGB1C1
RPS6KA5,2,RPS6KA5
KRTAP19-8,1,KRTAP19-8
PPFIBP2,2,PPFIBP2
MOBP,1,MOBP
ARHGAP25,2,ARHGAP25
CYP2U1,1,CYP2U1
OR9G1,1,OR9G1
CCDC34,1,CCDC34
C8orf58,1,C8orf58
OR9G9,1,OR9G9
AK6,1,AK6
ZNF117,1,ZNF117
OR9G4,1,OR9G4
TAF9,1,TAF9
SLC39A8,1,SLC39A8
ZNF599,3,ZNF599
NUP153,3,NUP153
MALT1,4,MALT1
SPIDR,2,SPIDR
TRIM16L,2,TRIM16L
IL6ST,3,IL6ST
MRPL23,1,MRPL23
XKR3,1,XKR3
AGFG2,1,AGFG2
HOXA11,2,HOXA11
GART,6,GART
GNL1,1,GNL1
INAFM2,1,INAFM2
TAP2,2,TAP2
ZNHIT3,1,ZNHIT3
KIAA1671,1,KIAA1671
TMEM132E,3,TMEM132E
METTL5,1,METTL5
MAGEA3,2,MAGEA3
SNRNP48,1,SNRNP48
PIGW,1,PIGW
FLT1,5,FLT1
IWS1,1,IWS1
NFATC2,2,NFATC2
KCNS2,2,KCNS2
UTP3,2,UTP3
KIR3DL3,1,KIR3DL3
KIR2DL3,1,KIR2DL3
GAB4,1,GAB4
CDKL4,1,CDKL4
GOLGA8B,1,GOLGA8B
PARD3B,2,PARD3B
TPCN2,1,TPCN2
UQCRC1,2,UQCRC1
CDS2,1,CDS2
OGDH,4,OGDH
TBC1D26,1,TBC1D26
SYT9,1,SYT9
DOCK2,3,DOCK2
PDGFRB,4,PDGFRB
OLFML1,1,OLFML1
RPP14,1,RPP14
GRHL2,1,GRHL2
CASKIN1,7,CASKIN1
FAM110B,2,FAM110B
FAAP24,2,FAAP24
CD226,1,CD226
SLA2,2,SLA2
PI4K2B,1,PI4K2B
B3GNT3,1,B3GNT3
HTD2,1,HTD2
UNC93B1,1,UNC93B1
DOK6,1,DOK6
CLNK,1,CLNK
TGIF2,1,TGIF2
RUFY3,1,RUFY3
BCL7B,1,BCL7B
STK3,2,STK3
EFNA5,1,EFNA5
DSG3,2,DSG3
INSYN2B,1,INSYN2B
SIK1B,1,SIK1B
FAM160A2,1,FAM160A2
NPM1,2,NPM1
CATSPERD,1,CATSPERD
SCGB1C2,1,SCGB1C2
TRAF7,2,TRAF7
PINX1,3,PINX1
ABHD3,1,ABHD3
PBX2,2,PBX2
KLHDC10,3,KLHDC10
DOC2B,1,DOC2B
RAB5IF,1,RAB5IF
UBR1,2,UBR1
DAZ1,1,DAZ1
SLC7A13,1,SLC7A13
AIFM1,3,AIFM1
NDUFAF5,1,NDUFAF5
PDLIM2,3,PDLIM2
EML3,2,EML3
PRR22,1,PRR22
BAIAP3,2,BAIAP3
DNAJC2,3,DNAJC2
DNAAF5,2,DNAAF5
SOX7,2,SOX7
CHCHD3,1,CHCHD3
TIAM1,5,TIAM1
TGIF2-RAB5IF,2,TGIF2-RAB5IF
OSGEPL1,1,OSGEPL1
CENPVL3,1,CENPVL3
MDC1,2,MDC1
ZNF286A,3,ZNF286A
UBE2W,1,UBE2W
KIR3DL1,1,KIR3DL1
ROM1,1,ROM1
DUS3L,2,DUS3L
TSR3,2,TSR3
BMP6,2,BMP6
ARHGAP21,3,ARHGAP21
TCF24,1,TCF24
BLOC1S5,1,BLOC1S5
ANKAR,1,ANKAR
ZCCHC4,2,ZCCHC4
KIR2DL1,1,KIR2DL1
FAM24A,1,FAM24A
THBS4,4,THBS4
LRCH4,2,LRCH4
ANKRD18A,4,ANKRD18A
ART5,1,ART5
MED23,1,MED23
PFDN1,1,PFDN1
TPTE,2,TPTE
IMPA2,1,IMPA2
TXNDC5,1,TXNDC5
USP48,1,USP48
ART1,1,ART1
PTBP1,3,PTBP1
DENND5A,5,DENND5A
POMP,1,POMP
FCHO2,2,FCHO2
PRKAR1B,2,PRKAR1B
CAMK2G,2,CAMK2G
KIR2DL4,1,KIR2DL4
CYSTM1,1,CYSTM1
CREBBP,7,CREBBP
SGPP2,1,SGPP2
SLC46A3,1,SLC46A3
CENPVL2,1,CENPVL2
EEF1E1,1,EEF1E1
CENPVL1,1,CENPVL1
MOG,1,MOG
COL11A2,3,COL11A2
SUGT1,2,SUGT1
LGR4,3,LGR4
GSPT2,4,GSPT2
SAP25,1,SAP25
SHANK2,5,SHANK2
HMGN1,1,HMGN1
PPP2R3B,2,PPP2R3B
PROKR2,1,PROKR2
BCL2A1,1,BCL2A1
MAGEA2B,2,MAGEA2B
ZNF367,2,ZNF367
LATS2,2,LATS2
C9,3,C9
ACER2,1,ACER2
KIAA0586,1,KIAA0586
USP17L1,1,USP17L1
TRIM43B,2,TRIM43B
TUBB,2,TUBB
RAB39A,1,RAB39A
USP17L4,2,USP17L4
IL17F,1,IL17F
SUSD3,1,SUSD3
ERGIC3,2,ERGIC3
FBXO24,2,FBXO24
ICE2,1,ICE2
UBTD1,2,UBTD1
GOLGA6L10,1,GOLGA6L10
RAD17,1,RAD17
VSTM2A,1,VSTM2A
ZNF461,2,ZNF461
ARHGEF12,4,ARHGEF12
CHSY3,1,CHSY3
PTCHD3,1,PTCHD3
MINAR2,1,MINAR2
ARG1,1,ARG1
GOLGA6L9,1,GOLGA6L9
ENO4,1,ENO4
SRSF10,1,SRSF10
PREB,1,PREB
ADAMTS19,5,ADAMTS19
PDE10A,2,PDE10A
NOTCH4,8,NOTCH4
CUL5,2,CUL5
SHOX,2,SHOX
PCOLCE,2,PCOLCE
MGA,3,MGA
GPSM3,1,GPSM3
WWP1,3,WWP1
GMEB1,1,GMEB1
RHEB,1,RHEB
GATA5,2,GATA5
SFTA2,1,SFTA2
AMER1,1,AMER1
ZNF567,2,ZNF567
ASB12,3,ASB12
ABHD1,2,ABHD1
TRIB3,1,TRIB3
HDC,1,HDC
CRYBB3,1,CRYBB3
MUC21,2,MUC21
ACAT1,2,ACAT1
PTS,1,PTS
PHYH,1,PHYH
EMC6,1,EMC6
ZNF850,2,ZNF850
AC008878.3,2,AC008878.3
TAX1BP3,1,TAX1BP3
GCAT,1,GCAT
CRYBB2,1,CRYBB2
TMEM171,1,TMEM171
