Genes,Chromosome,Norm_Symbol
IGHV2-26,14,IGHV2-26
SLC30A5,5,SLC30A5
CCDC88B,11,CCDC88B
ITGA3,17,ITGA3
NCOA4,10,NCOA4
TUBD1,17,TUBD1
RETN,19,RETN
SLC25A46,5,SLC25A46
AQP12A,2,AQP12A
OMP,11,OMP
TFEB,6,TFEB
GALE,1,GALE
GRM3,7,GRM3
RCC1,1,RCC1
PKHD1L1,8,PKHD1L1
NAXE,1,NAXE
ST6GAL2,2,ST6GAL2
LSM14A,19,LSM14A
FAM156B,X,FAM156B
MTMR1,X,MTMR1
TAF1C,16,TAF1C
FDFT1,8,FDFT1
TNFRSF21,6,TNFRSF21
KIF13B,8,KIF13B
MOGS,2,MOGS
ZNF517,8,ZNF517
P4HB,17,P4HB
UBE3C,7,UBE3C
MYO3A,10,MYO3A
ATRIP,3,ATRIP
SLC19A2,1,SLC19A2
HIST2H2AB,1,HIST2H2AB
NRXN1,2,NRXN1
STX7,6,STX7
UGT1A10,2,UGT1A10
TSHR,14,TSHR
ANO3,11,ANO3
DVL2,17,DVL2
KCTD3,1,KCTD3
NALCN,13,NALCN
NUDT16L1,16,NUDT16L1
ZFAND2A,7,ZFAND2A
MRPL4,19,MRPL4
HELB,12,HELB
ARHGEF17,11,ARHGEF17
CSTB,21,CSTB
AGK,7,AGK
BRCA1,17,BRCA1
DBNDD2,20,DBNDD2
GDF5,20,GDF5
RAI1,17,RAI1
SUCLG1,2,SUCLG1
DPCD,10,DPCD
IGLV3-22,22,IGLV3-22
TRIM24,7,TRIM24
PTGIS,20,PTGIS
FHL2,2,FHL2
STARD8,X,STARD8
GPR45,2,GPR45
TDRD5,1,TDRD5
DUSP2,2,DUSP2
IGKV1D-12,2,IGKV1D-12
SEPT3,22,SEPT3
CTSO,4,CTSO
DNAJC10,2,DNAJC10
SULF2,20,SULF2
SOCS1,16,SOCS1
NLGN1,3,NLGN1
CD1A,1,CD1A
NELL1,11,NELL1
CNBP,3,CNBP
RPL4,15,RPL4
MED13,17,MED13
RRAS2,11,RRAS2
LIN7B,19,LIN7B
TRBV10-2,7,TRBV10-2
RNF187,1,RNF187
EPRS,1,EPRS
RABGAP1L,1,RABGAP1L
MISP,19,MISP
KCNAB1,3,KCNAB1
SLAMF7,1,SLAMF7
TRIM28,19,TRIM28
ZNF696,8,ZNF696
CST6,11,CST6
TEN1,17,TEN1
TNFRSF13C,22,TNFRSF13C
YY2,X,YY2
LARP6,15,LARP6
PNMA3,X,PNMA3
FGD2,6,FGD2
WNK2,9,WNK2
C1orf109,1,C1orf109
HCK,20,HCK
ICE2,15,ICE2
SDC1,2,SDC1
TRBV5-6,7,TRBV5-6
DNAJB5,9,DNAJB5
PTPRE,10,PTPRE
NLRP4,19,NLRP4
RPL35A,3,RPL35A
NOL12,22,NOL12
ANKRD34B,5,ANKRD34B
ITGBL1,13,ITGBL1
TMEM203,9,TMEM203
CEP112,17,CEP112
CFAP221,2,CFAP221
DPEP3,16,DPEP3
SERPIND1,22,SERPIND1
ZNF132,19,ZNF132
DDX20,1,DDX20
SLC35G2,3,SLC35G2
TADA1,1,TADA1
CIRBP,19,CIRBP
NAA38,17,NAA38
MAPRE2,18,MAPRE2
OXSM,3,OXSM
BCL2L15,1,BCL2L15
OR2L2,1,OR2L2
PRKD3,2,PRKD3
MGAT4B,5,MGAT4B
ND1,NAN,ND1
PPP1R3B,8,PPP1R3B
KCNS1,20,KCNS1
FABP3,1,FABP3
SDSL,12,SDSL
FSD2,15,FSD2
TIMM8B,11,TIMM8B
UHRF2,9,UHRF2
NAT8B,2,NAT8B
ELAVL1,19,ELAVL1
FBXO17,19,FBXO17
MCOLN3,1,MCOLN3
RHBDD1,2,RHBDD1
TRDJ1,14,TRDJ1
ATL2,2,ATL2
STAT4,2,STAT4
C9orf72,9,C9orf72
SPTBN1,2,SPTBN1
DDX21,10,DDX21
INPP5F,10,INPP5F
GPRASP2,X,GPRASP2
GSTA1,6,GSTA1
C2CD2,21,C2CD2
LIPN,10,LIPN
DPY19L2,12,DPY19L2
ANKZF1,2,ANKZF1
OR1L6,9,OR1L6
LGR5,12,LGR5
CACNG8,19,CACNG8
NPHP3,3,NPHP3
OR6B3,2,OR6B3
BDKRB2,14,BDKRB2
IARS2,1,IARS2
FOXA2,20,FOXA2
POT1,7,POT1
PHF13,1,PHF13
KDM6B,17,KDM6B
A2M,12,A2M
HIST2H3D,1,HIST2H3D
BET1L,11,BET1L
ZMAT2,5,ZMAT2
TNFRSF1A,12,TNFRSF1A
SEPT1,16,SEPT1
ARRB2,17,ARRB2
STX6,1,STX6
TRBV28,7,TRBV28
ZNF773,19,ZNF773
CLTB,5,CLTB
FBXO45,3,FBXO45
OFD1,X,OFD1
SLC30A10,1,SLC30A10
QPCT,2,QPCT
MASTL,10,MASTL
DSCAML1,11,DSCAML1
PTPN2,18,PTPN2
CLCN7,16,CLCN7
TFR2,7,TFR2
PREX1,20,PREX1
ANTXRL,10,ANTXRL
RPH3A,12,RPH3A
MAOB,X,MAOB
CHD9,16,CHD9
SRGAP2,1,SRGAP2
TAS2R10,12,TAS2R10
ZNF501,3,ZNF501
ANPEP,15,ANPEP
SLC9B1,4,SLC9B1
DENND1A,9,DENND1A
MAN1A2,1,MAN1A2
OR51L1,11,OR51L1
HIST1H2AL,6,HIST1H2AL
SSUH2,3,SSUH2
ZFP36L2,2,ZFP36L2
SPACA4,19,SPACA4
SNRNP27,2,SNRNP27
SPARC,5,SPARC
TMEM53,1,TMEM53
TMOD1,9,TMOD1
ARMC12,6,ARMC12
MCC,5,MCC
AGAP9,10,AGAP9
TRBV11-3,7,TRBV11-3
CBLN3,14,CBLN3
TLX2,2,TLX2
TRIM37,17,TRIM37
CD200R1L,3,CD200R1L
NGRN,15,NGRN
RPA3,7,RPA3
OR1D2,17,OR1D2
UGT1A8,2,UGT1A8
GLIS3,9,GLIS3
NDUFB4,3,NDUFB4
ZNF557,19,ZNF557
CBX7,22,CBX7
SHPRH,6,SHPRH
ERC2,3,ERC2
MUC19,12,MUC19
SLC19A3,2,SLC19A3
PMEL,12,PMEL
GPR21,9,GPR21
SHOC2,10,SHOC2
IL6ST,5,IL6ST
PLA2G4E,15,PLA2G4E
SFTPD,10,SFTPD
KCNK16,6,KCNK16
RNF113A,X,RNF113A
ADAMTSL4,1,ADAMTSL4
TOP1,20,TOP1
FSTL4,5,FSTL4
HESX1,3,HESX1
RGS9,17,RGS9
BMI1,10,BMI1
PPIL4,6,PPIL4
OR51A2,11,OR51A2
FCGR2A,1,FCGR2A
SRSF8,11,SRSF8
HUS1B,6,HUS1B
TMPRSS5,11,TMPRSS5
FAM20B,1,FAM20B
PDPK1,16,PDPK1
SMG1,16,SMG1
GLB1L3,11,GLB1L3
USP6NL,10,USP6NL
CPSF3,2,CPSF3
DDX54,12,DDX54
FLT3LG,19,FLT3LG
UPP2,2,UPP2
GOT1,10,GOT1
PHF8,X,PHF8
ARL8A,1,ARL8A
ALAD,9,ALAD
EAF1,3,EAF1
GID8,20,GID8
LONRF1,8,LONRF1
PBX3,9,PBX3
RIOK1,6,RIOK1
ACSM3,16,ACSM3
SALL3,18,SALL3
DHTKD1,10,DHTKD1
TANK,2,TANK
ACAP1,17,ACAP1
PEX11A,15,PEX11A
COPZ1,12,COPZ1
ADNP2,18,ADNP2
IFT74,9,IFT74
GPR161,1,GPR161
CCDC96,4,CCDC96
LSS,21,LSS
CDH19,18,CDH19
KANSL1,17,KANSL1
NOP14,4,NOP14
CNBD2,20,CNBD2
LIG4,13,LIG4
NOVA1,14,NOVA1
GOLGA8H,15,GOLGA8H
MOG,6,MOG
ATR,3,ATR
PILRB,7,PILRB
BRINP3,1,BRINP3
PLPBP,8,PLPBP
RAB1A,2,RAB1A
PFDN6,6,PFDN6
PTPMT1,11,PTPMT1
STRBP,9,STRBP
CPNE7,16,CPNE7
NSD2,4,NSD2
LMO3,12,LMO3
IPO13,1,IPO13
ISG20,15,ISG20
B4GALNT3,12,B4GALNT3
NIPSNAP1,22,NIPSNAP1
PRKAB1,12,PRKAB1
TRAV2,14,TRAV2
ARMC4,10,ARMC4
FICD,12,FICD
LRMP,12,LRMP
YJEFN3,19,YJEFN3
CDK20,9,CDK20
CHST3,10,CHST3
EFNA5,5,EFNA5
PLD3,19,PLD3
SCML2,X,SCML2
POLA2,11,POLA2
FBXW2,9,FBXW2
NLRC5,16,NLRC5
HOXA3,7,HOXA3
FBXW10,17,FBXW10
MFSD10,4,MFSD10
AP000721.1,11,AP000721.1
KLF10,8,KLF10
NXNL1,19,NXNL1
KIF14,1,KIF14
PRAMEF4,1,PRAMEF4
ST5,11,ST5
TFB1M,6,TFB1M
MKS1,17,MKS1
IGKV2-24,2,IGKV2-24
RAB6C,2,RAB6C
GIMAP2,7,GIMAP2
KCNC4,1,KCNC4
RAMP2,17,RAMP2
CD164,6,CD164
MYADML2,17,MYADML2
ZNF772,19,ZNF772
CA4,17,CA4
STARD9,15,STARD9
ZFP69,1,ZFP69
SPIN2B,X,SPIN2B
RGS17,6,RGS17
ARHGAP15,2,ARHGAP15
SCGB1A1,11,SCGB1A1
PRPS1L1,7,PRPS1L1
CCNB3,X,CCNB3
HOXC5,12,HOXC5
CENPE,4,CENPE
PTPRCAP,11,PTPRCAP
SSX4,X,SSX4
AP4B1,1,AP4B1
RGS19,20,RGS19
SHOX2,3,SHOX2
ADAD2,16,ADAD2
KLHL4,X,KLHL4
ABCG1,21,ABCG1
CKS2,9,CKS2
ZNF566,19,ZNF566
THEMIS2,1,THEMIS2
TM9SF4,20,TM9SF4
TTPA,8,TTPA
GLYATL3,6,GLYATL3
RAMP1,2,RAMP1
SARAF,8,SARAF
DYNLL1,12,DYNLL1
CYBRD1,2,CYBRD1
CDX4,X,CDX4
ADCY2,5,ADCY2
WRNIP1,6,WRNIP1
GABBR2,9,GABBR2
TBC1D9B,5,TBC1D9B
OSBPL7,17,OSBPL7
CMC4,X,CMC4
ERMP1,9,ERMP1
AEBP2,12,AEBP2
FADS2,11,FADS2
B4GALT3,1,B4GALT3
PTGES2,9,PTGES2
FBXO5,6,FBXO5
OR52N4,11,OR52N4
B3GNT5,3,B3GNT5
SNX20,16,SNX20
AHSA1,14,AHSA1
NPM1,5,NPM1
TERT,5,TERT
SMAD1,4,SMAD1
GPR135,14,GPR135
GALNT12,9,GALNT12
RBAK,7,RBAK
SLC7A6OS,16,SLC7A6OS
NUDT7,16,NUDT7
TRAV14DV4,14,TRAV14DV4
PTH,11,PTH
PAPOLG,2,PAPOLG
TBXAS1,7,TBXAS1
CAPN14,2,CAPN14
THOP1,19,THOP1
HOXC10,12,HOXC10
RNF185,22,RNF185
RC3H2,9,RC3H2
NEK2,1,NEK2
XIRP1,3,XIRP1
FLNC,7,FLNC
ADAM28,8,ADAM28
HYAL2,3,HYAL2
RALGPS2,1,RALGPS2
HTR3E,3,HTR3E
POLR2A,17,POLR2A
SORBS2,4,SORBS2
GAPT,5,GAPT
PRSS50,3,PRSS50
CD70,19,CD70
RSL24D1,15,RSL24D1
ZNF286A,17,ZNF286A
CLDN8,21,CLDN8
HMBOX1,8,HMBOX1
AC022384.1,NAN,AC022384.1
ESS2,22,ESS2
SEBOX,17,SEBOX
CD1C,1,CD1C
ZFP91,11,ZFP91
PLBD2,12,PLBD2
CCDC85B,11,CCDC85B
MRPL9,1,MRPL9
ACOT13,6,ACOT13
DERL3,22,DERL3
MBIP,14,MBIP
PPP1R9A,7,PPP1R9A
SGIP1,1,SGIP1
ZNF613,19,ZNF613
DMTF1,7,DMTF1
LRP6,12,LRP6
SERPINA9,14,SERPINA9
FDXR,17,FDXR
ANAPC2,9,ANAPC2
ARF3,12,ARF3
THBD,20,THBD
DYNC1LI1,3,DYNC1LI1
MMGT1,X,MMGT1
OR8B2,11,OR8B2
FTCD,21,FTCD
CLNS1A,11,CLNS1A
LPL,8,LPL
RBMY1F,Y,RBMY1F
STK38,6,STK38
RAB25,1,RAB25
HBD,11,HBD
VPS4A,16,VPS4A
CDNF,10,CDNF
RFTN1,3,RFTN1
ZC3H11A,1,ZC3H11A
RNF151,16,RNF151
TRAV8-6,14,TRAV8-6
SOCS7,17,SOCS7
NBPF9,1,NBPF9
PRAM1,19,PRAM1
STARD13,13,STARD13
STARD3NL,7,STARD3NL
TIMMDC1,3,TIMMDC1
AP2M1,3,AP2M1
ZMYM1,1,ZMYM1
ZNF223,19,ZNF223
SP100,2,SP100
ST8SIA1,12,ST8SIA1
TAF8,6,TAF8
PCMTD1,8,PCMTD1
EPPK1,8,EPPK1
ZW10,11,ZW10
PHTF2,7,PHTF2
ARPC3,12,ARPC3
CDC37L1,9,CDC37L1
ANXA13,8,ANXA13
ATCAY,19,ATCAY
GLYAT,11,GLYAT
ESRP2,16,ESRP2
LMNB1,5,LMNB1
DPYSL4,10,DPYSL4
OR2H1,6,OR2H1
PRMT9,4,PRMT9
SLC25A11,17,SLC25A11
KIFC3,16,KIFC3
HLCS,21,HLCS
KCNK9,8,KCNK9
RPS4Y2,Y,RPS4Y2
HSFY1,Y,HSFY1
WWP1,8,WWP1
SOCS6,18,SOCS6
CEP170,1,CEP170
CRB1,1,CRB1
KCNE1,21,KCNE1
L3MBTL1,20,L3MBTL1
PNPLA5,22,PNPLA5
BFSP2,3,BFSP2
FABP4,8,FABP4
TRGV8,7,TRGV8
MBD2,18,MBD2
TSKS,19,TSKS
CDY2A,Y,CDY2A
VPS37B,12,VPS37B
RECK,9,RECK
ZBED8,5,ZBED8
HOXB2,17,HOXB2
CD300A,17,CD300A
HP,16,HP
KRT32,17,KRT32
RRAGC,1,RRAGC
KRT76,12,KRT76
ZNF460,19,ZNF460
TRPC3,4,TRPC3
COL10A1,6,COL10A1
CXADR,21,CXADR
OR2T3,1,OR2T3
BST1,4,BST1
FILIP1L,3,FILIP1L
GEMIN2,14,GEMIN2
SEL1L3,4,SEL1L3
RNF216,7,RNF216
MYL9,20,MYL9
CYP17A1,10,CYP17A1
PCCA,13,PCCA
CLCN1,7,CLCN1
UGT2B4,4,UGT2B4
CEP57,11,CEP57
CTPS1,1,CTPS1
PITPNM3,17,PITPNM3
SZT2,1,SZT2
NAA30,14,NAA30
TECPR1,7,TECPR1
COMMD6,13,COMMD6
AKR7L,1,AKR7L
CXCR3,X,CXCR3
PPARD,6,PPARD
SLC25A52,18,SLC25A52
MMP9,20,MMP9
POP1,8,POP1
AFG3L2,18,AFG3L2
FGG,4,FGG
KMT2B,19,KMT2B
FGD4,12,FGD4
MYO1B,2,MYO1B
SIPA1,11,SIPA1
CNTROB,17,CNTROB
HIST3H3,1,HIST3H3
TRMT10C,3,TRMT10C
SIAH3,13,SIAH3
RNF34,12,RNF34
IL17RD,3,IL17RD
TCERG1L,10,TCERG1L
RC3H1,1,RC3H1
NUDT1,7,NUDT1
CR1L,1,CR1L
LEUTX,19,LEUTX
PCDHB11,5,PCDHB11
HAUS6,9,HAUS6
CLASP1,2,CLASP1
ABCE1,4,ABCE1
PRSS8,16,PRSS8
IL4R,16,IL4R
MLXIP,12,MLXIP
NBEA,13,NBEA
SRP54,14,SRP54
SNAP23,15,SNAP23
PCDH1,5,PCDH1
HPN,19,HPN
RDH16,12,RDH16
BPIFB3,20,BPIFB3
JAG2,14,JAG2
CASP8,2,CASP8
GLYATL1,11,GLYATL1
TBC1D8B,X,TBC1D8B
EPHA8,1,EPHA8
NUDCD1,8,NUDCD1
HSPB7,1,HSPB7
BCL10,1,BCL10
PIM2,X,PIM2
GPSM1,9,GPSM1
LYPD1,2,LYPD1
TSSK3,1,TSSK3
CTNNBL1,20,CTNNBL1
CGRRF1,14,CGRRF1
KRTAP19-3,21,KRTAP19-3
MYL4,17,MYL4
RAB26,16,RAB26
PGAM4,X,PGAM4
RABEPK,9,RABEPK
PANK3,5,PANK3
TMBIM6,12,TMBIM6
ADAM19,5,ADAM19
TGM2,20,TGM2
TCTEX1D4,1,TCTEX1D4
ZBTB24,6,ZBTB24
IFITM10,11,IFITM10
HIST1H2AI,6,HIST1H2AI
MECP2,X,MECP2
ICOSLG,21,ICOSLG
RABGGTB,1,RABGGTB
SLAMF1,1,SLAMF1
SEH1L,18,SEH1L
CDK4,12,CDK4
LMOD3,3,LMOD3
KATNBL1,15,KATNBL1
SRGAP2C,1,SRGAP2C
ZNF432,19,ZNF432
CTSF,11,CTSF
KDM4C,9,KDM4C
SCAP,3,SCAP
PRELP,1,PRELP
TNRC18,7,TNRC18
OR2T1,1,OR2T1
AMOTL1,11,AMOTL1
MAP1B,5,MAP1B
STXBP4,17,STXBP4
ZNF329,19,ZNF329
MAMLD1,X,MAMLD1
LANCL2,7,LANCL2
GCNT2,6,GCNT2
AOC2,17,AOC2
PRPSAP2,17,PRPSAP2
ITPR2,12,ITPR2
SGSH,17,SGSH
IQCF1,3,IQCF1
ZNF484,9,ZNF484
MTAP,9,MTAP
EPOR,19,EPOR
CDHR2,5,CDHR2
STK11IP,2,STK11IP
SLC38A5,X,SLC38A5
ENPP1,6,ENPP1
SERPINB6,6,SERPINB6
TRIM59,3,TRIM59
IGLV4-69,22,IGLV4-69
RAPGEF4,2,RAPGEF4
LMO2,11,LMO2
RAG1,11,RAG1
IGHG4,14,IGHG4
DMBT1,10,DMBT1
KCNC1,11,KCNC1
ATP6V0E1,5,ATP6V0E1
ZSWIM8,10,ZSWIM8
ING5,2,ING5
NCOA2,8,NCOA2
MPL,1,MPL
SV2C,5,SV2C
OR1L1,9,OR1L1
CASP6,4,CASP6
LARGE1,22,LARGE1
SEMA3D,7,SEMA3D
SLC52A1,17,SLC52A1
SMPDL3B,1,SMPDL3B
FIZ1,19,FIZ1
MED30,8,MED30
NT5E,6,NT5E
ZNF34,8,ZNF34
NID1,1,NID1
MAP4K1,19,MAP4K1
LCN2,9,LCN2
PABPC1L2A,X,PABPC1L2A
CCDC174,3,CCDC174
DUSP18,22,DUSP18
CLPX,15,CLPX
EIF3F,11,EIF3F
RAP2A,13,RAP2A
STK10,5,STK10
SYNPO2L,10,SYNPO2L
GALNT6,12,GALNT6
BACH2,6,BACH2
NUP107,12,NUP107
PSPC1,13,PSPC1
TXNDC5,6,TXNDC5
NPIPA1,16,NPIPA1
SRSF4,1,SRSF4
HSD17B13,4,HSD17B13
BEGAIN,14,BEGAIN
HES4,1,HES4
ASB7,15,ASB7
FOXQ1,6,FOXQ1
SLC2A12,6,SLC2A12
PCDHB10,5,PCDHB10
XPA,9,XPA
CPO,2,CPO
FBXO27,19,FBXO27
NEK11,3,NEK11
MRPL28,16,MRPL28
ITGAM,16,ITGAM
IGFBP7,4,IGFBP7
NUDT16,3,NUDT16
STARD4,5,STARD4
PKN3,9,PKN3
TLE1,9,TLE1
CTHRC1,8,CTHRC1
PWP1,12,PWP1
ARRDC1,9,ARRDC1
GALNT4,12,GALNT4
PRSS12,4,PRSS12
DOCK5,8,DOCK5
NHS,X,NHS
NANOG,12,NANOG
ATP8A2,13,ATP8A2
FSCN1,7,FSCN1
PGS1,17,PGS1
EPS8L3,1,EPS8L3
HDAC2,6,HDAC2
MED21,12,MED21
UNC79,14,UNC79
WAS,X,WAS
RALY,20,RALY
SLC39A14,8,SLC39A14
POU3F2,6,POU3F2
MEX3C,18,MEX3C
VPS39,15,VPS39
BEND5,1,BEND5
PCDHB7,5,PCDHB7
CNGB1,16,CNGB1
GPRIN1,5,GPRIN1
TRGV5,7,TRGV5
CDKL5,X,CDKL5
GSTO1,10,GSTO1
USP17L3,8,USP17L3
LDB2,4,LDB2
C7orf31,7,C7orf31
PPP1R10,6,PPP1R10
ITGB6,2,ITGB6
NUF2,1,NUF2
STK16,2,STK16
MAGOH,1,MAGOH
VCAM1,1,VCAM1
CPT1C,19,CPT1C
C1GALT1,7,C1GALT1
OR10C1,6,OR10C1
ALG1L,3,ALG1L
CHRFAM7A,15,CHRFAM7A
BAIAP2,17,BAIAP2
DEFA1B,8,DEFA1B
AATK,17,AATK
HMGN1,21,HMGN1
NLK,17,NLK
PACSIN3,11,PACSIN3
RPS24,10,RPS24
SRXN1,20,SRXN1
PCDHB12,5,PCDHB12
RLBP1,15,RLBP1
NFATC1,18,NFATC1
PSME4,2,PSME4
TSPY10,Y,TSPY10
RBX1,22,RBX1
SCCPDH,1,SCCPDH
LDB1,10,LDB1
TYMP,22,TYMP
DMRTA1,9,DMRTA1
AAGAB,15,AAGAB
FBXL18,7,FBXL18
LPAR2,19,LPAR2
MLST8,16,MLST8
STRADB,2,STRADB
TRAV30,14,TRAV30
FAM110A,20,FAM110A
FMO1,1,FMO1
FECH,18,FECH
ANKRD13D,11,ANKRD13D
TRO,X,TRO
GCNT4,5,GCNT4
RPS18,6,RPS18
HTR2B,2,HTR2B
DNASE1L1,X,DNASE1L1
MT1M,16,MT1M
TLR1,4,TLR1
TTC3,21,TTC3
MYT1L,2,MYT1L
PYURF,4,PYURF
CD55,1,CD55
SLC16A7,12,SLC16A7
EXOC3,5,EXOC3
TMBIM1,2,TMBIM1
RAP1B,12,RAP1B
SOX1,13,SOX1
EVX2,2,EVX2
OR7D4,19,OR7D4
OTUB2,14,OTUB2
TYW3,1,TYW3
FAM170A,5,FAM170A
TRAV17,14,TRAV17
PRAC2,17,PRAC2
TECRL,4,TECRL
ROBO4,11,ROBO4
ZMIZ1,10,ZMIZ1
HNRNPA3,2,HNRNPA3
GPR34,X,GPR34
IL2RG,X,IL2RG
DRAM2,1,DRAM2
LHX6,9,LHX6
FIGN,2,FIGN
ROPN1,3,ROPN1
MDH2,7,MDH2
DNAH14,1,DNAH14
DCUN1D5,11,DCUN1D5
STT3A,11,STT3A
USP3,15,USP3
RCE1,11,RCE1
ACTG2,2,ACTG2
DNAJC12,10,DNAJC12
PLA2G12A,4,PLA2G12A
REG4,1,REG4
CDH10,5,CDH10
UGT2A1,4,UGT2A1
ASCC1,10,ASCC1
FAM217B,20,FAM217B
ZNF552,19,ZNF552
NCR3LG1,11,NCR3LG1
RAX2,19,RAX2
FTO,16,FTO
MRPL53,2,MRPL53
FOXD4,9,FOXD4
ELAC2,17,ELAC2
OR9G1,11,OR9G1
TTC7B,14,TTC7B
CA5A,16,CA5A
ABCB11,2,ABCB11
TRBV19,7,TRBV19
SCGN,6,SCGN
KCNC2,12,KCNC2
SPZ1,5,SPZ1
OR5B21,11,OR5B21
CCR6,6,CCR6
PTGER1,19,PTGER1
FXYD6,11,FXYD6
