Genes,Average Gene Length,Norm_Symbol
AC012314.24,13042.0,AC012314.24
ABO,22921.064516129038,ABO
AL593848.2,712.0,AL593848.2
SURF1,4918.0,SURF1
AC233755.1,432.0,AC233755.1
CRHR1,51556.5223880597,CRHR1
AL627230.3,719.0,AL627230.3
RYBP,70370.25,RYBP
AC136616.1,8291.0,AC136616.1
AC233755.2,293.0,AC233755.2
GSTT2B,3777.333333333334,GSTT2B
RPL7A,3208.0,RPL7A
AC240274.1,25014.0,AC240274.1
SCG5,55447.837209302335,SCG5
AC011043.2,5500.0,AC011043.2
AC012314.23,16360.0,AC012314.23
TRPM1,160213.64263322885,TRPM1
ZNF883,52923.0,ZNF883
AC012314.26,4120.0,AC012314.26
AC090958.3,1937.0,AC090958.3
AC023491.2,2403.0,AC023491.2
AC012314.5,4120.0,AC012314.5
AC012314.4,16360.0,AC012314.4
AC012314.19,16360.0,AC012314.19
AL354822.1,3026.0,AL354822.1
AC011841.1,5504.0,AC011841.1
AC004556.1,9217.0,AC004556.1
AL662796.1,5202.0,AL662796.1
GPX6,23105.454545454544,GPX6
MED22,9808.0,MED22
AC012314.8,16360.0,AC012314.8
AC011476.5,6939.0,AC011476.5
AC012314.10,16360.0,AC012314.10
DOHH,10118.0,DOHH
AP006285.3,5497.0,AP006285.3
SURF2,4608.0,SURF2
BX072566.1,31652.0,BX072566.1
AC007325.1,2403.0,AC007325.1
AC007244.1,470.0,AC007244.1
CHRFAM7A,34618.844155844155,CHRFAM7A
TJP1,216820.3035019455,TJP1
CR933783.1,12526.0,CR933783.1
GOLGA8J,10950.590163934428,GOLGA8J
AC011295.2,9697.0,AC011295.2
AC011476.6,6939.0,AC011476.6
AC213203.2,830.0,AC213203.2
AC012314.18,4120.0,AC012314.18
AC011476.4,6939.0,AC011476.4
CR547123.1,12527.0,CR547123.1
CR759815.2,2022.0,CR759815.2
KCNH1,457342.0,KCNH1
AC012314.20,13042.0,AC012314.20
KLF13,92318.0,KLF13
AC011476.9,6939.0,AC011476.9
AC012314.25,13042.0,AC012314.25
AC226007.1,12415.0,AC226007.1
BX004987.1,2236.0,BX004987.1
AC136616.3,82662.0,AC136616.3
GPX5,8998.714285714286,GPX5
AC141272.1,287.0,AC141272.1
AC026740.3,50111.0,AC026740.3
AC007325.4,5898.0,AC007325.4
CR847794.2,2023.0,CR847794.2
AL391987.2,1575.0,AL391987.2
AC011043.1,6225.0,AC011043.1
AL513523.9,1708.0,AL513523.9
TNK2,45644.0,TNK2
AC171558.1,1342.0,AC171558.1
AC012314.15,13042.0,AC012314.15
GOLGA6L9,9132.5,GOLGA6L9
SCD,17593.0,SCD
ACSL5,54362.0,ACSL5
INSM2,2890.0,INSM2
ANGPTL3,8672.0,ANGPTL3
FSHR,192380.0,FSHR
C12orf29,16314.0,C12orf29
COL6A3,90372.0,COL6A3
VAT1,10516.0,VAT1
RPS4X,21569.0,RPS4X
HJV,19278.0,HJV
AL355916.3,128836.0,AL355916.3
TMEM30B,4470.0,TMEM30B
LBHD2,5817.0,LBHD2
USH2A,800557.0,USH2A
ACSF3,75746.0,ACSF3
PIN4,121573.0,PIN4
EXOC3L4,10415.0,EXOC3L4
C12orf50,54002.0,C12orf50
FAM71F2,15584.0,FAM71F2
ACMSD,63418.0,ACMSD
RND2,6810.0,RND2
IL32,16895.0,IL32
PGAM5,11915.0,PGAM5
CITED1,5549.0,CITED1
QPRT,35420.0,QPRT
RCC2,32917.0,RCC2
IARS,83549.0,IARS
NOXA1,11056.0,NOXA1
CCNT2,41107.0,CCNT2
XPR1,258247.0,XPR1
UNC93A,44845.0,UNC93A
PXMP2,17398.0,PXMP2
CEP290,93074.0,CEP290
SPN,7897.0,SPN
PSMC2,25141.0,PSMC2
TRMT10C,4578.0,TRMT10C
S100A10,10944.0,S100A10
ANKLE2,36329.0,ANKLE2
GPR139,42432.0,GPR139
PCNP,20342.0,PCNP
ENTPD8,7452.0,ENTPD8
ANKRD31,168603.0,ANKRD31
RND1,8725.0,RND1
ZDHHC6,22489.0,ZDHHC6
ZNF516,137560.0,ZNF516
PMPCB,32076.0,PMPCB
CYP2C9,51433.0,CYP2C9
WNT8B,20703.0,WNT8B
CTAG1A,1688.0,CTAG1A
SEMA3A,536947.0,SEMA3A
PPP1R2,28958.0,PPP1R2
GSK3B,273094.0,GSK3B
CTAG1B,1673.0,CTAG1B
BBS10,3941.0,BBS10
ADCY8,260608.0,ADCY8
ARF3,21764.0,ARF3
TUBB,5206.25,TUBB
VTI1A,371746.0,VTI1A
FOXRED1,9076.0,FOXRED1
APOD,15328.0,APOD
HSDL2,92325.0,HSDL2
SMC5,95895.0,SMC5
DNAJC2,32541.0,DNAJC2
PDLIM5,216370.0,PDLIM5
ITPR3,76209.0,ITPR3
FKBP11,4956.0,FKBP11
KIAA1958,182550.0,KIAA1958
PLPP4,132901.0,PLPP4
KBTBD8,12903.0,KBTBD8
IL22,5362.0,IL22
CCNG1,8582.0,CCNG1
DNM1,63593.0,DNM1
TNFAIP2,13997.0,TNFAIP2
SUCLG2,294154.0,SUCLG2
STKLD1,29729.0,STKLD1
FAM118B,51260.0,FAM118B
CCDC65,27730.0,CCDC65
ADAMTS13,45044.0,ADAMTS13
ZMYND8,147675.0,ZMYND8
GPR156,120449.0,GPR156
SLC26A5,93447.0,SLC26A5
AC073610.2,53862.0,AC073610.2
LRRC58,24845.0,LRRC58
NUDCD2,13576.0,NUDCD2
TCF7L2,217431.0,TCF7L2
EFR3A,109549.0,EFR3A
STX6,50409.0,STX6
WDR11,58219.0,WDR11
ERLIN2,21200.0,ERLIN2
PHF19,39245.0,PHF19
FSTL1,58700.0,FSTL1
SRPRA,6206.0,SRPRA
KIAA1614,38717.0,KIAA1614
WDR19,103306.0,WDR19
GOLGA3,60164.0,GOLGA3
KLF9,30027.0,KLF9
UQCC2,17434.0,UQCC2
HMGCR,25772.0,HMGCR
PRSS42P,4553.0,PRSS42P
AC104452.1,12537.0,AC104452.1
MDM1,59938.0,MDM1
TAFA1,541374.0,TAFA1
NICN1,6380.0,NICN1
S100A11,15401.0,S100A11
MAD2L1,11235.0,MAD2L1
HHLA1,49673.0,HHLA1
OC90,35166.0,OC90
AC100868.1,61417.0,AC100868.1
CDC42EP5,8212.458333333334,CDC42EP5
AMT,5978.0,AMT
ZNF605,38000.0,ZNF605
REXO4,12037.0,REXO4
TAFA4,221531.0,TAFA4
DNAJC13,121530.0,DNAJC13
GNAI2,33070.0,GNAI2
CHFR,134117.0,CHFR
SNRPA1,13772.0,SNRPA1
PARVG,46577.0,PARVG
SERPINA3,11678.0,SERPINA3
EOGT,38467.0,EOGT
MLF2,19479.0,MLF2
ZBTB11,28606.0,ZBTB11
COL4A3BP,155793.0,COL4A3BP
SERPINA4,8471.0,SERPINA4
RPL24,5627.0,RPL24
PHC1,27571.0,PHC1
SERPINA5,31676.0,SERPINA5
AL133352.1,24253.0,AL133352.1
CEP97,45969.0,CEP97
RBFOX2,245615.0109090909,RBFOX2
SEC31B,33218.0,SEC31B
KCNQ3,360236.0,KCNQ3
SEMA3D,191302.0,SEMA3D
CYP2C8,32725.0,CYP2C8
AL049839.2,32588.0,AL049839.2
HP,6463.0,HP
PTMS,5436.0,PTMS
M6PR,9400.0,M6PR
UBA5,23651.0,UBA5
LAIR2,13017.0,LAIR2
TBC1D3F,10948.0,TBC1D3F
PTPRK,553956.1523178808,PTPRK
TBC1D3H,10892.0,TBC1D3H
RIMKLB,101495.0,RIMKLB
TMEM161B,79843.0,TMEM161B
CMTM2,8827.0,CMTM2
NXPE3,49029.0,NXPE3
TBC1D3I,10980.666666666666,TBC1D3I
ACKR4,21730.0,ACKR4
A2ML1,64380.0,A2ML1
ACAD11,101944.0,ACAD11
NDUFB8,6260.0,NDUFB8
NFKBIZ,33031.0,NFKBIZ
TMF1,32512.0,TMF1
GAPDH,3862.0,GAPDH
TPSB2,2912.0,TPSB2
MYOZ1,10103.0,MYOZ1
HSPA14,22645.09756097561,HSPA14
C9orf16,3659.0,C9orf16
TBC1D3G,10875.0,TBC1D3G
CYB561D1,8880.0,CYB561D1
HIF1AN,30926.0,HIF1AN
PRPSAP1,75035.0,PRPSAP1
CIZ1,43132.0,CIZ1
TPSG1,3606.0,TPSG1
UBA3,25678.0,UBA3
CACNA1H,68665.0,CACNA1H
NPHP3-ACAD11,164317.0,NPHP3-ACAD11
ACSM6,34728.0,ACSM6
NPHP3,41805.0,NPHP3
PRKG2,127747.0,PRKG2
MUC20,20009.321243523314,MUC20
POU2F1,206469.0,POU2F1
CDNF,19330.0,CDNF
SPHK1,11276.0,SPHK1
AGAP5,23874.0,AGAP5
NSMF,11761.0,NSMF
KIR3DX1,12833.5,KIR3DX1
TMTC3,57591.0,TMTC3
SYNPO2L,18922.0,SYNPO2L
MMP7,10242.0,MMP7
TCP10,27479.0,TCP10
TRAF1,26780.0,TRAF1
CSH2,1754.0,CSH2
ESPNL,32947.0,ESPNL
XPO1,60777.0,XPO1
PLEKHM1,54732.00386100387,PLEKHM1
EDC4,11447.0,EDC4
TTLL2,34432.0,TTLL2
SET,12976.0,SET
TXNL4B,50142.0,TXNL4B
BFSP2,75227.0,BFSP2
CDH15,23725.0,CDH15
FAM71F1,22682.0,FAM71F1
TMEM108,359401.0,TMEM108
VRK1,134340.0,VRK1
PMFBP1,64721.0,PMFBP1
ADGB,216495.0,ADGB
ESRRG,634509.0,ESRRG
RPAP3,44781.0,RPAP3
HSD11B2,6901.0,HSD11B2
KLHL6,68155.0,KLHL6
PLEC,61587.0,PLEC
ITIH2,46204.0,ITIH2
GP2,18236.0,GP2
KITLG,88058.0,KITLG
KLHL24,48909.0,KLHL24
NRN1L,3970.0,NRN1L
LILRA2,15366.21195652174,LILRA2
PTPRC,105953.73498233217,PTPRC
GRM3,220970.0,GRM3
NDUFB4,6179.0,NDUFB4
AMIGO1,5560.0,AMIGO1
MR1,28513.0,MR1
POLK,89388.0,POLK
MMP20,48500.0,MMP20
MARCKS,6130.0,MARCKS
DHX38,19299.0,DHX38
GTF2E2,79918.0,GTF2E2
ZNF26,46587.0,ZNF26
HGD,54097.0,HGD
DUSP6,5266.0,DUSP6
LRRC6,105176.0,LRRC6
FLOT1,14771.170454545454,FLOT1
GPR61,8534.0,GPR61
SMIM18,7464.0,SMIM18
YEATS2,114827.0,YEATS2
TRAF3IP3,26288.0,TRAF3IP3
ZNF84,26012.0,ZNF84
GH2,1729.0,GH2
CDV3,16531.0,CDV3
TPM2,8064.0,TPM2
LAG3,5943.0,LAG3
TMEM71,75705.0,TMEM71
PAPPA2,382430.0,PAPPA2
NEU2,2385.0,NEU2
KLHL30,14279.0,KLHL30
ZNF236,148120.0,ZNF236
PNPLA7,90450.0,PNPLA7
ARHGAP21,140278.0,ARHGAP21
CMTM3,10018.0,CMTM3
ZNF140,27706.0,ZNF140
HPR,14098.0,HPR
MAP6D1,9718.0,MAP6D1
OXSR1,90395.0,OXSR1
PARL,55662.0,PARL
ZNF891,23656.0,ZNF891
MRPL41,676.0,MRPL41
POC1B-GALNT4,6854.0,POC1B-GALNT4
GTF2E1,40432.0,GTF2E1
GALNT4,5384.0,GALNT4
SLC7A8,58379.0,SLC7A8
POC1B,106329.0,POC1B
CD63,4384.0,CD63
C1orf74,5351.0,C1orf74
RABL3,56312.0,RABL3
WNT10B,6395.0,WNT10B
INIP,34223.0,INIP
PTH1R,26078.0,PTH1R
SLC5A12,56407.0,SLC5A12
AC026786.1,71385.0,AC026786.1
PLCL1,767988.0,PLCL1
ZNF10,28890.0,ZNF10
AC131160.1,69321.0,AC131160.1
SLC22A31,5890.0,SLC22A31
GSR,49780.0,GSR
C5,97941.0,C5
CMC1,83558.0,CMC1
ANAPC5,91651.0,ANAPC5
FIBIN,1937.0,FIBIN
ZNF268,33422.0,ZNF268
ATP6V0D1,43167.0,ATP6V0D1
BOD1L2,3323.0,BOD1L2
PCSK6,228060.0,PCSK6
ST8SIA3,19174.0,ST8SIA3
RBMS3,1435600.0,RBMS3
ARHGEF10L,158176.0,ARHGEF10L
STXBP5L,516689.0,STXBP5L
PAX5,200999.0,PAX5
C16orf54,3527.0,C16orf54
EIF5,11481.0,EIF5
WNT1,3223.0,WNT1
TCHHL1,4923.0,TCHHL1
SRPRB,41739.0,SRPRB
NOTCH2NLA,82823.0,NOTCH2NLA
ESPL1,25344.0,ESPL1
TCHH,9137.0,TCHH
MYL3,47061.0,MYL3
NBPF10,164301.0,NBPF10
ZG16,4733.0,ZG16
ASTN1,307671.0,ASTN1
RAB6B,71647.0,RAB6B
ANHX,17783.0,ANHX
BBOX1,87084.0,BBOX1
CRNN,5020.0,CRNN
PGBD5,111842.0,PGBD5
TF,50601.0,TF
HRNR,12117.0,HRNR
FLG2,11271.0,FLG2
FLG,23028.0,FLG
AGAP4,28281.0,AGAP4
KMT2D,40799.0,KMT2D
ACTN2,100490.0,ACTN2
ONECUT2,55924.0,ONECUT2
DPH7,24481.0,DPH7
C6orf47,2473.857142857143,C6orf47
MUC4,52197.06998697917,MUC4
RPTN,5633.0,RPTN
GHRH,10753.0,GHRH
TOPBP1,64205.0,TOPBP1
MMP27,14319.0,MMP27
DNAH12,250645.0,DNAH12
ZNF777,29699.0,ZNF777
IER5,4187.0,IER5
SHISA4,3626.0,SHISA4
PRKAG1,16551.0,PRKAG1
ENDOU,15833.0,ENDOU
CALU,34108.0,CALU
ZNF746,25121.0,ZNF746
CSRNP1,12707.0,CSRNP1
ZCWPW2,189401.0,ZCWPW2
LMOD1,50132.0,LMOD1
PAX2,94338.0,PAX2
RNF34,30582.0,RNF34
AC098650.1,1418359.0,AC098650.1
HDAC7,50410.0,HDAC7
AZI2,34047.0,AZI2
DNAJC5B,78966.0,DNAJC5B
CTRL,4725.0,CTRL
KDM2B,151927.0,KDM2B
ZNHIT3,12681.0,ZNHIT3
SNTB1,277528.0,SNTB1
NBEA,730735.0,NBEA
HIF1A,52746.0,HIF1A
OPN1SW,3299.0,OPN1SW
TIMM23,31253.0,TIMM23
ATP2B1,121251.0,ATP2B1
PSMB10,2358.0,PSMB10
MTBP,96733.0,MTBP
TIMM17A,15161.0,TIMM17A
NYAP1,10875.0,NYAP1
ZMYND19,8431.0,ZMYND19
ARL6IP5,21155.0,ARL6IP5
MRPL13,64641.0,MRPL13
SPOP,79279.0,SPOP
AC040162.1,6403.0,AC040162.1
CRKL,36340.0,CRKL
FAM227B,293969.0,FAM227B
PSKH1,36422.0,PSKH1
PIGW,4306.5,PIGW
MYO19,47802.0,MYO19
SLF2,52171.0,SLF2
XIRP1,9386.0,XIRP1
BBS5,27175.0,BBS5
DDN,4226.0,DDN
COG2,51501.0,COG2
PHF20L1,73449.0,PHF20L1
CX3CR1,18241.0,CX3CR1
AC093899.2,46442.0,AC093899.2
KLHL41,16556.0,KLHL41
COPS2,49593.0,COPS2
RALGAPA1,270952.0,RALGAPA1
SNAPC1,34008.0,SNAPC1
SLC25A38,13981.0,SLC25A38
CCDC12,60284.0,CCDC12
SEMA3B,9988.0,SEMA3B
AGXT,11678.0,AGXT
SHISAL1,69286.0,SHISAL1
PDE7B,343873.0,PDE7B
CCR8,3805.0,CCR8
NBEAL2,30021.0,NBEAL2
LMOD3,16160.0,LMOD3
RTL6,5650.0,RTL6
C12orf10,7482.0,C12orf10
MAB21L1,3027.0,MAB21L1
PRDM5,237951.0,PRDM5
ENKUR,80300.0,ENKUR
ABCC5,98005.0,ABCC5
FGF7,65597.0,FGF7
PFDN5,4159.0,PFDN5
GPR158,427427.0,GPR158
AGFG2,29017.0,AGFG2
NEBL,394214.0,NEBL
GALK2,212213.0,GALK2
ASPHD2,15755.0,ASPHD2
PRTFDC1,103992.0,PRTFDC1
HPS4,40414.0,HPS4
DNAJC14,9864.0,DNAJC14
GSC,2014.0,GSC
FGFR2,120124.0,FGFR2
THNSL1,10052.0,THNSL1
LCE5A,1374.0,LCE5A
C10orf113,20796.0,C10orf113
RPSA,5826.0,RPSA
PDE12,10574.0,PDE12
RAPGEF3,36677.0,RAPGEF3
NCOA4,25626.0,NCOA4
CRCT1,1526.0,CRCT1
LCE3E,1118.0,LCE3E
LCE3D,1135.0,LCE3D
FUT11,7975.0,FUT11
AC023055.1,70271.0,AC023055.1
LCE3C,424.0,LCE3C
SARNP,65261.0,SARNP
SEC24C,27789.0,SEC24C
HMMR,31738.0,HMMR
AGL,73662.0,AGL
HAS2,29324.0,HAS2
ARRDC1,9675.0,ARRDC1
APOBEC1,16508.0,APOBEC1
GDF11,13998.0,GDF11
LRRC45,7846.0,LRRC45
MMP19,7533.0,MMP19
CAPN9,54619.0,CAPN9
KIFC3,104836.0,KIFC3
AGRP,1242.0,AGRP
CSH1,1752.0,CSH1
BRINP2,111464.0,BRINP2
AGT,11599.0,AGT
SLC12A4,26127.0,SLC12A4
ORMDL2,3838.0,ORMDL2
CENPX,5405.0,CENPX
SLC22A13,12945.0,SLC22A13
EHMT1,251024.0,EHMT1
ACTL8,71730.0,ACTL8
UBXN8,34759.0,UBXN8
ARF4,26857.0,ARF4
HTR3D,7825.0,HTR3D
CCDC34,32407.0,CCDC34
MAB21L4,10841.0,MAB21L4
PKN3,18413.0,PKN3
MANBAL,27622.0,MANBAL
DEF8,20135.0,DEF8
HTR3C,7624.0,HTR3C
LCE3B,287.0,LCE3B
LCE3A,269.0,LCE3A
IER3,1354.0,IER3
QTRT1,12007.0,QTRT1
ZDHHC12,3257.0,ZDHHC12
HTR3E,9931.0,HTR3E
KIF22,14666.0,KIF22
C1orf198,32470.0,C1orf198
PPP2CB,39857.0,PPP2CB
MSMB,14873.0,MSMB
SLC48A1,28835.0,SLC48A1
GNAI3,69709.0,GNAI3
IGSF21,270685.0,IGSF21
ZHX2,192855.0,ZHX2
AKT2,55219.0,AKT2
FRMD4B,373801.0,FRMD4B
CD247,87970.0,CD247
OSBPL8,208012.0,OSBPL8
RIPOR1,28370.0,RIPOR1
DENND6A,67623.0,DENND6A
FECH,42313.0,FECH
SLC46A2,11956.0,SLC46A2
TRIM55,48589.0,TRIM55
SNX30,130911.0,SNX30
AMPD2,15949.0,AMPD2
TEX15,81459.0,TEX15
ZNF778,19368.0,ZNF778
LCE2D,1263.0,LCE2D
LCE2C,1279.0,LCE2C
LCE2B,1278.0,LCE2B
LCE2A,1097.0,LCE2A
LCE4A,1331.0,LCE4A
C1orf68,948.0,C1orf68
KPRP,2491.0,KPRP
TFRC,54913.0,TFRC
LCE1F,356.0,LCE1F
ZFP37,18379.0,ZFP37
LCAT,4381.0,LCAT
NDNF,37408.0,NDNF
CREB3,4401.0,CREB3
IRF6,20558.0,IRF6
ANTXRL,43862.0,ANTXRL
TLN1,35247.0,TLN1
TBC1D31,110185.0,TBC1D31
KRBA1,19794.0,KRBA1
CSNK2B,7681.899791231734,CSNK2B
CACNA1B,246842.0,CACNA1B
CALB1,36867.0,CALB1
TG,267945.0,TG
ZDHHC19,13985.0,ZDHHC19
IKBKB,61351.0,IKBKB
GBA2,12362.0,GBA2
CHCHD1,1605.0,CHCHD1
PPIAL4H,659.0,PPIAL4H
LCE1E,2212.0,LCE1E
UTP25,29593.0,UTP25
UBE2O,63696.0,UBE2O
ELF3,9238.0,ELF3
LCE1D,1430.0,LCE1D
LY6G5B,4077.909090909091,LY6G5B
LCE1C,1793.0,LCE1C
CR753842.1,6348.0,CR753842.1
LCE1B,1138.0,LCE1B
DIO3,2101.0,DIO3
LCE1A,421.0,LCE1A
GPANK1,5056.318965517241,GPANK1
GDF3,5991.0,GDF3
LCE6A,1115.0,LCE6A
FOXD4L4,2229.0,FOXD4L4
AL162596.1,989.0,AL162596.1
SMCP,6725.0,SMCP
SLC31A2,13164.0,SLC31A2
TMC4,13095.045643153528,TMC4
UMOD,23249.0,UMOD
FKBP15,60312.0,FKBP15
KIAA1324L,182748.0,KIAA1324L
SLC51A,31691.0,SLC51A
AC022400.7,15137.0,AC022400.7
CCL27,2168.0,CCL27
CCL21,1131.0,CCL21
ZSWIM8,16215.0,ZSWIM8
RNPEP,23775.0,RNPEP
AL162231.1,1949.0,AL162231.1
SLA,66184.0,SLA
RHO,6529.0,RHO
CEP170,130911.88841201714,CEP170
TM4SF19-TCTEX1D2,22291.0,TM4SF19-TCTEX1D2
DERL1,29132.0,DERL1
LGR4,106829.0,LGR4
PCYT1A,73735.0,PCYT1A
H1FOO,8253.0,H1FOO
IL11RA,11190.0,IL11RA
GNAT2,16662.0,GNAT2
PURG,37913.0,PURG
KLHDC7A,5144.0,KLHDC7A
WRN,142128.0,WRN
IFT88,124368.0,IFT88
ARHGAP8,110230.0,ARHGAP8
NECAB1,167652.0,NECAB1
SRC,61365.0,SRC
APOL3,25847.0,APOL3
AC127029.3,14182.0,AC127029.3
CD79B,3614.0,CD79B
TMEM64,169637.0,TMEM64
AC069257.3,69992.0,AC069257.3
TCTEX1D2,27080.0,TCTEX1D2
TTC13,72632.0,TTC13
POLQ,115214.0,POLQ
LIN7C,12351.0,LIN7C
C8orf88,26767.0,C8orf88
NRAP,75411.0,NRAP
TM4SF19,19161.0,TM4SF19
PAX7,118020.0,PAX7
GH1,1639.0,GH1
DPPA3,6126.0,DPPA3
ZER1,42628.0,ZER1
LPAR5,17125.0,LPAR5
PRR5,69134.0,PRR5
ANXA8L1,16157.0,ANXA8L1
CROCC2,86981.0,CROCC2
ACRBP,9358.0,ACRBP
UBXN7,84768.0,UBXN7
MEIS3,16399.0,MEIS3
BMPR1B,400480.0,BMPR1B
SYT14,270466.0,SYT14
CSHL1,9241.0,CSHL1
ARV1,21752.0,ARV1
NDST2,9887.0,NDST2
SLC22A14,36281.0,SLC22A14
RNF168,34985.0,RNF168
SMCO1,8467.0,SMCO1
MMP8,15254.0,MMP8
NPY4R,4782.0,NPY4R
HUWE1,154632.0,HUWE1
FAM89A,21296.0,FAM89A
MTR,125986.0,MTR
WDR53,14497.0,WDR53
GPATCH2,204098.0,GPATCH2
CRH,2088.0,CRH
AL109810.2,3529.0,AL109810.2
TRIM67,59444.0,TRIM67
FBXO45,20448.0,FBXO45
AL162231.3,10468.0,AL162231.3
CLEC4C,22190.0,CLEC4C
SLC38A7,19661.0,SLC38A7
GALT,12902.0,GALT
SEMA4G,16353.0,SEMA4G
PRR5-ARHGAP8,160473.0,PRR5-ARHGAP8
RASGEF1B,617851.0,RASGEF1B
AANAT,16766.0,AANAT
PIGX,96232.0,PIGX
AAAS,17407.0,AAAS
HYAL3,6574.0,HYAL3
COL13A1,162408.0,COL13A1
IVL,3340.0,IVL
MIR1915HG,4626.0,MIR1915HG
NRROS,22310.0,NRROS
CEP19,5973.0,CEP19
SPRR5,2104.0,SPRR5
SPRR4,1926.0,SPRR4
IFRD2,5186.0,IFRD2
SPRR1A,269.0,SPRR1A
CREG1,24688.0,CREG1
PAK2,92790.0,PAK2
SPRR3,2109.0,SPRR3
SATB2,201766.0,SATB2
AC009879.3,86038.0,AC009879.3
RCSD1,78603.0,RCSD1
TNIP3,96058.0,TNIP3
ANKRD20A3,72659.0,ANKRD20A3
VXN,25004.0,VXN
SENP5,66858.0,SENP5
TWNK,7036.0,TWNK
PCOLCE,5812.0,PCOLCE
HABP2,38765.0,HABP2
CHN1,206068.0,CHN1
NAA80,3019.0,NAA80
FAM205A,6412.0,FAM205A
SAP25,1672.0,SAP25
CCL19,1706.0,CCL19
LSMEM2,9027.0,LSMEM2
NCBP2,7192.0,NCBP2
ADHFE1,36415.0,ADHFE1
FBXO24,17135.0,FBXO24
SPATA17,240372.0,SPATA17
MRPL43,18057.0,MRPL43
MLPH,69894.0,MLPH
SPRR1B,1697.0,SPRR1B
INPP5D,147936.0,INPP5D
PLXND1,51643.0,PLXND1
ZNF467,9406.0,ZNF467
F2,20326.0,F2
NCBP2AS2,869.0,NCBP2AS2
TRPM3,917841.0,TRPM3
PIGZ,22704.0,PIGZ
SPRR2D,2199.0,SPRR2D
PLEKHF2,22900.0,PLEKHF2
TAS1R2,20083.0,TAS1R2
SPRR2A,1392.0,SPRR2A
LRCH4,12118.0,LRCH4
TGIF2LX,1001.0,TGIF2LX
MELTF,41196.0,MELTF
NNAT,2484.0,NNAT
SPRR2F,1395.0,SPRR2F
SPRR2B,616.0,SPRR2B
SPRR2E,13049.0,SPRR2E
ARGFX,22705.0,ARGFX
SKIDA1,12890.0,SKIDA1
BLCAP,35459.0,BLCAP
FBXO40,36916.0,FBXO40
CENPBD1,3059.0,CENPBD1
MLLT10,218984.0,MLLT10
TBC1D13,23177.0,TBC1D13
SNRNP27,11619.0,SNRNP27
SYT16,300576.0,SYT16
GNPAT,36766.0,GNPAT
HCLS1,29528.0,HCLS1
MXD1,45257.0,MXD1
NARS,21557.0,NARS
FASTKD1,45367.0,FASTKD1
ZDHHC17,90108.0,ZDHHC17
SPRR2G,1308.0,SPRR2G
LELP1,1690.0,LELP1
C1orf131,17424.0,C1orf131
FCGR3B,8767.0,FCGR3B
PRR9,1726.0,PRR9
RRS1,1719.0,RRS1
AC009879.2,15139.0,AC009879.2
TCF19,6174.4,TCF19
GPRIN2,6486.0,GPRIN2
QRFPR,51747.0,QRFPR
