Genes,Average_GC,Norm_Symbol
RGS9BP,61.78,RGS9BP
ZNF713,43.04,ZNF713
TPPP,61.67,TPPP
TMEM64,38.54,TMEM64
AUH,38.91,AUH
CHMP2B,34.77,CHMP2B
ELF4,51.76,ELF4
GLRA2,37.68,GLRA2
SMIM30,36.68,SMIM30
RABAC1,61.23,RABAC1
CDRT15L2,55.56,CDRT15L2
ST3GAL6,38.88,ST3GAL6
AHSA1,46.04,AHSA1
FMO1,40.91,FMO1
ITGBL1,36.42000000000001,ITGBL1
CCDC92,48.94499999999999,CCDC92
GMCL1,37.76,GMCL1
ACOX1,44.18,ACOX1
TSPO,57.74,TSPO
ALKBH1,42.35,ALKBH1
FGF6,48.68,FGF6
CD44,41.56,CD44
CFAP53,41.18,CFAP53
CLEC18B,57.12,CLEC18B
P2RY2,54.78,P2RY2
RAF1,42.69,RAF1
CSF2RB,51.95,CSF2RB
COL19A1,36.54,COL19A1
SPATA20,57.05,SPATA20
GUCY2C,39.57,GUCY2C
KRR1,35.47,KRR1
CCDC39,35.81,CCDC39
SLCO1A2,36.63999999999999,SLCO1A2
FASTKD2,38.19,FASTKD2
ASL,54.6,ASL
TGIF1,43.85000000000001,TGIF1
FXYD4,54.0,FXYD4
MTNR1A,45.22,MTNR1A
EHBP1L1,60.61,EHBP1L1
SGSM1,47.65,SGSM1
SUSD5,41.41,SUSD5
CD74,53.07000000000001,CD74
MST1R,55.84000000000002,MST1R
SNX7,36.05,SNX7
TNFRSF17,40.26,TNFRSF17
CALCOCO1,49.20000000000001,CALCOCO1
MECR,48.21,MECR
PACS1,43.99,PACS1
TMEM51,48.41,TMEM51
SETX,41.0,SETX
ARHGAP28,39.10000000000001,ARHGAP28
ASXL1,42.17000000000001,ASXL1
FO681492.1,56.12,FO681492.1
RBM25,40.67000000000001,RBM25
SLC9A3,66.954,SLC9A3
ZBTB40,42.31,ZBTB40
C1orf232,56.1,C1orf232
ADM5,63.65,ADM5
LSM8,35.29,LSM8
NUTM2G,57.58,NUTM2G
KBTBD13,59.8,KBTBD13
ASB8,42.11000000000001,ASB8
TESMIN,45.07,TESMIN
TSC2,59.93000000000001,TSC2
STIM1,42.52,STIM1
RPS19,53.52,RPS19
TKTL1,48.27,TKTL1
ZNF131,44.17,ZNF131
FBXL2,38.73,FBXL2
TRIM73,53.81,TRIM73
SMPX,40.14,SMPX
ZP3,50.47,ZP3
HINT1,43.5,HINT1
AIPL1,49.33,AIPL1
DPP4,39.56,DPP4
SULT1A2,55.74,SULT1A2
SHPK,50.5,SHPK
UQCC1,43.0,UQCC1
FRMD4A,43.78,FRMD4A
AL133500.1,40.93,AL133500.1
SPACA6,53.8,SPACA6
CIPC,42.96999999999999,CIPC
TRIM59,42.27,TRIM59
CD68,55.89,CD68
GPBP1L1,41.19,GPBP1L1
PNPLA5,57.39,PNPLA5
FNDC1,43.39,FNDC1
KLRK1,34.92,KLRK1
SLC35G1,40.3,SLC35G1
DBNDD1,59.39,DBNDD1
VSTM2B,51.2,VSTM2B
OR10H3,37.12,OR10H3
DUOXA1,49.20000000000001,DUOXA1
ITSN2,39.9,ITSN2
ISM1,44.2,ISM1
RHOD,55.57,RHOD
ZNF101,46.28,ZNF101
AGTR1,37.38,AGTR1
WDR54,54.68,WDR54
FAM218A,39.77,FAM218A
EXOSC1,46.3,EXOSC1
PDE8B,41.52,PDE8B
TAS2R50,38.5,TAS2R50
THBS4,42.04,THBS4
C20orf27,56.32,C20orf27
PKD1L2,49.62,PKD1L2
RNF166,62.52999999999999,RNF166
TMEM128,41.7,TMEM128
PPP1R3C,40.5,PPP1R3C
SIK2,39.63,SIK2
DOHH,56.59,DOHH
ADAM2,35.025,ADAM2
BTF3L4,41.13,BTF3L4
IL4I1,54.88,IL4I1
FAM104B,36.9,FAM104B
GLIPR2,51.06,GLIPR2
LRRC14,63.17999999999999,LRRC14
PIP4K2B,49.36,PIP4K2B
SMIM12,47.94,SMIM12
ZNF563,42.6,ZNF563
TAF11L6,58.12,TAF11L6
NR0B1,46.49,NR0B1
SPATA9,37.03,SPATA9
CSNK1G3,34.48,CSNK1G3
PIGBOS1,47.12,PIGBOS1
PARP2,42.36,PARP2
TRMT10B,42.56,TRMT10B
BPI,48.08000000000001,BPI
MS4A4A,38.48,MS4A4A
ZNF831,45.12,ZNF831
STXBP3,36.04,STXBP3
DNPH1,55.32,DNPH1
ZNF850,41.15,ZNF850
KRTAP24-1,42.55,KRTAP24-1
TDO2,36.51,TDO2
SPCS3,36.76,SPCS3
ATP2B3,58.21,ATP2B3
DHRS7C,47.68,DHRS7C
SNRK,41.92,SNRK
TWNK,52.36999999999999,TWNK
ERAP1,39.27,ERAP1
UNC5A,58.15,UNC5A
MEPCE,58.79,MEPCE
ZNF816,43.93,ZNF816
FOXH1,64.43,FOXH1
SEC16B,43.66,SEC16B
CFHR5,34.88,CFHR5
PCNP,39.82,PCNP
LRP11,43.94,LRP11
CETN1,43.86,CETN1
UBASH3B,45.84,UBASH3B
RHOBTB2,53.51,RHOBTB2
SLC35D2,44.1,SLC35D2
CXCR3,61.25,CXCR3
NAT10,45.79,NAT10
SEMA3D,34.14,SEMA3D
MAIP1,39.93,MAIP1
CPLANE1,38.94,CPLANE1
AL109810.2,51.27,AL109810.2
CNEP1R1,40.53,CNEP1R1
ARHGDIA,68.15,ARHGDIA
IFT27,51.18,IFT27
KCNK5,51.97,KCNK5
OR5W2,40.62,OR5W2
AFP,34.51,AFP
UBD,43.471428571428575,UBD
PRPF31,57.07500000000002,PRPF31
SEZ6,54.21,SEZ6
POU2F2,51.31,POU2F2
ZBED3,43.65,ZBED3
MAN1C1,48.51,MAN1C1
PHOX2B,52.1,PHOX2B
EFR3A,35.32,EFR3A
CEP135,37.81,CEP135
SLC7A2,40.13,SLC7A2
SYTL5,37.6,SYTL5
CRX,49.03,CRX
CERS4,52.88,CERS4
NOG,59.46,NOG
DHRS7B,44.22,DHRS7B
HTR3A,50.68,HTR3A
DPP9,56.67999999999999,DPP9
MICAL2,45.98,MICAL2
TXNDC11,43.54999999999999,TXNDC11
CDHR5,63.03999999999999,CDHR5
DLGAP3,48.62,DLGAP3
RAB5C,49.38,RAB5C
OR4C16,42.34,OR4C16
TSPYL5,49.7,TSPYL5
PGF,55.88,PGF
CPVL,41.0,CPVL
ADH5,40.37,ADH5
KMT2E,37.41,KMT2E
DACT1,45.52,DACT1
PCTP,40.32,PCTP
PPIE,45.040000000000006,PPIE
CAVIN2,40.74,CAVIN2
CTDSP1,63.19,CTDSP1
RIC8A,57.49,RIC8A
GRAMD1C,39.58,GRAMD1C
TRDMT1,36.91,TRDMT1
SLC25A41,50.86,SLC25A41
LYSMD1,46.07,LYSMD1
GALNT2,45.94,GALNT2
AC008878.1,52.57,AC008878.1
TRERF1,45.75,TRERF1
NACAD,62.24,NACAD
VWDE,33.94,VWDE
OR5H15,34.33,OR5H15
ST14,51.85,ST14
CBX3,41.37,CBX3
CHST2,57.61,CHST2
SPINK5,35.55,SPINK5
RPUSD3,52.21,RPUSD3
PNPO,50.7,PNPO
DAP,46.31,DAP
HIP1R,59.16,HIP1R
ANKRD11,51.19000000000001,ANKRD11
TRIM11,56.97000000000001,TRIM11
TOB2,51.16,TOB2
OCLN,42.96,OCLN
HFM1,37.16,HFM1
ZNF549,43.95,ZNF549
TTR,42.48,TTR
FAAH,55.33,FAAH
MOGS,57.9,MOGS
SLC22A11,56.68,SLC22A11
ZBTB22,59.44363636363635,ZBTB22
ABCF2,48.50749999999999,ABCF2
MEF2D,54.21,MEF2D
TMEM159,43.7,TMEM159
APOBEC3D,54.29999999999999,APOBEC3D
FAM221A,40.02,FAM221A
POLR2E,61.47000000000001,POLR2E
NKX6-3,61.74,NKX6-3
AC008695.1,37.9,AC008695.1
ABHD12,47.42000000000001,ABHD12
INO80,42.25,INO80
ZDHHC7,48.57,ZDHHC7
ING3,35.56,ING3
TMSB15A,43.03,TMSB15A
SP110,42.37,SP110
GPN2,48.73,GPN2
RNF20,38.17,RNF20
ARMCX3,45.41,ARMCX3
IRX6,55.86,IRX6
KDELR3,49.55,KDELR3
FGF22,67.93,FGF22
AXL,50.85999999999999,AXL
NUDT2,46.38,NUDT2
PRMT6,39.31,PRMT6
SIGLEC5,44.36,SIGLEC5
HIST1H2AH,61.76,HIST1H2AH
DUSP11,40.29,DUSP11
CLK3,54.25,CLK3
COG8,52.3,COG8
SEPT4,52.36000000000001,SEPT4
TMEM107,49.51,TMEM107
EXOC3,51.23,EXOC3
DPY19L4,40.06,DPY19L4
TMEM253,48.93,TMEM253
EIF4A3,46.23,EIF4A3
OSBPL6,39.34,OSBPL6
MYCT1,35.55,MYCT1
GAGE12H,44.15,GAGE12H
NMS,43.61,NMS
TSACC,46.44,TSACC
BIVM-ERCC5,40.01,BIVM-ERCC5
KIAA0355,45.081428571428575,KIAA0355
AC100868.1,44.61,AC100868.1
AADACL3,46.11,AADACL3
DNER,41.04,DNER
LAD1,54.89,LAD1
KRTAP10-9,66.61,KRTAP10-9
RNF168,42.36,RNF168
STBD1,49.7,STBD1
MACF1,42.57000000000001,MACF1
TCF7,54.54999999999999,TCF7
CEBPA,65.86,CEBPA
CLSPN,42.79,CLSPN
CHD8,42.52,CHD8
TRIM43B,39.59,TRIM43B
PDE1C,39.74,PDE1C
RXRG,44.09,RXRG
CYP3A4,39.6,CYP3A4
MILR1,45.82999999999999,MILR1
CCDC169,37.96999999999999,CCDC169
SLC6A7,54.63,SLC6A7
AC069444.2,39.77,AC069444.2
SLC25A40,35.47,SLC25A40
RAP1GAP,56.63,RAP1GAP
GTPBP6,57.63,GTPBP6
SOX12,61.99,SOX12
GYS1,52.54,GYS1
LRRC75A,53.43,LRRC75A
BAZ1B,43.19,BAZ1B
LRSAM1,51.44,LRSAM1
TAS2R60,47.54,TAS2R60
CHPT1,38.42,CHPT1
MEF2C,36.05,MEF2C
KLHL7,38.72,KLHL7
EMB,36.85,EMB
PTPRE,47.88999999999999,PTPRE
IRF2BP2,48.01,IRF2BP2
PRAMEF26,48.32,PRAMEF26
OR5D14,44.87,OR5D14
IGKV1-33,42.72,IGKV1-33
RNF185,44.97,RNF185
MAP4,43.43,MAP4
RBBP6,37.61,RBBP6
F2,50.64000000000001,F2
RBM27,38.67,RBM27
NACA,47.57000000000001,NACA
ADCY9,47.27,ADCY9
CSAG2,40.8,CSAG2
IL1RAP,37.94,IL1RAP
C10orf120,46.74,C10orf120
UEVLD,40.82999999999999,UEVLD
AC127537.3,48.33,AC127537.3
SMS,43.39000000000001,SMS
BORCS8-MEF2B,54.55,BORCS8-MEF2B
AC131160.1,44.26,AC131160.1
QRICH2,53.1,QRICH2
C2CD4D,66.3,C2CD4D
RAB20,49.73,RAB20
MCMDC2,39.72,MCMDC2
INSL4,39.94,INSL4
CDK6,38.2,CDK6
INA,45.93,INA
C8orf33,46.22,C8orf33
TOP2A,39.79,TOP2A
NAPRT,67.89,NAPRT
TOM1L2,48.26,TOM1L2
B3GAT2,39.89,B3GAT2
SPATA2,52.32,SPATA2
AFAP1,46.39,AFAP1
CTU1,54.38,CTU1
MMACHC,47.89,MMACHC
IFT46,45.0,IFT46
PUS7L,35.9,PUS7L
SRGAP2,42.75,SRGAP2
ZNF610,44.88999999999999,ZNF610
MOXD1,37.05,MOXD1
GUF1,33.76,GUF1
CCDC183,59.17,CCDC183
PDK3,40.8,PDK3
KYAT3,38.59,KYAT3
ARHGAP18,38.51,ARHGAP18
INMT,50.11,INMT
C19orf57,52.62,C19orf57
ALLC,44.44,ALLC
PCDHB2,48.38,PCDHB2
ELK4,41.85,ELK4
CADM1,38.540000000000006,CADM1
CFL1,50.18,CFL1
SERPINB7,37.32,SERPINB7
HSPA1L,48.806,HSPA1L
NOTCH2,40.0,NOTCH2
GLUD1,42.02,GLUD1
MAP4K4,41.04,MAP4K4
MSS51,42.14,MSS51
CTHRC1,39.87,CTHRC1
OTOP1,45.55,OTOP1
DIAPH3,35.91,DIAPH3
CACNB4,41.49,CACNB4
NUDT21,39.54,NUDT21
PIGG,49.98,PIGG
MED21,39.33,MED21
TWIST2,50.47,TWIST2
MYO15A,55.2,MYO15A
NANOGNB,45.03,NANOGNB
VPS37B,47.13,VPS37B
SMIM2,44.76,SMIM2
MSMP,51.74,MSMP
KCNIP1,46.29,KCNIP1
GABRA4,35.03,GABRA4
TONSL,62.9,TONSL
BTNL2,42.04628571428571,BTNL2
TBC1D24,55.83,TBC1D24
RAD9A,52.03,RAD9A
PGRMC1,42.58,PGRMC1
DACH1,33.94,DACH1
HUWE1,41.2,HUWE1
WIPF2,45.56,WIPF2
KIAA1549L,42.91,KIAA1549L
TTC29,36.5,TTC29
PLSCR3,58.44000000000001,PLSCR3
RPL37A,44.46,RPL37A
EPCAM,44.35,EPCAM
FRMPD4,38.96,FRMPD4
GPR155,39.18,GPR155
CTSS,39.39,CTSS
SYNE2,40.76,SYNE2
AKT3,37.31333333333335,AKT3
GALNTL5,42.38,GALNTL5
AP000552.3,78.11,AP000552.3
TENM2,40.39,TENM2
RNGTT,36.63,RNGTT
MICALL2,63.37,MICALL2
TMEM189,52.37,TMEM189
RB1,38.5,RB1
GTF2B,39.79,GTF2B
AC093525.1,58.53,AC093525.1
MLLT11,46.4,MLLT11
TMEM97,44.22,TMEM97
HAS2,39.12,HAS2
PRPS1,41.82999999999999,PRPS1
ZNF470,40.17,ZNF470
POU6F2,39.45,POU6F2
C11orf74,36.82,C11orf74
CNGA2,51.31,CNGA2
PUM2,37.42000000000001,PUM2
CEP170,36.278125,CEP170
GLYATL1B,37.69,GLYATL1B
FAM133B,37.43,FAM133B
CCNE2,41.61,CCNE2
GU182347.3,48.09,GU182347.3
AC134980.3,35.58,AC134980.3
MBD3L1,45.24,MBD3L1
BCS1L,54.41999999999999,BCS1L
DDX46,42.1,DDX46
RAB11FIP1,45.87,RAB11FIP1
RAD23A,54.44,RAD23A
RPS6KC1,37.51,RPS6KC1
FZD2,64.91,FZD2
TMEM95,59.60999999999999,TMEM95
ZNF510,38.98,ZNF510
CHRND,56.16,CHRND
SPACA4,60.12,SPACA4
ZNF248,39.14,ZNF248
TRIM69,39.905,TRIM69
TNFRSF9,43.95000000000001,TNFRSF9
AC010724.2,48.3,AC010724.2
CDCA4,52.06,CDCA4
PIK3C2A,39.84,PIK3C2A
LENG8,58.955217391304366,LENG8
JARID2,43.92,JARID2
KRTAP5-3,63.29,KRTAP5-3
MTG2,49.97,MTG2
SGMS2,38.02,SGMS2
KRT13,54.1,KRT13
PIP4K2C,46.79,PIP4K2C
DEFB107B,40.41,DEFB107B
SPACA5,48.89,SPACA5
MAN1A2,35.34,MAN1A2
SLC4A5,45.71,SLC4A5
EBLN2,41.75,EBLN2
RGL2,57.05,RGL2
ZNF148,36.86,ZNF148
PKNOX1,46.99,PKNOX1
SCRN3,37.9,SCRN3
MCTP2,38.26,MCTP2
EYS,35.06,EYS
C11orf49,41.37,C11orf49
ZNF662,45.18,ZNF662
CCZ1,46.24,CCZ1
IL10RA,49.23,IL10RA
OR51I1,47.62,OR51I1
GABPB1,39.38,GABPB1
CMTM4,45.26,CMTM4
DEFB136,48.945,DEFB136
PEX14,45.03,PEX14
IL21R,47.1,IL21R
PRR30,58.72,PRR30
ELOA3D,63.92,ELOA3D
UBXN7,42.27,UBXN7
SUOX,52.21,SUOX
GNL3L,47.05,GNL3L
AL133414.2,48.17,AL133414.2
JAKMIP2,38.28,JAKMIP2
GH2,56.47000000000001,GH2
HIVEP2,38.72,HIVEP2
SUSD4,44.23,SUSD4
ANO3,36.36,ANO3
AC092718.8,43.53,AC092718.8
AIFM1,42.98,AIFM1
SEC31B,46.28,SEC31B
RASSF10,57.47,RASSF10
CALR3,47.55,CALR3
PAIP1,38.36,PAIP1
FLNB,46.61000000000001,FLNB
RSAD1,50.16,RSAD1
CGREF1,50.25,CGREF1
NFIA,40.05,NFIA
GATA3,51.55,GATA3
HRG,43.62,HRG
ONECUT1,46.72,ONECUT1
ALPK3,48.17,ALPK3
LGALS3,44.62,LGALS3
NCR2,47.16,NCR2
MGAT1,50.89999999999999,MGAT1
SAR1A,40.56,SAR1A
GJB1,51.45,GJB1
ASAP3,49.67,ASAP3
OTP,48.47,OTP
MCTP1,37.290000000000006,MCTP1
INAFM2,56.16,INAFM2
SNF8,47.13,SNF8
MYL4,45.91,MYL4
CBX8,60.54999999999999,CBX8
HNRNPH2,39.65,HNRNPH2
SMOC2,47.27,SMOC2
UNC93B1,58.6,UNC93B1
CPXM1,59.72,CPXM1
LACTB,39.93,LACTB
MAX,44.69000000000001,MAX
CACNA1G,56.94000000000001,CACNA1G
FAM110C,46.22,FAM110C
YME1L1,38.36,YME1L1
BAHD1,53.78,BAHD1
PKN2,36.25,PKN2
ZNF469,61.25,ZNF469
NELL2,36.23,NELL2
MYO1D,40.83,MYO1D
ITGB3BP,36.68,ITGB3BP
HSD3B7,60.62,HSD3B7
RGS7,39.15,RGS7
FAAP100,61.6,FAAP100
ALAS2,43.13,ALAS2
TMEM256,57.35,TMEM256
CARD18,35.28,CARD18
RHOBTB1,38.94,RHOBTB1
AC072022.2,53.91,AC072022.2
SMARCD2,55.99,SMARCD2
RIDA,38.99,RIDA
PDE5A,36.4,PDE5A
PXYLP1,44.59,PXYLP1
JHY,40.52,JHY
GNAT1,62.54999999999999,GNAT1
YTHDF3,37.56,YTHDF3
BCHE,32.29,BCHE
PITHD1,44.53,PITHD1
APLNR,55.35,APLNR
GDF9,45.32,GDF9
PPP2R2B,39.61,PPP2R2B
TSPYL1,39.82,TSPYL1
NLRP9,44.61,NLRP9
AC037482.2,63.9,AC037482.2
AGAP5,42.24,AGAP5
DTYMK,51.06,DTYMK
NEK6,54.99,NEK6
LILRA6,58.776111111111106,LILRA6
KRTAP9-9,49.9225,KRTAP9-9
RAB34,58.35,RAB34
ARRDC3,35.7,ARRDC3
SERINC5,43.8,SERINC5
IGF2,63.23,IGF2
NOL10,40.73,NOL10
OR52L1,50.18,OR52L1
KLRC2,33.53,KLRC2
PTCD1,53.4,PTCD1
TEX264,54.17999999999999,TEX264
SCD,46.86,SCD
IL11,60.84,IL11
RNASE8,54.26,RNASE8
UQCC3,52.84,UQCC3
LHX5,60.88,LHX5
C18orf63,36.67,C18orf63
CPEB1,42.2048,CPEB1
FAM126B,39.16,FAM126B
FNDC9,45.47,FNDC9
MCM5,52.45,MCM5
NAXE,56.38,NAXE
NPY4R,52.23,NPY4R
INTS5,54.61,INTS5
HIP1,48.34,HIP1
PPP1R36,42.72,PPP1R36
ZNF213,53.47000000000001,ZNF213
GBP3,40.11,GBP3
PSME1,57.43,PSME1
LRRC31,41.6,LRRC31
MMP24,49.13,MMP24
SEMA5A,40.18,SEMA5A
CLDN12,39.02,CLDN12
HOXC6,53.61,HOXC6
CCDC13,46.9,CCDC13
BCL2L2-PABPN1,46.73,BCL2L2-PABPN1
CCDC43,39.85,CCDC43
GPRC5B,51.08,GPRC5B
MISP,56.63,MISP
NEDD8,43.5,NEDD8
HTRA1,49.66,HTRA1
CCDC33,53.67999999999999,CCDC33
CCNJL,46.73,CCNJL
ORC5,36.03,ORC5
BACE1,49.51,BACE1
PIM2,53.5,PIM2
EOMES,47.95000000000001,EOMES
NKX2-4,68.36,NKX2-4
ZNF43,39.647692307692296,ZNF43
PBX4,49.79,PBX4
WDR53,43.07,WDR53
SIGLEC15,53.62,SIGLEC15
SLC22A31,65.05,SLC22A31
