Genes,CDS_Length,Norm_Symbol
TEX28,1233.0,TEX28
TMEM246,1212.0,TMEM246
HOXD11,1017.0,HOXD11
KLF5,1237.5,KLF5
AC025263.2,231.0,AC025263.2
LRRC3C,828.0,LRRC3C
THRAP3,2819.5384615384614,THRAP3
CA4,512.96,CA4
RBMY1F,1437.9130434782608,RBMY1F
MAPK12,941.6756756756756,MAPK12
ZNF613,1071.2083333333333,ZNF613
BBS1,688.5797101449275,BBS1
ANKS1B,1421.3056768558954,ANKS1B
CPXM2,1445.4827586206898,CPXM2
AWAT1,987.0,AWAT1
ALPI,904.1428571428572,ALPI
STX5,683.2142857142858,STX5
RNFT2,962.4,RNFT2
TMEM38A,678.8,TMEM38A
SMAD7,946.8,SMAD7
VPS13A,8729.27392739274,VPS13A
IGFL1,333.0,IGFL1
RANGAP1,1395.8358208955224,RANGAP1
ECPAS,4880.909090909091,ECPAS
CAPNS1,633.9925373134329,CAPNS1
FAM181A,896.6363636363636,FAM181A
CT476828.21,1272.0,CT476828.21
FAM171A2,1242.2857142857142,FAM171A2
TPM2,756.9777777777778,TPM2
XXYLT1,608.7391304347826,XXYLT1
RBBP8,1723.607142857143,RBBP8
SMIM11A,182.0,SMIM11A
LILRB3,1472.1468253968253,LILRB3
NXPH2,795.0,NXPH2
ZP3,1014.0344827586208,ZP3
FAM53A,980.4615384615383,FAM53A
EXT1,1097.888888888889,EXT1
CD3G,264.5,CD3G
DCP1B,1019.8888888888887,DCP1B
TBC1D24,1398.8181818181818,TBC1D24
HIST1H3E,411.0,HIST1H3E
TIGD1,1776.0,TIGD1
APBB2,1292.9333333333334,APBB2
OR8B4,930.0,OR8B4
ALDH16A1,1640.6029411764707,ALDH16A1
FANCF,1125.0,FANCF
WTAP,741.4090909090909,WTAP
VDAC2,781.271186440678,VDAC2
TMEM123,376.8846153846154,TMEM123
SLC35A4,794.1818181818181,SLC35A4
ZKSCAN5,2164.0384615384614,ZKSCAN5
FZD5,1758.0,FZD5
IGDCC4,3753.0,IGDCC4
KAZALD1,915.0,KAZALD1
SRRM1,2199.1625,SRRM1
MROH7-TTC4,2616.0,MROH7-TTC4
C20orf144,462.0,C20orf144
PTPRA,2161.9785714285713,PTPRA
THADA,3064.3588709677415,THADA
SOX7,1167.0,SOX7
FBXO30,2238.0,FBXO30
AC093503.1,213.0,AC093503.1
OR11L1,969.0,OR11L1
GALNT10,1269.6136363636365,GALNT10
SORT1,1652.6206896551723,SORT1
RBM43,785.0,RBM43
HAS2,1659.0,HAS2
TMEM145,1358.71875,TMEM145
PPP1R32,883.531914893617,PPP1R32
ECT2L,2535.072463768116,ECT2L
SSTR1,1176.0,SSTR1
OLIG2,658.0,OLIG2
TBP,827.686274509804,TBP
SRPK1,1410.986301369863,SRPK1
MISP3,768.3,MISP3
SYT10,1016.8125,SYT10
CPSF4L,496.3846153846154,CPSF4L
AL096870.4,829.0,AL096870.4
ZNF786,2238.428571428572,ZNF786
AS3MT,1067.875,AS3MT
HAT1,622.4,HAT1
AOC1,2033.0689655172412,AOC1
CYP2J2,993.6486486486486,CYP2J2
EXOC8,2178.0,EXOC8
APOA1,796.2352941176471,APOA1
MRS2,1172.938775510204,MRS2
AC134669.1,431.28571428571433,AC134669.1
ACVR1B,1380.3829787234042,ACVR1B
RB1,2454.403225806452,RB1
DCDC2C,1095.0,DCDC2C
RPLP2,326.46153846153845,RPLP2
PDCD2L,805.2,PDCD2L
MCIDAS,849.0,MCIDAS
C1QTNF4,645.5,C1QTNF4
PHF21B,1200.6461538461538,PHF21B
ABCG2,1702.0350877192984,ABCG2
CBLN1,546.6666666666666,CBLN1
AJAP1,1236.0,AJAP1
CACNA1I,6314.041666666668,CACNA1I
AC021087.5,1071.0,AC021087.5
CD207,987.0,CD207
GPR84,1191.0,GPR84
TNFRSF4,834.0,TNFRSF4
PDLIM5,1093.0516129032258,PDLIM5
MYL7,434.91666666666674,MYL7
KRTCAP3,549.8275862068965,KRTCAP3
ADSSL1,1074.5454545454545,ADSSL1
GP6,1366.8139534883721,GP6
RAB33A,714.0,RAB33A
RASL10B,612.0,RASL10B
TFEB,1060.1515151515152,TFEB
IGLL5,548.625,IGLL5
TMEM155,292.5,TMEM155
TRIP6,642.3529411764706,TRIP6
TMEM259,1236.1923076923074,TMEM259
WDR55,757.1428571428571,WDR55
RPL27,317.2962962962963,RPL27
ATP6V0D1,536.2891566265059,ATP6V0D1
IFT74,1273.7666666666667,IFT74
SCNM1,623.0,SCNM1
CEP120,2019.96992481203,CEP120
CDK13,2627.3414634146343,CDK13
NLRP7,2794.567415730337,NLRP7
PLCXD2,950.3076923076924,PLCXD2
URI1,660.9375,URI1
ATP11B,2208.3863636363635,ATP11B
OARD1,342.2857142857143,OARD1
SCRG1,283.5,SCRG1
MLXIP,1661.6279069767445,MLXIP
AL121594.1,1752.0,AL121594.1
TEX44,1188.0,TEX44
APTX,558.5,APTX
PIGT,844.5839552238806,PIGT
FLVCR2,808.3636363636364,FLVCR2
KCNA4,1962.0,KCNA4
RGS10,524.1428571428571,RGS10
KLK5,826.5833333333335,KLK5
GCAT,993.9354838709676,GCAT
CNOT6,1544.666666666667,CNOT6
PTGFR,975.375,PTGFR
FERMT2,1704.3730158730161,FERMT2
IFIT1,1381.2,IFIT1
NDUFS3,491.5,NDUFS3
LURAP1L,687.0,LURAP1L
KLRD1,399.2448979591837,KLRD1
PATZ1,1819.764705882353,PATZ1
SMCO1,378.0,SMCO1
CRYBB1,759.0,CRYBB1
SDK2,5570.625,SDK2
ARSA,1373.659574468085,ARSA
BRMS1L,507.29411764705884,BRMS1L
DHX32,1563.409090909091,DHX32
MLNR,1239.0,MLNR
TMEM161A,919.875,TMEM161A
AC004832.3,666.8888888888888,AC004832.3
CEP76,902.7049180327867,CEP76
MTMR9,1090.8387096774193,MTMR9
PIGG,1955.8021978021975,PIGG
CCT8,1374.6610169491526,CCT8
CSF2,435.0,CSF2
OR51B6,939.0,OR51B6
EIF2AK1,1107.6,EIF2AK1
RCAN1,554.3846153846154,RCAN1
MYB,1425.5838926174497,MYB
ATP6V1G3,306.1875,ATP6V1G3
SPTLC2,1270.32,SPTLC2
OSBPL10,1876.4857142857145,OSBPL10
INPP5A,946.94,INPP5A
GTF2A1L,941.1111111111113,GTF2A1L
C4orf47,533.5217391304348,C4orf47
METTL26,491.5925925925926,METTL26
LRRCC1,1368.8275862068965,LRRCC1
STH,387.0,STH
DUSP1,1104.0,DUSP1
ZNF280D,1992.3495145631066,ZNF280D
GLMP,799.0625,GLMP
RNF223,750.0,RNF223
TTC9C,382.4117647058823,TTC9C
OR51I1,945.0,OR51I1
ECM1,1534.551724137931,ECM1
PBDC1,700.6363636363636,PBDC1
PDGFRL,1128.0,PDGFRL
UROS,513.9111111111113,UROS
CERS4,837.1857142857143,CERS4
AL136295.15,2448.0,AL136295.15
AC008581.2,1926.0,AC008581.2
TTL,1134.0,TTL
OR4P4,939.0,OR4P4
MOCS3,1383.0,MOCS3
TTC27,1215.323076923077,TTC27
PF4V1,315.0,PF4V1
PTGES2,747.9310344827586,PTGES2
PINLYP,507.5217391304348,PINLYP
ARHGEF4,2011.9203539823006,ARHGEF4
CLCA2,2832.0,CLCA2
MLX,760.0344827586208,MLX
ZFYVE28,1684.5588235294117,ZFYVE28
ZNF750,1573.5,ZNF750
TDRD9,3247.68085106383,TDRD9
PRDX2,512.4545454545455,PRDX2
PITHD1,433.3846153846154,PITHD1
LILRB5,1652.2867647058827,LILRB5
TMEM132C,3327.0,TMEM132C
ZNF593,431.4,ZNF593
OR1J4,942.0,OR1J4
ADAMTSL4,3119.5774647887324,ADAMTSL4
STMND1,716.0,STMND1
ZNF565,1089.2,ZNF565
GRHPR,993.0,GRHPR
PHF12,1519.1264367816093,PHF12
COX7C,184.125,COX7C
GALNT16,1653.8,GALNT16
C7orf77,273.0,C7orf77
CMTM4,572.6666666666666,CMTM4
C1orf87,1366.2,C1orf87
ARVCF,2790.2608695652175,ARVCF
H2AFJ,345.6,H2AFJ
CCDC192,879.0,CCDC192
ALDH1A2,1044.6813186813188,ALDH1A2
ADH1A,1128.0,ADH1A
MT2A,200.4,MT2A
USP17L22,1656.0,USP17L22
PPP2R3A,1870.604166666667,PPP2R3A
CD14,627.4285714285714,CD14
AKR1C1,802.9090909090909,AKR1C1
ZNF30,1228.48,ZNF30
SMIM20,326.0,SMIM20
ASCC2,1321.9174311926606,ASCC2
C2orf91,394.8,C2orf91
NIPAL4,995.5,NIPAL4
FAM120C,2866.3125,FAM120C
MTHFSD,615.9724770642201,MTHFSD
TMEM135,1116.66,TMEM135
HOXA2,1131.0,HOXA2
CCNA1,1331.25,CCNA1
HSF1,922.86,HSF1
FAM193B,712.9402985074628,FAM193B
CBFA2T2,1659.7974683544305,CBFA2T2
AC108941.2,383.0,AC108941.2
RABEP1,1966.770833333333,RABEP1
HOXD3,1049.5,HOXD3
ZNF648,1707.0,ZNF648
PARP1,2289.375,PARP1
ABCG1,2013.3061224489795,ABCG1
ABHD8,882.3,ABHD8
MRPL51,240.15789473684208,MRPL51
RND3,525.375,RND3
LOXL3,1759.469696969697,LOXL3
UBE2V1,362.79545454545456,UBE2V1
TBX18,936.6923076923076,TBX18
AC093899.2,1635.0,AC093899.2
ZNF649,802.0,ZNF649
NUMA1,3150.4752475247524,NUMA1
RRP1B,2277.0,RRP1B
PDE6C,2577.0,PDE6C
SPIRE1,1551.8365384615383,SPIRE1
ZNF675,469.7878787878788,ZNF675
UVSSA,1674.3225806451612,UVSSA
RIC3,720.0,RIC3
SMC6,2622.6692307692306,SMC6
DUSP21,573.0,DUSP21
OCLN,1320.2033898305085,OCLN
PMM1,539.5714285714286,PMM1
TAPT1,870.275,TAPT1
SYTL1,1563.5901639344265,SYTL1
MYL12B,519.0,MYL12B
ERICH2,471.0,ERICH2
MYCBPAP,2325.078431372549,MYCBPAP
DNAH7,8478.185567010309,DNAH7
KDM4C,2349.1475409836066,KDM4C
HIST1H4H,312.0,HIST1H4H
LHFPL1,663.0,LHFPL1
RTP5,788.4,RTP5
DDX1,2071.0808080808083,DDX1
EXO5,755.6923076923077,EXO5
DUSP14,597.0,DUSP14
AL162231.1,193.38461538461542,AL162231.1
SHMT1,890.9491525423729,SHMT1
STARD13,2927.52,STARD13
PLEKHG6,2092.0476190476197,PLEKHG6
SLC26A1,1390.5,SLC26A1
S100Z,300.0,S100Z
HSFX3,1002.0,HSFX3
RNASE9,625.6923076923077,RNASE9
DIABLO,424.24390243902434,DIABLO
LAMP5,783.0,LAMP5
AAGAB,650.5714285714286,AAGAB
LRRC30,906.0,LRRC30
HSPH1,2011.1123595505621,HSPH1
EPS15,2215.0181818181823,EPS15
GSTM5,578.8333333333334,GSTM5
MRPL54,342.2,MRPL54
SNX19,1596.7358490566035,SNX19
TSSC4,589.71875,TSSC4
ERGIC1,437.1315789473685,ERGIC1
RPL18,451.0535714285714,RPL18
RSPH1,876.3529411764706,RSPH1
GALNT2,1716.0,GALNT2
FAN1,1954.8031914893616,FAN1
AC034102.1,414.425,AC034102.1
FLVCR1,1381.8947368421052,FLVCR1
ASPM,6722.461538461538,ASPM
SPACA3,482.8,SPACA3
IL3,459.0,IL3
DCAF1,4181.104477611941,DCAF1
PCDHB10,2403.0,PCDHB10
KIF20A,2015.6,KIF20A
KRTAP20-4,135.0,KRTAP20-4
ARL6IP1,425.72,ARL6IP1
ARGLU1,822.0,ARGLU1
CNOT9,723.4666666666667,CNOT9
SLC44A4,1880.5384615384612,SLC44A4
VWA1,648.9,VWA1
TOR3A,788.8636363636364,TOR3A
TTC28,6151.584905660377,TTC28
HNF4A,1149.5853658536585,HNF4A
TBXT,1126.0,TBXT
ARHGEF7,1804.1936936936936,ARHGEF7
NBPF4,1961.903225806452,NBPF4
VPS37A,806.6612903225806,VPS37A
TM6SF1,675.0576923076923,TM6SF1
TOPBP1,4267.6,TOPBP1
TPCN1,1785.111111111111,TPCN1
VPS37D,671.0,VPS37D
AC012314.8,1488.4444444444446,AC012314.8
SCARA5,1161.6206896551723,SCARA5
PAK1,1075.1470588235297,PAK1
CCDC137,670.8928571428571,CCDC137
ESPL1,4177.34375,ESPL1
EPM2A,538.6883116883117,EPM2A
SCT,366.0,SCT
ACADVL,1113.1240875912406,ACADVL
DDX11,1629.4763948497855,DDX11
OR7A5,960.0,OR7A5
HVCN1,680.9215686274508,HVCN1
ZNF615,1363.9583333333333,ZNF615
TNNI2,549.0,TNNI2
LY75,5169.0,LY75
MAP10,3144.0,MAP10
GU182352.3,915.0,GU182352.3
CHD2,2790.884422110553,CHD2
SLC16A2,819.2941176470587,SLC16A2
CD3EAP,985.4,CD3EAP
IL23A,570.0,IL23A
WNT10B,622.5,WNT10B
AKR1C3,861.1818181818181,AKR1C3
SALL1,3052.6363636363635,SALL1
ZNF462,4653.595238095239,ZNF462
CERCAM,1124.2537313432838,CERCAM
DCC,3129.0,DCC
IFNL1,603.0,IFNL1
NFE2L3,1474.0,NFE2L3
XPC,1529.4,XPC
ZNF579,867.5,ZNF579
RACGAP1,1070.2920792079208,RACGAP1
VTN,1076.0,VTN
OR8U1,930.0,OR8U1
PFN3,414.0,PFN3
ERN2,1798.8695652173913,ERN2
SYMPK,2471.401639344262,SYMPK
BRSK1,1695.2739726027398,BRSK1
SETD5,1636.8125,SETD5
LMO4,498.0,LMO4
SLC10A6,1134.0,SLC10A6
CLPTM1,1463.5084745762713,CLPTM1
NKX2-6,906.0,NKX2-6
SCP2D1,471.0,SCP2D1
PLCB2,3115.9454545454546,PLCB2
SLC22A17,1181.8333333333333,SLC22A17
AC092718.3,483.66666666666674,AC092718.3
ANKRD62,2754.0,ANKRD62
ANKRD28,2688.6902654867263,ANKRD28
JCAD,4080.0,JCAD
AP001273.2,2517.0,AP001273.2
TMCO1,474.0,TMCO1
SGK1,1193.1764705882354,SGK1
CBS,1378.2934782608695,CBS
RNF144B,912.0,RNF144B
ZNF768,1576.5,ZNF768
C8orf82,588.0714285714286,C8orf82
NKX2-1,931.4,NKX2-1
ELL,1160.027027027027,ELL
PNPO,427.6944444444445,PNPO
RNF112,1556.888888888889,RNF112
BCL9L,3608.6,BCL9L
CYP4F3,1382.5932203389827,CYP4F3
ENTPD5,978.2291666666665,ENTPD5
SHISA4,594.0,SHISA4
IQCC,1521.0,IQCC
AC270286.1,1302.0,AC270286.1
TGM6,2004.36,TGM6
CBR3,834.0,CBR3
CSRNP3,1529.142857142857,CSRNP3
TFRC,1965.09375,TFRC
TSPAN13,615.0,TSPAN13
GART,1778.954248366013,GART
CHKB-CPT1B,183.0,CHKB-CPT1B
TACC3,1388.0258620689654,TACC3
COX6B1,231.25,COX6B1
COL4A3BP,1504.6771428571426,COL4A3BP
ZMYND19,684.0,ZMYND19
OR8K1,960.0,OR8K1
AMN,993.4736842105265,AMN
S100A4,306.0,S100A4
GU182357.2,915.0,GU182357.2
SEMA4A,1782.4851485148513,SEMA4A
AK8,1440.0,AK8
CSAG1,197.4705882352941,CSAG1
OR2B6,942.0,OR2B6
RAD51C,547.2948717948718,RAD51C
ARFGEF1,3891.9795918367354,ARFGEF1
ZSCAN29,1270.7,ZSCAN29
AL049634.2,490.66666666666674,AL049634.2
LEMD1,407.66666666666674,LEMD1
TGFBI,880.231884057971,TGFBI
HMG20B,665.695652173913,HMG20B
GNB5,825.75,GNB5
RBM34,914.5142857142856,RBM34
BOC,2385.4482758620693,BOC
MYO9B,5215.094736842106,MYO9B
WNT2,569.5263157894736,WNT2
BIRC2,1418.7096774193549,BIRC2
CD5L,1044.0,CD5L
MDK,400.7272727272728,MDK
RNF11,465.0,RNF11
SCAF4,3407.1355932203387,SCAF4
GGT5,1512.2093023255813,GGT5
MARCH7,1755.7234042553189,MARCH7
TSNAX,698.9090909090909,TSNAX
CR788250.1,801.0,CR788250.1
SASH3,1143.0,SASH3
WIPI1,991.4,WIPI1
TNFAIP8,444.8823529411765,TNFAIP8
PAM16,349.2826086956522,PAM16
LRRC40,1809.0,LRRC40
SDHA,1532.5820895522388,SDHA
LRRC26,1005.0,LRRC26
WWTR1,774.6888888888889,WWTR1
ADRA2A,1398.0,ADRA2A
ZZEF1,5725.585106382979,ZZEF1
NUDT5,579.6666666666666,NUDT5
PPEF1,1451.5769230769229,PPEF1
TCP11X1,561.9,TCP11X1
POLD4,156.52173913043478,POLD4
APC,4275.082474226804,APC
HIST1H3A,411.0,HIST1H3A
AC025165.6,740.0,AC025165.6
ADCK5,846.2142857142858,ADCK5
DNMT3A,2367.837837837838,DNMT3A
EIF4ENIF1,2164.1414141414143,EIF4ENIF1
TMEM185A,567.4871794871794,TMEM185A
KIAA1210,5130.0,KIAA1210
CDK5RAP3,654.0157480314962,CDK5RAP3
RPS16,353.76,RPS16
CNTN3,3087.0,CNTN3
MRPS15,774.0,MRPS15
HEXIM1,1080.0,HEXIM1
OR8H1,931.5,OR8H1
ICOSLG,900.0357142857142,ICOSLG
CALML5,441.0,CALML5
RPL3L,971.3076923076924,RPL3L
TCEAL6,552.0,TCEAL6
SLC25A47,708.0,SLC25A47
AC243837.4,921.0,AC243837.4
KMT5B,1199.087378640777,KMT5B
MSGN1,582.0,MSGN1
AC006486.1,501.0,AC006486.1
ID3,360.0,ID3
MC4R,999.0,MC4R
CILP2,3480.0,CILP2
TXLNB,1672.6153846153845,TXLNB
APELA,165.0,APELA
AGER,914.8351648351648,AGER
GOLGA6L9,1299.0,GOLGA6L9
ETFDH,1421.6764705882354,ETFDH
ACER3,380.6944444444445,ACER3
C19orf44,1315.5,C19orf44
NBEAL1,6166.670886075948,NBEAL1
HIST1H4I,312.0,HIST1H4I
CDK3,766.6923076923077,CDK3
FDXACB1,1184.5384615384614,FDXACB1
CREB3L1,1076.55,CREB3L1
TMEM126A,349.25,TMEM126A
CCDC154,1572.5384615384617,CCDC154
RSBN1L,1534.6153846153845,RSBN1L
RNF114,415.0625,RNF114
ZNF597,1275.0,ZNF597
GID8,687.0,GID8
FKBP4,727.4545454545455,FKBP4
RELL2,816.8571428571429,RELL2
GTF3C3,1457.5072463768115,GTF3C3
LTBP3,2237.763819095477,LTBP3
KRTAP22-1,147.0,KRTAP22-1
FAM162B,489.0,FAM162B
GLDC,1523.391891891892,GLDC
LRRC4,570.4,LRRC4
TUFM,930.7058823529413,TUFM
MECOM,2641.1559139784945,MECOM
IL17B,543.0,IL17B
PRKAA1,1444.56,PRKAA1
MAGOH,391.66666666666674,MAGOH
KRTAP10-3,666.0,KRTAP10-3
UBXN2A,780.0,UBXN2A
PIGU,1119.9310344827586,PIGU
ADARB1,2051.314606741573,ADARB1
DRD2,1156.7272727272727,DRD2
MRPL4,774.742857142857,MRPL4
B3GALT5,934.5,B3GALT5
ELK4,1161.4285714285713,ELK4
NAV3,5140.69540229885,NAV3
LHCGR,1372.68,LHCGR
SFXN2,514.9538461538461,SFXN2
DHRSX,573.6818181818181,DHRSX
AL365214.3,243.14285714285717,AL365214.3
HOXC12,849.0,HOXC12
DRD4,1260.0,DRD4
TSNAX-DISC1,443.8453608247423,TSNAX-DISC1
C9orf92,327.0,C9orf92
PELP1,2264.4,PELP1
KIFC1,1419.421052631579,KIFC1
FBXO46,801.3333333333335,FBXO46
TRMT10C,1074.0,TRMT10C
CTLA4,444.75,CTLA4
MAN2A2,2154.579268292683,MAN2A2
FAM168B,588.0,FAM168B
SLC6A8,1238.3809523809525,SLC6A8
AMPH,1795.5254237288134,AMPH
EHMT2,3392.695763799744,EHMT2
BRD4,2351.373134328358,BRD4
SCYL2,2057.449275362319,SCYL2
PRR20A,666.0,PRR20A
PON1,651.0,PON1
MEX3B,1299.0,MEX3B
AC080038.1,3066.520833333333,AC080038.1
ILVBL,1081.060606060606,ILVBL
XPO7,2802.2647058823527,XPO7
HDDC3,483.8,HDDC3
RPL23,320.34375,RPL23
TAF11L4,597.0,TAF11L4
PLCXD3,966.0,PLCXD3
CXCR4,1063.0,CXCR4
CD58,692.25,CD58
HSPBP1,773.3695652173913,HSPBP1
BHLHA9,708.0,BHLHA9
RIC8A,1039.4545454545455,RIC8A
C2CD2L,1891.842105263158,C2CD2L
LNPK,962.25,LNPK
ITGB1BP1,407.3086419753088,ITGB1BP1
NPEPL1,1328.2608695652175,NPEPL1
ZSCAN16,1047.0,ZSCAN16
KRTAP27-1,624.0,KRTAP27-1
SEPT4,1047.2554744525548,SEPT4
PAPLN,3163.255813953489,PAPLN
EPGN,337.9,EPGN
RALYL,727.75,RALYL
ADTRP,516.5135135135135,ADTRP
ATG4A,752.2647058823529,ATG4A
R3HDML,762.0,R3HDML
PAICS,1218.0,PAICS
CYB561D1,454.71428571428567,CYB561D1
KRTAP4-11,588.0,KRTAP4-11
TMEM86B,681.0,TMEM86B
FZD8,2085.0,FZD8
FEZ1,932.3333333333335,FEZ1
FOXR1,678.0,FOXR1
CAMK2B,1331.7444444444445,CAMK2B
ALDH4A1,1523.2727272727273,ALDH4A1
CRYBA4,591.0,CRYBA4
OSGIN2,1358.0869565217392,OSGIN2
PIGW,1287.6666666666667,PIGW
DUSP18,378.5,DUSP18
ZNF573,790.05,ZNF573
MRM2,631.8,MRM2
AMPD1,1789.2666666666669,AMPD1
ZNF285,1160.142857142857,ZNF285
KITLG,457.1025641025641,KITLG
LUC7L,500.0,LUC7L
AIG1,550.7954545454545,AIG1
ZNF318,4655.363636363636,ZNF318
TRIM49B,1359.0,TRIM49B
EIF4B,1236.9021739130435,EIF4B
LAMA5,9492.702127659577,LAMA5
KLHL32,1148.4310344827584,KLHL32
CAGE1,2051.783505154639,CAGE1
NOL11,1126.0392156862745,NOL11
ARHGEF37,1705.875,ARHGEF37
C8orf86,572.4,C8orf86
CPM,838.5178571428571,CPM
ELP2,1964.125,ELP2
NR2F2,824.9285714285713,NR2F2
POFUT1,924.5,POFUT1
ABHD14B,624.3333333333334,ABHD14B
TOGARAM1,3952.3823529411766,TOGARAM1
TMEM17,597.0,TMEM17
DDB1,2554.4415584415588,DDB1
EXOSC2,783.2916666666665,EXOSC2
PRPS1,614.5945945945947,PRPS1
CFHR2,746.125,CFHR2
PPP2R2D,490.0930232558139,PPP2R2D
TJAP1,1287.1078431372548,TJAP1
OR6Q1,954.0,OR6Q1
FAM222B,466.4181818181818,FAM222B
NEK5,2006.7428571428568,NEK5
PRM2,366.0,PRM2
SCD5,894.3333333333335,SCD5
TXN,291.3333333333333,TXN
ZNF80,822.0,ZNF80
ELOF1,269.25714285714287,ELOF1
MORC2,2710.583333333333,MORC2
WWP1,2384.2758620689656,WWP1
METTL9,641.5833333333334,METTL9
TMEM265,327.0,TMEM265
SLC25A19,689.3291139240506,SLC25A19
