Genes,Average No. of Exons per Transcript,Norm_Symbol
WNT3,3.6666666666666665,WNT3
AC006518.8,5.0,AC006518.8
AC012314.24,15.0,AC012314.24
ABO,6.888888888888888,ABO
AL593848.2,3.0,AL593848.2
SURF1,6.4,SURF1
AC233755.1,2.0,AC233755.1
CRHR1,9.852941176470589,CRHR1
AL627230.3,3.0,AL627230.3
RYBP,5.333333333333333,RYBP
AC136616.1,14.5,AC136616.1
AC233755.2,1.0,AC233755.2
GSTT2B,5.0,GSTT2B
RPL7A,5.888888888888888,RPL7A
AC240274.1,16.5,AC240274.1
SCG5,4.526315789473684,SCG5
AC011043.2,4.0,AC011043.2
AC012314.23,13.5,AC012314.23
TRPM1,18.764705882352946,TRPM1
ZNF883,2.0,ZNF883
AC012314.26,4.0,AC012314.26
AC090958.3,2.0,AC090958.3
AC023491.2,1.0,AC023491.2
AC012314.5,4.0,AC012314.5
AC012314.4,13.5,AC012314.4
AC012314.19,13.5,AC012314.19
AL354822.1,1.0,AL354822.1
AC011841.1,4.0,AC011841.1
AC004556.1,5.0,AC004556.1
AL662796.1,5.0,AL662796.1
GPX6,4.4,GPX6
MED22,3.9,MED22
AC012314.8,13.5,AC012314.8
AC011476.5,6.0,AC011476.5
AC012314.10,13.5,AC012314.10
DOHH,5.0,DOHH
AP006285.3,3.0,AP006285.3
SURF2,4.333333333333333,SURF2
BX072566.1,9.5,BX072566.1
AC007325.1,1.0,AC007325.1
AC007244.1,1.0,AC007244.1
CHRFAM7A,7.7,CHRFAM7A
TJP1,16.0625,TJP1
CR933783.1,3.0,CR933783.1
GOLGA8J,17.428571428571427,GOLGA8J
AC011295.2,4.0,AC011295.2
AC011476.6,6.0,AC011476.6
AC213203.2,1.0,AC213203.2
AC012314.18,4.0,AC012314.18
AC011476.4,6.0,AC011476.4
CR547123.1,3.0,CR547123.1
CR759815.2,5.0,CR759815.2
KCNH1,8.235294117647058,KCNH1
AC012314.20,15.0,AC012314.20
KLF13,2.333333333333333,KLF13
AC011476.9,6.0,AC011476.9
AC012314.25,15.0,AC012314.25
AC226007.1,5.5,AC226007.1
BX004987.1,1.0,BX004987.1
AC136616.3,3.0,AC136616.3
GPX5,4.666666666666667,GPX5
AC141272.1,1.0,AC141272.1
AC026740.3,6.5,AC026740.3
AC007325.4,5.0,AC007325.4
CR847794.2,5.0,CR847794.2
AL391987.2,2.0,AL391987.2
AC011043.1,2.0,AC011043.1
AL513523.9,4.0,AL513523.9
TNK2,14.25,TNK2
AC171558.1,1.0,AC171558.1
AC012314.15,15.0,AC012314.15
GOLGA6L9,5.666666666666668,GOLGA6L9
SCD,6.0,SCD
ACSL5,14.111111111111109,ACSL5
INSM2,1.0,INSM2
ANGPTL3,4.0,ANGPTL3
FSHR,8.4,FSHR
C12orf29,5.5,C12orf29
COL6A3,18.714285714285715,COL6A3
VAT1,4.111111111111111,VAT1
RPS4X,4.4,RPS4X
HJV,3.1428571428571432,HJV
AL355916.3,4.0,AL355916.3
TMEM30B,1.6666666666666667,TMEM30B
LBHD2,4.0,LBHD2
USH2A,24.75,USH2A
ACSF3,6.0,ACSF3
PIN4,3.888888888888889,PIN4
EXOC3L4,5.571428571428571,EXOC3L4
C12orf50,8.4,C12orf50
FAM71F2,4.571428571428571,FAM71F2
ACMSD,7.75,ACMSD
RND2,3.5,RND2
IL32,5.8,IL32
PGAM5,5.75,PGAM5
CITED1,3.4545454545454546,CITED1
QPRT,3.4,QPRT
RCC2,9.0,RCC2
IARS,13.384615384615385,IARS
NOXA1,13.0,NOXA1
CCNT2,6.7,CCNT2
XPR1,7.4,XPR1
UNC93A,5.0,UNC93A
PXMP2,3.6,PXMP2
CEP290,26.25,CEP290
SPN,2.0,SPN
PSMC2,8.2,PSMC2
TRMT10C,2.0,TRMT10C
S100A10,3.25,S100A10
ANKLE2,5.833333333333332,ANKLE2
GPR139,2.5,GPR139
PCNP,3.875,PCNP
ENTPD8,8.2,ENTPD8
ANKRD31,21.66666666666667,ANKRD31
RND1,3.333333333333333,RND1
ZDHHC6,8.6,ZDHHC6
ZNF516,3.2,ZNF516
PMPCB,9.875,PMPCB
CYP2C9,5.4,CYP2C9
WNT8B,6.0,WNT8B
CTAG1A,4.0,CTAG1A
SEMA3A,8.0,SEMA3A
PPP1R2,4.0,PPP1R2
GSK3B,8.0,GSK3B
CTAG1B,2.5,CTAG1B
BBS10,2.0,BBS10
ADCY8,13.333333333333336,ADCY8
ARF3,3.6,ARF3
TUBB,4.0,TUBB
VTI1A,4.777777777777779,VTI1A
FOXRED1,6.111111111111112,FOXRED1
APOD,5.4,APOD
HSDL2,8.4,HSDL2
SMC5,9.5,SMC5
DNAJC2,8.909090909090908,DNAJC2
PDLIM5,8.08695652173913,PDLIM5
ITPR3,58.5,ITPR3
FKBP11,4.230769230769232,FKBP11
KIAA1958,4.0,KIAA1958
PLPP4,5.75,PLPP4
KBTBD8,2.6,KBTBD8
IL22,5.5,IL22
CCNG1,4.384615384615385,CCNG1
DNM1,10.172413793103447,DNM1
TNFAIP2,6.8181818181818175,TNFAIP2
SUCLG2,9.25,SUCLG2
STKLD1,5.4,STKLD1
FAM118B,6.1,FAM118B
CCDC65,6.8,CCDC65
ADAMTS13,20.11111111111111,ADAMTS13
ZMYND8,19.047619047619047,ZMYND8
GPR156,7.0,GPR156
SLC26A5,17.0,SLC26A5
AC073610.2,4.0,AC073610.2
LRRC58,4.0,LRRC58
NUDCD2,3.5,NUDCD2
TCF7L2,8.866666666666667,TCF7L2
EFR3A,11.875,EFR3A
STX6,4.75,STX6
WDR11,8.941176470588236,WDR11
ERLIN2,7.0,ERLIN2
PHF19,6.5,PHF19
FSTL1,4.9,FSTL1
SRPRA,6.142857142857142,SRPRA
KIAA1614,5.2,KIAA1614
WDR19,9.888888888888891,WDR19
GOLGA3,12.375,GOLGA3
KLF9,2.0,KLF9
UQCC2,3.25,UQCC2
HMGCR,6.769230769230768,HMGCR
PRSS42P,4.333333333333333,PRSS42P
AC104452.1,9.888888888888891,AC104452.1
MDM1,5.466666666666668,MDM1
TAFA1,4.0,TAFA1
NICN1,5.25,NICN1
S100A11,3.0,S100A11
MAD2L1,3.2,MAD2L1
HHLA1,13.333333333333336,HHLA1
OC90,14.0,OC90
AC100868.1,18.0,AC100868.1
CDC42EP5,2.4,CDC42EP5
AMT,6.385964912280703,AMT
ZNF605,3.6666666666666665,ZNF605
REXO4,5.333333333333333,REXO4
TAFA4,5.666666666666668,TAFA4
DNAJC13,17.777777777777782,DNAJC13
GNAI2,7.25,GNAI2
CHFR,7.541666666666668,CHFR
SNRPA1,5.4375,SNRPA1
PARVG,7.583333333333332,PARVG
SERPINA3,3.333333333333333,SERPINA3
EOGT,10.0,EOGT
MLF2,5.909090909090909,MLF2
ZBTB11,5.0,ZBTB11
COL4A3BP,12.724137931034482,COL4A3BP
SERPINA4,5.0,SERPINA4
RPL24,4.166666666666667,RPL24
PHC1,8.142857142857142,PHC1
SERPINA5,3.6666666666666665,SERPINA5
AL133352.1,8.4,AL133352.1
CEP97,7.833333333333332,CEP97
RBFOX2,9.821428571428571,RBFOX2
SEC31B,12.615384615384615,SEC31B
KCNQ3,14.0,KCNQ3
SEMA3D,9.75,SEMA3D
CYP2C8,8.0,CYP2C8
AL049839.2,8.0,AL049839.2
HP,4.833333333333333,HP
PTMS,4.714285714285714,PTMS
M6PR,3.8461538461538463,M6PR
UBA5,6.928571428571429,UBA5
LAIR2,3.5,LAIR2
TBC1D3F,14.0,TBC1D3F
PTPRK,13.727272727272727,PTPRK
TBC1D3H,14.0,TBC1D3H
RIMKLB,5.0769230769230775,RIMKLB
TMEM161B,8.0,TMEM161B
CMTM2,3.25,CMTM2
NXPE3,5.857142857142858,NXPE3
TBC1D3I,12.333333333333336,TBC1D3I
ACKR4,2.5,ACKR4
A2ML1,12.444444444444445,A2ML1
ACAD11,11.1,ACAD11
NDUFB8,3.7777777777777777,NDUFB8
NFKBIZ,6.545454545454546,NFKBIZ
TMF1,10.428571428571429,TMF1
GAPDH,7.1818181818181825,GAPDH
TPSB2,6.333333333333332,TPSB2
MYOZ1,6.0,MYOZ1
HSPA14,5.857142857142858,HSPA14
C9orf16,2.75,C9orf16
TBC1D3G,14.0,TBC1D3G
CYB561D1,3.111111111111111,CYB561D1
HIF1AN,4.8,HIF1AN
PRPSAP1,5.166666666666667,PRPSAP1
CIZ1,9.862068965517242,CIZ1
TPSG1,4.5,TPSG1
UBA3,8.384615384615385,UBA3
CACNA1H,22.66666666666667,CACNA1H
NPHP3-ACAD11,25.0,NPHP3-ACAD11
ACSM6,10.0,ACSM6
NPHP3,10.818181818181818,NPHP3
PRKG2,15.285714285714285,PRKG2
MUC20,3.216666666666667,MUC20
POU2F1,11.411764705882351,POU2F1
CDNF,4.2,CDNF
SPHK1,5.3,SPHK1
AGAP5,6.75,AGAP5
NSMF,11.8,NSMF
KIR3DX1,6.7142857142857135,KIR3DX1
TMTC3,8.75,TMTC3
SYNPO2L,3.0,SYNPO2L
MMP7,4.333333333333333,MMP7
TCP10,5.545454545454546,TCP10
TRAF1,7.666666666666668,TRAF1
CSH2,3.571428571428572,CSH2
ESPNL,5.0,ESPNL
XPO1,7.583333333333332,XPO1
PLEKHM1,5.078431372549018,PLEKHM1
EDC4,10.214285714285714,EDC4
TTLL2,3.5,TTLL2
SET,5.636363636363638,SET
TXNL4B,4.0,TXNL4B
BFSP2,3.5,BFSP2
CDH15,7.333333333333332,CDH15
FAM71F1,6.0,FAM71F1
TMEM108,4.454545454545454,TMEM108
VRK1,5.571428571428571,VRK1
PMFBP1,11.272727272727273,PMFBP1
ADGB,12.25,ADGB
ESRRG,6.5,ESRRG
RPAP3,8.428571428571429,RPAP3
HSD11B2,3.5,HSD11B2
KLHL6,5.75,KLHL6
PLEC,24.13333333333333,PLEC
ITIH2,10.333333333333334,ITIH2
GP2,6.545454545454546,GP2
KITLG,8.0,KITLG
KLHL24,3.8666666666666663,KLHL24
NRN1L,2.6666666666666665,NRN1L
LILRA2,6.133333333333334,LILRA2
PTPRC,9.129032258064516,PTPRC
GRM3,3.4,GRM3
NDUFB4,2.333333333333333,NDUFB4
AMIGO1,2.0,AMIGO1
MR1,5.111111111111111,MR1
POLK,10.058823529411764,POLK
MMP20,6.0,MMP20
MARCKS,2.0,MARCKS
DHX38,6.2857142857142865,DHX38
GTF2E2,6.2,GTF2E2
ZNF26,3.1428571428571432,ZNF26
HGD,6.0,HGD
DUSP6,2.4,DUSP6
LRRC6,7.769230769230768,LRRC6
FLOT1,5.802197802197803,FLOT1
GPR61,3.0,GPR61
SMIM18,3.5,SMIM18
YEATS2,8.166666666666666,YEATS2
TRAF3IP3,7.875,TRAF3IP3
ZNF84,3.8125,ZNF84
GH2,4.6,GH2
CDV3,4.666666666666667,CDV3
TPM2,6.6,TPM2
LAG3,5.25,LAG3
TMEM71,5.545454545454546,TMEM71
PAPPA2,7.2,PAPPA2
NEU2,2.0,NEU2
KLHL30,8.0,KLHL30
ZNF236,14.125,ZNF236
PNPLA7,15.142857142857142,PNPLA7
ARHGAP21,10.0,ARHGAP21
CMTM3,4.6,CMTM3
ZNF140,5.0,ZNF140
HPR,4.8,HPR
MAP6D1,2.75,MAP6D1
OXSR1,9.333333333333334,OXSR1
PARL,7.384615384615384,PARL
ZNF891,3.0,ZNF891
MRPL41,2.0,MRPL41
POC1B-GALNT4,3.0,POC1B-GALNT4
GTF2E1,3.2,GTF2E1
GALNT4,1.0,GALNT4
SLC7A8,6.357142857142858,SLC7A8
POC1B,6.7142857142857135,POC1B
CD63,6.375,CD63
C1orf74,2.0,C1orf74
RABL3,7.333333333333332,RABL3
WNT10B,4.333333333333333,WNT10B
INIP,4.333333333333333,INIP
PTH1R,12.5,PTH1R
SLC5A12,10.4,SLC5A12
AC026786.1,11.0,AC026786.1
PLCL1,5.166666666666667,PLCL1
ZNF10,4.2,ZNF10
AC131160.1,11.0,AC131160.1
SLC22A31,5.333333333333333,SLC22A31
GSR,11.625,GSR
C5,11.2,C5
CMC1,3.5454545454545454,CMC1
ANAPC5,7.636363636363638,ANAPC5
FIBIN,1.0,FIBIN
ZNF268,4.894736842105263,ZNF268
ATP6V0D1,5.722222222222222,ATP6V0D1
BOD1L2,1.0,BOD1L2
PCSK6,9.476190476190476,PCSK6
ST8SIA3,3.0,ST8SIA3
RBMS3,8.45,RBMS3
ARHGEF10L,13.777777777777779,ARHGEF10L
STXBP5L,20.75,STXBP5L
PAX5,7.5,PAX5
C16orf54,2.0,C16orf54
EIF5,4.523809523809524,EIF5
WNT1,4.5,WNT1
TCHHL1,3.0,TCHHL1
SRPRB,5.2,SRPRB
NOTCH2NLA,4.666666666666667,NOTCH2NLA
ESPL1,14.0,ESPL1
TCHH,2.5,TCHH
MYL3,7.0,MYL3
NBPF10,67.33333333333333,NBPF10
ZG16,4.0,ZG16
ASTN1,18.2,ASTN1
RAB6B,6.428571428571429,RAB6B
ANHX,8.5,ANHX
BBOX1,5.5,BBOX1
CRNN,3.0,CRNN
PGBD5,6.0,PGBD5
TF,4.928571428571429,TF
HRNR,3.0,HRNR
FLG2,3.0,FLG2
FLG,3.0,FLG
AGAP4,6.625,AGAP4
KMT2D,9.75,KMT2D
ACTN2,15.0,ACTN2
ONECUT2,2.5,ONECUT2
DPH7,5.285714285714286,DPH7
C6orf47,1.0,C6orf47
MUC4,19.32075471698113,MUC4
RPTN,3.0,RPTN
GHRH,4.333333333333333,GHRH
TOPBP1,8.3,TOPBP1
MMP27,10.0,MMP27
DNAH12,22.555555555555557,DNAH12
ZNF777,6.0,ZNF777
IER5,1.0,IER5
SHISA4,4.0,SHISA4
PRKAG1,8.05,PRKAG1
ENDOU,7.5,ENDOU
CALU,6.833333333333332,CALU
ZNF746,5.8,ZNF746
CSRNP1,5.0,CSRNP1
ZCWPW2,6.8,ZCWPW2
LMOD1,3.5,LMOD1
PAX2,7.4444444444444455,PAX2
RNF34,4.181818181818182,RNF34
AC098650.1,14.0,AC098650.1
HDAC7,10.366666666666667,HDAC7
AZI2,5.285714285714286,AZI2
DNAJC5B,5.0,DNAJC5B
CTRL,4.5,CTRL
KDM2B,9.842105263157897,KDM2B
ZNHIT3,3.75,ZNHIT3
SNTB1,5.5,SNTB1
NBEA,33.375,NBEA
HIF1A,8.0,HIF1A
OPN1SW,5.0,OPN1SW
TIMM23,7.0,TIMM23
ATP2B1,9.090909090909092,ATP2B1
PSMB10,5.0,PSMB10
MTBP,6.625,MTBP
TIMM17A,4.75,TIMM17A
NYAP1,4.25,NYAP1
ZMYND19,4.0,ZMYND19
ARL6IP5,3.0,ARL6IP5
MRPL13,4.285714285714286,MRPL13
SPOP,7.4,SPOP
AC040162.1,5.5,AC040162.1
CRKL,3.5,CRKL
FAM227B,6.428571428571429,FAM227B
PSKH1,2.333333333333333,PSKH1
PIGW,2.0,PIGW
MYO19,7.296296296296298,MYO19
SLF2,11.5,SLF2
XIRP1,2.333333333333333,XIRP1
BBS5,6.166666666666668,BBS5
DDN,2.0,DDN
COG2,10.555555555555557,COG2
PHF20L1,9.9,PHF20L1
CX3CR1,2.0,CX3CR1
AC093899.2,16.0,AC093899.2
KLHL41,4.666666666666667,KLHL41
COPS2,7.75,COPS2
RALGAPA1,14.842105263157894,RALGAPA1
SNAPC1,10.0,SNAPC1
SLC25A38,6.111111111111112,SLC25A38
CCDC12,4.307692307692308,CCDC12
SEMA3B,10.6,SEMA3B
AGXT,5.75,AGXT
SHISAL1,5.0,SHISAL1
PDE7B,9.666666666666666,PDE7B
CCR8,2.5,CCR8
NBEAL2,12.882352941176471,NBEAL2
LMOD3,3.6666666666666665,LMOD3
RTL6,2.0,RTL6
C12orf10,4.1,C12orf10
MAB21L1,1.0,MAB21L1
PRDM5,8.0,PRDM5
ENKUR,5.6,ENKUR
ABCC5,10.846153846153848,ABCC5
FGF7,3.5,FGF7
PFDN5,3.8,PFDN5
GPR158,7.25,GPR158
AGFG2,8.0,AGFG2
NEBL,6.461538461538463,NEBL
GALK2,6.863636363636362,GALK2
ASPHD2,4.0,ASPHD2
PRTFDC1,7.0,PRTFDC1
HPS4,8.277777777777779,HPS4
DNAJC14,5.166666666666667,DNAJC14
GSC,3.0,GSC
FGFR2,11.703703703703706,FGFR2
THNSL1,3.0,THNSL1
LCE5A,2.0,LCE5A
C10orf113,2.0,C10orf113
RPSA,4.222222222222221,RPSA
PDE12,2.5,PDE12
RAPGEF3,14.95,RAPGEF3
NCOA4,9.714285714285714,NCOA4
CRCT1,2.0,CRCT1
LCE3E,2.0,LCE3E
LCE3D,2.0,LCE3D
FUT11,2.5,FUT11
AC023055.1,7.4,AC023055.1
LCE3C,1.0,LCE3C
SARNP,8.833333333333334,SARNP
SEC24C,15.0,SEC24C
HMMR,10.875,HMMR
AGL,29.875,AGL
HAS2,4.0,HAS2
ARRDC1,5.166666666666667,ARRDC1
APOBEC1,4.5,APOBEC1
GDF11,3.5,GDF11
LRRC45,7.666666666666668,LRRC45
MMP19,5.888888888888888,MMP19
CAPN9,15.5,CAPN9
KIFC3,7.9714285714285715,KIFC3
AGRP,4.0,AGRP
CSH1,3.333333333333333,CSH1
BRINP2,5.0,BRINP2
AGT,5.0,AGT
SLC12A4,12.052631578947368,SLC12A4
ORMDL2,3.4,ORMDL2
CENPX,4.363636363636363,CENPX
SLC22A13,6.666666666666668,SLC22A13
EHMT1,6.5769230769230775,EHMT1
ACTL8,2.5,ACTL8
UBXN8,5.7,UBXN8
ARF4,4.222222222222221,ARF4
HTR3D,6.5,HTR3D
CCDC34,5.0,CCDC34
MAB21L4,3.8,MAB21L4
PKN3,11.666666666666664,PKN3
MANBAL,4.0,MANBAL
DEF8,6.965517241379311,DEF8
HTR3C,9.0,HTR3C
LCE3B,1.0,LCE3B
LCE3A,1.0,LCE3A
IER3,1.5,IER3
QTRT1,5.75,QTRT1
ZDHHC12,4.6,ZDHHC12
HTR3E,7.5,HTR3E
KIF22,8.2,KIF22
C1orf198,3.7142857142857135,C1orf198
PPP2CB,3.4,PPP2CB
MSMB,4.0,MSMB
SLC48A1,3.4444444444444446,SLC48A1
GNAI3,9.0,GNAI3
IGSF21,6.0,IGSF21
ZHX2,3.0,ZHX2
AKT2,6.095238095238094,AKT2
FRMD4B,6.888888888888888,FRMD4B
CD247,5.857142857142858,CD247
OSBPL8,10.388888888888891,OSBPL8
RIPOR1,9.391304347826088,RIPOR1
DENND6A,7.0,DENND6A
FECH,7.166666666666668,FECH
SLC46A2,4.0,SLC46A2
TRIM55,7.4,TRIM55
SNX30,6.333333333333332,SNX30
AMPD2,9.666666666666666,AMPD2
TEX15,7.5,TEX15
ZNF778,4.571428571428571,ZNF778
LCE2D,2.0,LCE2D
LCE2C,2.0,LCE2C
LCE2B,2.0,LCE2B
LCE2A,2.0,LCE2A
LCE4A,1.5,LCE4A
C1orf68,1.0,C1orf68
KPRP,1.0,KPRP
TFRC,6.866666666666666,TFRC
LCE1F,1.0,LCE1F
ZFP37,4.0,ZFP37
LCAT,3.888888888888889,LCAT
NDNF,3.75,NDNF
CREB3,8.5,CREB3
IRF6,6.6,IRF6
ANTXRL,11.5,ANTXRL
TLN1,10.875,TLN1
TBC1D31,10.8,TBC1D31
KRBA1,8.555555555555555,KRBA1
CSNK2B,6.063291139240508,CSNK2B
CACNA1B,40.57142857142857,CACNA1B
CALB1,5.363636363636363,CALB1
TG,9.7,TG
ZDHHC19,6.2857142857142865,ZDHHC19
IKBKB,11.181818181818182,IKBKB
GBA2,7.5,GBA2
CHCHD1,2.5,CHCHD1
PPIAL4H,1.0,PPIAL4H
LCE1E,2.0,LCE1E
UTP25,7.5,UTP25
UBE2O,9.333333333333334,UBE2O
ELF3,5.0,ELF3
LCE1D,2.0,LCE1D
LY6G5B,2.75,LY6G5B
LCE1C,2.0,LCE1C
CR753842.1,6.0,CR753842.1
LCE1B,1.0,LCE1B
DIO3,1.0,DIO3
LCE1A,1.0,LCE1A
GPANK1,3.4117647058823533,GPANK1
GDF3,2.0,GDF3
LCE6A,2.0,LCE6A
FOXD4L4,1.0,FOXD4L4
AL162596.1,2.0,AL162596.1
SMCP,2.0,SMCP
SLC31A2,3.6666666666666665,SLC31A2
TMC4,6.342105263157895,TMC4
UMOD,5.9230769230769225,UMOD
FKBP15,13.333333333333336,FKBP15
KIAA1324L,11.083333333333336,KIAA1324L
SLC51A,3.7857142857142856,SLC51A
AC022400.7,10.5,AC022400.7
CCL27,3.0,CCL27
CCL21,3.5,CCL21
ZSWIM8,11.869565217391305,ZSWIM8
RNPEP,6.357142857142858,RNPEP
AL162231.1,3.0,AL162231.1
SLA,5.0,SLA
RHO,5.0,RHO
CEP170,7.7666666666666675,CEP170
TM4SF19-TCTEX1D2,6.0,TM4SF19-TCTEX1D2
DERL1,6.666666666666668,DERL1
LGR4,7.333333333333332,LGR4
PCYT1A,5.875,PCYT1A
H1FOO,4.5,H1FOO
IL11RA,7.7333333333333325,IL11RA
GNAT2,6.5,GNAT2
PURG,1.6666666666666667,PURG
KLHDC7A,1.0,KLHDC7A
WRN,17.0,WRN
IFT88,12.285714285714285,IFT88
ARHGAP8,7.5,ARHGAP8
NECAB1,5.833333333333332,NECAB1
SRC,6.727272727272728,SRC
APOL3,3.6666666666666665,APOL3
AC127029.3,8.0,AC127029.3
CD79B,4.0,CD79B
TMEM64,3.571428571428572,TMEM64
AC069257.3,6.0,AC069257.3
TCTEX1D2,4.0,TCTEX1D2
TTC13,9.0,TTC13
POLQ,17.75,POLQ
LIN7C,4.5,LIN7C
C8orf88,6.0,C8orf88
NRAP,41.5,NRAP
TM4SF19,4.25,TM4SF19
PAX7,8.333333333333334,PAX7
GH1,3.6666666666666665,GH1
DPPA3,4.0,DPPA3
ZER1,6.5,ZER1
LPAR5,2.333333333333333,LPAR5
PRR5,7.166666666666668,PRR5
ANXA8L1,9.333333333333334,ANXA8L1
CROCC2,12.0,CROCC2
ACRBP,5.222222222222221,ACRBP
UBXN7,6.833333333333332,UBXN7
MEIS3,8.928571428571429,MEIS3
BMPR1B,9.5,BMPR1B
SYT14,8.1,SYT14
CSHL1,3.5,CSHL1
ARV1,5.428571428571429,ARV1
NDST2,7.0,NDST2
SLC22A14,6.75,SLC22A14
RNF168,5.5,RNF168
SMCO1,3.0,SMCO1
MMP8,7.5,MMP8
NPY4R,2.5,NPY4R
HUWE1,23.066666666666666,HUWE1
FAM89A,2.333333333333333,FAM89A
MTR,20.33333333333333,MTR
WDR53,2.8,WDR53
GPATCH2,5.4,GPATCH2
CRH,2.0,CRH
AL109810.2,3.0,AL109810.2
TRIM67,10.666666666666666,TRIM67
FBXO45,3.0,FBXO45
AL162231.3,8.0,AL162231.3
CLEC4C,5.5,CLEC4C
SLC38A7,6.1875,SLC38A7
GALT,5.586206896551723,GALT
SEMA4G,8.0,SEMA4G
PRR5-ARHGAP8,12.75,PRR5-ARHGAP8
RASGEF1B,7.5,RASGEF1B
AANAT,4.5,AANAT
PIGX,5.7,PIGX
AAAS,7.9,AAAS
HYAL3,3.2857142857142856,HYAL3
COL13A1,27.466666666666665,COL13A1
IVL,2.0,IVL
MIR1915HG,2.0,MIR1915HG
NRROS,2.5,NRROS
CEP19,2.5,CEP19
SPRR5,2.0,SPRR5
SPRR4,2.0,SPRR4
IFRD2,5.8,IFRD2
SPRR1A,1.0,SPRR1A
CREG1,4.5,CREG1
PAK2,7.666666666666668,PAK2
SPRR3,2.5,SPRR3
SATB2,7.090909090909091,SATB2
AC009879.3,8.0,AC009879.3
RCSD1,4.833333333333333,RCSD1
TNIP3,8.428571428571429,TNIP3
ANKRD20A3,8.0,ANKRD20A3
VXN,4.9,VXN
SENP5,5.857142857142858,SENP5
TWNK,4.5555555555555545,TWNK
PCOLCE,3.4,PCOLCE
HABP2,9.333333333333334,HABP2
CHN1,7.166666666666668,CHN1
NAA80,2.142857142857143,NAA80
FAM205A,4.0,FAM205A
SAP25,4.75,SAP25
CCL19,3.0,CCL19
LSMEM2,4.0,LSMEM2
NCBP2,3.3076923076923075,NCBP2
ADHFE1,8.75,ADHFE1
FBXO24,6.777777777777778,FBXO24
SPATA17,6.2,SPATA17
MRPL43,4.142857142857143,MRPL43
MLPH,7.7391304347826075,MLPH
SPRR1B,2.0,SPRR1B
INPP5D,8.214285714285714,INPP5D
PLXND1,6.0588235294117645,PLXND1
ZNF467,5.0,ZNF467
F2,8.0,F2
NCBP2AS2,1.0,NCBP2AS2
TRPM3,17.5,TRPM3
PIGZ,2.5,PIGZ
SPRR2D,2.25,SPRR2D
PLEKHF2,2.0,PLEKHF2
TAS1R2,6.0,TAS1R2
SPRR2A,2.0,SPRR2A
LRCH4,7.636363636363638,LRCH4
TGIF2LX,1.5,TGIF2LX
MELTF,5.142857142857143,MELTF
NNAT,2.6,NNAT
SPRR2F,2.0,SPRR2F
SPRR2B,1.0,SPRR2B
SPRR2E,2.0,SPRR2E
ARGFX,4.5,ARGFX
SKIDA1,3.25,SKIDA1
BLCAP,2.357142857142857,BLCAP
FBXO40,4.0,FBXO40
CENPBD1,1.25,CENPBD1
MLLT10,9.923076923076923,MLLT10
TBC1D13,9.25,TBC1D13
SNRNP27,4.8,SNRNP27
SYT16,4.142857142857143,SYT16
