Genes,Phosphosite_hu_no,Norm_Symbol
ABCB1,18,ABCB1
ABCB10,5,ABCB10
ABCB11,13,ABCB11
ABCB4,4,ABCB4
ABCB5,7,ABCB5
ABCB6,3,ABCB6
ABCB7,15,ABCB7
ABCB8,14,ABCB8
ABCB9,1,ABCB9
ABCC1,27,ABCC1
ABCC10,8,ABCC10
ABCC11,16,ABCC11
ABCC12,12,ABCC12
ABCC2,22,ABCC2
ABCC3,15,ABCC3
ABCC4,21,ABCC4
ABCC5,24,ABCC5
ABCC6,12,ABCC6
ABCC8,7,ABCC8
ABCC9,7,ABCC9
ABCD1,7,ABCD1
ABCD2,10,ABCD2
ABCD3,19,ABCD3
ABCD4,4,ABCD4
ABCE1,17,ABCE1
ABCF1,33,ABCF1
ABCF2,23,ABCF2
ABCF3,18,ABCF3
ABCG1,5,ABCG1
ABCG2,10,ABCG2
ABCG4,4,ABCG4
ABCG5,6,ABCG5
ABCG8,7,ABCG8
ABHD1,5,ABHD1
ABHD10,8,ABHD10
ABHD11,4,ABHD11
ABHD12,11,ABHD12
ABHD12B,3,ABHD12B
ABHD13,2,ABHD13
ABHD14A,1,ABHD14A
ABHD14B,2,ABHD14B
ABHD15,5,ABHD15
ABHD16B,5,ABHD16B
ABHD17A,4,ABHD17A
ABHD18,4,ABHD18
ABHD2,7,ABHD2
ABHD3,2,ABHD3
ABHD4,2,ABHD4
ABHD5,1,ABHD5
ABHD8,3,ABHD8
EPHX3,6,EPHX3
ABI1,76,ABI1
ABI2,37,ABI2
ABI3,11,ABI3
ABI3BP,19,ABI3BP
ABL1,102,ABL1
ABLIM1,92,ABLIM1
ABLIM2,31,ABLIM2
ABLIM3,54,ABLIM3
AOC1,5,AOC1
ABR,19,ABR
ABRA,5,ABRA
FAM175A,12,FAM175A
ABT1,11,ABT1
ABTB1,2,ABTB1
ABTB2,7,ABTB2
ACAA1,15,ACAA1
ACAA2,13,ACAA2
ACAD10,3,ACAD10
ACAD11,7,ACAD11
ACAD8,3,ACAD8
ACAD9,11,ACAD9
ACADL,6,ACADL
ACADM,11,ACADM
ACADS,4,ACADS
ACADSB,10,ACADSB
ACADVL,9,ACADVL
ACAN,8,ACAN
ACAT1,15,ACAT1
ACAT2,4,ACAT2
ACBD3,19,ACBD3
ACBD4,9,ACBD4
ACBD5,24,ACBD5
ACBD6,7,ACBD6
ACBD7,2,ACBD7
ACACA,65,ACACA
ACACB,34,ACACB
ACCS,5,ACCS
ACCSL,3,ACCSL
ACD,22,ACD
ACE,6,ACE
ACE2,11,ACE2
ACER3,5,ACER3
A1CF,12,A1CF
MACF1,222,MACF1
ACHE,2,ACHE
ACIN1,133,ACIN1
TNK2,42,TNK2
ACLY,60,ACLY
ACMSD,4,ACMSD
SDHAF3,1,SDHAF3
ACO2,24,ACO2
ACOT1,5,ACOT1
ACOT11,3,ACOT11
ACOT12,10,ACOT12
ACOT2,9,ACOT2
ACOT6,3,ACOT6
ACOT7,10,ACOT7
ACOT8,5,ACOT8
ACOT9,9,ACOT9
ACOX1,12,ACOX1
ACOX2,5,ACOX2
ACOX3,7,ACOX3
ACOXL,4,ACOXL
ACP1,14,ACP1
ACP2,2,ACP2
ACP5,2,ACP5
ACP6,5,ACP6
ACPP,4,ACPP
ACP4,3,ACP4
ACRBP,3,ACRBP
GCNA,7,GCNA
ACSBG1,8,ACSBG1
ACSBG2,4,ACSBG2
ACSF2,14,ACSF2
ACSF3,9,ACSF3
ACSL1,14,ACSL1
ACSL3,12,ACSL3
ACSL4,25,ACSL4
ACSL5,17,ACSL5
ACSL6,7,ACSL6
ACSM1,11,ACSM1
ACSM2A,7,ACSM2A
ACSM2B,9,ACSM2B
ACSM3,8,ACSM3
ACSM4,4,ACSM4
ACSM5,7,ACSM5
ACSM6,4,ACSM6
ACSS1,6,ACSS1
ACSS2,16,ACSS2
ACSS3,11,ACSS3
ACTA1,42,ACTA1
ACTA2,43,ACTA2
ACTB,48,ACTB
POTEH,6,POTEH
ACTBL2,26,ACTBL2
ACTC1,42,ACTC1
ACTG1,48,ACTG1
ACTG2,42,ACTG2
KLHL17,14,KLHL17
ACTL7B,7,ACTL7B
ACTL8,5,ACTL8
ACTL9,1,ACTL9
ACTN1,65,ACTN1
ACTN2,34,ACTN2
ACTN3,23,ACTN3
ACTN4,73,ACTN4
ACTR10,14,ACTR10
ACTR1A,6,ACTR1A
ACTR1B,9,ACTR1B
ACTR3B,11,ACTR3B
ACTR3C,7,ACTR3C
ACTR5,4,ACTR5
ACTR6,3,ACTR6
ACTR8,12,ACTR8
ACTRT1,6,ACTRT1
ACTRT2,2,ACTRT2
ACVR2A,4,ACVR2A
ACVR2B,3,ACVR2B
ACY1,2,ACY1
ACY3,5,ACY3
ACYP1,3,ACYP1
ACYP2,7,ACYP2
ADA,15,ADA
ADA2,10,ADA2
ADAD1,6,ADAD1
ADAD2,2,ADAD2
ADAM10,9,ADAM10
ADAM11,5,ADAM11
ADAM12,4,ADAM12
ADAM15,6,ADAM15
ADAM18,5,ADAM18
ADAM19,11,ADAM19
ADAM2,4,ADAM2
ADAM20,4,ADAM20
ADAM21,3,ADAM21
ADAM22,30,ADAM22
ADAM23,12,ADAM23
ADAM28,3,ADAM28
ADAM29,1,ADAM29
ADAM30,2,ADAM30
ADAM32,10,ADAM32
ADAM33,2,ADAM33
ADAM7,6,ADAM7
ADAM8,4,ADAM8
ADAM9,24,ADAM9
ADAMDEC1,1,ADAMDEC1
ADAMTS1,8,ADAMTS1
ADAMTS10,10,ADAMTS10
ADAMTS12,14,ADAMTS12
ADAMTS13,10,ADAMTS13
ADAMTS14,4,ADAMTS14
ADAMTS15,2,ADAMTS15
ADAMTS16,5,ADAMTS16
ADAMTS17,3,ADAMTS17
ADAMTS18,12,ADAMTS18
ADAMTS19,6,ADAMTS19
ADAMTS2,8,ADAMTS2
ADAMTS20,13,ADAMTS20
ADAMTS3,5,ADAMTS3
ADAMTS4,4,ADAMTS4
ADAMTS5,8,ADAMTS5
ADAMTS6,2,ADAMTS6
ADAMTS7,9,ADAMTS7
ADAMTS8,6,ADAMTS8
ADAMTS9,7,ADAMTS9
ADAMTSL1,21,ADAMTSL1
ADAMTSL2,7,ADAMTSL2
ADAMTSL3,11,ADAMTSL3
ADAR,52,ADAR
ADARB2,12,ADARB2
ADAT1,11,ADAT1
ADAT3,4,ADAT3
AZIN2,1,AZIN2
ADCK1,5,ADCK1
ADCK2,3,ADCK2
COQ8A,3,COQ8A
ADCK5,5,ADCK5
ADCY1,11,ADCY1
ADCY2,8,ADCY2
ADCY3,15,ADCY3
ADCY4,6,ADCY4
ADCY5,12,ADCY5
ADCY6,10,ADCY6
ADCY7,13,ADCY7
ADCY8,6,ADCY8
ADCY9,32,ADCY9
ADCYAP1,4,ADCYAP1
ADCYAP1R1,4,ADCYAP1R1
ADD1,54,ADD1
ADD2,44,ADD2
ADD3,41,ADD3
ADGB,30,ADGB
ADGRE4P,3,ADGRE4P
ADH1A,12,ADH1A
ADH1B,14,ADH1B
ADH1C,10,ADH1C
ADH4,9,ADH4
ADH5,8,ADH5
ADH6,4,ADH6
ADH7,3,ADH7
ADHFE1,4,ADHFE1
ADI1,3,ADI1
ADIPOR1,5,ADIPOR1
ADIPOR2,1,ADIPOR2
ADIRF,7,ADIRF
ADK,2,ADK
ADM,3,ADM
ADNP,49,ADNP
ADNP2,16,ADNP2
ADO,2,ADO
ADORA2A,1,ADORA2A
ADORA3,1,ADORA3
ADPGK,3,ADPGK
ADPRH,5,ADPRH
ADPRHL1,1,ADPRHL1
ADPRHL2,3,ADPRHL2
ADRA1A,20,ADRA1A
ADRA1B,7,ADRA1B
ADRA1D,13,ADRA1D
ADRA2A,15,ADRA2A
ADRA2C,3,ADRA2C
ADRB1,13,ADRB1
ADRB2,24,ADRB2
FDX1,10,FDX1
ADRM1,19,ADRM1
ADSL,12,ADSL
ADSS,8,ADSS
ADSSL1,10,ADSSL1
ADTRP,2,ADTRP
AEBP1,7,AEBP1
AEBP2,20,AEBP2
AEN,3,AEN
EOGT,2,EOGT
AES,7,AES
AFF1,39,AFF1
AFDN,129,AFDN
EQTN,6,EQTN
AFAP1,56,AFAP1
AFAP1L1,27,AFAP1L1
AFAP1L2,45,AFAP1L2
AFF2,20,AFF2
AFF3,33,AFF3
AFG3L2,13,AFG3L2
AFMID,2,AFMID
AFP,6,AFP
AFTPH,35,AFTPH
C11ORF96,14,C11ORF96
AGA,3,AGA
AGAP11,13,AGAP11
AGAP4,4,AGAP4
AGAP5,1,AGAP5
AGBL1,3,AGBL1
AGBL2,6,AGBL2
AGBL3,11,AGBL3
AGBL4,2,AGBL4
AGBL5,9,AGBL5
AGGF1,14,AGGF1
AGK,4,AGK
AGMAT,1,AGMAT
AGMO,5,AGMO
AGO1,13,AGO1
AGO2,24,AGO2
AGO3,21,AGO3
AGO4,9,AGO4
POMGNT2,6,POMGNT2
AGPAT1,3,AGPAT1
AGPAT2,8,AGPAT2
AGPAT3,4,AGPAT3
AGPAT4,8,AGPAT4
AGPAT5,8,AGPAT5
GPAT4,7,GPAT4
LPCAT4,4,LPCAT4
LCLAT1,2,LCLAT1
GPAT3,6,GPAT3
AGPS,15,AGPS
AGR2,10,AGR2
AGR3,3,AGR3
AGRN,14,AGRN
AGTRAP,6,AGTRAP
AGXT,6,AGXT
AGXT2,5,AGXT2
PHYKPL,2,PHYKPL
AHCYL1,20,AHCYL1
AHCYL2,28,AHCYL2
AHDC1,56,AHDC1
AHI1,22,AHI1
AHNAK,370,AHNAK
AHNAK2,251,AHNAK2
AHR,11,AHR
AHRR,6,AHRR
AHSA1,10,AHSA1
AHSA2P,2,AHSA2P
SYNE4,4,SYNE4
VMAC,1,VMAC
AICDA,6,AICDA
AIDA,11,AIDA
ANKS1B,16,ANKS1B
AIF1,9,AIF1
AIFM2,5,AIFM2
AIFM3,9,AIFM3
AIG1,1,AIG1
CRYBG1,65,CRYBG1
CRYBG2,21,CRYBG2
AIM2,4,AIM2
IKZF3,18,IKZF3
AIP,13,AIP
MAGI2,16,MAGI2
AIRE,5,AIRE
AJAP1,6,AJAP1
AJM1,14,AJM1
AK1,7,AK1
AK2,21,AK2
AK3,10,AK3
AK4,4,AK4
AK5,9,AK5
AK6,5,AK6
AK7,8,AK7
AK8,3,AK8
AKAP1,40,AKAP1
AKAP10,25,AKAP10
AKAP11,76,AKAP11
AKAP12,131,AKAP12
AKAP13,132,AKAP13
AKAP14,5,AKAP14
AKAP2,69,AKAP2
PALM2-AKAP2,10,PALM2-AKAP2
AKAP3,16,AKAP3
AKAP4,42,AKAP4
AKAP5,15,AKAP5
AKAP6,28,AKAP6
AKAP7,5,AKAP7
AKAP8,28,AKAP8
AKAP8L,23,AKAP8L
AKAP9,89,AKAP9
AK9,12,AK9
AURKAIP1,2,AURKAIP1
AKIRIN1,4,AKIRIN1
AKIRIN2,12,AKIRIN2
AKNA,64,AKNA
AKNAD1,9,AKNAD1
AKR1A1,10,AKR1A1
AKR1B1,16,AKR1B1
AKR1B10,13,AKR1B10
AKR1B15,6,AKR1B15
AKR1C1,25,AKR1C1
AKR1C2,18,AKR1C2
AKR1C3,22,AKR1C3
AKR1C4,16,AKR1C4
AKR1E2,1,AKR1E2
AKR1D1,8,AKR1D1
AKR7A2,10,AKR7A2
AKR7A3,12,AKR7A3
AKR7L,10,AKR7L
AKT1,35,AKT1
AKT2,28,AKT2
AKT3,18,AKT3
AKTIP,8,AKTIP
ACTL7A,3,ACTL7A
ALAD,5,ALAD
ALAS1,6,ALAS1
ALAS2,5,ALAS2
ALB,53,ALB
ALCAM,6,ALCAM
ALDH16A1,6,ALDH16A1
ALDH18A1,14,ALDH18A1
ALDH1A1,20,ALDH1A1
ALDH1A2,8,ALDH1A2
ALDH1A3,11,ALDH1A3
ALDH1B1,10,ALDH1B1
ALDH1L1,12,ALDH1L1
ALDH1L2,9,ALDH1L2
ALDH2,21,ALDH2
ALDH3A1,11,ALDH3A1
ALDH3A2,6,ALDH3A2
ALDH3B1,7,ALDH3B1
ALDH3B2,5,ALDH3B2
ALDH4A1,7,ALDH4A1
ALDH5A1,15,ALDH5A1
ALDH6A1,12,ALDH6A1
ALDH7A1,12,ALDH7A1
ALDH8A1,4,ALDH8A1
ALDH9A1,7,ALDH9A1
ALDOA,41,ALDOA
ALDOB,19,ALDOB
ALDOC,21,ALDOC
ALG1,3,ALG1
ALG10,4,ALG10
ALG11,1,ALG11
ALG12,5,ALG12
ALG13,6,ALG13
ALG14,6,ALG14
ALG1L,1,ALG1L
ALG1L2,3,ALG1L2
ALG2,6,ALG2
ALG3,3,ALG3
ALG5,6,ALG5
ALG6,2,ALG6
ALG8,5,ALG8
ALG9,4,ALG9
PDCD6IP,31,PDCD6IP
ALK,30,ALK
ACVRL1,5,ACVRL1
ACVR1,3,ACVR1
ACVR1B,6,ACVR1B
ALKBH1,3,ALKBH1
ALKBH2,3,ALKBH2
ALKBH3,6,ALKBH3
ALKBH4,3,ALKBH4
ALKBH5,25,ALKBH5
ALKBH6,2,ALKBH6
ALKBH8,7,ALKBH8
ALLC,1,ALLC
ALMS1,115,ALMS1
ALOX12,9,ALOX12
ALOX12B,10,ALOX12B
ALOX15,3,ALOX15
ALOX15B,1,ALOX15B
ALOX5AP,1,ALOX5AP
ALOXE3,8,ALOXE3
NAT10,28,NAT10
ALPK3,31,ALPK3
ALPK2,9,ALPK2
ALPK1,11,ALPK1
LSM14A,35,LSM14A
ALPI,5,ALPI
ALPL,6,ALPL
ALPP,28,ALPP
ALPG,23,ALPG
ALS2,29,ALS2
ALS2CL,1,ALS2CL
C2CD6,19,C2CD6
ALS2CR12,1,ALS2CR12
TMEM237,15,TMEM237
ALX3,5,ALX3
ALX4,5,ALX4
SLC35G5,1,SLC35G5
SLC35G6,2,SLC35G6
AMACR,6,AMACR
AMBN,1,AMBN
AMBP,2,AMBP
AMBRA1,25,AMBRA1
AMD1,5,AMD1
AMDHD1,3,AMDHD1
AMFR,12,AMFR
AMH,9,AMH
JAML,6,JAML
AMIGO1,4,AMIGO1
AMIGO2,5,AMIGO2
AMIGO3,7,AMIGO3
RUNX1,43,RUNX1
RUNX3,20,RUNX3
RUNX2,23,RUNX2
AMMECR1,6,AMMECR1
AMMECR1L,7,AMMECR1L
AMN,2,AMN
AMN1,4,AMN1
AMOT,23,AMOT
AMOTL1,43,AMOTL1
AMOTL2,27,AMOTL2
AMPD1,7,AMPD1
AMPD2,33,AMPD2
AMPD3,16,AMPD3
AMPH,24,AMPH
PRKAA1,39,PRKAA1
PRKAA2,25,PRKAA2
PRKAB1,28,PRKAB1
PRKAB2,21,PRKAB2
PRKAG1,3,PRKAG1
PRKAG2,40,PRKAG2
PRKAG3,1,PRKAG3
STAMBP,8,STAMBP
AMT,6,AMT
AMTN,1,AMTN
AMY1C,7,AMY1C
AMY2A,8,AMY2A
AMY2B,7,AMY2B
AMZ1,1,AMZ1
AMZ2,4,AMZ2
ANG,2,ANG
ANGEL1,7,ANGEL1
ANGEL2,5,ANGEL2
ANGPT1,14,ANGPT1
ANGPT2,3,ANGPT2
ANGPT4,4,ANGPT4
ANGPTL1,2,ANGPTL1
ANGPTL2,7,ANGPTL2
ANGPTL3,5,ANGPTL3
ANGPTL4,1,ANGPTL4
ANGPTL5,1,ANGPTL5
ANGPTL6,1,ANGPTL6
ANGPTL7,1,ANGPTL7
ANHX,5,ANHX
ANLN,104,ANLN
ANK1,63,ANK1
ANK2,147,ANK2
ANK3,183,ANK3
ANKAR,5,ANKAR
ANKDD1A,2,ANKDD1A
ANKDD1B,2,ANKDD1B
ANKEF1,3,ANKEF1
ANKFN1,2,ANKFN1
ANKFY1,6,ANKFY1
ANKH,2,ANKH
ANKHD1,63,ANKHD1
ANKIB1,26,ANKIB1
ANKK1,5,ANKK1
ANKLE2,58,ANKLE2
ANKMY1,8,ANKMY1
ANKMY2,8,ANKMY2
ANKRA2,5,ANKRA2
ANKRD1,3,ANKRD1
ANKRD10,1,ANKRD10
ANKRD11,76,ANKRD11
ANKRD12,63,ANKRD12
ANKRD13A,12,ANKRD13A
ANKRD13B,6,ANKRD13B
ANKRD13C,3,ANKRD13C
ANKRD13D,11,ANKRD13D
KANK1,41,KANK1
ANKRD16,1,ANKRD16
ANKRD17,83,ANKRD17
ANKRD18A,5,ANKRD18A
ANKRD18B,10,ANKRD18B
ANKRD19P,3,ANKRD19P
ANKRD2,1,ANKRD2
ANKRD20A1,8,ANKRD20A1
ANKRD20A2,9,ANKRD20A2
ANKRD20A3,9,ANKRD20A3
ANKRD20A4,7,ANKRD20A4
ANKRD20A8P,5,ANKRD20A8P
POTED,9,POTED
ANKRD22,1,ANKRD22
ANKRD24,14,ANKRD24
KANK2,42,KANK2
ANKRD26,41,ANKRD26
ANKRD27,22,ANKRD27
ANKRD28,7,ANKRD28
ANKRD29,1,ANKRD29
RIPK4,11,RIPK4
ANKRD30A,18,ANKRD30A
ANKRD30B,17,ANKRD30B
ANKRD31,19,ANKRD31
SLF1,9,SLF1
ANKRD33B,4,ANKRD33B
ANKRD34A,12,ANKRD34A
ANKRD34C,14,ANKRD34C
ANKRD35,5,ANKRD35
ANKRD36,20,ANKRD36
ANKRD36B,26,ANKRD36B
ANKRD36C,42,ANKRD36C
ANKRD39,7,ANKRD39
ANKRD40,6,ANKRD40
ANKLE1,2,ANKLE1
ANKRD42,2,ANKRD42
SOWAHA,12,SOWAHA
ANKRD44,2,ANKRD44
ANKRD45,3,ANKRD45
ANKRD46,1,ANKRD46
KANK3,21,KANK3
ANKRD49,4,ANKRD49
ANKRD50,40,ANKRD50
ANKRD52,18,ANKRD52
ANKRD53,8,ANKRD53
ANKRD54,4,ANKRD54
ANKRD55,2,ANKRD55
SOWAHB,17,SOWAHB
SOWAHC,22,SOWAHC
ANKRD6,9,ANKRD6
ANKRD60,3,ANKRD60
ANKRD62,12,ANKRD62
ANKRD63,8,ANKRD63
ANKRD66,2,ANKRD66
ANKRD7,2,ANKRD7
ANKRD9,3,ANKRD9
ANKS1A,47,ANKS1A
ANKS3,17,ANKS3
ANKS4B,10,ANKS4B
ANKS6,10,ANKS6
ANKUB1,9,ANKUB1
ANKZF1,20,ANKZF1
ANO1,25,ANO1
ANO10,1,ANO10
ANO2,9,ANO2
ANO3,4,ANO3
ANO4,10,ANO4
ANO5,5,ANO5
ANO6,11,ANO6
ANO7,2,ANO7
ANO8,14,ANO8
ANO9,4,ANO9
NPR3,5,NPR3
ANP32A,13,ANP32A
ANP32B,8,ANP32B
ANP32C,2,ANP32C
ANP32D,4,ANP32D
NPR1,13,NPR1
NPR2,12,NPR2
ANTXR1,16,ANTXR1
ANTXR2,16,ANTXR2
ANTXRL,1,ANTXRL
ZFAND4,5,ZFAND4
ANXA1,32,ANXA1
ANXA10,9,ANXA10
ANXA11,16,ANXA11
ANXA13,8,ANXA13
ANXA2,53,ANXA2
ANXA2P2,6,ANXA2P2
ANXA2R,2,ANXA2R
ANXA3,19,ANXA3
ANXA4,15,ANXA4
ANXA5,30,ANXA5
ANXA6,41,ANXA6
ANXA7,10,ANXA7
ANXA8,8,ANXA8
ANXA8L1,8,ANXA8L1
ANXA9,2,ANXA9
AOAH,6,AOAH
AOC2,6,AOC2
AOC3,1,AOC3
KDM1B,14,KDM1B
AOX1,19,AOX1
TFAP2A,13,TFAP2A
TFAP2B,5,TFAP2B
TFAP2D,8,TFAP2D
TFAP2E,7,TFAP2E
TFAP2C,5,TFAP2C
TFAP4,10,TFAP4
AP1AR,19,AP1AR
AP1B1,29,AP1B1
AP1G1,12,AP1G1
AP1G2,15,AP1G2
AP1M1,12,AP1M1
AP1M2,10,AP1M2
AP1S1,3,AP1S1
AP1S2,5,AP1S2
AP1S3,3,AP1S3
AP2A1,25,AP2A1
AP2A2,14,AP2A2
AP2B1,26,AP2B1
AP2M1,18,AP2M1
AP2S1,3,AP2S1
AP3B1,21,AP3B1
AP3B2,16,AP3B2
AP3D1,35,AP3D1
AP3M1,8,AP3M1
AP3M2,5,AP3M2
AP3S1,3,AP3S1
AP3S2,1,AP3S2
AP4B1,5,AP4B1
AP4E1,28,AP4E1
AP4M1,9,AP4M1
AP4S1,8,AP4S1
AP5B1,1,AP5B1
AP5S1,1,AP5S1
AP5Z1,5,AP5Z1
APAF1,20,APAF1
APBA1,40,APBA1
APBA2,15,APBA2
APBA3,11,APBA3
APBB2,31,APBB2
APBB3,5,APBB3
APC,206,APC
ANAPC1,74,ANAPC1
ANAPC10,8,ANAPC10
ANAPC13,1,ANAPC13
ANAPC16,2,ANAPC16
ANAPC2,23,ANAPC2
ANAPC4,19,ANAPC4
ANAPC5,16,ANAPC5
ANAPC7,19,ANAPC7
APCDD1,3,APCDD1
APCDD1L,2,APCDD1L
APC2,34,APC2
APCS,5,APCS
APEX1,12,APEX1
APEH,10,APEH
APEX2,5,APEX2
APH1A,3,APH1A
API5,14,API5
CENPS,3,CENPS
APLF,3,APLF
APLNR,3,APLNR
APLP1,2,APLP1
APLP2,13,APLP2
APMAP,12,APMAP
APOA1,12,APOA1
NAXE,7,NAXE
APOA2,5,APOA2
APOA4,5,APOA4
APOA5,2,APOA5
APOB,70,APOB
APOBR,20,APOBR
APOBEC1,2,APOBEC1
APOBEC2,2,APOBEC2
APOBEC3A,5,APOBEC3A
APOBEC3B,7,APOBEC3B
APOBEC3C,1,APOBEC3C
APOBEC3D,1,APOBEC3D
APOBEC3F,3,APOBEC3F
APOBEC3G,6,APOBEC3G
APOBEC3H,1,APOBEC3H
APOBEC4,1,APOBEC4
APOC2,3,APOC2
APOC3,6,APOC3
APOE,8,APOE
APOF,1,APOF
APOH,1,APOH
APOL1,3,APOL1
APOL2,5,APOL2
APOL3,5,APOL3
APOL4,6,APOL4
APOL5,5,APOL5
APOL6,1,APOL6
APOO,3,APOO
APOOL,10,APOOL
APP,29,APP
NAE1,10,NAE1
APPBP2,3,APPBP2
APPL1,28,APPL1
APPL2,6,APPL2
C3ORF35,1,C3ORF35
PDS5B,68,PDS5B
APRT,10,APRT
SH2B2,7,SH2B2
APTX,7,APTX
SHROOM2,69,SHROOM2
MIP,3,MIP
AQP1,4,AQP1
AQP2,4,AQP2
AQP4,8,AQP4
AQP5,4,AQP5
AQP6,2,AQP6
AQP7,3,AQP7
AQP8,1,AQP8
AQP9,2,AQP9
AQR,16,AQR
AR,32,AR
ARAF,56,ARAF
ARAP,14,ARAP
ARAP3,36,ARAP3
NOL3,10,NOL3
ARCN1,21,ARCN1
AREG,3,AREG
AREL1,16,AREL1
ARFGAP3,45,ARFGAP3
ARFGAP1,42,ARFGAP1
ARF1,7,ARF1
ARF3,7,ARF3
ARF4,7,ARF4
ARF5,9,ARF5
ARF6,5,ARF6
ARFIP1,23,ARFIP1
ARFIP2,10,ARFIP2
ARFGEF1,47,ARFGEF1
ARFGEF2,52,ARFGEF2
ARFGEF3,57,ARFGEF3
ARFRP1,2,ARFRP1
ABL2,71,ABL2
ARG1,14,ARG1
ARG2,5,ARG2
ARC,1,ARC
SORBS2,240,SORBS2
ARGFX,1,ARGFX
ARGLU1,12,ARGLU1
ARHGAP1,22,ARHGAP1
ARHGAP10,10,ARHGAP10
ARHGAP11A,62,ARHGAP11A
ARHGAP12,41,ARHGAP12
SRGAP1,43,SRGAP1
SRGAP3,38,SRGAP3
ARHGAP15,24,ARHGAP15
ARHGAP17,45,ARHGAP17
ARHGAP18,15,ARHGAP18
ARHGAP19,18,ARHGAP19
CHN1,18,CHN1
ARHGAP20,13,ARHGAP20
ARHGAP21,125,ARHGAP21
ARHGAP22,19,ARHGAP22
ARHGAP23,67,ARHGAP23
ARHGAP24,20,ARHGAP24
ARHGAP25,27,ARHGAP25
ARHGAP26,15,ARHGAP26
ARHGAP27,22,ARHGAP27
ARHGAP28,19,ARHGAP28
ARHGAP29,54,ARHGAP29
CHN2,10,CHN2
ARHGAP30,37,ARHGAP30
ARHGAP32,109,ARHGAP32
ARHGAP36,7,ARHGAP36
ARHGAP39,48,ARHGAP39
ARHGAP4,32,ARHGAP4
ARHGAP40,4,ARHGAP40
ARHGAP42,25,ARHGAP42
ARHGAP5,38,ARHGAP5
ARHGAP6,28,ARHGAP6
ARHGAP8,12,ARHGAP8
ARHGAP9,25,ARHGAP9
ARHGEF1,29,ARHGEF1
ARHGEF10,30,ARHGEF10
ARHGEF10L,23,ARHGEF10L
ARHGEF11,69,ARHGEF11
ARHGEF12,69,ARHGEF12
MCF2L,28,MCF2L
ARHGEF16,26,ARHGEF16
ARHGEF17,84,ARHGEF17
ARHGEF18,44,ARHGEF18
ARHGEF19,12,ARHGEF19
ARHGEF2,74,ARHGEF2
ARHGEF3,8,ARHGEF3
ARHGEF33,13,ARHGEF33
ARHGEF35,17,ARHGEF35
ARHGEF37,16,ARHGEF37
ARHGEF38,12,ARHGEF38
ARHGEF39,2,ARHGEF39
ARHGEF4,28,ARHGEF4
ARHGEF5,77,ARHGEF5
ARHGEF6,40,ARHGEF6
ARHGEF7,51,ARHGEF7
ARHGEF9,3,ARHGEF9
ARID1A,84,ARID1A
ARID1B,50,ARID1B
ARID2,32,ARID2
ARID3B,14,ARID3B
ARID3C,1,ARID3C
ARID4B,58,ARID4B
ARID5A,23,ARID5A
ARIH1,6,ARIH1
ARIH2,8,ARIH2
ARIH2OS,5,ARIH2OS
ARL1,2,ARL1
ARL11,3,ARL11
ARL13A,1,ARL13A
ARL13B,10,ARL13B
ARL14,1,ARL14
ARL14EP,4,ARL14EP
ARL15,2,ARL15
ARL17B,4,ARL17B
ARL2,3,ARL2
ARL2BP,5,ARL2BP
ARL3,8,ARL3
