Genes,Domains,Norm_Symbol
DLGAP4,['PF03359'],DLGAP4
RPAP1,"['PF08621', 'PF08620']",RPAP1
KHK,['PF00294'],KHK
HIST1H2BO,['PF00125'],HIST1H2BO
OR2B2,['PF13853'],OR2B2
SIGIRR,['PF01582'],SIGIRR
MOAP1,['PF14893'],MOAP1
ANKRD33B,['PF12796'],ANKRD33B
IFT88,"['PF00515', 'PF12895', 'PF13181', 'PF13424', 'PF13174']",IFT88
OR2B6,['PF13853'],OR2B6
APOL5,['PF05461'],APOL5
TRIM39-RPP21,"['PF13765', 'PF15227', 'PF04032', 'PF00643']",TRIM39-RPP21
TRIM44,['PF00643'],TRIM44
TRIM39,"['PF13765', 'PF15227', 'PF00622', 'PF00643']",TRIM39
FKBP6,['PF00254'],FKBP6
SHROOM4,"['PF08687', 'PF00595']",SHROOM4
OSGEP,['PF00814'],OSGEP
OR2H2,['PF13853'],OR2H2
AL035460.1,['PF17717'],AL035460.1
HMOX2,['PF01126'],HMOX2
UBD,['PF00240'],UBD
TMEM239,['PF15841'],TMEM239
ASMT,"['PF00891', 'PF16864']",ASMT
LDHAL6A,"['PF00056', 'PF02866']",LDHAL6A
CCNY,['PF00134'],CCNY
UBE2L6,['PF00179'],UBE2L6
C20orf141,['PF17717'],C20orf141
ANKRD63,['PF12796'],ANKRD63
IFNGR2,"['PF09294', 'PF01108']",IFNGR2
SERPINA6,['PF00079'],SERPINA6
GJD4,['PF00029'],GJD4
L2HGDH,['PF01266'],L2HGDH
FZD8,"['PF01392', 'PF01534']",FZD8
TSG101,"['PF05743', 'PF09454']",TSG101
PLCB2,"['PF00388', 'PF08703', 'PF00387', 'PF00168', 'PF09279', 'PF17787']",PLCB2
SERPINA2,['PF00079'],SERPINA2
RPP21,"['PF13765', 'PF15227', 'PF00643', 'PF04032']",RPP21
FZD9,"['PF01392', 'PF01534']",FZD9
TMEM50B,['PF05255'],TMEM50B
DUOX1,"['PF08022', 'PF03098', 'PF08030', 'PF00036', 'PF01794']",DUOX1
PPP1R18,"['PF13914', 'PF13916']",PPP1R18
SKOR1,"['PF02437', 'PF08782']",SKOR1
KIR3DL2,['PF00047'],KIR3DL2
HIP1,"['PF07651', 'PF01608', 'PF16515']",HIP1
HLA-DQB2,"['PF00969', 'PF07654']",HLA-DQB2
UBR7,['PF02207'],UBR7
ZSWIM3,['PF04434'],ZSWIM3
TENT2,['PF03828'],TENT2
GON7,['PF15387'],GON7
AL110118.4,"['PF02207', 'PF15190']",AL110118.4
TMEM251,['PF15190'],TMEM251
BMP15,['PF00019'],BMP15
DNMT3L,['PF17980'],DNMT3L
THEMIS,['PF12736'],THEMIS
TNFSF11,['PF00229'],TNFSF11
ZSWIM1,['PF04434'],ZSWIM1
FAM20C,['PF06702'],FAM20C
HLA-B,"['PF07654', 'PF06623', 'PF00129']",HLA-B
SREK1,['PF00076'],SREK1
FSHR,"['PF13306', 'PF12369', 'PF00001', 'PF01462']",FSHR
GABBR1,"['PF00003', 'PF00084', 'PF01094']",GABBR1
AC008162.2,['PF15623'],AC008162.2
CT47A12,['PF15623'],CT47A12
TSEN34,['PF01974'],TSEN34
PAN3,['PF18101'],PAN3
ADAP1,"['PF00169', 'PF01412']",ADAP1
RPS21,['PF01249'],RPS21
DEFB125,['PF13841'],DEFB125
RNF5,['PF13920'],RNF5
SRMS,"['PF07714', 'PF00017', 'PF14604']",SRMS
AC187653.1,['PF00250'],AC187653.1
RMND5A,"['PF10607', 'PF13445']",RMND5A
CT47A11,['PF15623'],CT47A11
DEFB126,['PF13841'],DEFB126
CT47A10,['PF15623'],CT47A10
RNF103,['PF13639'],RNF103
LYZL1,['PF00062'],LYZL1
VARS,"['PF00133', 'PF08264', 'PF00043']",VARS
OTUB1,['PF10275'],OTUB1
EN1,"['PF00046', 'PF10525']",EN1
TLX2,['PF00046'],TLX2
ELF4,"['PF12310', 'PF00178']",ELF4
KRTAP1-3,['PF01500'],KRTAP1-3
KRTAP1-1,['PF01500'],KRTAP1-1
COX19,['PF06747'],COX19
MBD3L5,"['PF14048', 'PF16564']",MBD3L5
KRTAP2-1,"['PF01500', 'PF13885']",KRTAP2-1
AC037482.2,"['PF01500', 'PF13885']",AC037482.2
SRD5A3,['PF02544'],SRD5A3
MBD3L4,"['PF14048', 'PF16564']",MBD3L4
CCR8,['PF00001'],CCR8
RNF103-CHMP3,['PF03357'],RNF103-CHMP3
PLEKHG4B,['PF00621'],PLEKHG4B
KRTAP2-3,"['PF01500', 'PF13885']",KRTAP2-3
CT47A9,['PF15623'],CT47A9
NLRP14,"['PF13516', 'PF17779', 'PF17776', 'PF05729', 'PF02758']",NLRP14
ARMH3,['PF08427'],ARMH3
MBD3L2,"['PF14048', 'PF16564']",MBD3L2
LDLRAD3,['PF00057'],LDLRAD3
TIPIN,['PF07962'],TIPIN
DEFB127,['PF13841'],DEFB127
SPATA25,['PF15218'],SPATA25
DEFB128,['PF13841'],DEFB128
KCNIP3,"['PF13499', 'PF13833']",KCNIP3
TAMM41,['PF09139'],TAMM41
ZSCAN16,"['PF00096', 'PF02023']",ZSCAN16
FLRT1,"['PF13855', 'PF01462']",FLRT1
SLC6A8,['PF00209'],SLC6A8
OPRL1,['PF00001'],OPRL1
CHMP3,['PF03357'],CHMP3
SPACA7,['PF15307'],SPACA7
SLC25A38,['PF00153'],SLC25A38
SAPCD1,['PF11414'],SAPCD1
TIMM22,['PF02466'],TIMM22
HLA-E,"['PF00129', 'PF06623', 'PF07654']",HLA-E
LENG8,['PF03399'],LENG8
UBL7,"['PF00627', 'PF00240']",UBL7
ZNF165,"['PF00096', 'PF02023']",ZNF165
AMTN,['PF15757'],AMTN
SLC6A11,['PF00209'],SLC6A11
TMED3,['PF01105'],TMED3
KRTAP2-4,"['PF01500', 'PF13885']",KRTAP2-4
LENG9,"['PF10469', 'PF04457']",LENG9
MACROD1,['PF01661'],MACROD1
BAZ1B,"['PF00628', 'PF00439', 'PF10537', 'PF15612', 'PF15613']",BAZ1B
TANC1,"['PF00023', 'PF12796']",TANC1
MCM10,"['PF09329', 'PF09332']",MCM10
ALDH3B2,['PF00171'],ALDH3B2
RPEL1,['PF00834'],RPEL1
TUBB4A,"['PF03953', 'PF00091']",TUBB4A
HNRNPA0,['PF00076'],HNRNPA0
MINAR1,['PF06789'],MINAR1
RPS9,"['PF01479', 'PF00163']",RPS9
COX8A,['PF02285'],COX8A
NSG2,['PF06387'],NSG2
DENND11,['PF09804'],DENND11
INA,"['PF04732', 'PF00038']",INA
B4GALT1,"['PF13733', 'PF02709']",B4GALT1
CDKL1,['PF00069'],CDKL1
NPBWR2,['PF00001'],NPBWR2
HPS6,['PF15702'],HPS6
CALR,['PF00262'],CALR
AC037482.3,['PF13885'],AC037482.3
MARCO,"['PF01391', 'PF00530']",MARCO
C6orf118,['PF15739'],C6orf118
MUC12,['PF01390'],MUC12
BCL11A,['PF00096'],BCL11A
CCDC173,['PF13868'],CCDC173
KRTAP4-8,"['PF01500', 'PF13885']",KRTAP4-8
KRTAP4-16,['PF13885'],KRTAP4-16
KRTAP4-9,"['PF01500', 'PF13885']",KRTAP4-9
TNNT3,['PF00992'],TNNT3
MYOT,['PF07679'],MYOT
KRTAP4-11,['PF13885'],KRTAP4-11
KRTAP4-12,['PF13885'],KRTAP4-12
AL603764.2,['PF00431'],AL603764.2
PITPNA,['PF02121'],PITPNA
KRTAP29-1,['PF13885'],KRTAP29-1
C10orf120,['PF17658'],C10orf120
ESCO1,"['PF13880', 'PF13878']",ESCO1
PCSK7,"['PF16470', 'PF01483', 'PF00082']",PCSK7
PROC,"['PF00008', 'PF14670', 'PF00089', 'PF00594']",PROC
RDH10,['PF00106'],RDH10
NIPA1,['PF05653'],NIPA1
SPINK4,['PF00050'],SPINK4
CMYA5,['PF00041'],CMYA5
DENND4C,"['PF02141', 'PF03456', 'PF03455']",DENND4C
HLA-DOA,"['PF00993', 'PF07654']",HLA-DOA
KIAA1217,['PF03915'],KIAA1217
SOX6,['PF00505'],SOX6
CCNJL,"['PF00134', 'PF02984']",CCNJL
KLF3,['PF00096'],KLF3
RPL7,"['PF08079', 'PF00327']",RPL7
PNLIPRP1,"['PF00151', 'PF01477']",PNLIPRP1
IFFO2,['PF00038'],IFFO2
RIOK1,['PF01163'],RIOK1
SEMA3A,['PF01403'],SEMA3A
RIDA,['PF01042'],RIDA
IGHV3-72,['PF07686'],IGHV3-72
CLDN17,['PF00822'],CLDN17
CCL2,['PF00048'],CCL2
VPS26B,['PF03643'],VPS26B
CLDN8,['PF00822'],CLDN8
BAG1,"['PF02179', 'PF00240']",BAG1
SLC35E4,['PF03151'],SLC35E4
KRTAP24-1,['PF05287'],KRTAP24-1
DUSP18,['PF00782'],DUSP18
KRTAP25-1,['PF05287'],KRTAP25-1
CLIC1,"['PF13410', 'PF13409']",CLIC1
SERPINA1,['PF00079'],SERPINA1
C11orf58,['PF15477'],C11orf58
CCND3,"['PF00134', 'PF02984']",CCND3
SPECC1,['PF00307'],SPECC1
ZNF680,"['PF00096', 'PF01352', 'PF13912']",ZNF680
TSKU,['PF13855'],TSKU
CCL7,['PF00048'],CCL7
HLA-DPA1,"['PF00993', 'PF07654']",HLA-DPA1
ALKBH8,"['PF13532', 'PF08241', 'PF09004', 'PF00076']",ALKBH8
LILRB3,"['PF13895', 'PF00047']",LILRB3
AFF2,['PF05110'],AFF2
COMMD4,['PF07258'],COMMD4
CDC42EP5,"['PF00786', 'PF14957']",CDC42EP5
PTBP3,"['PF00076', 'PF13893', 'PF11835']",PTBP3
ASNSD1,['PF00733'],ASNSD1
FAM13B,['PF00620'],FAM13B
POP1,"['PF06978', 'PF08170']",POP1
PNCK,['PF00069'],PNCK
CTSF,"['PF08246', 'PF00112']",CTSF
TMEM181,['PF06664'],TMEM181
LAMA2,"['PF00053', 'PF00055', 'PF06008', 'PF02210', 'PF00054', 'PF06009', 'PF00052']",LAMA2
DHRSX,['PF00106'],DHRSX
SCIN,['PF00626'],SCIN
AIRE,"['PF00628', 'PF03172', 'PF01342']",AIRE
ZNF302,"['PF00096', 'PF01352']",ZNF302
SNRPD1,['PF01423'],SNRPD1
ZBED1,"['PF05699', 'PF02892']",ZBED1
NRG2,"['PF02158', 'PF07679']",NRG2
ST20-MTHFS,['PF01812'],ST20-MTHFS
KRTAP26-1,['PF05287'],KRTAP26-1
UBE2H,['PF00179'],UBE2H
HLA-C,"['PF00129', 'PF06623', 'PF07654']",HLA-C
PKD2L2,['PF08016'],PKD2L2
DIO2,['PF00837'],DIO2
UCMA,['PF17085'],UCMA
MTHFS,['PF01812'],MTHFS
DNASE1L3,['PF03372'],DNASE1L3
SIDT2,['PF13965'],SIDT2
ABR,"['PF00169', 'PF09036', 'PF00168', 'PF00620', 'PF00621']",ABR
HLA-DPB1,"['PF00969', 'PF07654']",HLA-DPB1
FNDC11,['PF17744'],FNDC11
UTRN,"['PF09068', 'PF00397', 'PF00307', 'PF00569', 'PF00435', 'PF09069']",UTRN
DNAJC11,"['PF11875', 'PF00226']",DNAJC11
LDB1,"['PF17916', 'PF01803']",LDB1
CCL11,['PF00048'],CCL11
NCAPD3,['PF12717'],NCAPD3
WDSUB1,"['PF00536', 'PF00400', 'PF07647', 'PF04564']",WDSUB1
PNOC,['PF01160'],PNOC
TLX3,['PF00046'],TLX3
CT47A8,['PF15623'],CT47A8
ANO9,['PF04547'],ANO9
CCL8,['PF00048'],CCL8
AC209539.2,['PF13885'],AC209539.2
GABRD,"['PF02931', 'PF02932']",GABRD
CT47A7,['PF15623'],CT47A7
KRTAP9-4,['PF13885'],KRTAP9-4
KRTAP9-9,['PF13885'],KRTAP9-9
MMS19,"['PF12460', 'PF14500']",MMS19
CT47A6,['PF15623'],CT47A6
TLR10,"['PF13855', 'PF00560', 'PF01582']",TLR10
CRYGN,['PF00030'],CRYGN
KLHL23,"['PF07707', 'PF00651', 'PF01344']",KLHL23
ZBTB12,"['PF00096', 'PF00651']",ZBTB12
LILRA6,"['PF13895', 'PF00047']",LILRA6
RAB26,['PF00071'],RAB26
NYAP1,"['PF15452', 'PF15439']",NYAP1
LAIR2,['PF13895'],LAIR2
USP37,"['PF02809', 'PF00443', 'PF16674']",USP37
DEFB129,['PF13841'],DEFB129
PHOSPHO2,['PF06888'],PHOSPHO2
FP565260.6,['PF12584'],FP565260.6
TLR1,"['PF13855', 'PF01463', 'PF01582']",TLR1
PHLDA2,['PF17339'],PHLDA2
THAP3,['PF05485'],THAP3
OR5T2,['PF13853'],OR5T2
OR5T3,['PF13853'],OR5T3
KRTAP9-3,['PF13885'],KRTAP9-3
KRTAP9-2,['PF13885'],KRTAP9-2
DEFB132,['PF13841'],DEFB132
CTSA,['PF00450'],CTSA
CDK6,['PF00069'],CDK6
TLR6,"['PF13855', 'PF01463', 'PF01582']",TLR6
KIR3DX1,['PF00047'],KIR3DX1
NOC3L,"['PF07540', 'PF03914']",NOC3L
MBD3L3,"['PF14048', 'PF16564']",MBD3L3
ZC3HAV1L,['PF18606'],ZC3HAV1L
TAGLN,"['PF00402', 'PF00307']",TAGLN
OR52B2,['PF13853'],OR52B2
PGF,['PF00341'],PGF
OR56B4,['PF13853'],OR56B4
JAM3,"['PF07686', 'PF13927']",JAM3
OR52W1,['PF13853'],OR52W1
RASGEF1C,"['PF00617', 'PF00618']",RASGEF1C
DYNLT1,['PF03645'],DYNLT1
TMEM230,['PF05915'],TMEM230
AL110118.2,"['PF02207', 'PF15190']",AL110118.2
PAPSS1,"['PF14306', 'PF01747', 'PF01583']",PAPSS1
DDB2,['PF00400'],DDB2
RNF146,"['PF13920', 'PF02825']",RNF146
GRAMD2A,['PF02893'],GRAMD2A
KRTAP27-1,['PF05287'],KRTAP27-1
BTBD7,"['PF07707', 'PF00651']",BTBD7
KRTAP23-1,['PF05287'],KRTAP23-1
KRTAP13-2,['PF05287'],KRTAP13-2
PENK,['PF01160'],PENK
C1QL2,"['PF01391', 'PF00386']",C1QL2
CERS4,"['PF03798', 'PF00046']",CERS4
KRTAP13-1,['PF05287'],KRTAP13-1
CABLES2,['PF00134'],CABLES2
SPDYE6,['PF11357'],SPDYE6
RAD23A,"['PF00627', 'PF09280', 'PF00240']",RAD23A
KRTAP13-3,['PF05287'],KRTAP13-3
AC004080.3,['PF00046'],AC004080.3
KRTAP13-4,['PF05287'],KRTAP13-4
CFB,"['PF00084', 'PF00089', 'PF00092']",CFB
TC2N,['PF00168'],TC2N
RFK,['PF01687'],RFK
CT47A5,['PF15623'],CT47A5
KRTAP15-1,['PF05287'],KRTAP15-1
KRTAP19-1,['PF11759'],KRTAP19-1
KRTAP19-2,['PF11759'],KRTAP19-2
GADD45GIP1,['PF10147'],GADD45GIP1
KRTAP19-3,['PF11759'],KRTAP19-3
KRTAP9-7,['PF13885'],KRTAP9-7
HOXA10,['PF00046'],HOXA10
KRTAP19-4,['PF11759'],KRTAP19-4
SAMD9,['PF07647'],SAMD9
UBR4,"['PF13764', 'PF02207']",UBR4
SVIL,"['PF00626', 'PF02209']",SVIL
KRTAP19-5,['PF11759'],KRTAP19-5
VIL1,"['PF00626', 'PF02209']",VIL1
GABRA3,"['PF02931', 'PF02932']",GABRA3
ORC2,['PF04084'],ORC2
PDGFA,"['PF04692', 'PF00341']",PDGFA
DQX1,"['PF04408', 'PF07717']",DQX1
HUWE1,"['PF00627', 'PF06012', 'PF06025', 'PF14377', 'PF02825', 'PF00632']",HUWE1
NFRKB,['PF14465'],NFRKB
OR5T1,['PF13853'],OR5T1
SYTL3,"['PF00168', 'PF02318']",SYTL3
OR8H1,['PF13853'],OR8H1
CHL1,"['PF00041', 'PF13882', 'PF00047', 'PF07679', 'PF13927']",CHL1
NDUFB3,['PF08122'],NDUFB3
CT47A4,['PF15623'],CT47A4
CDH6,"['PF00028', 'PF01049']",CDH6
CATSPERB,['PF15149'],CATSPERB
RETN,['PF06954'],RETN
MYO9B,"['PF00620', 'PF00612', 'PF00063', 'PF00788']",MYO9B
SSBP1,['PF00436'],SSBP1
CCL13,['PF00048'],CCL13
KRTAP19-6,['PF11759'],KRTAP19-6
FBH1,"['PF13245', 'PF12937', 'PF13361']",FBH1
KRTAP19-7,['PF11759'],KRTAP19-7
HOXA9,"['PF00046', 'PF04617']",HOXA9
KRTAP6-2,['PF11759'],KRTAP6-2
PRKRIP1,['PF06658'],PRKRIP1
KRTAP22-1,['PF11759'],KRTAP22-1
EXOSC7,"['PF03725', 'PF01138']",EXOSC7
KRTAP20-1,['PF11759'],KRTAP20-1
FAM114A1,['PF05334'],FAM114A1
WEE2,['PF00069'],WEE2
AMBN,['PF05111'],AMBN
PRSS21,['PF00089'],PRSS21
SERPING1,['PF00079'],SERPING1
PURA,['PF04845'],PURA
PLTP,"['PF01273', 'PF02886']",PLTP
AHRR,"['PF00010', 'PF00989']",AHRR
MTMR14,['PF06602'],MTMR14
C2,"['PF00084', 'PF00089', 'PF00092']",C2
ZMYND11,"['PF00855', 'PF00439']",ZMYND11
KRTAP9-6,['PF13885'],KRTAP9-6
RPSA,"['PF16122', 'PF00318']",RPSA
NDUFB11,['PF10183'],NDUFB11
NEURL2,"['PF07525', 'PF07177']",NEURL2
FAM126B,['PF09790'],FAM126B
FCAR,['PF00047'],FCAR
CLOCK,"['PF00010', 'PF14598', 'PF00989']",CLOCK
FAM174A,['PF06679'],FAM174A
FAM216B,['PF15107'],FAM216B
TRPM3,"['PF18139', 'PF16519', 'PF00520']",TRPM3
PCNA,"['PF00705', 'PF02747']",PCNA
PCMTD2,['PF01135'],PCMTD2
SERPINB6,['PF00079'],SERPINB6
C11orf42,['PF15668'],C11orf42
ARL4A,['PF00025'],ARL4A
RBMXL2,"['PF00076', 'PF08081']",RBMXL2
SAMD9L,['PF07647'],SAMD9L
MATR3,['PF13893'],MATR3
KRTAP20-2,['PF11759'],KRTAP20-2
CCL26,['PF00048'],CCL26
TMEM165,['PF01169'],TMEM165
ZDHHC3,['PF01529'],ZDHHC3
ELMOD1,['PF04727'],ELMOD1
HP1BP3,['PF00538'],HP1BP3
MSH5,"['PF05192', 'PF00488', 'PF11414', 'PF05190']",MSH5
TRIP13,['PF00004'],TRIP13
KRTAP21-2,['PF11759'],KRTAP21-2
ZC3HAV1,"['PF18606', 'PF18633', 'PF02825', 'PF00644']",ZC3HAV1
TBC1D19,['PF00566'],TBC1D19
VARS2,"['PF00133', 'PF08264']",VARS2
MRGPRF,['PF10328'],MRGPRF
CLEC3B,['PF00059'],CLEC3B
PRPS2,"['PF13793', 'PF14572']",PRPS2
USP19,"['PF01753', 'PF16602', 'PF04969', 'PF00443']",USP19
MYT1,"['PF08474', 'PF01530']",MYT1
XKR5,['PF09815'],XKR5
PHOX2A,['PF00046'],PHOX2A
TRAPPC5,['PF04051'],TRAPPC5
MAN2C1,"['PF17677', 'PF09261', 'PF07748', 'PF01074']",MAN2C1
WNK1,"['PF00069', 'PF12202']",WNK1
NIPAL2,['PF05653'],NIPAL2
DEFB1,['PF00711'],DEFB1
ZNF557,"['PF00096', 'PF13465', 'PF01352']",ZNF557
RPS6,['PF01092'],RPS6
TYRO3,"['PF00041', 'PF07714', 'PF07679']",TYRO3
PAG1,['PF15347'],PAG1
PDCD6,"['PF13202', 'PF13499', 'PF13833']",PDCD6
SLN,['PF05366'],SLN
PAX3,"['PF00046', 'PF00292', 'PF12360']",PAX3
EFL1,"['PF14492', 'PF00679', 'PF00009']",EFL1
DHX30,"['PF00271', 'PF00270', 'PF04408', 'PF07717']",DHX30
KIF1B,"['PF00169', 'PF12473', 'PF12423', 'PF00498', 'PF00225', 'PF16183']",KIF1B
CPNE9,"['PF00168', 'PF07002']",CPNE9
LGI2,"['PF13855', 'PF03736']",LGI2
FABP7,['PF00061'],FABP7
GEN1,"['PF00867', 'PF18704', 'PF00752']",GEN1
POTEB3,"['PF12796', 'PF14915']",POTEB3
ALPK2,"['PF02816', 'PF07679']",ALPK2
DSC1,"['PF00028', 'PF08758', 'PF01049']",DSC1
TPP2,"['PF00082', 'PF12580']",TPP2
FUCA1,"['PF01120', 'PF16757']",FUCA1
AADACL2,['PF07859'],AADACL2
CCL1,['PF00048'],CCL1
TET2,['PF12851'],TET2
DEFA6,"['PF00879', 'PF00323']",DEFA6
RPL15,['PF00827'],RPL15
PTDSS2,['PF03034'],PTDSS2
C1QTNF2,"['PF01391', 'PF00386']",C1QTNF2
SLC43A2,['PF07690'],SLC43A2
CT47A3,['PF15623'],CT47A3
ORAI2,['PF07856'],ORAI2
PCDH18,"['PF08266', 'PF00028']",PCDH18
AGTPBP1,"['PF00246', 'PF18027']",AGTPBP1
CT47A2,['PF15623'],CT47A2
INPPL1,"['PF00536', 'PF03372', 'PF00017']",INPPL1
CT47A1,['PF15623'],CT47A1
ATP5F1D,['PF02823'],ATP5F1D
GTF2H4,"['PF18307', 'PF03849']",GTF2H4
SDHA,"['PF00890', 'PF02910']",SDHA
RBBP8NL,['PF10482'],RBBP8NL
GLUD2,"['PF02812', 'PF00208']",GLUD2
PYGB,['PF00343'],PYGB
DCBLD1,"['PF00754', 'PF03815', 'PF00431']",DCBLD1
GABRQ,"['PF02931', 'PF02932']",GABRQ
TMEM156,['PF15106'],TMEM156
ARID4A,"['PF01388', 'PF08169', 'PF11717']",ARID4A
DAP,['PF15228'],DAP
MSX2,['PF00046'],MSX2
WDR91,['PF00400'],WDR91
RBM10,"['PF00641', 'PF01585', 'PF17780', 'PF00076']",RBM10
PUF60,['PF00076'],PUF60
NLRP2,"['PF13516', 'PF17779', 'PF17776', 'PF05729', 'PF02758']",NLRP2
ZC3HC1,"['PF08600', 'PF07967']",ZC3HC1
CHRNA7,"['PF02931', 'PF02932']",CHRNA7
EIF2B2,['PF01008'],EIF2B2
ABHD6,['PF00561'],ABHD6
OR13A1,['PF13853'],OR13A1
NR1D2,"['PF00105', 'PF00104']",NR1D2
DSC2,"['PF08758', 'PF00028', 'PF01049']",DSC2
TFF3,['PF00088'],TFF3
RAB42,['PF00071'],RAB42
ARAP1,"['PF00169', 'PF01412', 'PF00536', 'PF00620', 'PF00788']",ARAP1
LILRA2,"['PF13895', 'PF00047']",LILRA2
SLC35D2,['PF03151'],SLC35D2
AGER,"['PF08205', 'PF13895', 'PF00047', 'PF13927']",AGER
IL17A,['PF06083'],IL17A
MCMDC2,"['PF17855', 'PF00493']",MCMDC2
COMMD9,['PF07258'],COMMD9
SMPDL3A,['PF00149'],SMPDL3A
GOPC,['PF00595'],GOPC
ISOC1,['PF00857'],ISOC1
SGSM1,"['PF12068', 'PF00566', 'PF02759']",SGSM1
TAF12,['PF03847'],TAF12
TAPBP,['PF07654'],TAPBP
SMARCB1,['PF04855'],SMARCB1
AL132671.2,"['PF07714', 'PF00595']",AL132671.2
H1F0,['PF00538'],H1F0
SOS1,"['PF00169', 'PF00617', 'PF00618', 'PF00621', 'PF00125']",SOS1
PPRC1,['PF00076'],PPRC1
CCL24,['PF00048'],CCL24
TRAPPC6B,['PF04051'],TRAPPC6B
AC171558.5,['PF13853'],AC171558.5
GNAS,"['PF06390', 'PF00503']",GNAS
FCER2,['PF00059'],FCER2
