Genes,Protein_Mass (Daltons),Norm_Symbol
DAOA,18108,DAOA
PSMB8,30354,PSMB8
MAP7D2,81965,MAP7D2
LRRN4,78843,LRRN4
ZC3H4,140257,ZC3H4
JPH1,71686,JPH1
SLC38A5,51457,SLC38A5
MCM10,98183,MCM10
TMEM260,79536,TMEM260
COLEC12,81515,COLEC12
CD109,161689,CD109
CCDC121,33061,CCDC121
BCL6,78846,BCL6
HSDL2,45395,HSDL2
CST11,16506,CST11
TBC1D32,144756,TBC1D32
POU5F1,38571,POU5F1
LGALS12,37542,LGALS12
ANAPC2,93828,ANAPC2
HMGA1,11676,HMGA1
TEX37,20615,TEX37
ZSCAN2,69547,ZSCAN2
WDFY4,353610,WDFY4
DRGX,28672,DRGX
DNAJB4,37807,DNAJB4
DNAJA2,45746,DNAJA2
CIB2,21644,CIB2
SLC13A3,66841,SLC13A3
ZAR1,45873,ZAR1
HNRNPUL1,95739,HNRNPUL1
ANKRD11,297913,ANKRD11
BCL6B,51531,BCL6B
GABRA5,52146,GABRA5
PGLYRP3,37611,PGLYRP3
PMVK,21995,PMVK
CDC73,60577,CDC73
NRIP2,31331,NRIP2
TNMD,37130,TNMD
CACNA2D4,127938,CACNA2D4
YARS,59143,YARS
GLYATL2,34277,GLYATL2
ADAMTS14,133888,ADAMTS14
SLC25A48,33440,SLC25A48
MAP1S,112211,MAP1S
ICAM3,59541,ICAM3
EPG5,292481,EPG5
GRHL1,70113,GRHL1
NPL,35163,NPL
TSEN34,33652,TSEN34
ABCA4,255944,ABCA4
CHCHD1,13475,CHCHD1
SPDEF,37518,SPDEF
LOXHD1,235677,LOXHD1
EPOP,39322,EPOP
MARCH7,78051,MARCH7
SEPT14,50025,SEPT14
NAA10,26459,NAA10
CSMD1,388736,CSMD1
SPATA2L,46179,SPATA2L
SDCBP,32444,SDCBP
SAMSN1,41708,SAMSN1
NMD3,57603,NMD3
LILRB4,49356,LILRB4
HVCN1,31683,HVCN1
NAP1L2,52542,NAP1L2
TMEM212,21425,TMEM212
IP6K1,50236,IP6K1
YIPF1,34277,YIPF1
GABRG1,53595,GABRG1
F2RL2,42508,F2RL2
TGIF2LX,26675,TGIF2LX
TUBB2B,49953,TUBB2B
MYH15,224619,MYH15
GRHL3,70345,GRHL3
LRRC71,61825,LRRC71
VPREB3,13710,VPREB3
ZNF157,58291,ZNF157
ASAP1,125498,ASAP1
OR5H1,35387,OR5H1
KRTAP20-2,6961,KRTAP20-2
FRZB,36254,FRZB
HIST1H2BA,14167,HIST1H2BA
DKK3,38390,DKK3
MUC6,257051,MUC6
KPTN,48080,KPTN
ANXA5,35937,ANXA5
RNF39,45525,RNF39
RTN4IP1,43590,RTN4IP1
ZNF35,59089,ZNF35
TMEM51,27759,TMEM51
MMP10,54151,MMP10
FBXO8,37068,FBXO8
DIS3L2,99279,DIS3L2
SPATA33,15461,SPATA33
IL17RC,86240,IL17RC
MORN4,16236,MORN4
NDUFS2,52546,NDUFS2
SNCAIP,100409,SNCAIP
RPL7L1,29669,RPL7L1
CTH,44508,CTH
GLRA4,47728,GLRA4
ANKRD24,124187,ANKRD24
OR4D5,35771,OR4D5
ARID4B,147809,ARID4B
SERPINA3,47651,SERPINA3
POPDC2,40448,POPDC2
SCARB1,60878,SCARB1
MUC3A,345127,MUC3A
PCDHB9,87099,PCDHB9
SCGB2A2,10499,SCGB2A2
UTP15,58415,UTP15
DYSF,237295,DYSF
HNRNPF,45672,HNRNPF
RAC3,21379,RAC3
PDE4B,83343,PDE4B
ANKRD62,106446,ANKRD62
ZNF595,74302,ZNF595
RAD51D,35049,RAD51D
ZC3H15,48602,ZC3H15
TBR1,74053,TBR1
SMAD1,52260,SMAD1
ZNF200,45534,ZNF200
SP3,81925,SP3
LAS1L,83065,LAS1L
TTYH2,58772,TTYH2
CHRNA10,49705,CHRNA10
SEMA3B,83122,SEMA3B
ALPK2,237013,ALPK2
LMO3,16594,LMO3
POTEH,60965,POTEH
PASK,142929,PASK
SLC2A2,57490,SLC2A2
WNT3A,39365,WNT3A
OR5D13,35447,OR5D13
NDUFS1,79468,NDUFS1
KRTAP10-9,30037,KRTAP10-9
FGFR1OP2,29426,FGFR1OP2
NUP205,227922,NUP205
OR11G2,38871,OR11G2
PSD,109543,PSD
MOGAT3,38730,MOGAT3
KCNK5,55130,KCNK5
SLC1A1,57100,SLC1A1
KRTAP10-10,25571,KRTAP10-10
BCAS3,101237,BCAS3
EPS8L1,80251,EPS8L1
IFNA5,21942,IFNA5
MID1IP1,20202,MID1IP1
GARS,83166,GARS
OR2T11,34797,OR2T11
JADE3,93808,JADE3
LAIR2,16280,LAIR2
PNPLA3,52865,PNPLA3
ZCCHC9,30477,ZCCHC9
POU3F1,45496,POU3F1
PRKAB2,30302,PRKAB2
SCRN2,46597,SCRN2
SUGT1,41024,SUGT1
DYNC1I1,72955,DYNC1I1
THOC7,23743,THOC7
CRY2,66947,CRY2
GPR176,56998,GPR176
TERF1,50246,TERF1
SVBP,7808,SVBP
TBC1D22A,59121,TBC1D22A
SLC25A17,34567,SLC25A17
REEP1,22255,REEP1
FRG2,30490,FRG2
NPIPB13,125964,NPIPB13
CHRND,58895,CHRND
SLC27A1,71108,SLC27A1
UBE2G1,19509,UBE2G1
SCN7A,193493,SCN7A
PRMT1,42462,PRMT1
LMO4,17994,LMO4
NFS1,50196,NFS1
LSR,71439,LSR
ZNF329,61725,ZNF329
KRAS,21656,KRAS
MS4A13,17307,MS4A13
ELMOD3,43046,ELMOD3
VPS9D1,68956,VPS9D1
PUS7,75035,PUS7
CEP250,281137,CEP250
HSF2,60348,HSF2
VN1R5,40779,VN1R5
WNT4,39052,WNT4
CAAP1,38368,CAAP1
OR10G8,34519,OR10G8
FAM81B,52032,FAM81B
DHRS4,29537,DHRS4
TMEM167B,8294,TMEM167B
LRRC19,42334,LRRC19
SYNDIG1L,25796,SYNDIG1L
FGD4,86626,FGD4
PFKM,85183,PFKM
ADAMTS13,153604,ADAMTS13
PRKACB,40623,PRKACB
C17orf97,49656,C17orf97
ANKRD63,39620,ANKRD63
RUVBL2,51157,RUVBL2
IFNA1,21725,IFNA1
RNF24,17210,RNF24
PARS2,53263,PARS2
STX11,33196,STX11
CACHD1,142290,CACHD1
NUDT19,42233,NUDT19
RAB11B,24489,RAB11B
SH3PXD2A,125289,SH3PXD2A
PRSS3,32529,PRSS3
DNAJC16,90591,DNAJC16
PHC2,90713,PHC2
PGLYRP1,21731,PGLYRP1
MON2,190359,MON2
GALNT13,64051,GALNT13
ARHGAP44,89247,ARHGAP44
OR14K1,34861,OR14K1
NKIRAS1,21643,NKIRAS1
SLIT3,167713,SLIT3
ZNF789,49984,ZNF789
SEL1L,88755,SEL1L
INTS9,73814,INTS9
ST5,126485,ST5
GMCL1,58685,GMCL1
ANKRD33B,53975,ANKRD33B
DIO1,28924,DIO1
FEM1B,70264,FEM1B
TCTN1,63570,TCTN1
ZNRF3,100574,ZNRF3
FAM156A,24412,FAM156A
HIST1H2BK,13890,HIST1H2BK
DNAJC12,23415,DNAJC12
ZCCHC18,45160,ZCCHC18
ZNF691,35810,ZNF691
IFIT1,55360,IFIT1
SAR1B,22410,SAR1B
KDM4E,56804,KDM4E
SYNRG,140654,SYNRG
PSEN1,52668,PSEN1
SPTA1,280014,SPTA1
ZNRF4,46958,ZNRF4
FOXS1,35434,FOXS1
BPIFB6,49717,BPIFB6
MTRNR2L4,3247,MTRNR2L4
OR6C75,35372,OR6C75
AGTR2,41184,AGTR2
DPY19L1,77319,DPY19L1
SP140,98223,SP140
SBNO1,154312,SBNO1
USP32,181656,USP32
KLRF2,24008,KLRF2
LCE2A,10846,LCE2A
ZNF148,88976,ZNF148
TMEM80,23077,TMEM80
CARTPT,12829,CARTPT
CLEC19A,15448,CLEC19A
SLC39A10,94132,SLC39A10
SAP30L,20877,SAP30L
POU2F1,76472,POU2F1
ITPRIP,62060,ITPRIP
SPINK2,9291,SPINK2
LPP,65746,LPP
MRPL27,16073,MRPL27
TGFBRAP1,97158,TGFBRAP1
PIDD1,99712,PIDD1
VAMP4,16397,VAMP4
SPP2,24338,SPP2
FNIP2,122115,FNIP2
CYP27C1,42632,CYP27C1
TRAPPC8,160997,TRAPPC8
TEKT2,49672,TEKT2
KRTDAP,11050,KRTDAP
ELL2,72324,ELL2
LONRF3,84490,LONRF3
RIDA,14494,RIDA
MAPK1IP1L,24269,MAPK1IP1L
PLXNA2,211104,PLXNA2
RBMY1E,55759,RBMY1E
CYSRT1,15313,CYSRT1
PCDHGB4,99927,PCDHGB4
CD2AP,71451,CD2AP
LRRC45,75951,LRRC45
LRRC74A,54535,LRRC74A
ZNF653,67235,ZNF653
DNMT3A,101858,DNMT3A
GSK3B,46744,GSK3B
ITSN1,195422,ITSN1
DCDC2B,37665,DCDC2B
HIBADH,35329,HIBADH
DCAF5,103963,DCAF5
PLTP,54739,PLTP
CTNNA3,99809,CTNNA3
TMEM126A,21527,TMEM126A
GRAMD1C,76035,GRAMD1C
COPS3,47873,COPS3
CCDC116,67946,CCDC116
KTN1,156275,KTN1
CFL1,18502,CFL1
RBM3,17170,RBM3
COQ8B,60069,COQ8B
SRBD1,111776,SRBD1
LRRC34,51277,LRRC34
ZNF225,82471,ZNF225
ZNF660,38270,ZNF660
KCNV2,62459,KCNV2
CA9,49698,CA9
MRPL14,15948,MRPL14
SP6,39840,SP6
PLEKHB2,24736,PLEKHB2
QTRT1,44048,QTRT1
ZBTB8B,54175,ZBTB8B
IL5RA,47685,IL5RA
TBC1D23,78322,TBC1D23
SCP2D1,17663,SCP2D1
KCNIP3,29231,KCNIP3
ALPK1,138861,ALPK1
INTS8,113088,INTS8
MELK,74642,MELK
KBTBD6,76138,KBTBD6
MSL3,59824,MSL3
NLGN1,96368,NLGN1
RBM33,129986,RBM33
REP15,26571,REP15
IGLV1-40,12302,IGLV1-40
AMIGO3,55250,AMIGO3
EIF5,49223,EIF5
C11orf49,37353,C11orf49
PRRC2A,228863,PRRC2A
RTBDN,24615,RTBDN
KATNBL1,34767,KATNBL1
ITIH3,99849,ITIH3
PAK6,74869,PAK6
WBP4,42507,WBP4
ARHGEF6,87499,ARHGEF6
MBD3L5,22976,MBD3L5
ZNF195,72332,ZNF195
WDR76,69769,WDR76
OR51V1,36749,OR51V1
KIAA0825,147735,KIAA0825
TPPP2,18503,TPPP2
ZNF256,71871,ZNF256
TMEM74,33338,TMEM74
TALDO1,37540,TALDO1
ADAMTS20,214721,ADAMTS20
ZNF227,92033,ZNF227
RUNX3,44356,RUNX3
FXR2,74223,FXR2
CUBN,398736,CUBN
CDK2,33930,CDK2
MRPS15,29842,MRPS15
SRPRA,69811,SRPRA
OXTR,42772,OXTR
SPG7,88235,SPG7
CD14,40076,CD14
TMPRSS5,49560,TMPRSS5
GDI2,50663,GDI2
PTRH2,19194,PTRH2
NOBOX,73906,NOBOX
SHCBP1L,72632,SHCBP1L
TNRC6A,210297,TNRC6A
WDR5,36588,WDR5
CARMIL3,150230,CARMIL3
LCE3D,9444,LCE3D
FUT1,41251,FUT1
B3GAT3,37122,B3GAT3
ZAR1L,36010,ZAR1L
GAPDHS,44501,GAPDHS
TBC1D7,33972,TBC1D7
SULT1E1,35126,SULT1E1
CPAMD8,206702,CPAMD8
DHFR2,21620,DHFR2
SLAMF9,32436,SLAMF9
OR8B3,35305,OR8B3
EXO1,94103,EXO1
KDM5B,175658,KDM5B
NDUFA7,12551,NDUFA7
RCVRN,23130,RCVRN
MMS19,113290,MMS19
IGHV6-1,13481,IGHV6-1
C3orf62,30194,C3orf62
NXN,48392,NXN
TMEM47,19998,TMEM47
ZC3H12C,99340,ZC3H12C
TEX51,18842,TEX51
LIPM,48233,LIPM
OR52E8,35913,OR52E8
OXT,12722,OXT
PDZD7,111752,PDZD7
BRIP1,140867,BRIP1
C1orf21,13865,C1orf21
PRAMEF10,55211,PRAMEF10
TREX2,30621,TREX2
THOC5,78508,THOC5
TPM2,32851,TPM2
BEAN1,28626,BEAN1
ISL1,39036,ISL1
EPS15,98656,EPS15
LMCD1,40833,LMCD1
CCDC32,20656,CCDC32
RHOBTB3,69413,RHOBTB3
UBE2F,21077,UBE2F
AP2M1,49655,AP2M1
EIF1B,12824,EIF1B
LURAP1,25806,LURAP1
ILVBL,67868,ILVBL
RBAK,82995,RBAK
PCDH19,126253,PCDH19
KLHL21,66617,KLHL21
TAZ,33459,TAZ
SGK1,48942,SGK1
GNAI2,40451,GNAI2
PPP2R2B,51710,PPP2R2B
HLA-DQA2,28033,HLA-DQA2
DIO2,30552,DIO2
PEG3,180827,PEG3
NGF,26959,NGF
NEMF,122954,NEMF
SETD7,40721,SETD7
DNAJA4,44798,DNAJA4
ZNF142,187880,ZNF142
NDEL1,38375,NDEL1
NRARP,12492,NRARP
NPIPB4,126699,NPIPB4
NCR2,30677,NCR2
ACTN1,103058,ACTN1
KLHL25,65923,KLHL25
CFB,85533,CFB
PRRX2,27079,PRRX2
SULT2B1,41308,SULT2B1
RAB2A,23546,RAB2A
SAPCD1,16650,SAPCD1
IL17REL,37514,IL17REL
SERHL2,35369,SERHL2
APOO,22285,APOO
ATP6V1E1,26145,ATP6V1E1
FAM91A1,93909,FAM91A1
RPS6KA2,83239,RPS6KA2
LIMS1,37251,LIMS1
RHOD,23413,RHOD
KIF24,151903,KIF24
GUCY2D,120059,GUCY2D
COL6A1,108529,COL6A1
CXorf49,54417,CXorf49
PCDHB3,86714,PCDHB3
AGMAT,37660,AGMAT
FITM1,32207,FITM1
SLAMF8,31670,SLAMF8
SNX11,30433,SNX11
