Genes,Transcript_Length,Norm_Symbol
ATE1,3907.4285714285716,ATE1
MSH6,3665.0,MSH6
GAD1,1335.111111111111,GAD1
TAS2R4,2378.0,TAS2R4
SMYD3,1015.3333333333335,SMYD3
HOXA5,1670.0,HOXA5
SULT2A1,1904.0,SULT2A1
AMH,1821.0,AMH
LAMTOR2,587.6666666666666,LAMTOR2
RPS14,1276.8,RPS14
LDAH,2208.6666666666665,LDAH
SSU72P8,585.0,SSU72P8
RFWD3,1733.333333333333,RFWD3
ADAMTS5,9621.0,ADAMTS5
ATP6V0A4,2428.714285714286,ATP6V0A4
PDHB,1471.25,PDHB
PRKCA,8964.0,PRKCA
PRKAG1,945.7142857142856,PRKAG1
ADARB1,3935.285714285714,ADARB1
DHDH,824.6666666666665,DHDH
FCGR2B,1675.666666666667,FCGR2B
LRP5,2881.5,LRP5
FTCDNL1,1183.5,FTCDNL1
OR7G1,936.0,OR7G1
ZNF783,4424.0,ZNF783
PARP6,1696.2222222222224,PARP6
KSR1,3371.222222222222,KSR1
FLOT2,2188.75,FLOT2
PRPF38A,5233.0,PRPF38A
NPB,1364.5,NPB
UPK1B,1260.6,UPK1B
UVSSA,4288.666666666667,UVSSA
SCNN1G,3477.0,SCNN1G
USP12,1824.333333333333,USP12
ZNF484,3902.75,ZNF484
ZNF430,1332.4,ZNF430
MEA1,1283.6666666666667,MEA1
ZFP90,1534.083333333333,ZFP90
HK3,1738.5,HK3
BET1,1117.5,BET1
SLC5A1,4906.5,SLC5A1
TMEM217,1485.4,TMEM217
SH3D19,4310.0,SH3D19
HIST2H2AB,530.0,HIST2H2AB
CBLL2,1519.0,CBLL2
AC104452.1,2266.0,AC104452.1
ADAM21,2658.0,ADAM21
IVNS1ABP,1807.666666666667,IVNS1ABP
EI24,1214.8181818181818,EI24
WDR6,1929.5,WDR6
SLC31A1,4762.0,SLC31A1
FBXO42,2775.0,FBXO42
HBB,641.0,HBB
LILRB2,2120.653846153846,LILRB2
CIAO3,1647.166666666667,CIAO3
EFCAB6,3472.0,EFCAB6
PPAN,1214.4,PPAN
TBCD,1575.6,TBCD
CST6,592.0,CST6
LRRC3C,878.0,LRRC3C
CCDC51,1233.3333333333333,CCDC51
OR2H1,2398.0,OR2H1
FAM81A,857.8,FAM81A
KRTAP10-7,1578.0,KRTAP10-7
GJA10,1565.5,GJA10
VAMP7,1916.0,VAMP7
SENP8,1540.4,SENP8
CARD9,1492.0,CARD9
OR8G1,2995.5,OR8G1
CNFN,517.5,CNFN
OLR1,904.5,OLR1
COG3,3182.0,COG3
ANXA11,4050.833333333334,ANXA11
FLT1,3322.777777777778,FLT1
C16orf96,3823.0,C16orf96
IL36G,856.3333333333335,IL36G
NRG2,2933.833333333333,NRG2
TOMM6,616.0,TOMM6
TBCC,1616.0,TBCC
BAG5,3138.25,BAG5
SETBP1,3967.0,SETBP1
ATP1A2,4390.666666666667,ATP1A2
GLYATL3,1375.0,GLYATL3
DAZL,2293.0,DAZL
ZNF684,1539.5,ZNF684
PRSS2,813.2,PRSS2
FCRL1,2467.0,FCRL1
PIK3CG,4271.25,PIK3CG
ODF4,980.0,ODF4
SGSM3,1382.75,SGSM3
HEXIM2,923.25,HEXIM2
NFYC,1235.388888888889,NFYC
BCL2,6451.0,BCL2
GRB14,1468.0,GRB14
RGS9BP,2894.0,RGS9BP
ZNF713,3211.5,ZNF713
TPPP,5979.0,TPPP
TMEM64,2457.8,TMEM64
AUH,1533.5,AUH
CHMP2B,1782.25,CHMP2B
ELF4,3148.5,ELF4
GLRA2,2194.75,GLRA2
SMIM30,986.5,SMIM30
RABAC1,657.8,RABAC1
CDRT15L2,910.0,CDRT15L2
ST3GAL6,1466.166666666667,ST3GAL6
AHSA1,962.3333333333335,AHSA1
FMO1,2117.5,FMO1
ITGBL1,2579.1666666666665,ITGBL1
CCDC92,1548.7857142857142,CCDC92
GMCL1,4161.0,GMCL1
ACOX1,2037.333333333333,ACOX1
TSPO,834.8,TSPO
ALKBH1,2597.0,ALKBH1
FGF6,539.0,FGF6
CD44,1239.7692307692307,CD44
CFAP53,1824.0,CFAP53
CLEC18B,2062.0,CLEC18B
P2RY2,2313.6666666666665,P2RY2
RAF1,2738.6666666666665,RAF1
CSF2RB,3201.0,CSF2RB
COL19A1,3195.0,COL19A1
SPATA20,2656.0,SPATA20
GUCY2C,3858.0,GUCY2C
KRR1,5539.5,KRR1
CCDC39,2110.75,CCDC39
SLCO1A2,1273.75,SLCO1A2
FASTKD2,3205.0,FASTKD2
ASL,1599.2,ASL
TGIF1,1277.5714285714287,TGIF1
FXYD4,778.5,FXYD4
MTNR1A,1289.0,MTNR1A
EHBP1L1,2468.25,EHBP1L1
SGSM1,5650.333333333332,SGSM1
SUSD5,2665.5,SUSD5
CD74,1598.0,CD74
MST1R,2596.142857142857,MST1R
SNX7,1274.0,SNX7
TNFRSF17,690.0,TNFRSF17
CALCOCO1,1863.0769230769229,CALCOCO1
MECR,1884.5,MECR
PACS1,1269.375,PACS1
TMEM51,1704.166666666667,TMEM51
SETX,8415.5,SETX
ARHGAP28,2313.818181818182,ARHGAP28
ASXL1,3387.333333333333,ASXL1
FO681492.1,2684.333333333333,FO681492.1
RBM25,2386.142857142857,RBM25
SLC9A3,2140.8,SLC9A3
ZBTB40,5983.2,ZBTB40
C1orf232,554.5,C1orf232
ADM5,1718.0,ADM5
LSM8,4656.0,LSM8
NUTM2G,2683.5,NUTM2G
KBTBD13,3124.0,KBTBD13
ASB8,943.0769230769232,ASB8
TESMIN,2027.0,TESMIN
TSC2,4739.15,TSC2
STIM1,1415.3846153846155,STIM1
RPS19,784.6666666666665,RPS19
TKTL1,1557.75,TKTL1
ZNF131,1632.0,ZNF131
FBXL2,3320.0,FBXL2
TRIM73,1311.8,TRIM73
SMPX,826.0,SMPX
ZP3,1353.75,ZP3
HINT1,626.0,HINT1
AIPL1,1565.4,AIPL1
DPP4,2003.0,DPP4
SULT1A2,1279.25,SULT1A2
SHPK,3838.0,SHPK
UQCC1,1915.666666666667,UQCC1
FRMD4A,1035.9375,FRMD4A
AL133500.1,1752.0,AL133500.1
SPACA6,803.0,SPACA6
CIPC,1161.857142857143,CIPC
TRIM59,1525.5,TRIM59
CD68,1237.25,CD68
GPBP1L1,3620.0,GPBP1L1
PNPLA5,2038.8,PNPLA5
FNDC1,6291.0,FNDC1
KLRK1,1263.5,KLRK1
SLC35G1,3489.0,SLC35G1
DBNDD1,1960.5,DBNDD1
VSTM2B,1488.0,VSTM2B
OR10H3,990.0,OR10H3
DUOXA1,1221.3076923076926,DUOXA1
ITSN2,4154.857142857143,ITSN2
ISM1,3090.0,ISM1
RHOD,821.0,RHOD
ZNF101,1980.25,ZNF101
AGTR1,2027.375,AGTR1
WDR54,859.0,WDR54
FAM218A,2174.0,FAM218A
EXOSC1,660.3333333333334,EXOSC1
PDE8B,2580.6666666666665,PDE8B
TAS2R50,1000.0,TAS2R50
THBS4,3158.0,THBS4
C20orf27,1463.75,C20orf27
PKD1L2,2771.5,PKD1L2
RNF166,1291.857142857143,RNF166
TMEM128,1490.0,TMEM128
PPP1R3C,2541.0,PPP1R3C
SIK2,9622.0,SIK2
DOHH,2031.0,DOHH
ADAM2,2381.2,ADAM2
BTF3L4,2106.75,BTF3L4
IL4I1,1309.857142857143,IL4I1
FAM104B,1077.6666666666667,FAM104B
GLIPR2,1567.25,GLIPR2
LRRC14,1989.8,LRRC14
PIP4K2B,3140.5,PIP4K2B
SMIM12,2202.0,SMIM12
ZNF563,1256.25,ZNF563
TAF11L6,597.0,TAF11L6
NR0B1,1248.0,NR0B1
SPATA9,1210.0,SPATA9
CSNK1G3,2463.125,CSNK1G3
PIGBOS1,705.3333333333335,PIGBOS1
PARP2,1595.5,PARP2
TRMT10B,2077.25,TRMT10B
BPI,1600.333333333333,BPI
MS4A4A,1089.0,MS4A4A
ZNF831,10177.0,ZNF831
STXBP3,2489.0,STXBP3
DNPH1,762.3333333333335,DNPH1
ZNF850,5286.666666666667,ZNF850
KRTAP24-1,1650.0,KRTAP24-1
TDO2,974.1666666666665,TDO2
SPCS3,4569.0,SPCS3
ATP2B3,5148.0,ATP2B3
DHRS7C,814.3333333333335,DHRS7C
SNRK,3818.0,SNRK
TWNK,1878.4,TWNK
ERAP1,2109.5,ERAP1
UNC5A,3837.0,UNC5A
MEPCE,2541.5,MEPCE
ZNF816,1050.25,ZNF816
FOXH1,2503.0,FOXH1
SEC16B,2486.0,SEC16B
CFHR5,2810.0,CFHR5
PCNP,1502.0,PCNP
LRP11,3209.0,LRP11
CETN1,1758.0,CETN1
UBASH3B,6865.0,UBASH3B
RHOBTB2,3679.5,RHOBTB2
SLC35D2,1178.25,SLC35D2
CXCR3,1738.0,CXCR3
NAT10,2579.8,NAT10
SEMA3D,3935.0,SEMA3D
MAIP1,1206.0,MAIP1
CPLANE1,7648.2,CPLANE1
AL109810.2,1341.0,AL109810.2
CNEP1R1,1598.4,CNEP1R1
ARHGDIA,1146.25,ARHGDIA
IFT27,895.2,IFT27
KCNK5,3783.0,KCNK5
OR5W2,933.0,OR5W2
AFP,2199.0,AFP
UBD,1003.8571428571428,UBD
PRPF31,1447.0,PRPF31
SEZ6,2820.5,SEZ6
POU2F2,1927.875,POU2F2
ZBED3,3338.0,ZBED3
MAN1C1,3594.0,MAN1C1
PHOX2B,3030.0,PHOX2B
EFR3A,2896.8,EFR3A
CEP135,3827.0,CEP135
SLC7A2,5786.5,SLC7A2
SYTL5,4727.5,SYTL5
CRX,2816.75,CRX
CERS4,1119.2222222222224,CERS4
NOG,1892.0,NOG
DHRS7B,1163.6,DHRS7B
HTR3A,2242.6,HTR3A
DPP9,1355.857142857143,DPP9
MICAL2,1695.071428571429,MICAL2
TXNDC11,2311.0,TXNDC11
CDHR5,1852.166666666667,CDHR5
DLGAP3,3754.0,DLGAP3
RAB5C,992.0,RAB5C
OR4C16,933.0,OR4C16
TSPYL5,4491.0,TSPYL5
PGF,1449.5,PGF
CPVL,986.7272727272727,CPVL
ADH5,1559.666666666667,ADH5
KMT2E,2568.333333333333,KMT2E
DACT1,2429.4,DACT1
PCTP,1629.2,PCTP
PPIE,1026.142857142857,PPIE
CAVIN2,3054.0,CAVIN2
CTDSP1,1198.6,CTDSP1
RIC8A,1271.1,RIC8A
GRAMD1C,2260.2,GRAMD1C
TRDMT1,3113.6,TRDMT1
SLC25A41,1532.0,SLC25A41
LYSMD1,1732.5,LYSMD1
GALNT2,4423.0,GALNT2
AC008878.1,382.0,AC008878.1
TRERF1,5431.6,TRERF1
NACAD,4836.0,NACAD
VWDE,2719.75,VWDE
OR5H15,1079.5,OR5H15
ST14,3305.0,ST14
CBX3,1584.6,CBX3
CHST2,4142.0,CHST2
SPINK5,2654.4,SPINK5
RPUSD3,1001.375,RPUSD3
PNPO,1464.833333333333,PNPO
DAP,1693.5,DAP
HIP1R,2716.5,HIP1R
ANKRD11,2776.0,ANKRD11
TRIM11,2452.6,TRIM11
TOB2,2557.0,TOB2
OCLN,4401.166666666667,OCLN
HFM1,1727.0,HFM1
ZNF549,3530.0,ZNF549
TTR,844.5,TTR
FAAH,2042.0,FAAH
MOGS,2142.0,MOGS
SLC22A11,2226.5,SLC22A11
ZBTB22,1710.3636363636365,ZBTB22
ABCF2,2171.0,ABCF2
MEF2D,3440.4,MEF2D
TMEM159,1134.3333333333333,TMEM159
APOBEC3D,1689.0,APOBEC3D
FAM221A,1047.0,FAM221A
POLR2E,1423.6,POLR2E
NKX6-3,1517.5,NKX6-3
AC008695.1,6393.0,AC008695.1
ABHD12,1089.8333333333333,ABHD12
INO80,5542.666666666668,INO80
ZDHHC7,1498.75,ZDHHC7
ING3,2035.25,ING3
TMSB15A,634.0,TMSB15A
SP110,1746.428571428571,SP110
GPN2,2039.666666666667,GPN2
RNF20,1426.25,RNF20
ARMCX3,2401.2,ARMCX3
IRX6,3128.0,IRX6
KDELR3,1312.5,KDELR3
FGF22,1299.5,FGF22
AXL,3493.333333333333,AXL
NUDT2,946.25,NUDT2
PRMT6,2616.0,PRMT6
SIGLEC5,2360.0,SIGLEC5
HIST1H2AH,387.0,HIST1H2AH
DUSP11,1500.0,DUSP11
CLK3,1754.083333333333,CLK3
COG8,1978.833333333333,COG8
SEPT4,1367.3846153846155,SEPT4
TMEM107,1042.0,TMEM107
EXOC3,1969.0,EXOC3
DPY19L4,1661.833333333333,DPY19L4
TMEM253,1182.6666666666667,TMEM253
EIF4A3,1865.0,EIF4A3
OSBPL6,4759.857142857143,OSBPL6
MYCT1,2047.666666666667,MYCT1
GAGE12H,527.0,GAGE12H
NMS,485.0,NMS
TSACC,576.125,TSACC
BIVM-ERCC5,5413.5,BIVM-ERCC5
KIAA0355,1912.2857142857144,KIAA0355
AC100868.1,2413.0,AC100868.1
AADACL3,4055.0,AADACL3
DNER,3257.0,DNER
LAD1,1389.2,LAD1
KRTAP10-9,893.0,KRTAP10-9
RNF168,5347.0,RNF168
STBD1,3420.0,STBD1
MACF1,9601.666666666666,MACF1
TCF7,1405.642857142857,TCF7
CEBPA,2601.0,CEBPA
CLSPN,5317.0,CLSPN
CHD8,4891.928571428572,CHD8
TRIM43B,1504.5,TRIM43B
PDE1C,4355.0,PDE1C
RXRG,2109.0,RXRG
CYP3A4,1814.5,CYP3A4
MILR1,895.1666666666665,MILR1
CCDC169,1524.2857142857142,CCDC169
SLC6A7,3028.0,SLC6A7
AC069444.2,2670.0,AC069444.2
SLC25A40,4056.0,SLC25A40
RAP1GAP,2556.375,RAP1GAP
GTPBP6,1907.0,GTPBP6
SOX12,4630.0,SOX12
GYS1,2458.0,GYS1
LRRC75A,2023.0,LRRC75A
BAZ1B,5771.5,BAZ1B
LRSAM1,3103.75,LRSAM1
TAS2R60,957.0,TAS2R60
CHPT1,1786.5,CHPT1
MEF2C,2520.575757575757,MEF2C
KLHL7,2294.0,KLHL7
EMB,2431.333333333333,EMB
PTPRE,2371.833333333333,PTPRE
IRF2BP2,4639.0,IRF2BP2
PRAMEF26,1863.0,PRAMEF26
OR5D14,945.0,OR5D14
IGKV1-33,324.0,IGKV1-33
RNF185,3147.666666666666,RNF185
MAP4,3180.916666666666,MAP4
RBBP6,3098.888888888889,RBBP6
F2,1634.333333333333,F2
RBM27,6537.0,RBM27
NACA,1497.5384615384617,NACA
ADCY9,3149.666666666666,ADCY9
CSAG2,624.6666666666666,CSAG2
IL1RAP,2904.333333333333,IL1RAP
C10orf120,846.0,C10orf120
UEVLD,2010.0,UEVLD
AC127537.3,384.0,AC127537.3
SMS,1269.3333333333333,SMS
BORCS8-MEF2B,1406.0,BORCS8-MEF2B
AC131160.1,3058.0,AC131160.1
QRICH2,3343.25,QRICH2
C2CD4D,1757.0,C2CD4D
RAB20,1507.0,RAB20
MCMDC2,2830.25,MCMDC2
INSL4,1952.0,INSL4
CDK6,6538.5,CDK6
INA,3251.0,INA
C8orf33,1855.0,C8orf33
TOP2A,2231.333333333333,TOP2A
NAPRT,1713.0,NAPRT
TOM1L2,1965.2,TOM1L2
B3GAT2,5885.5,B3GAT2
SPATA2,4090.5,SPATA2
AFAP1,5141.8,AFAP1
CTU1,2126.0,CTU1
MMACHC,3279.5,MMACHC
IFT46,1152.75,IFT46
PUS7L,3595.714285714286,PUS7L
SRGAP2,2409.1111111111113,SRGAP2
ZNF610,1949.2857142857144,ZNF610
MOXD1,2710.0,MOXD1
GUF1,4460.0,GUF1
CCDC183,1671.0,CCDC183
PDK3,7264.5,PDK3
KYAT3,1567.333333333333,KYAT3
ARHGAP18,4414.0,ARHGAP18
INMT,1681.0,INMT
C19orf57,1314.0,C19orf57
ALLC,1441.0,ALLC
PCDHB2,1520.6,PCDHB2
ELK4,4278.0,ELK4
CADM1,2409.6666666666665,CADM1
CFL1,927.9090909090908,CFL1
SERPINB7,1431.857142857143,SERPINB7
HSPA1L,2587.6,HSPA1L
NOTCH2,3704.5,NOTCH2
GLUD1,3300.0,GLUD1
MAP4K4,4765.066666666667,MAP4K4
MSS51,1966.5,MSS51
CTHRC1,892.25,CTHRC1
OTOP1,1864.0,OTOP1
DIAPH3,3371.714285714286,DIAPH3
CACNB4,3728.277777777778,CACNB4
NUDT21,1786.333333333333,NUDT21
PIGG,2774.285714285714,PIGG
MED21,1622.0,MED21
TWIST2,1259.0,TWIST2
MYO15A,4118.0,MYO15A
NANOGNB,865.5,NANOGNB
VPS37B,1891.0,VPS37B
SMIM2,538.5,SMIM2
MSMP,677.0,MSMP
KCNIP1,1472.0,KCNIP1
GABRA4,11147.0,GABRA4
TONSL,3122.0,TONSL
BTNL2,979.3714285714287,BTNL2
TBC1D24,4155.2,TBC1D24
RAD9A,1275.6666666666667,RAD9A
PGRMC1,1820.5,PGRMC1
DACH1,4411.75,DACH1
HUWE1,8367.166666666666,HUWE1
WIPF2,2540.833333333333,WIPF2
KIAA1549L,8067.25,KIAA1549L
TTC29,1439.833333333333,TTC29
PLSCR3,1309.111111111111,PLSCR3
RPL37A,995.7142857142856,RPL37A
EPCAM,1287.6666666666667,EPCAM
FRMPD4,5967.2,FRMPD4
GPR155,5714.25,GPR155
CTSS,2678.5,CTSS
SYNE2,8739.083333333334,SYNE2
AKT3,2748.888888888889,AKT3
GALNTL5,1701.333333333333,GALNTL5
AP000552.3,699.0,AP000552.3
TENM2,8670.333333333334,TENM2
RNGTT,2641.333333333333,RNGTT
MICALL2,3096.0,MICALL2
TMEM189,3966.0,TMEM189
RB1,2596.0,RB1
GTF2B,1050.6666666666667,GTF2B
AC093525.1,596.0,AC093525.1
MLLT11,4075.0,MLLT11
TMEM97,1344.8,TMEM97
HAS2,4240.0,HAS2
PRPS1,1294.6666666666667,PRPS1
ZNF470,3967.0,ZNF470
POU6F2,2334.6666666666665,POU6F2
C11orf74,794.7777777777777,C11orf74
CNGA2,2834.0,CNGA2
PUM2,3973.142857142857,PUM2
CEP170,3453.6875,CEP170
GLYATL1B,909.0,GLYATL1B
FAM133B,1299.6,FAM133B
CCNE2,2010.0,CCNE2
GU182347.3,1557.0,GU182347.3
AC134980.3,2317.0,AC134980.3
MBD3L1,810.0,MBD3L1
BCS1L,1134.8,BCS1L
DDX46,3693.0,DDX46
RAB11FIP1,4472.25,RAB11FIP1
RAD23A,1508.25,RAD23A
RPS6KC1,4579.666666666667,RPS6KC1
FZD2,2112.0,FZD2
TMEM95,994.0,TMEM95
ZNF510,3815.0,ZNF510
CHRND,2150.6666666666665,CHRND
SPACA4,973.0,SPACA4
ZNF248,2176.75,ZNF248
TRIM69,1343.857142857143,TRIM69
TNFRSF9,2779.333333333333,TNFRSF9
AC010724.2,880.0,AC010724.2
CDCA4,2024.5,CDCA4
PIK3C2A,4405.5,PIK3C2A
LENG8,2508.913043478261,LENG8
JARID2,5799.0,JARID2
KRTAP5-3,899.0,KRTAP5-3
MTG2,1828.0,MTG2
SGMS2,1980.166666666667,SGMS2
KRT13,1192.8,KRT13
PIP4K2C,1682.166666666667,PIP4K2C
DEFB107B,389.0,DEFB107B
SPACA5,609.5,SPACA5
MAN1A2,2955.75,MAN1A2
SLC4A5,2944.7272727272725,SLC4A5
EBLN2,1679.0,EBLN2
RGL2,1920.8,RGL2
ZNF148,2679.0,ZNF148
PKNOX1,5091.5,PKNOX1
SCRN3,1188.0,SCRN3
MCTP2,3432.5,MCTP2
EYS,6197.4,EYS
C11orf49,1418.4,C11orf49
ZNF662,2573.6666666666665,ZNF662
CCZ1,2010.0,CCZ1
IL10RA,3695.0,IL10RA
OR51I1,945.0,OR51I1
GABPB1,1683.3,GABPB1
CMTM4,1560.5,CMTM4
DEFB136,237.0,DEFB136
PEX14,1279.5,PEX14
IL21R,3599.666666666666,IL21R
PRR30,1724.0,PRR30
ELOA3D,1641.0,ELOA3D
UBXN7,3110.75,UBXN7
SUOX,1687.5555555555554,SUOX
GNL3L,5520.5,GNL3L
AL133414.2,1371.0,AL133414.2
JAKMIP2,6015.25,JAKMIP2
GH2,858.0,GH2
HIVEP2,9828.0,HIVEP2
SUSD4,2443.333333333333,SUSD4
ANO3,3393.75,ANO3
AC092718.8,1751.0,AC092718.8
AIFM1,2012.6,AIFM1
SEC31B,4634.0,SEC31B
RASSF10,2530.0,RASSF10
CALR3,858.5,CALR3
PAIP1,1236.7777777777776,PAIP1
FLNB,6595.857142857143,FLNB
RSAD1,1510.5,RSAD1
CGREF1,1335.857142857143,CGREF1
NFIA,2378.0625,NFIA
GATA3,1864.0,GATA3
HRG,2015.0,HRG
ONECUT1,1544.0,ONECUT1
ALPK3,10917.0,ALPK3
LGALS3,731.0,LGALS3
NCR2,1093.0,NCR2
MGAT1,1852.571428571429,MGAT1
SAR1A,2785.285714285714,SAR1A
GJB1,1286.5,GJB1
ASAP3,2203.1666666666665,ASAP3
OTP,3669.0,OTP
MCTP1,2015.2307692307693,MCTP1
INAFM2,3052.0,INAFM2
SNF8,1635.0,SNF8
MYL4,741.0,MYL4
CBX8,1731.333333333333,CBX8
HNRNPH2,2296.0,HNRNPH2
SMOC2,2203.5,SMOC2
UNC93B1,1563.5,UNC93B1
CPXM1,2376.0,CPXM1
LACTB,1813.666666666667,LACTB
MAX,1144.7857142857142,MAX
CACNA1G,6580.964285714284,CACNA1G
FAM110C,3880.0,FAM110C
YME1L1,2580.125,YME1L1
BAHD1,4636.333333333333,BAHD1
PKN2,2513.2,PKN2
ZNF469,13469.5,ZNF469
NELL2,1841.333333333333,NELL2
MYO1D,4094.25,MYO1D
ITGB3BP,996.0,ITGB3BP
HSD3B7,1465.75,HSD3B7
RGS7,2132.2,RGS7
FAAP100,1941.8,FAAP100
ALAS2,1116.625,ALAS2
TMEM256,478.5,TMEM256
CARD18,844.0,CARD18
RHOBTB1,4375.0,RHOBTB1
AC072022.2,1144.0,AC072022.2
SMARCD2,1705.833333333333,SMARCD2
RIDA,865.3333333333335,RIDA
PDE5A,3677.6,PDE5A
PXYLP1,2009.25,PXYLP1
JHY,2631.0,JHY
GNAT1,1373.3333333333333,GNAT1
YTHDF3,2501.9166666666665,YTHDF3
