Genes,Phosphosite_mouse_no,Norm_Symbol
EFCAB4A,4,EFCAB4A
EFCAB4B,1,EFCAB4B
EFCAB5,7,EFCAB5
EFCAB6,2,EFCAB6
EFCAB7,2,EFCAB7
EFCAB8,3,EFCAB8
NECAB2,1,NECAB2
EFEMP1,1,EFEMP1
GFM1,7,GFM1
EFHB,1,EFHB
EFHC1,1,EFHC1
EFHC2,3,EFHC2
EFHD2,4,EFHD2
EFNA1,3,EFNA1
EFNA3,1,EFNA3
EFNB1,8,EFNB1
EFNB2,6,EFNB2
EFNB3,4,EFNB3
EFR3A,11,EFR3A
EFR3B,13,EFR3B
EFS,6,EFS
TSFM,1,TSFM
TUFM,2,TUFM
EFTUD1,4,EFTUD1
EFTUD2,12,EFTUD2
GM4841,1,GM4841
GM4861,2,GM4861
FAM75D1B,2,FAM75D1B
GM4951,2,GM4951
GM4975,3,GM4975
GM5174,1,GM5174
GM5414,1,GM5414
GM5963,1,GM5963
VMN1R167,2,VMN1R167
ENSMUSG00000073277,1,ENSMUSG00000073277
GM6462,3,GM6462
GM6588,2,GM6588
GM7225,1,GM7225
GM7534,5,GM7534
TRIM43C,1,TRIM43C
GM8674,9,GM8674
GM8777,5,GM8777
GM9376,1,GM9376
EGFL6,2,EGFL6
EGFL7,5,EGFL7
EGFL8,1,EGFL8
EGFR,28,EGFR
EGLN1,1,EGLN1
EGLN2,2,EGLN2
EGR1,1,EGR1
EGR4,1,EGR4
EHBP1,22,EHBP1
EHBP1L1,31,EHBP1L1
EHD1,6,EHD1
EHD2,13,EHD2
EHD3,4,EHD3
EHD4,9,EHD4
EHHADH,21,EHHADH
EPB41L4B,4,EPB41L4B
EPB4.1L4B,3,EPB4.1L4B
EHMT1,7,EHMT1
EHMT2,29,EHMT2
TRAPPC10,8,TRAPPC10
EI24,8,EI24
EID1,1,EID1
EID2,2,EID2
EID3,4,EID3
EIF1,5,EIF1
EIF1AD,7,EIF1AD
EIF1AY,2,EIF1AY
EIF1A,2,EIF1A
EIF1B,2,EIF1B
EIF2S1,9,EIF2S1
EIF2S2,9,EIF2S2
EIF2S3X,2,EIF2S3X
EIF2A,5,EIF2A
EIF2B2,3,EIF2B2
EIF2B4,8,EIF2B4
EIF2B5,9,EIF2B5
LGTN,3,LGTN
EIF3J1,6,EIF3J1
EIF3J2,6,EIF3J2
EIF3I,2,EIF3I
EIF3G,10,EIF3G
EIF3F,3,EIF3F
EIF3B,32,EIF3B
EIF3A,29,EIF3A
CLUH,7,CLUH
EIF3D,12,EIF3D
EIF3C,22,EIF3C
EIF3E,5,EIF3E
EIF3K,1,EIF3K
EIF3M,4,EIF3M
EIF3H,3,EIF3H
EIF3L,11,EIF3L
EIF4A1,8,EIF4A1
EIF4A2,6,EIF4A2
EIF4B,52,EIF4B
EIF4E,4,EIF4E
EIF4E2,3,EIF4E2
EIF4G1,44,EIF4G1
EIF4G2,20,EIF4G2
EIF4G3,31,EIF4G3
EIF4H,11,EIF4H
EIF5,12,EIF5
EIF5A,4,EIF5A
EIF5A2,2,EIF5A2
EIF5B,35,EIF5B
EIF6,4,EIF6
ELAC2,11,ELAC2
ELAVL2,5,ELAVL2
ELAVL3,1,ELAVL3
ELAVL4,9,ELAVL4
ELF1,6,ELF1
ELF2,15,ELF2
ELF3,2,ELF3
ELF4,5,ELF4
ELF5,3,ELF5
ELFN1,6,ELFN1
ELFN2,21,ELFN2
1200014J11RIK,14,1200014J11RIK
ELK1,9,ELK1
ELK3,6,ELK3
ELK4,4,ELK4
ELL,7,ELL
ELL2,4,ELL2
ELMO1,4,ELMO1
ELMO2,7,ELMO2
ELMOD3,1,ELMOD3
C130039O16RIK,27,C130039O16RIK
ELOVL5,5,ELOVL5
ELP2,1,ELP2
ELP3,3,ELP3
ELP4,2,ELP4
AHCTF1,40,AHCTF1
MPP1,17,MPP1
EMB,4,EMB
ORF3,1,ORF3
EME1,8,EME1
EMD,16,EMD
EMID2,1,EMID2
EMILIN1,3,EMILIN1
EMILIN2,2,EMILIN2
EML1,18,EML1
EML2,9,EML2
EML3,18,EML3
EML4,17,EML4
EML5,3,EML5
EML6,2,EML6
EMR1,11,EMR1
EMSY,17,EMSY
EN2,2,EN2
EN1,1,EN1
SCNN1B,1,SCNN1B
SCNN1G,2,SCNN1G
ENAM,7,ENAM
ENC1,2,ENC1
ZFYVE16,19,ZFYVE16
EXOG,1,EXOG
SH3GL1,6,SH3GL1
SH3GL3,1,SH3GL3
SH3GLB1,2,SH3GLB1
SH3GLB2,4,SH3GLB2
ENGASE,1,ENGASE
ENHO,1,ENHO
E130303B06RIK,1,E130303B06RIK
ENO1,25,ENO1
ENO2,9,ENO2
ENO3,7,ENO3
NOS3,9,NOS3
ENOX2,1,ENOX2
ENPEP,1,ENPEP
ENPP1,2,ENPP1
ENPP2,1,ENPP2
ENPP3,2,ENPP3
ENPP4,1,ENPP4
ENPP6,1,ENPP6
ENPP7,1,ENPP7
ENSA,8,ENSA
EG634450,3,EG634450
GM10325,2,GM10325
CLINT1,19,CLINT1
ENTHD1,3,ENTHD1
TEPSIN,3,TEPSIN
ENTPD1,2,ENTPD1
ENTPD3,2,ENTPD3
EVPL,9,EVPL
ENY2,1,ENY2
EOMES,2,EOMES
RAPGEF3,2,RAPGEF3
EPB42,7,EPB42
EPB41,43,EPB41
EPB4.1,4,EPB4.1
EPB41L1,55,EPB41L1
EPB4.1L1,28,EPB4.1L1
EPB41L2,45,EPB41L2
EPB4.1L2,9,EPB4.1L2
EPB41L3,60,EPB41L3
EPB41L4A,9,EPB41L4A
EPB41L5,7,EPB41L5
EPC1,8,EPC1
EPC2,2,EPC2
PROCR,1,PROCR
 EPG5,10, EPG5
EPHA1,4,EPHA1
EPHA10,3,EPHA10
EPHA2,22,EPHA2
EPHA3,10,EPHA3
EPHA4,9,EPHA4
EPHA5,11,EPHA5
EPHA6,1,EPHA6
EPHA7,7,EPHA7
EPHA8,4,EPHA8
EPHB1,11,EPHB1
EPHB2,16,EPHB2
EPHB3,10,EPHB3
EPHB4,21,EPHB4
EPHB6,7,EPHB6
NGEF,16,NGEF
ARHGEF15,9,ARHGEF15
EPHX1,5,EPHX1
EPHX2,2,EPHX2
EPGN,1,EPGN
LIMA1,40,LIMA1
EPM2AIP1,3,EPM2AIP1
EPOR,10,EPOR
EPPK1,88,EPPK1
EPRS,22,EPRS
EPS15,18,EPS15
EPS15L1,35,EPS15L1
EPS8,31,EPS8
EPS8L1,3,EPS8L1
EPS8L2,15,EPS8L2
EPS8L3,2,EPS8L3
EPN1,14,EPN1
EPN2,24,EPN2
EPN3,15,EPN3
EPSTI1,3,EPSTI1
EPX,1,EPX
EPYC,1,EPYC
ESR1,9,ESR1
ESR2,7,ESR2
AHSP,1,AHSP
ERBB2IP,42,ERBB2IP
DNTTIP2,39,DNTTIP2
ERC1,33,ERC1
ERC2,12,ERC2
ERCC1,3,ERCC1
ERCC2,2,ERCC2
ERCC4,8,ERCC4
ERCC6,15,ERCC6
ERF,22,ERF
ERG,3,ERG
ERGIC1,1,ERGIC1
ERH,5,ERH
ERICH1,2,ERICH1
ERICH3,2,ERICH3
BC030476,3,BC030476
MAPK3,8,MAPK3
MAPK1,5,MAPK1
MAPK6,10,MAPK6
MAPK4,3,MAPK4
MAPK7,13,MAPK7
MAPK15,1,MAPK15
ETV5,1,ETV5
ERMAP,5,ERMAP
ERMN,8,ERMN
ERMP1,4,ERMP1
ERO1L,1,ERO1L
ERO1LB,1,ERO1LB
ERP29,1,ERP29
ERP44,1,ERP44
ESRRA,6,ESRRA
ESRRG,4,ESRRG
ERV3-2,3,ERV3-2
ES1,3,ES1
ESAM,10,ESAM
ESCO1,4,ESCO1
ESCO2,10,ESCO2
ESF1,19,ESF1
ESPN,5,ESPN
ESPNL,1,ESPNL
SMG6,17,SMG6
ESD,2,ESD
ESYT1,18,ESYT1
ESYT2,12,ESYT2
ESYT3,4,ESYT3
EDNRB,1,EDNRB
FAF2,4,FAF2
ETF1,1,ETF1
ETFA,8,ETFA
ETFB,6,ETFB
ETFDH,1,ETFDH
ETHE1,2,ETHE1
BMX,2,BMX
ETNK2,3,ETNK2
AGXT2L1,3,AGXT2L1
ETS1,8,ETS1
ETS2,5,ETS2
ETV1,6,ETV1
ETV3,14,ETV3
ETV4,1,ETV4
4931408A02RIK,1,4931408A02RIK
EVC2,3,EVC2
MECOM,7,MECOM
EVI2A,6,EVI2A
EVI2B,10,EVI2B
EVI5,10,EVI5
EVI5L,9,EVI5L
EVL,22,EVL
EWSR1,1,EWSR1
EXD1,2,EXD1
EXD2,2,EXD2
EXO1,7,EXO1
EXOC1,18,EXOC1
EXOC3L,1,EXOC3L
EXOC3L2,4,EXOC3L2
1200009I06RIK,1,1200009I06RIK
EXOC4,8,EXOC4
EXOC5,2,EXOC5
EXOC6,1,EXOC6
EXOC7,7,EXOC7
EXOC8,10,EXOC8
EXPH5,14,EXPH5
EXOSC1,2,EXOSC1
EXOSC10,2,EXOSC10
EXOSC3,2,EXOSC3
EXOSC5,7,EXOSC5
EXOSC7,2,EXOSC7
EXOSC9,4,EXOSC9
XPO1,4,XPO1
CSE1L,4,CSE1L
XPO4,6,XPO4
XPO5,3,XPO5
XPO6,9,XPO6
EXT1,2,EXT1
EXT2,1,EXT2
EXTL3,7,EXTL3
EYA1,2,EYA1
EYA2,2,EYA2
EYA3,5,EYA3
EYA4,1,EYA4
EZH2,13,EZH2
EZR,11,EZR
F11,1,F11
F13A1,1,F13A1
F13B,1,F13B
LIN37,9,LIN37
F2RL1,1,F2RL1
F3,4,F3
F8,6,F8
F830045P16RIK,1,F830045P16RIK
F9,7,F9
FAAH,3,FAAH
FAAP100,1,FAAP100
FAAP20,1,FAAP20
FABP1,7,FABP1
FABP3,1,FABP3
FABP4,11,FABP4
FABP5,2,FABP5
FABP9,4,FABP9
F5,5,F5
FADD,9,FADD
FADS2,2,FADS2
FADS6,1,FADS6
FAF1,12,FAF1
FAH,8,FAH
FAHD1,1,FAHD1
FAHD2,1,FAHD2
FAIM,3,FAIM
FAIM3,4,FAIM3
PTK2,60,PTK2
BPTF,34,BPTF
RFLNA,2,RFLNA
FAM102A,4,FAM102A
FAM102B,11,FAM102B
FAM103A1,1,FAM103A1
D11WSU99E,4,D11WSU99E
FAM105A,2,FAM105A
OTULIN,1,OTULIN
FAM107B,2,FAM107B
FAM108B1,1,FAM108B1
FAM109A,3,FAM109A
FAM109B,2,FAM109B
FAM110A,2,FAM110A
FAM110B,9,FAM110B
FAM110C,3,FAM110C
FAM111A,3,FAM111A
FAM113B,1,FAM113B
FAM114A1,7,FAM114A1
FAM114A2,8,FAM114A2
FAM115C,3,FAM115C
FAM117A,11,FAM117A
FAM117B,31,FAM117B
FAM118A,1,FAM118A
FAM118B,3,FAM118B
FAM120A,26,FAM120A
FAM120B,1,FAM120B
FAM120C,4,FAM120C
FAM122A,25,FAM122A
FAM122B,11,FAM122B
FAM123A,16,FAM123A
FAM123C,5,FAM123C
FAM124B,5,FAM124B
FAM125A,12,FAM125A
FAM125B,9,FAM125B
FAM126A,14,FAM126A
FAM126B,15,FAM126B
FAM129A,14,FAM129A
FAM129B,14,FAM129B
EDDM3B,4,EDDM3B
FAM131B,13,FAM131B
FAM133B,2,FAM133B
RETREG2,12,RETREG2
RETREG1,1,RETREG1
RETREG3,21,RETREG3
FAM135A,10,FAM135A
FAM135B,10,FAM135B
FAM136A,1,FAM136A
FAM13A,17,FAM13A
FAM13B,4,FAM13B
FAM13C,8,FAM13C
FAM149A,5,FAM149A
FAM149B1,5,FAM149B1
PPPDE2,1,PPPDE2
FAM154A,2,FAM154A
FAM154B,2,FAM154B
FAM160A2,12,FAM160A2
FAM160B1,3,FAM160B1
FAM161B,2,FAM161B
FAM162A,3,FAM162A
FAM163A,4,FAM163A
FAM163B,4,FAM163B
FAM164C,3,FAM164C
FAM166B,2,FAM166B
FAM167A,4,FAM167A
FAM167B,3,FAM167B
FAM168A,1,FAM168A
FAM168B,1,FAM168B
FAM169A,18,FAM169A
FAM170A,4,FAM170A
FAM171A1,19,FAM171A1
FAM171A2,24,FAM171A2
FAM171B,4,FAM171B
FAM174B,1,FAM174B
FAM175B,10,FAM175B
FAM176B,10,FAM176B
FAM177A1,5,FAM177A1
FAM178A,12,FAM178A
TOGARAM2,5,TOGARAM2
TOGARAM1,9,TOGARAM1
FAM184A,4,FAM184A
FAM184B,6,FAM184B
MINDY3,5,MINDY3
MINDY4,5,MINDY4
FAM189A2,2,FAM189A2
FAM189B,6,FAM189B
FAM190A,20,FAM190A
FAM190B,14,FAM190B
FAM193A,17,FAM193A
KIAA1931,5,KIAA1931
FAM194A,2,FAM194A
FAM195A,4,FAM195A
FAM195B,8,FAM195B
FAM196A,6,FAM196A
GM6041,2,GM6041
FAM199X,2,FAM199X
BC026590,1,BC026590
1810008A18RIK,4,1810008A18RIK
FAM208B,21,FAM208B
FAM20A,3,FAM20A
FAM20C,3,FAM20C
2010011I20RIK,1,2010011I20RIK
BC046404,6,BC046404
AI646023,2,AI646023
FAM212A,1,FAM212A
5730469M10RIK,2,5730469M10RIK
2810405K02RIK,1,2810405K02RIK
KIAA1370,2,KIAA1370
FAM217A,1,FAM217A
9030418K01RIK,7,9030418K01RIK
FAM219A,6,FAM219A
2310046O06RIK,4,2310046O06RIK
FAM21,56,FAM21
D330028D13RIK,1,D330028D13RIK
FAM221B,2,FAM221B
BC017647,5,BC017647
FAM227A,1,FAM227A
FAM228A,2,FAM228A
1700125D06RIK,1,1700125D06RIK
FAM22,2,FAM22
FAM234B,7,FAM234B
FAM241A,2,FAM241A
FAM241B,4,FAM241B
FAM26D,1,FAM26D
FAM26F,3,FAM26F
FAM32A,1,FAM32A
2510049I19RIK,2,2510049I19RIK
FAM35,4,FAM35
FAM36A,1,FAM36A
FAM38B,7,FAM38B
FAM40B,5,FAM40B
BOD1L,63,BOD1L
FAM48A,6,FAM48A
FAM49B,1,FAM49B
FAM50A,6,FAM50A
FAM50B,4,FAM50B
FAM53A,9,FAM53A
FAM53B,15,FAM53B
FAM53C,15,FAM53C
FAM54A,2,FAM54A
FAM54B,15,FAM54B
FAM55D,1,FAM55D
FAM57B,2,FAM57B
GAREML,3,GAREML
FAM5C,1,FAM5C
FAM60A,2,FAM60A
MINDY1,4,MINDY1
MINDY2,7,MINDY2
PIMREG,6,PIMREG
RIPOR1,52,RIPOR1
RIPOR2,12,RIPOR2
FAM65C,9,FAM65C
FAM69A,1,FAM69A
FAM70A,2,FAM70A
FAM71B,7,FAM71B
FAM71D,7,FAM71D
FAM71E2,3,FAM71E2
FAM73A,4,FAM73A
MIGA2,23,MIGA2
SPATA31D1A,6,SPATA31D1A
FAM76A,2,FAM76A
FAM76B,10,FAM76B
NKAIN1,1,NKAIN1
TPRG1L,6,TPRG1L
RIMKLA,1,RIMKLA
FAM81A,1,FAM81A
FAM81B,1,FAM81B
FAM82A1,14,FAM82A1
FAM82A2,13,FAM82A2
FAM82B,2,FAM82B
FAM83A,4,FAM83A
FAM83B,26,FAM83B
FAM83C,1,FAM83C
FAM83D,6,FAM83D
FAM83F,11,FAM83F
FAM83G,9,FAM83G
FAM83H,48,FAM83H
FAM84A,2,FAM84A
FAM84B,2,FAM84B
MTVR2,2,MTVR2
C78339,8,C78339
FAM91A1,15,FAM91A1
FAM92A,6,FAM92A
FAM92B,1,FAM92B
FAM98A,6,FAM98A
FAM98B,2,FAM98B
FAM98C,4,FAM98C
FAN1,5,FAN1
FANCA,7,FANCA
FANCB,1,FANCB
FANCC,2,FANCC
FANCD2,5,FANCD2
FANCE,4,FANCE
FANCF,2,FANCF
FANCG,3,FANCG
FANCI,2,FANCI
FANCM,9,FANCM
FAP,4,FAP
FARP1,32,FARP1
FARP2,33,FARP2
FARSA,2,FARSA
FARSB,4,FARSB
FAS,12,FAS
FSCN1,3,FSCN1
FASN,19,FASN
FASTK,1,FASTK
FASTKD2,2,FASTKD2
FASTKD3,1,FASTKD3
FAT1,21,FAT1
UBD,1,UBD
FAT2,10,FAT2
FAT3,7,FAT3
FAT4,11,FAT4
6230409E13RIK,1,6230409E13RIK
FBF1,5,FBF1
ZBTB7A,6,ZBTB7A
FBL,3,FBL
FBLIM1,1,FBLIM1
FBLL1,3,FBLL1
FBLN2,2,FBLN2
FBLN5,1,FBLN5
FBN1,7,FBN1
FBN2,2,FBN2
FUBP1,5,FUBP1
FUBP3,8,FUBP3
FBP1,8,FBP1
FBP2,1,FBP2
FBRSL1,10,FBRSL1
FBRS,5,FBRS
FBXW11,2,FBXW11
FBXO38,7,FBXO38
FBXO43,3,FBXO43
FBXO46,3,FBXO46
FBXO5,4,FBXO5
KDM2B,15,KDM2B
KDM2A,19,KDM2A
FBXL14,2,FBXL14
FBXL15,1,FBXL15
FBXL17,2,FBXL17
FBXL19,2,FBXL19
FBXL20,3,FBXL20
FBXL21,1,FBXL21
FBXL3,2,FBXL3
FBXL4,2,FBXL4
FBXL7,3,FBXL7
FBXO10,2,FBXO10
FBXO11,1,FBXO11
FBXO15,1,FBXO15
FBXO16,2,FBXO16
FBXO18,1,FBXO18
FBXO2,3,FBXO2
FBXO21,2,FBXO21
FBXO28,3,FBXO28
FBXO30,5,FBXO30
FBXO31,2,FBXO31
FBXO39,1,FBXO39
FBXO4,2,FBXO4
FBXO41,15,FBXO41
FBXO42,12,FBXO42
FBXO47,2,FBXO47
FBXO6,3,FBXO6
FBXO7,1,FBXO7
FBXO9,3,FBXO9
FBXW10,3,FBXW10
FBXW2,1,FBXW2
FBXW20,1,FBXW20
FBXW21,2,FBXW21
FBXW24,1,FBXW24
FBXW27,1,FBXW27
FBXW7,3,FBXW7
FBXW8,3,FBXW8
FBXW9,4,FBXW9
FCAMR,1,FCAMR
FCER1A,1,FCER1A
MS4A2,4,MS4A2
FCER1G,5,FCER1G
FCER2A,1,FCER2A
FCGR1,5,FCGR1
FCGR2,6,FCGR2
FCGR4,1,FCGR4
FCHO1,3,FCHO1
FCHO2,31,FCHO2
FCHSD1,5,FCHSD1
FCHSD2,13,FCHSD2
FCN1,2,FCN1
FCOR,1,FCOR
FCRL1,2,FCRL1
FCRLA,1,FCRLA
FCRLB,2,FCRLB
FCRLS,1,FCRLS
FDFT1,3,FDFT1
FDPS,2,FDPS
FDX1L,1,FDX1L
FDXACB1,1,FDXACB1
FDXR,1,FDXR
APBB1,7,APBB1
FECH,2,FECH
FEM1AA,2,FEM1AA
4931440F15RIK,2,4931440F15RIK
FEM1C,2,FEM1C
FEN1,6,FEN1
FER,13,FER
FERT2,1,FERT2
FER1L4,4,FER1L4
FER1L6,2,FER1L6
FTH1,5,FTH1
FES,7,FES
AHSG,12,AHSG
FEZ1,3,FEZ1
FEZ2,3,FEZ2
FEZF1,1,FEZF1
FFAR1,2,FFAR1
FFAR2,5,FFAR2
FFR,9,FFR
FGA,4,FGA
FGD1,15,FGD1
FGD2,7,FGD2
FGD3,10,FGD3
FGD4,7,FGD4
FGD5,12,FGD5
FGD6,23,FGD6
FGF1,3,FGF1
FGF11,3,FGF11
FGF12,6,FGF12
FGF13,3,FGF13
FGF14,2,FGF14
FGF16,3,FGF16
FGF2,3,FGF2
FGF23,1,FGF23
FGF3,1,FGF3
FGF4,1,FGF4
FGF5,2,FGF5
FGF6,2,FGF6
FGFR1,12,FGFR1
FGFR1OP2,3,FGFR1OP2
FGFR2,5,FGFR2
FGFR3,8,FGFR3
FGFR4,7,FGFR4
FGFRL1,6,FGFRL1
FGG,1,FGG
FGL1,2,FGL1
FGR,17,FGR
FHAD1,3,FHAD1
FHDC1,13,FHDC1
FHL2,5,FHL2
FHL3,5,FHL3
FHOD1,17,FHOD1
FHOD3,14,FHOD3
FIBCD1,4,FIBCD1
FIBP,2,FIBP
FICD,2,FICD
FIGN,3,FIGN
FIGNL1,3,FIGNL1
FIGNL2,2,FIGNL2
FILIP1,4,FILIP1
FILIP1L,15,FILIP1L
FIP1L1,20,FIP1L1
PUF60,9,PUF60
FIS1,1,FIS1
FITM1,1,FITM1
FIZ1,3,FIZ1
FKBP1A,1,FKBP1A
FKBP15,29,FKBP15
FKBP2,1,FKBP2
FKBP3,7,FKBP3
FKBP4,7,FKBP4
FKBP5,3,FKBP5
FKBP8,3,FKBP8
FKBP9,2,FKBP9
FKBPL,2,FKBPL
FOXS1,1,FOXS1
FLAD1,2,FLAD1
FLCN,4,FLCN
FLG,277,FLG
FLG2,81,FLG2
FLII,5,FLII
FLI1,10,FLI1
TRAFD1,7,TRAFD1
FLNA,62,FLNA
FLNB,31,FLNB
FLNC,28,FLNC
FLOT1,3,FLOT1
FLRT1,1,FLRT1
FLRT2,1,FLRT2
FLRT3,3,FLRT3
FLT3,20,FLT3
MFSD7B,1,MFSD7B
FLVCR2,1,FLVCR2
FLYWCH1,1,FLYWCH1
FLYWCH2,1,FLYWCH2
THOC5,10,THOC5
FMN1,11,FMN1
FMN2,26,FMN2
FMNL1,17,FMNL1
FMNL2,13,FMNL2
FMNL3,5,FMNL3
FMO1,1,FMO1
GM4846,1,GM4846
FMO4,4,FMO4
FMO5,2,FMO5
FMO9,2,FMO9
FMOD,1,FMOD
FMR1,3,FMR1
FMR1NB,1,FMR1NB
FN1,8,FN1
FN3K,1,FN3K
FN3KRP,6,FN3KRP
FNBP1,17,FNBP1
FNBP1L,12,FNBP1L
PRPF40A,26,PRPF40A
FNBP4,23,FNBP4
FND3C2,3,FND3C2
FNDC1,4,FNDC1
FNDC3A,21,FNDC3A
FNDC3B,5,FNDC3B
FNDC4,1,FNDC4
FNDC5,3,FNDC5
FNDC7,2,FNDC7
FNDC8,2,FNDC8
FNIP1,24,FNIP1
FNIP2,10,FNIP2
FNTA,3,FNTA
FNTB,3,FNTB
ZFPM1,19,ZFPM1
ZFPM2,9,ZFPM2
FOLH1,1,FOLH1
FGFR1OP,11,FGFR1OP
0610037P05RIK,2,0610037P05RIK
FOS,4,FOS
FOSB,5,FOSB
FOXA1,5,FOXA1
FOXA2,4,FOXA2
FOXA3,1,FOXA3
FOXC1,10,FOXC1
FOXC2,6,FOXC2
FOXD2,1,FOXD2
FOXD4,1,FOXD4
FOXE1,1,FOXE1
FOXF1,1,FOXF1
FOXG1,1,FOXG1
FOXH1,1,FOXH1
FOXI1,1,FOXI1
FOXI3,2,FOXI3
FOXJ1,1,FOXJ1
FOXJ2,7,FOXJ2
FOXJ3,2,FOXJ3
FOXK1,29,FOXK1
FOXK2,23,FOXK2
FOXL1,1,FOXL1
FOXM1,4,FOXM1
FOXN2,4,FOXN2
FOXN3,9,FOXN3
FOXN4,1,FOXN4
FOXO1,26,FOXO1
FOXO3,24,FOXO3
FOXO4,5,FOXO4
FOXO6,5,FOXO6
FOXP1,5,FOXP1
FOXP2,5,FOXP2
FOXP3,4,FOXP3
FOXP4,3,FOXP4
FOXQ1,3,FOXQ1
FOXR1,3,FOXR1
FOXR2,1,FOXR2
FOXRED1,3,FOXRED1
FPR-RS3,1,FPR-RS3
FPR-RS6,1,FPR-RS6
FPR-RS7,1,FPR-RS7
FPR1,3,FPR1
FOSL1,3,FOSL1
5730455O13RIK,9,5730455O13RIK
FOSL2,17,FOSL2
FRAS1,5,FRAS1
FRAT1,4,FRAT1
FREM1,1,FREM1
FREM2,7,FREM2
FREM3,6,FREM3
NCS1,3,NCS1
FRG1,5,FRG1
FRK,7,FRK
FRMD3,1,FRMD3
FRMD4A,46,FRMD4A
FRMD4B,19,FRMD4B
FRMD5,6,FRMD5
FRMD6,12,FRMD6
FRMD7,4,FRMD7
FRMD8,11,FRMD8
FRMPD1,7,FRMPD1
GM626,1,GM626
FRMPD3,1,FRMPD3
FRMPD4,7,FRMPD4
FRRS1L,1,FRRS1L
FRS2,30,FRS2
FRS3,2,FRS3
FRY,27,FRY
FRYL,31,FRYL
FSCB,10,FSCB
FSD1,7,FSD1
FSD1L,3,FSD1L
FSIP2,21,FSIP2
FSTL1,1,FSTL1
FSTL5,4,FSTL5
FTCD,4,FTCD
FTL1,2,FTL1
FTO,3,FTO
FTSJ3,12,FTSJ3
FTSJD1,1,FTSJD1
FTSJD2,9,FTSJD2
FUCA1,1,FUCA1
FH,6,FH
FUNDC1,4,FUNDC1
FUNDC2,2,FUNDC2
FURIN,3,FURIN
STK36,2,STK36
CORL2,1,CORL2
FUT1,2,FUT1
FUT10,1,FUT10
FUT11,1,FUT11
FUT4,1,FUT4
FUT7,2,FUT7
FUT8,2,FUT8
FV1,2,FV1
FV4,4,FV4
FXN,1,FXN
FXR1,34,FXR1
FXR2,32,FXR2
FXYD4,1,FXYD4
FXYD5,2,FXYD5
FXYD7,4,FXYD7
FYCO1,9,FYCO1
FYN,17,FYN
FYTTD1,10,FYTTD1
FZD1,1,FZD1
FZD2,1,FZD2
FZD3,9,FZD3
FZD5,1,FZD5
FZD6,3,FZD6
FZD7,1,FZD7
FZD9,2,FZD9
FZR1,8,FZR1
GNA11,2,GNA11
GNA12,3,GNA12
GNA13,1,GNA13
GNA14,1,GNA14
GNA15,2,GNA15
GNAI1,8,GNAI1
GNAI2,12,GNAI2
GNAI3,9,GNAI3
GNAT1,8,GNAT1
GNAT2,6,GNAT2
GNAT3,4,GNAT3
GNAO1,10,GNAO1
GNAL,5,GNAL
GNAQ,2,GNAQ
GNAS,26,GNAS
GNAZ,2,GNAZ
GNB1,5,GNB1
GNB2,5,GNB2
GNB3,4,GNB3
GNB4,5,GNB4
GNB5,1,GNB5
GNG10,2,GNG10
GNG12,9,GNG12
GNG2,5,GNG2
GNG3,4,GNG3
GNG4,4,GNG4
GNG5,4,GNG5
GNG7,1,GNG7
D430041D05RIK,24,D430041D05RIK
G3BP1,13,G3BP1
G3BP2,11,G3BP2
MPIG6B,4,MPIG6B
LY6G6F,2,LY6G6F
G6PC3,2,G6PC3
G6PDX,7,G6PDX
G6PD2,5,G6PD2
GPI,8,GPI
GAA,6,GAA
GAB1,43,GAB1
GAB2,36,GAB2
GAB3,6,GAB3
GABARAPL2,1,GABARAPL2
GABBR1,9,GABBR1
GABBR2,12,GABBR2
GABPA,4,GABPA
GABPB1,4,GABPB1
GABPB2,1,GABPB2
GABRA1,4,GABRA1
GABRA3,4,GABRA3
GABRA4,3,GABRA4
GABRA6,3,GABRA6
GABRB1,13,GABRB1
GABRB2,9,GABRB2
GABRB3,11,GABRB3
GABRD,1,GABRD
GABRE,1,GABRE
GABRG1,1,GABRG1
GABRG2,11,GABRG2
GABRR1,2,GABRR1
GAD2,3,GAD2
GAD1,4,GAD1
PPP1R15A,1,PPP1R15A
GADD45GIP1,2,GADD45GIP1
GRAP2,3,GRAP2
GAG,10,GAG
GAK,10,GAK
GAL3ST4,5,GAL3ST4
GAL,2,GAL
GALE,2,GALE
LGALS1,4,LGALS1
LGALS3,3,LGALS3
LGALS4,1,LGALS4
LGALS8,2,LGALS8
LGALS9,2,LGALS9
GALK1,2,GALK1
GALK2,2,GALK2
GALM,1,GALM
CSGALNACT2,2,CSGALNACT2
GALNT1,2,GALNT1
GALNT11,4,GALNT11
GALNT12,4,GALNT12
GALNT13,2,GALNT13
GALNT3,2,GALNT3
GALNT4,2,GALNT4
GALNT7,1,GALNT7
GALNT9,1,GALNT9
GALR3,1,GALR3
GAN,3,GAN
GANAB,4,GANAB
GANC,6,GANC
MCM3AP,7,MCM3AP
GAP43,22,GAP43
GAPDH,28,GAPDH
GAPDHS,8,GAPDHS
GAPT,2,GAPT
GAPVD1,33,GAPVD1
FAM59A,19,FAM59A
GARNL3,18,GARNL3
GARS,7,GARS
GART,7,GART
GAS1,1,GAS1
GAS2,6,GAS2
GAS2L1,16,GAS2L1
GAS2L2,1,GAS2L2
GAS2L3,3,GAS2L3
GAS7,8,GAS7
GATA1,9,GATA1
GATA2,3,GATA2
GATA3,6,GATA3
