Parent	Child	EdgeType
modification of postsynaptic actin cytoskeleton	regulation of modification of postsynaptic actin cytoskeleton	Child-Parent
modification of postsynaptic structure	regulation of modification of postsynaptic structure	Child-Parent
modification of postsynaptic structure	modification of postsynaptic actin cytoskeleton	Child-Parent
modification of synaptic structure	modification of postsynaptic structure	Child-Parent
modification of synaptic structure	modification of synaptic structure, modulating synaptic transmission	Child-Parent
modification of synaptic structure	regulation of modification of synaptic structure	Child-Parent
negative regulation of presynaptic cytosolic calcium concentration	calcium import into the mitochondrion involved in negative regulation of presynaptic cytosolic calcium concentration	Child-Parent
neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium levels	G-protein coupled neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium levels	Child-Parent
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	G-protein coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	Child-Parent
neurotransmitter receptor localization to postsynaptic specialization membrane	regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	Child-Parent
neurotransmitter receptor transport	neurotransmitter receptor transport postsynaptic membrane to endosome	Child-Parent
neurotransmitter receptor transport	neurotransmitter receptor transport to plasma membrane	Child-Parent
neurotransmitter receptor transport	neurotransmitter receptor transport, plasma membrane to endosome	Child-Parent
neurotransmitter receptor transport	neurotransmitter receptor transport, postsynaptic endosome to lysosome	Child-Parent
neurotransmitter receptor transport to plasma membrane	neurotransmitter receptor transport to postsynaptic membrane	Child-Parent
neurotransmitter receptor transport to plasma membrane	neurotransmitter receptor transport, endosome to plasma membrane	Child-Parent
neurotransmitter receptor transport, endosome to plasma membrane	neurotransmitter receptor transport, endosome to postsynaptic membrane	Child-Parent
neurotransmitter receptor transport, endosome to postsynaptic membrane	regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane	Child-Parent
neurotransmitter reuptake	regulation of neurotransmitter uptake	Child-Parent
pathway	presynaptic signaling pathway	Child-Parent
pathway	postsynaptic signaling pathway	Child-Parent
positive regulation of postsynaptic cytosolic calcium concentration	release of sequestered calcium ion into postsynaptic cytosol	Child-Parent
positive regulation of presynaptic cytosolic calcium concentration	release of sequestered calcium ion into presynaptic cytosol	Child-Parent
postsynapse organization	regulation of postsynapse organization	Child-Parent
postsynapse organization	postsynaptic specialization organization	Child-Parent
postsynapse to nucleus signaling pathway	regulation of postsynapse to nucleus signaling pathway	Child-Parent
postsynaptic cytoskeleton organization	postsynaptic actin cytoskeleton organization	Child-Parent
postsynaptic cytoskeleton organization	postsynaptic intermediate filament cytoskeleton organization	Child-Parent
postsynaptic cytoskeleton organization	postsynaptic spectrin-associated cytoskeleton organization	Child-Parent
postsynaptic dense core vesicle exocytosis	regulation of postsynaptic dense core vesicle exocytosis	Child-Parent
postsynaptic density assembly	regulation of postsynaptic density assembly	Child-Parent
postsynaptic neurotransmitter receptor diffusion trapping	regulation of postsynaptic neurotransmitter receptor diffusion trapping	Child-Parent
postsynaptic neurotransmitter receptor endocytosis	regulation of postsynaptic neurotransmitter receptor endocytosis	Child-Parent
postsynaptic process involved in chemical synaptic transmission	postsynaptic modulation of chemical synaptic transmission	Child-Parent
postsynaptic signaling pathway	postsynapse to nucleus signaling pathway	Child-Parent
postsynaptic specialization assembly	regulation of postsynaptic specialization assembly	Child-Parent
postsynaptic specialization assembly	postsynaptic density assembly	Child-Parent
presynapse assembly	presynaptic membrane assembly	Child-Parent
presynapse organization	regulation of presynapse organization	Child-Parent
presynaptic cytoskeleton organization	presynaptic actin cytoskeleton organization	Child-Parent
presynaptic dense core vesicle exocytosis	regulation of presynaptic dense core vesicle exocytosis	Child-Parent
presynaptic process involved in chemical synaptic transmission	presynaptic modulation of chemical synaptic transmission	Child-Parent
presynaptic signaling pathway	presynapse to nucleus signaling pathway	Child-Parent
process in the postsynapse	regulation of postsynaptic cytosolic calcium levels	Child-Parent
process in the postsynapse	regulation of postsynaptic membrane potential	Child-Parent
process in the postsynapse	regulation of postsynaptic neurotransmitter receptor activity	Child-Parent
process in the postsynapse	regulation of postsynaptic membrane neurotransmitter receptor levels	Child-Parent
process in the postsynapse	postsynaptic dense core vesicle exocytosis	Child-Parent
process in the postsynapse	postsynaptic chaperone-mediated protein folding	Child-Parent
process in the presynapse	regulation of presynaptic cytosolic calcium levels	Child-Parent
process in the presynapse	regulation of presynaptic membrane potential	Child-Parent
process in the presynapse	synaptic vesicle cycle	Child-Parent
process in the presynapse	presynaptic dense core vesicle exocytosis	Child-Parent
process in the presynapse	neurotransmitter uptake	Child-Parent
process in the presynapse	neurotransmitter reuptake	Child-Parent
process in the presynapse	presynaptic chaperone-mediated protein folding	Child-Parent
protein catabolic process at postsynapse	regulation of protein catabolic process at postsynapse	Child-Parent
protein catabolic process at presynapse	regulation of protein catabolic process at presynapse	Child-Parent
protein catabolic process at synapse	regulation of protein catabolic process at synapse	Child-Parent
protein catabolic process at synapse	protein catabolic process at presynapse	Child-Parent
protein catabolic process at synapse	protein catabolic process at postsynapse	Child-Parent
protein translation at postsynapse	regulation of protein translation at postsynapse	Child-Parent
protein translation at presynapse	regulation of protein translation at presynapse	Child-Parent
protein translation at presynapse	protein translation at presynapse, modulating chemical synaptic transmission	Child-Parent
protein translation at synapse	regulation of protein translation at synapse	Child-Parent
protein translation at synapse	protein translation at presynapse	Child-Parent
protein translation at synapse	protein translation at postsynapse	Child-Parent
regulation of modification of synaptic structure	regulation of modification of synapse structure, modulating synaptic transmission	Child-Parent
regulation of postsynaptic cytosolic calcium levels	calcium-induced calcium release activity involved in regulation of postsynaptic cytosolic calcium levels	Child-Parent
regulation of postsynaptic cytosolic calcium levels	ATPase-coupled calcium ion transmembrane transporter activity involved in regulation of postsynaptic cytosolic calcium levels	Child-Parent
regulation of postsynaptic cytosolic calcium levels	calcium ion binding involved in regulation of postsynaptic cytosolic calcium levels	Child-Parent
regulation of postsynaptic cytosolic calcium levels	calcium:cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion levels	Child-Parent
regulation of postsynaptic cytosolic calcium levels	inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels	Child-Parent
regulation of postsynaptic cytosolic calcium levels	neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium levels	Child-Parent
regulation of postsynaptic cytosolic calcium levels	positive regulation of postsynaptic cytosolic calcium concentration	Child-Parent
regulation of postsynaptic cytosolic calcium levels	ryanodine-sensitive calcium-release channel activity involved in regulation of postsynaptic cytosolic calcium levels	Child-Parent
regulation of postsynaptic cytosolic calcium levels	voltage-gated calcium channel activity involved in regulation of postsynaptic cytosolic calcium levels	Child-Parent
regulation of postsynaptic membrane neurotransmitter receptor levels	neurotransmitter receptor localization to postsynaptic specialization membrane	Child-Parent
regulation of postsynaptic membrane neurotransmitter receptor levels	exocytic insertion of neurotransmitter receptor to postsynaptic membrane	Child-Parent
regulation of postsynaptic membrane neurotransmitter receptor levels	postsynaptic neurotransmitter receptor diffusion trapping	Child-Parent
regulation of postsynaptic membrane neurotransmitter receptor levels	postsynaptic neurotransmitter receptor endocytosis	Child-Parent
regulation of postsynaptic membrane potential	ATPase coupled ion transmembrane transporter activity involved in regulation of postsynaptic membrane potential	Child-Parent
regulation of postsynaptic membrane potential	G-protein coupled receptor activity involved in regulation of postsynaptic membrane potential	Child-Parent
regulation of postsynaptic membrane potential	G-protein gated potassium channel activity involved in regulation of postsynaptic membrane potential	Child-Parent
regulation of postsynaptic membrane potential	ion antiporter activity involved in regulation of postsynaptic membrane potential	Child-Parent
regulation of postsynaptic membrane potential	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	Child-Parent
regulation of postsynaptic membrane potential	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	Child-Parent
regulation of postsynaptic membrane potential	voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential	Child-Parent
regulation of presynaptic cytosolic calcium levels	ATPase-coupled calcium ion transmembrane transporter activity involved in regulation of presynaptic cytosolic calcium levels	Child-Parent
regulation of presynaptic cytosolic calcium levels	calcium-induced calcium release activity involved in regulation of presynaptic cytosolic calcium levels	Child-Parent
regulation of presynaptic cytosolic calcium levels	calcium ion antiporter activity involved in regulation of presynaptic cytosolic calcium levels	Child-Parent
regulation of presynaptic cytosolic calcium levels	calcium ion binding involved in regulation of presynaptic cytosolic calcium levels	Child-Parent
regulation of presynaptic cytosolic calcium levels	negative regulation of presynaptic cytosolic calcium concentration	Child-Parent
regulation of presynaptic cytosolic calcium levels	neurotransmitter receptor activity involved in regulation of presynaptic cytosolic calcium levels	Child-Parent
regulation of presynaptic cytosolic calcium levels	positive regulation of presynaptic cytosolic calcium concentration	Child-Parent
regulation of presynaptic cytosolic calcium levels	voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	Child-Parent
regulation of presynaptic membrane potential	ATPase coupled ion transmembrane transporter activity involved in regulation of presynaptic membrane potential	Child-Parent
regulation of presynaptic membrane potential	ion antiporter activity involved in regulation of presynaptic membrane potential	Child-Parent
regulation of presynaptic membrane potential	ligand-gated ion channel activity involved in regulation of presynaptic membrane potential	Child-Parent
regulation of presynaptic membrane potential	voltage-gated ion channel activity involved in regulation of presynaptic membrane potential	Child-Parent
regulation of presynaptic membrane potential	G-protein coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential	Child-Parent
regulation of protein catabolic process at synapse, modulating synaptic transmission	regulation of protein catabolic process at postsynapse, modulating synaptic transmission	Child-Parent
regulation of protein catabolic process at synapse, modulating synaptic transmission	regulation of protein catabolic process at presynapse, modulating synaptic transmission	Child-Parent
regulation of synapse assembly	regulation of presynapse assembly	Child-Parent
regulation of synapse assembly	regulation of postsynapse assembly	Child-Parent
regulation of translation at synapse, modulating synaptic transmission	regulation of translation at postsynapse, modulating synaptic transmission	Child-Parent
regulation of translation at synapse, modulating synaptic transmission	regulation of translation at presynapse, modulating synaptic transmission	Child-Parent
retrograde axonal transport	retrograde axonal protein transport	Child-Parent
retrograde axonal transport	retrograde neuronal dense core vesicle transport	Child-Parent
retrograde trans-synaptic signaling by endocannabinoid	regulation of retrograde trans-synaptic signaling by endocanabinoid	Child-Parent
retrograde trans-synaptic signaling by trans-synaptic protein complex	regulation of retrograde trans-synaptic signaling by trans-synaptic protein complex	Child-Parent
structural constituent of postsynapse	structural constituent of postsynaptic actin cytoskeleton	Child-Parent
structural constituent of postsynapse	structural constituent of postsynaptic intermediate filament cytoskeleton	Child-Parent
structural constituent of postsynapse	structural constituent of postsynaptic specialization	Child-Parent
structural constituent of postsynapse	structural constituent of postsynaptic density	Child-Parent
structural constituent of presynapse	structural constituent of active zone	Child-Parent
structural constituent of presynapse	structural constituent of presynaptic actin cytoskeleton	Child-Parent
structural constituent of synapse	structural constituent of presynapse	Child-Parent
structural constituent of synapse	structural constituent of postsynapse	Child-Parent
synapse adhesion between pre- and post-synapse	regulation of synaptic membrane adhesion	Child-Parent
synapse assembly	presynapse assembly	Child-Parent
synapse assembly	regulation of synapse assembly	Child-Parent
synapse assembly	postsynaptic specialization assembly	Child-Parent
synapse assembly	postsynaptic membrane assembly	Child-Parent
synapse disassembly	regulation of synapse disassembly	Child-Parent
synapse maturation	regulation of synapse maturation	Child-Parent
synapse organization	presynapse organization	Child-Parent
synapse organization	postsynapse organization	Child-Parent
synapse organization	modification of synaptic structure	Child-Parent
synapse organization	regulation of synapse organization	Child-Parent
synapse organization	structural constituent of synapse	Child-Parent
synapse organization	structural constituent of synapse-associated extracellular matrix	Child-Parent
synapse organization	synapse adhesion between pre- and post-synapse	Child-Parent
synapse organization	synaptic target recognition	Child-Parent
synapse organization	synapse assembly	Child-Parent
synapse organization	synapse disassembly	Child-Parent
synapse organization	synapse maturation	Child-Parent
synapse organization	synaptic membrane adhesion to extracellular matrix	Child-Parent
synapse organization	maintenance of synapse structure	Child-Parent
synapse organization	presynaptic cytoskeleton organization	Child-Parent
synapse organization	postsynaptic cytoskeleton organization	Child-Parent
synapse process	process in the presynapse	Child-Parent
synapse process	process in the postsynapse	Child-Parent
synapse process	synaptic signaling	Child-Parent
synapse process	synapse organization	Child-Parent
synapse process	metabolism	Child-Parent
synapse process	transport	Child-Parent
synapse process	pathway	Child-Parent
synaptic signaling	trans-synaptic signaling	Child-Parent
synaptic signaling	synaptic signaling via neuropeptide	Child-Parent
synaptic signaling	synaptic signaling by nitric oxide	Child-Parent
synaptic signaling	regulation of trans-synaptic signaling	Child-Parent
synaptic signaling by nitric oxide	regulation of synaptic signaling by nitric oxide	Child-Parent
synaptic vesicle budding from presynaptic endocytic zone membrane	regulation of synaptic vesicle budding from presynaptic endocytic zone membrane	Child-Parent
synaptic vesicle budding from presynaptic endocytic zone membrane	synaptic vesicle coating	Child-Parent
synaptic vesicle cycle	regulation of synaptic vesicle cycle	Child-Parent
synaptic vesicle cycle	synaptic vesicle clustering	Child-Parent
synaptic vesicle cycle	synaptic vesicle endosomal processing	Child-Parent
synaptic vesicle cycle	synaptic vesicle exocytosis	Child-Parent
synaptic vesicle cycle	synaptic vesicle neurotransmitter loading	Child-Parent
synaptic vesicle cycle	zinc ion import into synaptic vesicle	Child-Parent
synaptic vesicle cycle	synaptic vesicle proton loading	Child-Parent
synaptic vesicle cycle	synaptic vesicle endocytosis	Child-Parent
synaptic vesicle cytoskeletal transport	synaptic vesicle transport along actin filament	Child-Parent
synaptic vesicle cytoskeletal transport	synaptic vesicle transport along microtubule	Child-Parent
synaptic vesicle docking	regulation of synaptic vesicle docking	Child-Parent
synaptic vesicle endocytosis	regulation of synaptic vesicle endocytosis	Child-Parent
synaptic vesicle endocytosis	synaptic vesicle budding from presynaptic endocytic zone membrane	Child-Parent
synaptic vesicle endocytosis	synaptic vesicle uncoating	Child-Parent
synaptic vesicle endosomal processing	synaptic vesicle budding from endosome	Child-Parent
synaptic vesicle endosomal processing	synaptic vesicle to endosome fusion	Child-Parent
synaptic vesicle exocytosis	calcium-dependent activation of synaptic vesicle fusion	Child-Parent
synaptic vesicle exocytosis	regulation of synaptic vesicle exocytosis	Child-Parent
synaptic vesicle exocytosis	synaptic vesicle docking	Child-Parent
synaptic vesicle exocytosis	synaptic vesicle fusion to presynaptic active zone membrane	Child-Parent
synaptic vesicle exocytosis	synaptic vesicle priming	Child-Parent
synaptic vesicle fusion to presynaptic active zone membrane	regulation of synaptic vesicle fusion to presynaptic active zone membrane	Child-Parent
synaptic vesicle neurotransmitter loading	regulation of synaptic vesicle neurotransmitter loading	Child-Parent
synaptic vesicle priming	regulation of synaptic vesicle priming	Child-Parent
synaptic vesicle recycling via endosome	regulation of recycling endosome localization within postsynapse	Child-Parent
synaptic vesicle transport along microtubule	anterograde synaptic vesicle transport	Child-Parent
synaptic vesicle transport along microtubule	retrograde synaptic vesicle transport	Child-Parent
trans-synaptic signaling	trans-synaptic signaling by lipid	Child-Parent
trans-synaptic signaling	trans-synaptic signaling by neuropeptide	Child-Parent
trans-synaptic signaling	trans-synaptic signaling by soluble gas	Child-Parent
trans-synaptic signaling	trans-synaptic signaling by trans-synaptic complex	Child-Parent
trans-synaptic signaling	trans-synaptic signalling via exosome	Child-Parent
trans-synaptic signaling	trans-synaptic signaling by BDNF	Child-Parent
trans-synaptic signaling	trans-synaptic signaling by BDNF, modulating synaptic transmission	Child-Parent
trans-synaptic signaling	trans-synaptic signaling, modulating synaptic transmission	Child-Parent
trans-synaptic signaling	chemical synaptic transmission	Child-Parent
trans-synaptic signaling by BDNF, modulating synaptic transmission	regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission	Child-Parent
trans-synaptic signaling by carbon monoxide	trans-synaptic signaling by carbon monoxide, modulating synaptic transmission	Child-Parent
trans-synaptic signaling by endocannabinoid	retrograde trans-synaptic signaling by endocannabinoid	Child-Parent
trans-synaptic signaling by endocannabinoid	trans-synaptic signaling by endocannabinoid, modulating synaptic transmission	Child-Parent
trans-synaptic signaling by endocannabinoid, modulating synaptic transmission	regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission	Child-Parent
trans-synaptic signaling by lipid	retrograde trans-synaptic signaling by lipid	Child-Parent
trans-synaptic signaling by lipid	trans-synaptic signaling by endocannabinoid	Child-Parent
trans-synaptic signaling by lipid	trans-synaptic signaling by lipid, modulating synaptic transmission	Child-Parent
trans-synaptic signaling by neuropeptide	retrograde trans-synaptic signaling by neuropeptide	Child-Parent
trans-synaptic signaling by neuropeptide	trans-synaptic signaling by neuropeptide, modulating synaptic transmission	Child-Parent
trans-synaptic signaling by neuropeptide, modulating synaptic transmission	retrograde trans-synaptic signaling by neuropeptide, modulating synaptic transmission	Child-Parent
trans-synaptic signaling by nitric oxide	anterograde trans-synaptic signaling by nitric oxide	Child-Parent
trans-synaptic signaling by nitric oxide	retrograde trans-synaptic signaling by nitric oxide	Child-Parent
trans-synaptic signaling by nitric oxide	trans-synaptic signaling by nitric oxide, modulating synaptic transmission	Child-Parent
trans-synaptic signaling by nitric oxide, modulating synaptic transmission	retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission	Child-Parent
trans-synaptic signaling by soluble gas	retrograde trans-synaptic signaling by soluble gas	Child-Parent
trans-synaptic signaling by soluble gas	trans-synaptic signaling by carbon monoxide	Child-Parent
trans-synaptic signaling by soluble gas	trans-synaptic signaling by nitric oxide	Child-Parent
trans-synaptic signaling by soluble gas	trans-synaptic signaling by soluble gas, modulating synaptic transmission	Child-Parent
trans-synaptic signaling by trans-synaptic complex	anterograde trans-synaptic signaling by trans-synaptic protein complex	Child-Parent
trans-synaptic signaling by trans-synaptic complex	retrograde trans-synaptic signaling by trans-synaptic protein complex	Child-Parent
trans-synaptic signaling by trans-synaptic complex	trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission	Child-Parent
transport	axo-dendritic transport	Child-Parent
transport	synaptic vesicle cytoskeletal transport	Child-Parent
transport	synaptic vesicle recycling via endosome	Child-Parent
transport	establishment of endoplasmic reticulum localization to postsynapse	Child-Parent
transport	neurotransmitter receptor transport	Child-Parent
voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels	Child-Parent
regulation of postsynapse organization	ABHD17A	Gene-Term
regulation of postsynapse organization	ABHD17B	Gene-Term
metabolism	ABHD17B	Gene-Term
regulation of postsynapse organization	ABHD17C	Gene-Term
regulation of retrograde trans-synaptic signaling by endocanabinoid	ABHD6	Gene-Term
postsynapse to nucleus signaling pathway	ABI1	Gene-Term
presynaptic actin cytoskeleton organization	ABI1	Gene-Term
presynaptic actin cytoskeleton organization	ABI2	Gene-Term
presynaptic actin cytoskeleton organization	ABI3	Gene-Term
synaptic vesicle clustering	ABI1	Gene-Term
synaptic vesicle clustering	ABI2	Gene-Term
synaptic vesicle clustering	ABI3	Gene-Term
postsynapse organization	ABI2	Gene-Term
postsynaptic actin cytoskeleton organization	ABI2	Gene-Term
regulation of postsynaptic specialization assembly	ABL1	Gene-Term
synapse maturation	ABL2	Gene-Term
modulation of chemical synaptic transmission	ABR	Gene-Term
neurotransmitter catabolic process	ACHE	Gene-Term
regulation of synaptic vesicle endocytosis	ACTB	Gene-Term
structural constituent of postsynaptic actin cytoskeleton	ACTB	Gene-Term
regulation of synaptic vesicle endocytosis	ACTG1	Gene-Term
structural constituent of postsynaptic actin cytoskeleton	ACTG1	Gene-Term
structural constituent of postsynapse	ACTN1	Gene-Term
postsynapse organization	ACTR3	Gene-Term
postsynaptic actin cytoskeleton organization	ACTR3	Gene-Term
regulation of postsynapse organization	ADAM10	Gene-Term
protein catabolic process at postsynapse	ADAM10	Gene-Term
postsynapse organization	ADAM10	Gene-Term
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	ADAM10	Gene-Term
neurotransmitter receptor localization to postsynaptic specialization membrane	ADAM22	Gene-Term
presynaptic modulation of chemical synaptic transmission	ADCY1	Gene-Term
modulation of chemical synaptic transmission	ADCY1	Gene-Term
modulation of chemical synaptic transmission	ADCY8	Gene-Term
synapse assembly	ADD2	Gene-Term
postsynaptic actin cytoskeleton organization	ADGRB1	Gene-Term
regulation of synapse maturation	ADGRB3	Gene-Term
regulation of synapse disassembly	ADGRB3	Gene-Term
synapse organization	ADGRL2	Gene-Term
synapse organization	ADGRL3	Gene-Term
regulation of presynaptic cytosolic calcium levels	ADORA1	Gene-Term
presynaptic modulation of chemical synaptic transmission	ADORA2A	Gene-Term
presynaptic modulation of chemical synaptic transmission	ADORA2B	Gene-Term
presynaptic modulation of chemical synaptic transmission	ADORA3	Gene-Term
presynaptic modulation of chemical synaptic transmission	ADRA1A	Gene-Term
presynaptic modulation of chemical synaptic transmission	ADRA2A	Gene-Term
G-protein coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	ADRB1	Gene-Term
presynaptic modulation of chemical synaptic transmission	ADRB2	Gene-Term
regulation of postsynaptic membrane neurotransmitter receptor levels	AGAP3	Gene-Term
regulation of synapse organization	AGRN	Gene-Term
modulation of chemical synaptic transmission	AKAP12	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	AKAP5	Gene-Term
modulation of chemical synaptic transmission	AKAP7	Gene-Term
regulation of postsynaptic neurotransmitter receptor activity	AKAP9	Gene-Term
trans-synaptic signaling by neuropeptide	ALK	Gene-Term
synaptic vesicle endocytosis	AMPH	Gene-Term
postsynapse to nucleus signaling pathway	ANKS1B	Gene-Term
postsynaptic process involved in chemical synaptic transmission	ANKS1B	Gene-Term
synaptic vesicle budding from endosome	AP1G1	Gene-Term
synaptic vesicle endocytosis	AP1G1	Gene-Term
synaptic vesicle budding from endosome	AP1S2	Gene-Term
synaptic vesicle endocytosis	AP2B1	Gene-Term
postsynaptic neurotransmitter receptor endocytosis	AP2B1	Gene-Term
synaptic vesicle endocytosis	AP2M1	Gene-Term
postsynaptic neurotransmitter receptor endocytosis	AP2M1	Gene-Term
synaptic vesicle budding from endosome	AP3D1	Gene-Term
neurotransmitter receptor transport, postsynaptic endosome to lysosome	AP3D1	Gene-Term
presynaptic modulation of chemical synaptic transmission	APBA1	Gene-Term
presynaptic modulation of chemical synaptic transmission	APBA2	Gene-Term
synapse organization	APBB1	Gene-Term
regulation of synapse organization	APOE	Gene-Term
regulation of presynapse assembly	APP	Gene-Term
modulation of chemical synaptic transmission	ARC	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	ARC	Gene-Term
postsynaptic actin cytoskeleton organization	ARF1	Gene-Term
regulation of postsynapse organization	ARF4	Gene-Term
regulation of synapse organization	ARF4	Gene-Term
regulation of presynapse assembly	ARF6	Gene-Term
synaptic vesicle endocytosis	ARF6	Gene-Term
maintenance of postsynaptic density structure	ARF6	Gene-Term
regulation of postsynapse organization	ARHGAP22	Gene-Term
postsynapse organization	ARHGAP39	Gene-Term
modification of postsynaptic structure	ARHGAP44	Gene-Term
modulation of chemical synaptic transmission	ARHGAP44	Gene-Term
regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane	ARHGAP44	Gene-Term
regulation of postsynapse assembly	ARHGEF15	Gene-Term
presynaptic actin cytoskeleton organization	ARHGEF7	Gene-Term
postsynaptic actin cytoskeleton organization	ARHGEF7	Gene-Term
regulation of postsynaptic specialization assembly	ARHGEF9	Gene-Term
regulation of neurotransmitter uptake	ARL6IP5	Gene-Term
regulation of anterograde synaptic vesicle transport	ARL8B	Gene-Term
modulation of chemical synaptic transmission	ARRB2	Gene-Term
postsynaptic signaling pathway	ARRB2	Gene-Term
regulation of postsynaptic neurotransmitter receptor endocytosis	ATAD1	Gene-Term
ATPase-coupled calcium ion transmembrane transporter activity involved in regulation of postsynaptic cytosolic calcium levels	ATP2B2	Gene-Term
ATPase-coupled calcium ion transmembrane transporter activity involved in regulation of presynaptic cytosolic calcium levels	ATP2B3	Gene-Term
synaptic vesicle proton loading	ATP6AP1	Gene-Term
synaptic vesicle proton loading	ATP6V0A1	Gene-Term
synaptic vesicle proton loading	ATP6V0A4	Gene-Term
synaptic vesicle proton loading	ATP6V0C	Gene-Term
synaptic vesicle proton loading	ATP6V0D1	Gene-Term
synaptic vesicle proton loading	ATP6V1B1	Gene-Term
synaptic vesicle proton loading	ATP6V1B2	Gene-Term
synaptic vesicle proton loading	ATP6V1C1	Gene-Term
synaptic vesicle proton loading	ATP6V1D	Gene-Term
synaptic vesicle proton loading	ATP6V1E1	Gene-Term
synaptic vesicle proton loading	ATP6V1F	Gene-Term
synaptic vesicle proton loading	ATP6V1G1	Gene-Term
synaptic vesicle proton loading	ATP6V1G2	Gene-Term
synaptic vesicle proton loading	ATP6V1H	Gene-Term
presynaptic modulation of chemical synaptic transmission	BACE1	Gene-Term
regulation of modification of postsynaptic actin cytoskeleton	BAIAP2	Gene-Term
regulation of postsynapse organization	BAIAP2	Gene-Term
modulation of chemical synaptic transmission	BAIAP2	Gene-Term
