,genes
667,F7
668,TTC3
669,KIF1C
670,GALNT13
671,BACE1
672,FGFRL1
673,COG5
674,USP6NL
675,SART1
676,TCP1
677,HLA-G
678,CLTCL1
679,SNX9
680,NAA11
681,PDGFRB
682,DUSP26
683,ST8SIA4
684,SH3RF1
685,PGAP2
686,PLD1
687,CDK13
688,CXCL14
689,CERKL
690,PEF1
691,ZDHHC7
692,HID1
693,B3GALT4
694,MPPE1
695,ID1
696,SLA2
697,CIB1
698,CRELD2
699,TMEM165
700,COG2
701,STK16
702,ERC1
703,NCF1
704,KIF13A
705,RAB15
706,ACBD3
707,MAN1A2
708,LFNG
709,ARCN1
710,ARFIP2
711,KDELR1
712,TPST2
713,KLHL12
714,INPP5E
715,LMTK2
716,TMEM30B
717,STK24
718,CNGB1
719,TNRC6A
720,CHST4
721,AP4E1
722,OPTN
723,TMF1
724,ITM2C
725,ZDHHC18
726,TLR4
727,VAPB
728,MCFD2
729,CHIC2
730,PDCD6
731,CREB3L3
732,GOLGA7B
733,TMED5
734,CNTNAP2
735,POSTN
736,MGAT2
737,FEZ1
738,APP
739,LMAN1
740,LAX1
741,PPP6R3
742,NMNAT2
743,FCGR2A
744,RAB6A
745,PHEX
746,CSDE1
747,COPG2
748,GALNT5
749,TP73
750,SAMD8
751,APOE
752,ANK3
753,TLR9
754,MAPK8IP3
755,CSNK1D
756,SORL1
757,KLF5
758,MGAT4A
759,YKT6
760,RGS19
761,TMC8
762,DNM1L
763,CLSTN3
764,MYO18A
765,RASSF2
766,MOB4
767,SGCE
768,DYNLT1
769,EMID1
770,CYTH3
771,DYM
772,VCAN
773,TMBIM1
774,ZNF148
775,CASD1
776,AP1S1
777,ADCY3
778,FUT10
779,SORT1
780,PLA2G4A
781,SLC35E1
782,GRM6
783,CLEC18C
784,PHTF1
785,AP4S1
786,MGAT3
787,RAB13
788,STMN2
789,RAB1B
790,KCNIP3
791,ST6GALNAC2
792,NRAS
793,ZDHHC2
794,GORAB
795,ALX1
796,DBI
797,ATXN2
798,ATP8A1
799,PJA2
800,BSG
801,AP3M1
802,F2R
803,ARFGAP1
804,ST3GAL4
805,VAMP7
806,GAL3ST3
807,COPB2
808,OCIAD1
809,APBA1
810,PPP1R15A
811,MAN1C1
812,SLC35A3
813,CEP57
814,CLSTN1
815,INPPL1
816,KCNJ2
817,MGAT4C
818,RAB34
819,IL17RD
820,CYBB
821,SLC38A10
822,GPC4
823,DOCK4
824,GOLGA6A
825,UBA5
826,COPZ1
827,SCFD1
828,ITM2A
829,DDHD2
830,COG4
831,NOS3
832,ARFGAP3
833,SNCA
834,CLN5
835,CD44
836,SYAP1
837,RAP1GAP
838,PDXDC1
839,F10
840,TMCO1
841,GDF15
842,GOLGA2
843,UHMK1
844,TMEM59
845,GOLGA1
846,MIA3
847,HTT
848,FKTN
849,JAKMIP2
850,RNF13
851,CUL7
852,CDH15
853,CHST8
854,CLTA
855,PDE2A
856,NAPEPLD
857,CA4
858,ADRB2
859,NDRG2
860,MVB12A
861,PCSK9
862,PRNP
863,TRAPPC10
864,BCAP31
865,B4GALT2
866,VAMP3
867,PKMYT1
868,SLC22A13
869,NOTCH3
870,B3GNT4
871,OLFM3
872,ARAP1
873,AP1G2
874,NSFL1C
875,LYN
876,GGA2
877,ARHGEF2
878,CCDC88B
879,TAF7
880,COPE
881,B4GALNT3
882,HDAC3
883,QSOX1
884,GOLGA5
885,PRRC1
886,AOC3
887,HS6ST1
888,HSPB6
889,GORASP2
890,GOLPH3L
891,CDC42
892,PI4KB
893,ENTPD7
894,UST
895,CLVS2
896,ABCA5
897,AP1M2
898,EHF
899,PCSK1N
900,TLR7
901,CLIP3
902,GAL3ST2
903,RAB27A
904,SLC30A6
905,RAB3GAP1
906,MCOLN1
907,GANAB
908,NOTCH1
909,GBP2
910,ARV1
911,VIPAS39
912,TMEM87B
913,ICA1
914,MAN2A1
915,C1GALT1
916,EGFR
917,OCIAD2
918,UNC93B1
919,SMPD4
920,NTRK2
921,ST6GALNAC1
922,FES
923,ANGEL1
924,KBTBD8
925,VTI1A
926,TRPM4
927,BECN1
928,CABP1
929,UBASH3A
930,MAP4K2
931,AHSG
932,PWP1
933,AP3B2
934,LRRK2
935,TPST1
936,PROS1
937,GALNTL5
938,DNAJC28
939,DPY30
940,SYNE1
941,BIRC7
942,DEFA6
943,CHST3
944,NPY
945,GBP3
946,SLC35A2
947,PKD1
948,ATP2C2
949,ATP11B
950,RAB9A
951,YIF1A
952,CORO7
953,ARFGEF2
954,KLHL22
955,GALNT11
956,AGRN
957,MYO5A
958,AJUBA
959,PRKCE
960,RNF133
961,PREB
962,ANKRD28
963,CLASP1
964,MAPK3
965,OSBPL9
966,BOK
967,GNPTAB
968,DDX31
969,SGMS2
970,TENM2
971,NGF
972,STEAP4
973,CHST9
974,PTPRN
975,SEC23IP
976,RAB39A
977,CGA
978,VCPIP1
979,ASIC1
980,TRRAP
981,ACAN
982,ATL1
983,SNX1
984,PAM
985,MDGA1
986,DSE
987,MSLN
988,PDE3B
989,NSF
990,RABAC1
991,PMF1
992,PLAGL1
993,RHBDF1
994,ZDHHC3
995,ATP1A3
996,GOLGA8A
997,CLIC5
998,PLCE1
999,GOLGA7
1000,GOLGA8B
1001,PIK3C2A
1002,BCL6
1003,MALL
1004,TRPC7
1005,PLOD3
1006,YIF1B
1007,PDE4DIP
1008,VPS51
1009,ITM2B
1010,ACHE
1011,NEDD9
1012,RAB36
1013,ARFGEF1
1014,FGFR4
1015,FAM3C
1016,ZDHHC20
1017,NOD2
1018,RTN1
1019,MPLKIP
1020,TGM4
1021,SGMS1
1022,FSTL3
1023,SNX17
1024,GIGYF2
1025,GJA1
1026,PICK1
1027,ABCA1
1028,CD36
1029,ZFYVE1
1030,VTI1B
1031,FAM114A1
1032,GOLGA4
1033,PRMT5
1034,TENM1
1035,AVPR2
1036,GPC3
1037,LYPLA2
1038,NEO1
1039,IFT57
1040,CTTN
1041,GDI1
1042,SEC24D
1043,STX5
1044,ADORA2A
1045,STIP1
1046,CDK5RAP2
1047,LRBA
1048,SCAMP4
1049,RAB33A
1050,CLCN3
1051,ARF3
1052,TMEM43
1053,LAT
1054,MUC12
1055,BMP1
1056,AP1M1
1057,CHST10
1058,SYT17
1059,TNFRSF1A
1060,RAB39B
1061,PPIL2
1062,CALR
1063,ARF1
1064,SUN5
1065,KIFAP3
1066,NOSIP
1067,CHPF
1068,FBXW8
1069,RAB30
1070,RABGAP1L
1071,CSPG5
1072,KIFC3
1073,LGR5
1074,SLC35A5
1075,AKR7A2
1076,PPP2R5C
1077,LUM
1078,SEC31A
1079,CCDC88A
1080,RAB11A
1081,ARF4
1082,RAB26
1083,HIP1
1084,RAPSN
1085,NEDD4
1086,NUCB1
1087,EXTL3
1088,NCS1
1089,TRAPPC12
1090,LRP2
1091,COG7
1092,PDGFRA
1093,RPH3A
1094,AFTPH
1095,DNM3
1096,MYOC
1097,LPCAT1
1098,APOA5
1099,GIMAP8
1100,HLA-E
1101,BIRC6
1102,CASQ1
1103,PEX5
1104,NHS
1105,VRK1
1106,B4GALT1
1107,SNAP25
1108,ZDHHC8
1109,MACF1
1110,BACE2
1111,CAV2
1112,GBP5
1113,OTOF
1114,RGS20
1115,CLEC16A
1116,NCALD
1117,NTN3
1118,ATG9A
1119,NLRP3
