,genes
826,SEPT4
827,CNTN1
828,ADAM10
829,DLG4
830,FBXO2
831,GNG3
832,LRFN2
833,STX12
834,PLD1
835,SYT1
836,SYT9
837,ITGA5
838,CACNA1D
839,CCK
840,CACNG3
841,NDE1
842,RAB35
843,PLD2
844,NEFH
845,CDKL5
846,ELAVL1
847,SYPL2
848,SYT17
849,FABP5
850,KIAA1109
851,PORCN
852,CHMP2B
853,IGSF11
854,MDM2
855,RPS21
856,TPRG1L
857,EIF3B
858,OLFM2
859,APC2
860,LRRC7
861,EIF4A3
862,SHANK1
863,STX3
864,RPS7
865,CNIH3
866,RPL30
867,CHRNA6
868,HTR2B
869,COPS4
870,MKLN1
871,NTF3
872,CTBP2
873,GRIA2
874,HCRT
875,GRIA4
876,MAP1LC3A
877,PIN1
878,SRGAP2
879,STRN4
880,ASAP1
881,YWHAH
882,STX1B
883,RNF19A
884,GLRA2
885,SGTA
886,NCS1
887,C4A
888,SHARPIN
889,STX1A
890,IGSF9B
891,LGI3
892,LYN
893,GABRQ
894,PLAA
895,USP8
896,UTRN
897,YES1
898,IL31RA
899,NLGN4Y
900,OLFM3
901,CNR1
902,DGKQ
903,PRKCI
904,LRFN5
905,RPS3
906,CTNND2
907,KCNK2
908,SLC9B2
909,TSC1
910,VCP
911,NDRG1
912,ROR1
913,NUFIP1
914,HTR3B
915,CADM1
916,DCLK1
917,TENM2
918,GPHN
919,FOSL1
920,ENAH
921,PTN
922,CBLN4
923,RIMS2
924,SNAPIN
925,ASIC2
926,GABRR2
927,ACTB
928,PTK2B
929,RPL23
930,ARL8A
931,CANX
932,SLC6A17
933,ADGRV1
934,APBA3
935,GRIA1
936,UNC13A
937,F2R
938,DMTN
939,WNT3A
940,CRKL
941,DROSHA
942,AP2B1
943,MAGEE1
944,ADORA1
945,CAPRIN1
946,RPL38
947,FZD5
948,RAB3A
949,PSMC2
950,RAB3GAP1
951,KCND2
952,CDH15
953,COLQ
954,KCNC1
955,NSG1
956,RPL7
957,HNRNPH2
958,NAAA
959,CRYAB
960,NTNG1
961,MYH9
962,PDPK1
963,NCSTN
964,AKAP5
965,DTNBP1
966,CBLN3
967,VAMP1
968,C1QBP
969,CALY
970,CHRNB1
971,KCNJ3
972,PRKAR1B
973,CUBN
974,SLC16A1
975,SNAP91
976,ADRA1A
977,RAB11B
978,CNIH2
979,CPLX3
980,MT3
981,ARF4
982,ZNF804A
983,LAMA5
984,FLOT2
985,CHRNE
986,ADGRB1
987,MYRIP
988,OPRK1
989,PNOC
990,RPL10A
991,EFNB3
992,LRP4
993,SH2D5
994,SYNJ2BP
995,KIF5C
996,IL1RAPL2
997,PGRMC1
998,SYT11
999,TRAPPC4
1000,ZC4H2
1001,PCDHB13
1002,RGS14
1003,SYNGAP1
1004,HRH3
1005,GPER1
1006,P2RY4
1007,APOE
1008,STXBP5
1009,KCNIP3
1010,TNR
1011,YWHAZ
1012,BAIAP3
1013,GABRB1
1014,GRIN3B
1015,SERPINE2
1016,SPOCK1
1017,RGS10
1018,NDEL1
1019,RAB8A
1020,SLC18A3
1021,TMEM230
1022,NEFL
1023,USH1C
1024,CHRND
1025,ATCAY
1026,DRD2
1027,SLC2A4
1028,GHRH
1029,CDK16
1030,LZTS3
1031,BMPR2
1032,DPYSL3
1033,GRIN2A
1034,PPP1CC
1035,TUBB2B
1036,SLC18A1
1037,EIF4EBP1
1038,RPL12
1039,PEBP1
1040,C4B_2
1041,SLC6A11
1042,PRKAR2B
1043,ARFGAP1
1044,CSPG5
1045,GABRA5
1046,GABRA3
1047,EFNB2
1048,SCN10A
1049,ATP1A2
1050,BCR
1051,CACNB2
1052,EEF1A2
1053,RGS7BP
1054,INA
1055,NR1D1
1056,CPE
1057,HTT
1058,PRSS12
1059,TMEM163
1060,ACP4
1061,SHISA6
1062,APBA2
1063,DAB1
1064,DLG5
1065,FARP1
1066,SHC4
1067,PTPRN
1068,CAV3
1069,MTOR
1070,SLC8A2
1071,SDK2
1072,SLC1A2
1073,FLRT3
1074,GRIN3A
1075,EFNA5
1076,HTR2A
1077,NRXN1
1078,CNTNAP4
1079,MOB4
1080,PLCB4
1081,SLC6A1
1082,DACT1
1083,ACAN
1084,HNRNPD
1085,EXOC4
1086,NAPG
1087,C1QC
1088,CHRM4
1089,CHRNB2
1090,ACTG1
1091,CNGB1
1092,AP1S1
1093,CHRNB4
1094,SYNJ1
1095,INSYN1
1096,DGKI
1097,OTOF
1098,LAMP1
1099,MAGI2
1100,PDLIM5
1101,PRNP
1102,SYNGR1
1103,FBXO45
1104,ZDHHC17
1105,DAG1
1106,FZD4
1107,KIAA1107
1108,NTF4
1109,PTPRZ1
1110,SNTB1
1111,UNC13B
1112,PJA2
1113,GABRD
1114,EXOC3
1115,CLSTN2
1116,ANK2
1117,OXT
1118,ADCY8
1119,GAD2
1120,CAD
1121,CLTB
1122,SHANK2
1123,GNB5
1124,ITPKA
1125,KCTD8
1126,MAPK8IP1
1127,WNT7A
1128,RAB26
1129,NTSR1
1130,PARK7
1131,MCTP1
1132,ITGA3
1133,ABCC8
1134,GRIN1
1135,AGER
1136,SLC6A4
1137,KCNA2
1138,LIN7B
1139,ERC2
1140,PTCH1
1141,KCNA6
1142,CTTN
1143,KPNA2
1144,SLC40A1
1145,ATP2B1
1146,SYN1
1147,SLC29A1
1148,ANXA1
1149,CAMK2B
1150,VTI1B
1151,CHRM3
1152,EPS8
1153,FXR1
1154,RGS17
1155,STX16
1156,RAB21
1157,RPS17
1158,CAMKV
1159,CPT1C
1160,FRRS1L
1161,SLC1A6
1162,STAU1
1163,YWHAE
1164,CHRNA2
1165,PLCB1
1166,GPC1
1167,HTR3D
1168,GIT1
1169,LRRC4C
1170,ND2
1171,LRRTM2
1172,PFN1
1173,SLITRK2
1174,RAB5A
1175,PTK2
1176,USP14
