,genes
821,CHRNE
822,ABL2
823,ADGRB1
824,OPRK1
825,RPL10A
826,SYT7
827,EFNB3
828,SYT11
829,PTPRT
830,RGS14
831,SYNGAP1
832,GPER1
833,P2RY4
834,APOE
835,RPL29
836,RPL10
837,STXBP5
838,TNR
839,YWHAZ
840,GABRB1
841,GRIN3B
842,RPS6
843,SLC16A7
844,RAB8A
845,SLC18A3
846,NEFL
847,AP1G1
848,CHRND
849,DRD2
850,SLC2A4
851,LZTS3
852,DPYSL3
853,GRIN2A
854,PPP1CC
855,SLC18A1
856,EIF4EBP1
857,RPL12
858,FUBP1
859,SLC6A11
860,PRKAR2B
861,ARFGAP1
862,CSPG5
863,GABRA5
864,GABRA3
865,EFNB2
866,SCN10A
867,EEF1A2
868,BCR
869,APOA4
870,RGS7BP
871,SNX1
872,PRKAR2A
873,INA
874,TMEM163
875,HTT
876,SPTB
877,MYO6
878,RNF10
879,SHISA6
880,DLG5
881,ROR2
882,FARP1
883,PLCXD3
884,DPYSL2
885,ATP6V1D
886,IGF1
887,MTOR
888,PARN
889,SLC8A2
890,SLC1A2
891,FLRT3
892,GRIN3A
893,HTR2A
894,PLCB4
895,CAPZB
896,CNTNAP4
897,NRXN1
898,SLC6A1
899,DACT1
900,ACAN
901,HNRNPD
902,EXOC4
903,BCAS1
904,NAPG
905,MARK2
906,CHRM4
907,CHRNB2
908,ACTG1
909,SLC10A4
910,SYNJ1
911,DGKI
912,RPL17
913,LAMP1
914,MAGI2
915,SLC6A7
916,MAGI3
917,SYNGR1
918,FBXO45
919,DAG1
920,FZD4
921,KIAA1107
922,KALRN
923,PRKCE
924,PTPRZ1
925,UNC13B
926,GABRD
927,EXOC3
928,CLSTN2
929,ADCY8
930,GAD2
931,CLTB
932,SHANK2
933,GNB5
934,AXIN1
935,ITPKA
936,RAB26
937,ITGA3
938,GRIN1
939,SYT3
940,SLC6A4
941,KCNA2
942,ERC2
943,CTTN
944,KPNA2
945,ACTR3
946,RPL27A
947,ATP2B1
948,AGAP3
949,SYN1
950,SLC29A1
951,ANXA1
952,CAMK2B
953,SCN1A
954,CHRM3
955,EPS8
956,FXR1
957,STX16
958,RAB21
959,RPS17
960,CAMKV
961,CPT1C
962,SLC1A6
963,RPL13A
964,YWHAE
965,ARFGAP3
966,GPC1
967,GIT1
968,LRRC4C
969,LRRTM2
970,PFN1
971,SLITRK2
972,RAB5A
973,PTK2
