,genes
285,DNAH6
286,TBL1XR1
287,NUP205
288,CWC15
289,ENO2
290,LRRC49
291,ALDH4A1
292,ATP10D
293,ATF7
294,GRAMD4
295,KLHL42
296,TTI2
297,MX1
298,PDCL
299,ATN1
300,ZNF396
301,SP110
302,SEH1L
303,RHNO1
304,PEX5L
305,TMEM43
306,FMNL3
307,GSPT1
308,PHF20L1
309,XRCC1
310,MCM3AP
311,ACVRL1
312,DPP3
313,ELANE
314,LGMN
315,NID1
316,NOL6
317,PDE1B
318,CLCA1
319,NOP16
320,ZNF786
321,ARMCX3
322,ATG2B
323,LDHAL6B
324,F2RL2
325,EIF3CL
326,WDR7
327,MBD3
328,PBRM1
329,PPARG
330,TRAK1
331,DHX30
332,MED14
333,CUL9
334,SLC31A1
335,INTS1
336,BATF3
337,MRPL52
338,FOS
339,TCF21
340,CCNC
341,MMS19
342,PRLR
343,NDUFS7
344,MID2
345,PXMP2
346,CRIP1
347,CNOT11
348,TULP1
349,SLC4A10
350,SLC22A14
351,NOC2L
352,NSMAF
353,DDX11
354,SLC37A3
355,CYB5A
356,SPIRE2
357,RBM22
358,ASB18
359,MMAB
360,NLRC4
361,EP400
362,FAM217B
363,UBE2D1
364,CERS3
365,CASP3
366,CENPF
367,GNA12
368,HMGN4
369,CABYR
370,PLEKHF1
371,ACTL6B
372,CMTM6
373,POR
374,TSPAN3
375,TBC1D14
376,MBNL1
377,RUNX2
378,SNCAIP
379,WNT4
380,HGD
381,RAPGEF2
382,CEBPG
383,PDGFC
384,HMG20A
385,KNG1
386,WRNIP1
387,FAM220A
388,RENBP
389,GDPD5
390,PAPPA2
391,CUX1
392,APC
393,TENM1
394,SAMD7
395,GP5
396,SPICE1
397,PPP1R3B
398,GRSF1
399,ATOH8
400,HEPACAM2
401,ZSCAN1
402,COQ7
403,GNA11
404,SEC61B
405,PIGA
406,PCDH1
407,TPI1
408,ELFN1
409,CORIN
410,ZFP90
411,SMURF1
412,EIF1AD
413,UBAP2
414,PRSS21
415,RAPGEF6
416,TBRG1
417,SPANXD
418,NANS
419,SPRR1B
420,SPRR2E
421,GPATCH2
422,TNP1
423,ZNF460
424,ADAMTS13
425,NPHP1
426,MYO1D
427,NAE1
428,ARMC8
429,TEC
430,EIF1
431,KIR3DL1
432,ZNF225
433,EPB41L3
434,PIK3CB
435,WDR48
436,MED7
437,SIX5
438,CASR
439,CENPE
440,TAF5L
441,HPS3
442,ATF6B
443,MKKS
444,AIMP2
445,RUNX3
446,NEU3
447,ETV1
448,EIF2AK4
449,SERPINA10
450,PELO
451,STARD10
452,PKP3
453,THEG
454,SSC5D
455,ARHGEF28
456,CHP1
457,TARS2
458,ZNF136
459,CD72
460,RBM15
461,GREB1
462,MBD4
463,TMED3
464,ZMIZ2
465,RAB3GAP1
466,SLC7A10
467,PNOC
468,ZNF394
469,XKR6
470,IGDCC4
471,ALPP
472,AAAS
473,FOXP4
474,MMP8
475,STK17B
476,UNC79
477,KIF16B
478,NFYC
479,CASP10
480,SOX11
481,KRT15
482,MND1
483,PSMC5
484,PLEC
485,PLCE1
486,F2RL1
